alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00813E+000  2.57817E+019  2.83217E+002  1.00000E+005  5.65154E-004  1.00000E-040  1.00000E-040  6.22998E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.19881E-020  1.00000E-040  1.00000E-040  3.29049E-018  4.95970E-007  4.92682E-003  4.31800E-014  1.20273E-014  2.11015E-004  9.24896E-008  2.81711E-004  5.62050E-019  5.71362E-010  1.00000E-040  1.84647E-040  9.07144E-027  1.50539E-016  4.00744E-006  1.74665E-021  1.31272E-020  9.60985E-032  6.94617E-031  1.00000E-040  6.98349E-012  8.95511E-017  1.70496E-015  3.69910E-011  1.12252E-033  1.26543E-037  3.34284E-010  7.38061E-032  4.86064E-011  1.47501E-024  9.94576E-001  4.71203E-020  1.13658E-013  4.32309E-010  1.70091E-037  1.43667E-036  8.19571E-023  2.60597E-018  9.58953E-013  8.10783E-014  2.42193E-011  5.97067E-015  2.70800E-007  3.73814E-009  4.91402E-009  1.29780E-011  2.80671E-014  2.87340E-019  1.30873E-012  1.44434E-011  2.93881E-011  1.00000E-040  1.00000E-040  2.58675E-034  1.00000E-040  1.96743E-012  1.00000E-040  1.49417E-016  1.41979E-013  1.94124E-019  6.60340E-019  5.13050E-029  1.30414E-029  1.82088E-029  1.89858E-034  1.00000E-040  1.20592E-033  1.16063E-030  1.44128E-019  1.14013E-016  2.10837E-031  3.88120E-030  2.21234E-022  2.57311E-014  3.74851E-015  2.24369E-014  9.93946E-022  2.48450E-010  1.00000E-040  5.10825E-019  7.16686E-036  1.49643E-021  9.42236E-020  6.89667E-013  2.72777E-019  1.55606E-010  2.27950E-020  3.63013E-022  8.54811E-013  1.84077E-013  1.29534E-034  7.21622E-034  8.74273E-020  1.00000E-040  3.01015E-020  3.47085E-011  4.71615E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94696E-001  2.34302E+019  2.76577E+002  1.00000E+005  7.37372E-004  1.00000E-040  1.00000E-040  7.25832E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.33942E-020  1.00000E-040  1.00000E-040  3.50967E-018  5.01069E-007  3.65694E-003  4.68283E-014  9.22494E-015  2.11263E-004  9.16531E-008  2.82084E-004  3.90563E-019  3.39415E-010  1.00000E-040  1.75349E-040  8.69530E-027  1.40273E-016  3.99891E-006  3.73874E-021  1.46766E-020  1.26156E-031  7.57130E-031  1.00000E-040  3.29687E-012  8.31227E-017  5.43085E-015  7.51265E-011  2.61791E-033  1.27406E-037  3.07174E-010  4.60751E-032  4.84274E-011  2.99180E-024  9.95845E-001  7.80289E-020  2.40983E-013  3.07093E-010  7.74941E-037  2.80821E-036  7.86525E-023  2.70005E-018  3.68676E-014  9.15861E-014  2.16569E-011  5.09977E-015  2.68107E-007  3.80004E-009  3.22234E-009  2.08840E-012  7.32731E-015  1.98151E-019  6.57149E-013  1.79065E-011  3.44740E-011  1.00000E-040  1.00000E-040  2.88227E-036  1.00000E-040  4.08552E-012  1.00000E-040  1.49614E-016  1.31914E-013  1.88038E-019  5.91341E-019  5.13909E-029  1.12054E-029  1.82322E-029  1.34025E-034  1.00000E-040  1.89296E-033  1.22345E-030  9.80758E-020  6.97644E-016  1.87711E-031  2.99972E-030  3.03591E-022  3.92997E-014  2.45253E-015  2.02061E-014  6.88850E-022  2.49160E-010  1.00000E-040  9.19478E-019  8.30531E-036  1.95192E-021  9.48089E-020  6.90548E-013  3.43211E-019  8.79338E-010  5.22581E-020  3.03729E-022  1.65451E-012  1.84972E-013  9.99260E-035  7.58827E-034  6.82357E-020  1.00000E-040  3.03055E-020  3.42871E-011  4.71786E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.92398E-001  2.11205E+019  2.71742E+002  1.00000E+005  4.95008E-004  1.00000E-040  1.00000E-040  7.58600E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.82326E-020  1.00000E-040  1.00000E-040  4.58956E-018  5.05637E-007  2.82365E-003  5.86598E-014  8.32047E-015  2.11418E-004  8.99434E-008  2.82334E-004  3.85745E-019  2.73490E-010  1.00000E-040  2.99532E-040  1.20235E-026  1.61825E-016  3.98945E-006  5.69440E-021  1.52126E-020  1.34624E-031  6.96923E-031  1.00000E-040  1.45476E-012  7.07491E-017  8.78571E-015  5.88369E-011  5.61619E-033  1.17313E-037  2.79605E-010  3.76780E-032  4.82382E-011  5.13787E-024  9.96678E-001  9.93222E-020  2.72281E-013  2.04905E-010  2.63012E-036  4.49910E-036  7.26436E-023  2.60986E-018  1.11102E-014  9.43184E-014  2.24241E-011  4.83750E-015  2.65006E-007  3.93141E-009  2.37170E-009  7.88775E-013  4.69177E-015  1.56824E-019  3.24360E-013  1.79182E-011  3.82966E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.31115E-012  1.00000E-040  1.50188E-016  1.22226E-013  1.81408E-019  5.64462E-019  5.14684E-029  8.94020E-030  1.82479E-029  8.75013E-035  1.00000E-040  3.03029E-033  1.41365E-030  1.02762E-019  2.00407E-015  2.45450E-031  2.62772E-030  4.46214E-022  6.36326E-014  2.69867E-015  1.74020E-014  6.26753E-022  2.44771E-010  1.00000E-040  1.63969E-018  1.04232E-035  2.78902E-021  9.76108E-020  6.91126E-013  3.87287E-019  1.28293E-009  5.26625E-020  2.78361E-022  1.91254E-012  1.85627E-013  9.46587E-035  8.11860E-034  7.19907E-020  1.00000E-040  3.03253E-020  3.38696E-011  4.70832E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.00274E-001  1.90286E+019  2.66549E+002  1.00000E+005  4.68938E-004  1.00000E-040  1.00000E-040  4.16834E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.42453E-020  1.00000E-040  1.00000E-040  6.36031E-018  5.09972E-007  2.06023E-003  7.69017E-014  1.17390E-014  2.11557E-004  8.76901E-008  2.82565E-004  4.88022E-019  2.80275E-010  1.00000E-040  5.98333E-040  1.78678E-026  1.92411E-016  3.98054E-006  7.89611E-021  1.35417E-020  1.14261E-031  4.73901E-031  1.00000E-040  5.91046E-013  4.11652E-017  1.28286E-014  4.58090E-011  8.71462E-033  7.54005E-038  2.52257E-010  3.07443E-032  4.80542E-011  1.09731E-023  9.97441E-001  1.24887E-019  2.68982E-013  1.27824E-010  7.93420E-036  6.45702E-036  6.43587E-023  2.32859E-018  1.27635E-014  1.21233E-013  2.47210E-011  4.67006E-015  2.61581E-007  4.05499E-009  2.72989E-009  7.49144E-013  5.38568E-015  1.15795E-019  1.86818E-013  1.84627E-011  3.86060E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.30280E-012  1.00000E-040  1.50876E-016  1.14532E-013  1.66572E-019  5.53353E-019  5.15548E-029  5.64439E-030  1.82631E-029  5.32942E-035  1.00000E-040  4.61004E-033  1.57211E-030  1.15269E-019  2.53020E-015  3.42763E-031  3.42459E-030  6.78332E-022  1.22042E-013  3.74631E-015  1.77133E-014  5.84284E-022  2.32594E-010  1.00000E-040  3.21505E-018  1.32556E-035  4.25418E-021  8.71681E-020  6.91657E-013  3.47392E-019  1.20314E-009  5.54233E-020  3.89197E-022  1.54716E-012  1.86060E-013  8.27886E-035  8.62479E-034  8.23629E-020  1.00000E-040  2.40808E-020  3.34652E-011  4.68571E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.17321E-001  1.71573E+019  2.60603E+002  1.00000E+005  4.22631E-004  1.00000E-040  1.00000E-040  2.11738E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.97101E-021  1.00000E-040  1.00000E-040  8.69176E-018  5.13963E-007  1.39308E-003  1.01966E-013  2.38690E-014  2.11676E-004  8.48516E-008  2.82768E-004  6.54956E-019  3.05249E-010  1.00000E-040  1.17186E-039  2.60085E-026  2.23496E-016  3.97224E-006  1.02903E-020  9.91084E-021  7.61397E-032  2.19015E-031  1.00000E-040  2.21256E-013  2.46350E-017  1.67970E-014  3.56907E-011  1.00163E-032  3.72104E-038  2.25741E-010  2.32350E-032  4.78779E-011  3.05085E-023  9.98108E-001  1.63152E-019  2.43131E-013  7.42828E-011  2.22649E-035  8.57554E-036  5.48115E-023  1.85619E-018  2.70506E-014  1.76851E-013  2.72733E-011  4.59204E-015  2.57835E-007  4.12763E-009  4.57290E-009  9.48700E-013  7.55449E-015  8.40176E-020  1.78997E-013  2.03311E-011  3.57879E-011  1.00000E-040  1.00000E-040  2.66501E-035  1.00000E-040  2.04452E-012  1.00000E-040  1.51109E-016  1.08474E-013  1.41783E-019  5.30245E-019  5.16508E-029  2.49085E-030  1.82782E-029  2.96189E-035  1.00000E-040  6.47414E-033  1.56788E-030  1.20608E-019  2.32883E-015  4.63280E-031  6.09631E-030  1.04654E-021  2.41866E-013  5.50882E-015  2.15788E-014  4.74190E-022  2.13060E-010  1.00000E-040  7.01569E-018  1.66830E-035  6.81639E-021  6.33030E-020  6.92121E-013  2.37468E-019  7.93566E-010  5.94951E-020  7.75432E-022  9.52391E-013  1.86323E-013  5.61978E-035  8.79491E-034  9.19881E-020  1.00000E-040  1.37112E-020  3.30797E-011  4.65038E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.42637E-001  1.54663E+019  2.54120E+002  1.00000E+005  3.38782E-004  1.00000E-040  1.00000E-040  1.05667E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.36979E-021  1.00000E-040  1.00000E-040  1.11304E-017  5.17415E-007  8.75206E-004  1.32180E-013  5.23329E-014  2.11762E-004  8.12752E-008  2.82928E-004  7.71394E-019  2.95396E-010  1.00000E-040  2.03909E-039  3.48270E-026  2.46157E-016  3.96450E-006  1.28633E-020  5.84758E-021  4.09162E-032  6.59947E-032  1.00000E-040  7.92912E-014  2.59170E-017  1.91485E-014  2.81833E-011  9.38159E-033  2.03133E-038  2.00592E-010  1.58992E-032  4.77110E-011  9.77747E-023  9.98625E-001  2.15708E-019  1.97195E-013  4.00740E-011  5.77235E-035  1.08928E-035  4.58330E-023  1.27854E-018  7.69589E-014  2.24077E-013  2.83843E-011  4.47144E-015  2.53780E-007  3.98672E-009  8.33505E-009  1.28641E-012  1.20406E-014  7.25302E-020  3.03307E-013  2.34759E-011  2.99763E-011  1.00000E-040  1.00000E-040  5.33826E-037  1.00000E-040  1.03450E-012  1.00000E-040  1.50271E-016  1.02263E-013  1.17743E-019  4.76189E-019  5.17602E-029  7.20907E-031  1.82935E-029  1.50494E-035  1.00000E-040  8.27514E-033  1.31364E-030  1.08461E-019  1.84490E-015  5.70007E-031  1.15440E-029  1.58468E-021  4.21774E-013  7.03016E-015  2.71859E-014  3.06015E-022  1.88941E-010  1.00000E-040  1.62569E-017  2.04732E-035  1.10254E-020  3.81655E-020  6.92483E-013  1.24916E-019  3.99968E-010  6.37059E-020  1.65800E-021  4.53071E-013  1.86474E-013  2.88979E-035  8.38894E-034  9.38193E-020  1.00000E-040  5.87375E-021  3.27195E-011  4.60960E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.75413E-001  1.39390E+019  2.47033E+002  1.00000E+005  2.47992E-004  1.00000E-040  1.00000E-040  4.26264E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.66947E-021  1.00000E-040  1.00000E-040  1.30792E-017  5.20256E-007  5.05780E-004  1.63296E-013  1.05471E-013  2.11815E-004  7.70426E-008  2.83046E-004  7.76232E-019  2.50121E-010  1.00000E-040  3.04211E-039  4.04107E-026  2.48786E-016  3.95738E-006  1.56771E-020  2.85611E-021  1.89620E-032  1.36792E-032  1.00000E-040  3.04981E-014  3.66509E-017  1.99387E-014  2.29112E-011  7.83790E-033  1.36039E-038  1.77278E-010  9.43882E-033  4.75566E-011  2.98792E-022  9.98995E-001  2.60318E-019  1.36101E-013  1.99924E-011  1.34934E-034  1.38805E-035  3.93978E-023  7.58788E-019  2.25686E-013  2.09975E-013  2.75021E-011  4.15395E-015  2.49461E-007  3.57287E-009  1.41324E-008  1.72411E-012  1.93791E-014  8.62549E-020  6.34442E-013  2.71389E-011  1.99129E-011  1.00000E-040  1.00000E-040  1.88937E-035  1.00000E-040  4.06184E-013  1.00000E-040  1.48000E-016  9.47646E-014  1.08642E-019  3.95521E-019  5.18945E-029  1.39061E-031  1.83112E-029  7.02204E-036  1.00000E-040  9.49263E-033  8.98046E-031  8.26953E-020  1.33687E-015  5.99938E-031  2.09415E-029  2.34017E-021  6.45804E-013  7.76180E-015  3.24568E-014  1.56022E-022  1.63979E-010  1.00000E-040  3.97044E-017  2.50890E-035  1.76172E-020  2.04646E-020  6.92742E-013  5.39541E-020  1.78943E-010  6.74688E-020  3.26564E-021  1.61674E-013  1.86559E-013  1.27714E-035  7.43799E-034  8.23623E-020  1.00000E-040  2.19376E-021  3.23905E-011  4.57819E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.14950E-001  1.25422E+019  2.39628E+002  1.00000E+005  1.60149E-004  1.00000E-040  1.00000E-040  1.69269E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.79918E-040  1.40702E-021  1.00000E-040  1.00000E-040  1.43212E-017  5.22546E-007  2.71793E-004  1.91556E-013  1.90788E-013  2.11840E-004  7.24883E-008  2.83124E-004  7.09836E-019  1.97412E-010  1.00000E-040  4.38402E-039  4.08409E-026  2.32377E-016  3.95084E-006  1.89010E-020  1.25755E-021  8.26730E-033  2.30511E-033  1.00000E-040  1.52630E-014  5.32952E-017  2.04216E-014  1.93928E-011  6.20191E-033  9.85149E-039  1.56191E-010  4.93373E-033  4.74161E-011  2.28323E-021  9.99228E-001  2.54737E-019  7.40576E-014  9.20821E-012  2.63025E-034  1.85220E-035  3.63583E-023  4.05636E-019  5.73592E-013  1.38045E-013  2.52210E-011  3.64200E-015  2.44952E-007  2.98916E-009  2.16301E-008  2.22997E-012  2.83016E-014  1.38491E-019  1.29893E-012  3.03931E-011  8.80979E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.12815E-013  1.00000E-040  1.44547E-016  8.64967E-014  1.20700E-019  3.11684E-019  5.20683E-029  1.96301E-032  1.83342E-029  3.07817E-036  1.00000E-040  9.93003E-033  5.23205E-031  5.61045E-020  9.17814E-016  5.44227E-031  3.69363E-029  3.38233E-021  8.94063E-013  7.99998E-015  3.64430E-014  7.06886E-023  1.41296E-010  1.00000E-040  9.97378E-017  3.18328E-035  2.65707E-020  1.04739E-020  6.92909E-013  2.08760E-020  8.03954E-011  7.10742E-020  5.77587E-021  4.04214E-014  1.86606E-013  6.42828E-036  6.19761E-034  6.22211E-020  1.00000E-040  8.07069E-022  3.20950E-011  4.57234E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.60664E-001  1.12577E+019  2.32044E+002  1.00000E+005  9.28975E-005  1.00000E-040  1.00000E-040  1.87660E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.26119E-038  6.27790E-021  1.00000E-040  1.00000E-040  1.49843E-017  5.24397E-007  1.37147E-004  2.16397E-013  3.15238E-013  2.11843E-004  6.79829E-008  2.83174E-004  6.16572E-019  1.50719E-010  1.00000E-040  7.16599E-039  3.71949E-026  2.04508E-016  3.94479E-006  2.27702E-020  5.60534E-022  3.74585E-033  3.97467E-034  1.00000E-040  1.05530E-014  7.36689E-017  2.17001E-014  1.71215E-011  4.83763E-033  7.16210E-039  1.37670E-010  2.31691E-033  4.72893E-011  9.82527E-020  9.99363E-001  1.97191E-019  3.13206E-014  3.94385E-012  4.04729E-034  2.59730E-035  3.61444E-023  2.11836E-019  1.22325E-012  6.65837E-014  2.21472E-011  3.04753E-015  2.40350E-007  2.36557E-009  3.02778E-008  2.79805E-012  3.62072E-014  2.57682E-019  2.40474E-012  3.26613E-011  4.58901E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.20134E-014  1.00000E-040  1.40586E-016  7.84652E-014  1.40174E-019  2.41745E-019  5.22977E-029  2.37741E-033  1.83669E-029  1.29203E-036  1.00000E-040  9.75215E-033  2.86114E-031  3.59817E-020  6.13297E-016  4.40513E-031  6.42403E-029  4.90551E-021  1.12698E-012  8.00075E-015  3.90477E-014  7.73977E-023  1.22433E-010  1.00000E-040  2.59914E-016  4.25064E-035  3.26499E-020  5.30890E-021  6.93008E-013  8.01955E-021  3.79346E-011  7.56023E-020  9.32360E-021  7.07540E-015  1.86631E-013  6.09200E-036  4.95519E-034  4.16806E-020  1.00000E-040  3.03232E-022  3.18309E-011  4.59983E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.12074E-001  1.00608E+019  2.24669E+002  9.61769E+004  4.70741E-005  1.00000E-040  1.00000E-040  1.20559E-009  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.01143E-035  4.79151E-019  2.49355E-039  1.00000E-040  1.57008E-017  5.25955E-007  6.76230E-005  2.42215E-013  4.90459E-013  2.11833E-004  6.37472E-008  2.83203E-004  5.31266E-019  1.14530E-010  1.00000E-040  1.38196E-038  3.30638E-026  1.77879E-016  3.93898E-006  2.75473E-020  2.73854E-022  1.87689E-033  8.17904E-035  1.00000E-040  8.47133E-015  9.34553E-017  2.41848E-014  1.56412E-011  3.92325E-033  5.20854E-039  1.21724E-010  1.04679E-033  4.71718E-011  1.39410E-018  9.99433E-001  1.35365E-019  1.14663E-014  1.59784E-012  5.00385E-034  3.72302E-035  3.74896E-023  1.16478E-019  2.24082E-012  2.84077E-014  1.90055E-011  2.49966E-015  2.35682E-007  1.80936E-009  3.96204E-008  3.40804E-012  4.16642E-014  5.05451E-019  3.96448E-012  3.40209E-011  3.33886E-012  1.00000E-040  1.00000E-040  7.47078E-036  1.00000E-040  3.36062E-015  1.00000E-040  1.36748E-016  7.15260E-014  1.34354E-019  1.90491E-019  5.26036E-029  3.18764E-034  1.84153E-029  5.39209E-037  1.00000E-040  9.43578E-033  1.63495E-031  2.31132E-020  4.16208E-016  3.46492E-031  1.08501E-028  7.25808E-021  1.27085E-012  7.99045E-015  4.03421E-014  3.59606E-022  1.07285E-010  1.00000E-040  6.90055E-016  5.90534E-035  2.64218E-020  2.77904E-021  6.93062E-013  3.34215E-021  1.92466E-011  8.25496E-020  1.40986E-020  9.51970E-016  1.86643E-013  1.18236E-035  3.89968E-034  2.66979E-020  1.00000E-040  1.20130E-022  3.15887E-011  4.65328E-030  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
