alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.28734E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.04148E-023  1.00000E-040  1.00000E-040  9.82110E-022  4.95541E-007  5.79049E-003  6.63949E-014  2.26078E-017  2.10833E-001  1.91959E-008  2.81468E-004  1.88394E-023  1.97444E-011  1.00000E-040  1.00000E-040  4.81820E-034  5.10406E-021  8.00795E-008  3.92846E-028  6.75462E-026  7.09850E-036  7.07505E-035  1.00000E-040  6.20268E-012  4.29479E-017  1.05023E-018  3.19603E-011  1.00000E-040  1.00000E-040  3.33995E-010  1.40386E-034  4.94913E-011  2.95209E-031  7.83094E-001  1.43928E-023  3.80641E-014  5.45274E-010  1.00000E-040  1.00000E-040  8.93809E-032  3.13744E-027  4.67622E-012  1.98776E-016  5.73826E-012  1.27536E-014  2.70566E-007  2.95663E-010  1.24129E-008  1.02300E-011  2.42058E-014  3.51219E-019  7.19563E-012  1.65621E-011  2.95118E-011  2.51115E-026  1.26607E-030  1.19852E-031  5.70160E-026  1.68983E-013  1.19108E-017  1.25520E-025  6.84487E-019  1.43257E-026  1.87710E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.33830E-025  1.00000E-040  1.00000E-040  4.13302E-028  1.83767E-016  1.45398E-035  1.00000E-040  6.33378E-023  2.11750E-017  9.57023E-020  1.13320E-016  4.54671E-025  5.03071E-011  1.00000E-040  6.39454E-019  1.00000E-040  8.82336E-027  4.35283E-033  3.59575E-025  1.48043E-027  9.33622E-013  2.97321E-023  8.47423E-023  9.47752E-014  1.00403E-014  1.00000E-040  1.00000E-040  4.49655E-024  1.00000E-040  8.54501E-022  3.58137E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93211E-001  2.31664E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.38291E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.29875E-024  1.00000E-040  1.00000E-040  7.23151E-022  4.95508E-007  4.40214E-003  5.14235E-014  2.86094E-017  2.11127E-001  1.81012E-008  2.81862E-004  1.09315E-023  1.22607E-011  1.00000E-040  1.00000E-040  2.42203E-034  3.46153E-021  8.00017E-008  1.86258E-028  6.69275E-026  4.69804E-040  3.51743E-039  1.00000E-040  3.17789E-012  1.63978E-017  5.66199E-019  6.73685E-011  1.00000E-040  1.00000E-040  3.34121E-010  6.41994E-035  4.94101E-011  3.08959E-031  7.84188E-001  1.50898E-023  8.10322E-014  5.16074E-010  1.00000E-040  1.00000E-040  8.35781E-032  3.07390E-027  9.21502E-013  3.24818E-016  6.71773E-012  8.89553E-015  2.70907E-007  3.81666E-010  1.34777E-008  1.94456E-012  1.80344E-014  2.33009E-019  4.04864E-012  2.09470E-011  3.29882E-011  1.37000E-026  1.04024E-030  1.45367E-033  4.00162E-026  4.91159E-013  1.19275E-017  1.26370E-025  6.55302E-019  1.40188E-026  1.32992E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.65213E-025  1.00000E-040  1.00000E-040  2.50486E-028  6.67075E-016  6.81895E-036  1.00000E-040  6.28107E-023  1.23692E-017  7.23444E-020  1.73486E-016  2.62452E-025  5.16602E-011  1.00000E-040  7.98472E-019  1.00000E-040  7.73889E-027  4.26663E-033  3.60077E-025  1.11964E-027  3.21176E-012  5.03745E-023  1.14887E-022  2.33161E-013  1.01113E-014  1.00000E-040  1.00000E-040  1.99241E-024  1.00000E-040  8.33055E-022  3.55589E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89244E-001  2.08028E+019  2.74794E+002  1.00000E+005  5.21240E-004  1.00000E-040  1.00000E-040  7.77294E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.20874E-023  1.00000E-040  1.00000E-040  7.75280E-022  4.95325E-007  3.55681E-003  5.57673E-014  3.81402E-017  2.11307E-001  1.70947E-008  2.82102E-004  8.84391E-024  8.69632E-012  1.00000E-040  1.00000E-040  2.57005E-034  3.54093E-021  7.99117E-008  1.21590E-028  6.59664E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.64623E-012  8.72459E-018  4.03186E-019  4.98749E-011  1.00000E-040  1.00000E-040  3.34090E-010  4.75465E-035  4.93275E-011  4.78311E-031  7.84854E-001  1.79212E-023  1.09471E-013  4.91341E-010  1.00000E-040  1.00000E-040  8.42291E-032  2.92845E-027  2.60729E-013  4.70939E-016  7.12120E-012  7.43910E-015  2.71096E-007  4.45234E-010  1.48168E-008  5.77079E-013  1.52886E-014  1.77510E-019  2.13863E-012  2.15565E-011  3.51139E-011  8.05772E-027  1.00937E-030  1.67106E-035  3.58318E-026  7.60537E-013  1.19376E-017  1.28659E-025  6.20622E-019  1.56979E-026  1.02572E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.21475E-025  1.00000E-040  1.00000E-040  2.03663E-028  2.19904E-015  6.88227E-036  1.00000E-040  8.22546E-023  9.33278E-018  6.62788E-020  2.21141E-016  1.92531E-025  5.31475E-011  1.00000E-040  1.18048E-018  1.00000E-040  9.05408E-027  4.06488E-033  3.60383E-025  9.34625E-028  9.60495E-012  4.13684E-023  1.55007E-022  3.58816E-013  1.01685E-014  1.00000E-040  1.00000E-040  1.53077E-024  1.00000E-040  8.00002E-022  3.53326E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95854E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39354E-004  1.00000E-040  1.00000E-040  2.07549E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.77760E-024  1.00000E-040  1.00000E-040  8.45916E-022  4.95262E-007  2.69095E-003  6.22191E-014  5.13444E-017  2.11490E-001  1.61874E-008  2.82348E-004  7.56434E-024  6.47139E-012  1.00000E-040  1.00000E-040  2.79325E-034  3.61505E-021  7.98510E-008  8.05171E-029  6.48044E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.57852E-013  4.80599E-018  3.15129E-019  3.69223E-011  1.00000E-040  1.00000E-040  3.34088E-010  3.36502E-035  4.92649E-011  7.49351E-031  7.85536E-001  2.01666E-023  1.17006E-013  4.70632E-010  1.00000E-040  1.00000E-040  7.81615E-032  2.77608E-027  1.45719E-013  6.41959E-016  7.10027E-012  6.25875E-015  2.71284E-007  4.48649E-010  1.65863E-008  3.18815E-013  1.48142E-014  1.13029E-019  1.19475E-012  2.12588E-011  3.24777E-011  5.88057E-027  1.04040E-030  1.83093E-037  3.50913E-026  7.98727E-013  1.19479E-017  1.32537E-025  5.82171E-019  1.88283E-026  8.48509E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.04028E-025  1.00000E-040  1.00000E-040  1.98995E-028  4.01076E-015  7.04588E-036  1.00000E-040  1.13138E-022  7.81617E-018  6.19532E-020  2.71885E-016  1.50346E-025  5.40560E-011  1.00000E-040  1.94203E-018  1.00000E-040  1.12358E-026  3.85253E-033  3.60696E-025  8.21110E-028  1.46005E-011  3.51648E-023  2.08769E-022  3.94545E-013  1.02079E-014  1.00000E-040  1.00000E-040  1.27267E-024  1.00000E-040  7.58145E-022  3.51430E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11991E-001  1.67948E+019  2.63928E+002  1.00000E+005  5.13966E-004  1.00000E-040  1.00000E-040  8.47285E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.32970E-024  1.00000E-040  1.00000E-040  8.78391E-022  4.95267E-007  1.88520E-003  6.63408E-014  6.96421E-017  2.11661E-001  1.53876E-008  2.82577E-004  6.97059E-024  5.32392E-012  1.00000E-040  1.00000E-040  2.68201E-034  3.43131E-021  7.98107E-008  5.19270E-029  6.34953E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.56692E-013  2.61486E-018  2.56294E-019  2.75760E-011  1.00000E-040  1.00000E-040  3.34085E-010  2.12474E-035  4.92181E-011  1.06974E-030  7.86170E-001  2.08721E-023  1.15261E-013  4.53718E-010  1.00000E-040  1.00000E-040  7.02818E-032  2.63996E-027  1.42855E-013  8.57489E-016  6.83158E-012  4.93281E-015  2.71450E-007  4.17561E-010  1.88445E-008  2.71819E-013  1.51575E-014  6.67902E-020  8.14568E-013  2.15091E-011  2.78000E-011  4.76081E-027  1.05508E-030  1.92725E-039  3.42853E-026  7.21939E-013  1.19576E-017  1.38171E-025  5.41330E-019  2.29012E-026  7.23989E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.01396E-024  1.00000E-040  1.00000E-040  2.01602E-028  4.55777E-015  6.31380E-036  1.00000E-040  1.50962E-022  6.88465E-018  6.50526E-020  3.44825E-016  1.13501E-025  5.40924E-011  1.00000E-040  3.28608E-018  1.00000E-040  1.37463E-026  3.74086E-033  3.60987E-025  7.49039E-028  1.40131E-011  2.89885E-023  2.81073E-022  3.71928E-013  1.02323E-014  1.00000E-040  1.00000E-040  9.46294E-025  1.00000E-040  7.09708E-022  3.49872E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36771E-001  1.50796E+019  2.57819E+002  1.00000E+005  4.23291E-004  1.00000E-040  1.00000E-040  4.09230E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.59622E-024  1.00000E-040  1.00000E-040  8.77048E-022  4.95271E-007  1.24262E-003  6.80455E-014  9.49399E-017  2.11797E-001  1.46907E-008  2.82760E-004  6.52489E-024  4.53121E-012  1.00000E-040  1.00000E-040  2.31629E-034  3.06355E-021  7.97783E-008  3.37043E-029  6.20686E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.51547E-013  1.44568E-018  2.20950E-019  2.09240E-011  1.00000E-040  1.00000E-040  3.34042E-010  1.21576E-035  4.91807E-011  1.43966E-030  7.86676E-001  2.05074E-023  1.08046E-013  4.40126E-010  1.00000E-040  1.00000E-040  6.12853E-032  2.51891E-027  1.96244E-013  1.12981E-015  6.39938E-012  3.75972E-015  2.71566E-007  3.71200E-010  2.16165E-008  2.97018E-013  1.56820E-014  4.02281E-020  7.76124E-013  2.30456E-011  2.28235E-011  3.98940E-027  1.04258E-030  1.00000E-040  3.29812E-026  6.00805E-013  1.19653E-017  1.45824E-025  4.99497E-019  2.79256E-026  6.23843E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.15158E-024  1.00000E-040  1.00000E-040  2.06597E-028  3.76542E-015  5.04765E-036  3.83828E-039  1.96250E-022  6.48857E-018  7.01600E-020  4.52556E-016  8.20363E-026  5.33041E-011  1.00000E-040  5.69538E-018  1.00000E-040  1.66526E-026  4.54184E-033  3.61220E-025  6.98952E-028  9.74018E-012  2.34712E-023  3.77549E-022  3.21072E-013  1.02463E-014  1.00000E-040  1.00000E-040  6.28488E-025  1.00000E-040  6.57122E-022  3.48584E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69330E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26921E-004  1.00000E-040  1.00000E-040  1.57069E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.03292E-024  1.00000E-040  1.00000E-040  8.39212E-022  4.95254E-007  7.58510E-004  6.71849E-014  1.29040E-016  2.11900E-001  1.40868E-008  2.82897E-004  5.69476E-024  3.64783E-012  1.00000E-040  1.00000E-040  1.77533E-034  2.54384E-021  7.97494E-008  2.23277E-029  6.05487E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.44748E-013  8.22173E-019  2.06556E-019  1.62104E-011  1.00000E-040  1.00000E-040  3.33955E-010  6.12865E-036  4.91501E-011  1.85538E-030  7.87058E-001  1.91329E-023  9.50085E-014  4.29302E-010  1.00000E-040  1.00000E-040  5.15062E-032  2.40787E-027  3.26162E-013  1.45652E-015  5.78623E-012  2.79388E-015  2.71631E-007  3.16418E-010  2.49166E-008  3.79359E-013  1.55178E-014  2.69102E-020  1.00497E-012  2.60682E-011  1.74876E-011  3.43103E-027  1.00539E-030  1.00000E-040  3.11317E-026  4.56799E-013  1.19711E-017  1.55800E-025  4.58511E-019  3.42977E-026  5.36800E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.31666E-024  1.00000E-040  1.00000E-040  2.14986E-028  2.44727E-015  3.53844E-036  2.83306E-035  2.52898E-022  6.72470E-018  7.08501E-020  6.09507E-016  5.65317E-026  5.19005E-011  1.00000E-040  1.04372E-017  1.00000E-040  2.02145E-026  9.11914E-033  3.61395E-025  6.61659E-028  5.14257E-012  1.88211E-023  5.04185E-022  2.54249E-013  1.02541E-014  1.00000E-040  1.00000E-040  3.67971E-025  1.00000E-040  6.02792E-022  3.47515E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08909E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24882E-004  1.00000E-040  1.00000E-040  4.75488E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.48123E-025  1.00000E-040  1.00000E-040  7.89641E-022  4.95195E-007  4.32074E-004  6.51254E-014  1.74981E-016  2.11969E-001  1.35630E-008  2.82990E-004  4.49579E-024  2.66305E-012  1.00000E-040  1.00000E-040  1.26790E-034  2.02023E-021  7.97189E-008  1.54138E-029  5.89546E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.73447E-014  4.89720E-019  2.10756E-019  1.28540E-011  1.00000E-040  1.00000E-040  3.33817E-010  2.81705E-036  4.91231E-011  2.32763E-030  7.87315E-001  1.70079E-023  7.65852E-014  4.20632E-010  1.00000E-040  1.00000E-040  4.10019E-032  2.30629E-027  5.89085E-013  1.81709E-015  5.05791E-012  2.04081E-015  2.71646E-007  2.59722E-010  2.87524E-008  5.34784E-013  1.40541E-014  2.36754E-020  1.50533E-012  3.08377E-011  1.15937E-011  3.12958E-027  9.59452E-031  1.00000E-040  2.91046E-026  3.05739E-013  1.19750E-017  1.68378E-025  4.20846E-019  4.26833E-026  4.63126E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.50881E-024  1.00000E-040  1.00000E-040  2.32019E-028  1.36541E-015  2.28797E-036  2.59063E-035  3.29078E-022  7.69875E-018  6.44658E-020  8.24097E-016  3.80603E-026  5.01460E-011  1.00000E-040  2.02759E-017  1.00000E-040  2.49368E-026  2.73995E-032  3.61512E-025  6.34278E-028  2.21504E-012  1.52570E-023  6.68955E-022  1.80080E-013  1.02582E-014  1.00000E-040  1.00000E-040  1.97669E-025  1.00000E-040  5.48911E-022  3.46602E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54863E-001  1.08552E+019  2.36776E+002  1.00000E+005  1.38777E-004  1.00000E-040  1.00000E-040  9.72583E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.14362E-025  1.00000E-040  1.00000E-040  7.56331E-022  4.95091E-007  2.32844E-004  6.37511E-014  2.37076E-016  2.12011E-001  1.31078E-008  2.83047E-004  3.35198E-024  1.82041E-012  1.00000E-040  1.00000E-040  9.00286E-035  1.58991E-021  7.96847E-008  1.13354E-029  5.73053E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.53321E-014  3.11508E-019  2.36990E-019  1.04455E-011  1.00000E-040  1.00000E-040  3.33630E-010  1.23061E-036  4.90980E-011  2.95351E-030  7.87472E-001  1.46421E-023  5.50164E-014  4.13565E-010  1.00000E-040  1.00000E-040  2.95746E-032  2.21732E-027  1.07737E-012  2.16850E-015  4.29585E-012  1.49268E-015  2.71617E-007  2.06610E-010  3.31383E-008  7.83996E-013  1.15934E-014  2.85139E-020  2.30651E-012  3.75662E-011  4.63375E-012  3.14296E-027  9.27389E-031  1.00000E-040  2.74947E-026  1.73862E-013  1.19774E-017  1.83813E-025  3.88395E-019  5.37757E-026  4.06471E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.72793E-024  1.00000E-040  1.00000E-040  2.62960E-028  7.24195E-016  1.45851E-036  1.00000E-040  4.44462E-022  9.81719E-018  5.54840E-020  1.08979E-015  2.58020E-026  4.82908E-011  1.00000E-040  4.23228E-017  1.00000E-040  3.19228E-026  9.12475E-032  3.61584E-025  6.15661E-028  8.79101E-013  1.28575E-023  8.82157E-022  1.11896E-013  1.02601E-014  1.00000E-040  1.00000E-040  1.03444E-025  1.00000E-040  4.97351E-022  3.45796E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06664E-001  9.66844E+018  2.29733E+002  9.61769E+004  7.51339E-005  1.00000E-040  1.00000E-040  2.07144E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.68739E-024  1.00000E-040  1.00000E-040  7.67229E-022  4.94943E-007  1.23339E-004  6.50091E-014  3.23629E-016  2.12035E-001  1.27048E-008  2.83078E-004  2.56149E-024  1.25387E-012  1.00000E-040  1.00000E-040  6.90598E-035  1.30134E-021  7.96457E-008  9.12080E-030  5.55868E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.67811E-014  2.15627E-019  2.93597E-019  8.68966E-012  1.00000E-040  1.00000E-040  3.33394E-010  5.46872E-037  4.90736E-011  4.01586E-030  7.87558E-001  1.27730E-023  3.58924E-014  4.07561E-010  1.00000E-040  1.00000E-040  1.65778E-032  2.15553E-027  1.89929E-012  2.46679E-015  3.59108E-012  1.12407E-015  2.71551E-007  1.61295E-010  3.82012E-008  1.12923E-012  9.26117E-015  4.23832E-020  3.43707E-012  4.66665E-011  1.74796E-012  3.45753E-027  9.29635E-031  1.00000E-040  2.68913E-026  8.56201E-014  1.19787E-017  2.02753E-025  3.61668E-019  6.75895E-026  3.70548E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.98008E-024  1.00000E-040  1.00000E-040  3.06613E-028  4.04226E-016  1.00088E-036  1.00000E-040  6.34334E-022  1.38722E-017  4.91746E-020  1.38567E-015  1.81130E-026  4.64845E-011  1.00000E-040  9.38499E-017  1.00000E-040  4.26260E-026  3.01506E-031  3.61624E-025  6.06983E-028  3.70539E-013  1.15642E-023  1.16189E-021  6.20992E-014  1.02608E-014  1.00000E-040  1.00000E-040  5.71837E-026  1.00000E-040  4.48812E-022  3.45043E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
