alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55800E+019  2.85699E+002  1.00000E+005  6.36226E-004  1.00000E-040  1.00000E-040  6.44533E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.38569E-023  1.00000E-040  1.00000E-040  1.86996E-021  4.95539E-007  5.79047E-003  2.31489E-014  7.41842E-017  2.10832E-001  9.48792E-008  2.81466E-004  4.04861E-022  7.49739E-010  1.00000E-040  1.00000E-040  2.93463E-033  8.89918E-020  4.00396E-006  6.66336E-029  9.53533E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.21717E-011  8.73884E-018  7.11760E-019  4.03273E-011  1.00000E-040  1.00000E-040  3.33994E-010  4.96360E-035  5.01632E-011  4.29818E-032  7.83091E-001  4.80202E-024  1.64477E-014  5.62947E-010  1.00000E-040  1.00000E-040  2.04647E-028  6.27652E-024  9.22525E-013  4.05723E-016  2.15663E-011  4.93125E-015  2.70565E-007  3.25326E-009  4.16858E-008  1.85648E-011  2.89370E-013  2.93014E-019  9.62208E-013  1.87045E-011  2.47963E-011  3.62888E-028  3.47002E-034  1.00000E-040  6.91292E-029  2.42932E-013  1.20338E-020  2.62424E-022  2.10009E-016  1.61287E-024  1.73743E-024  1.68840E-039  8.24778E-037  1.00000E-040  1.00000E-040  2.43937E-027  1.00000E-040  1.53519E-039  7.39379E-025  4.81121E-017  8.85580E-035  5.84904E-038  2.65193E-023  1.43691E-017  3.63751E-018  4.12210E-014  1.02751E-024  6.04132E-011  1.00000E-040  2.25978E-019  1.00000E-040  7.60416E-025  1.05612E-029  1.71137E-021  2.14877E-024  1.79766E-010  1.30801E-023  2.25133E-022  1.47532E-013  3.57507E-014  1.00000E-040  1.00000E-040  2.80715E-023  1.00000E-040  9.45501E-022  3.71004E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.93214E-001  2.31665E+019  2.79262E+002  1.00000E+005  8.34984E-004  1.00000E-040  1.00000E-040  7.56845E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.31632E-023  1.00000E-040  1.00000E-040  1.58575E-021  4.98050E-007  4.40212E-003  2.52506E-014  9.01928E-017  2.11127E-001  9.37599E-008  2.81865E-004  1.92273E-022  3.04794E-010  1.00000E-040  1.00000E-040  2.90761E-033  8.50838E-020  4.00388E-006  5.71927E-029  9.44133E-027  1.00000E-040  1.00000E-040  1.00000E-040  7.64232E-012  5.92551E-018  6.55571E-019  8.23554E-011  1.00000E-040  1.00000E-040  3.34219E-010  3.20606E-035  5.01390E-011  7.32403E-032  7.84185E-001  6.63096E-024  5.85139E-014  5.44299E-010  1.00000E-040  1.00000E-040  1.99641E-028  6.31013E-024  2.47675E-014  8.57765E-016  1.55808E-011  4.35490E-015  2.70908E-007  2.87903E-009  4.33034E-008  3.32793E-012  9.97774E-014  1.80979E-019  5.75141E-013  2.71077E-011  2.58811E-011  2.41144E-028  5.11712E-034  1.00000E-040  6.21215E-029  5.26480E-013  1.20506E-020  2.65070E-022  1.91549E-016  1.86924E-024  1.45597E-024  1.69075E-039  8.00603E-037  1.00000E-040  1.00000E-040  2.44372E-027  1.00000E-040  1.58247E-039  4.19664E-025  2.73591E-016  8.18610E-035  7.18210E-038  3.63759E-023  1.43431E-017  1.27965E-018  4.61192E-014  6.42536E-025  6.09294E-011  1.00000E-040  3.97860E-019  1.00000E-040  9.85344E-025  1.01399E-029  1.71376E-021  1.77104E-024  2.05629E-009  3.02383E-023  2.94116E-022  2.53532E-013  3.60540E-014  1.00000E-040  1.00000E-040  2.24144E-023  1.00000E-040  9.09070E-022  3.69537E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.89248E-001  2.08029E+019  2.74794E+002  1.00000E+005  5.21241E-004  1.00000E-040  1.00000E-040  7.96830E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.93116E-023  1.00000E-040  1.00000E-040  1.61359E-021  4.99834E-007  3.55680E-003  2.98478E-014  1.13624E-016  2.11306E-001  9.18824E-008  2.82109E-004  8.12647E-023  1.07548E-010  1.00000E-040  1.00000E-040  3.68291E-033  9.49390E-020  4.00229E-006  5.13071E-029  9.26720E-027  1.00000E-040  1.00000E-040  1.00000E-040  4.77061E-012  4.29555E-018  6.01279E-019  6.77486E-011  1.00000E-040  1.00000E-040  3.34268E-010  2.59069E-035  5.01012E-011  1.32345E-031  7.84850E-001  8.79329E-024  8.50741E-014  5.27498E-010  1.00000E-040  1.00000E-040  1.90835E-028  6.08524E-024  3.86398E-015  1.31633E-015  1.25648E-011  4.08512E-015  2.71098E-007  2.49175E-009  4.49730E-008  8.25517E-013  3.27278E-014  1.39151E-019  3.38894E-013  2.83389E-011  2.76384E-011  1.60854E-028  5.56969E-034  1.00000E-040  5.84904E-029  8.02406E-013  1.20608E-020  2.70050E-022  1.70355E-016  2.33155E-024  1.24771E-024  1.69218E-039  7.62535E-037  1.00000E-040  1.00000E-040  2.47898E-027  1.00000E-040  1.72760E-039  3.30029E-025  1.15156E-015  9.86248E-035  8.86804E-038  5.09740E-023  1.39420E-017  4.80643E-019  5.12740E-014  4.59664E-025  6.15373E-011  1.00000E-040  6.41729E-019  1.00000E-040  1.30489E-024  9.53711E-030  1.71521E-021  1.55192E-024  3.84532E-009  3.00761E-023  3.77714E-022  3.69918E-013  3.63066E-014  1.00000E-040  1.00000E-040  2.15276E-023  1.00000E-040  8.53678E-022  3.68117E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.95857E-001  1.86916E+019  2.69643E+002  1.00000E+005  5.39355E-004  1.00000E-040  1.00000E-040  2.12769E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17560E-023  1.00000E-040  1.00000E-040  1.76042E-021  5.01600E-007  2.69094E-003  3.28777E-014  1.44111E-016  2.11489E-001  9.00458E-008  2.82360E-004  5.23642E-023  5.98910E-011  1.00000E-040  1.00000E-040  3.90970E-033  9.57534E-020  4.00144E-006  4.17090E-029  9.03592E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.99706E-012  2.88736E-018  5.40255E-019  5.54774E-011  1.00000E-040  1.00000E-040  3.34328E-010  1.81072E-035  5.00735E-011  2.00624E-031  7.85532E-001  9.82098E-024  9.00333E-014  5.12697E-010  1.00000E-040  1.00000E-040  1.79320E-028  5.79028E-024  1.94528E-015  1.75629E-015  1.18593E-011  3.47132E-015  2.71288E-007  2.15146E-009  4.74351E-008  4.65556E-013  2.03017E-014  9.07653E-020  2.05936E-013  2.84442E-011  2.61086E-011  1.22980E-028  5.55858E-034  1.00000E-040  5.39896E-029  8.61100E-013  1.20713E-020  2.77748E-022  1.50674E-016  2.98999E-024  1.10273E-024  1.69365E-039  7.15293E-037  1.00000E-040  1.00000E-040  2.57017E-027  1.00000E-040  1.72230E-039  3.19475E-025  2.03777E-015  9.86217E-035  1.80560E-037  6.84537E-023  1.34278E-017  4.32299E-019  5.91379E-014  3.63942E-025  6.18949E-011  1.00000E-040  1.04305E-018  1.00000E-040  1.65570E-024  8.81688E-030  1.71670E-021  1.45957E-024  4.92966E-009  2.79200E-023  4.83005E-022  4.16086E-013  3.64795E-014  1.00000E-040  1.00000E-040  1.78325E-023  1.00000E-040  7.86548E-022  3.66875E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.11994E-001  1.67949E+019  2.63928E+002  1.00000E+005  5.13967E-004  1.00000E-040  1.00000E-040  8.68602E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.16820E-024  1.00000E-040  1.00000E-040  1.96544E-021  5.03409E-007  1.88520E-003  3.51584E-014  1.84310E-016  2.11660E-001  8.84311E-008  2.82593E-004  5.53352E-023  5.55681E-011  1.00000E-040  1.00000E-040  3.77841E-033  9.11976E-020  4.00091E-006  3.24937E-029  8.76539E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.90335E-012  1.88555E-018  4.97051E-019  4.53497E-011  1.00000E-040  1.00000E-040  3.34369E-010  1.14673E-035  5.00516E-011  2.86213E-031  7.86167E-001  1.01791E-023  8.88772E-014  4.99724E-010  1.00000E-040  1.00000E-040  1.66283E-028  5.49289E-024  2.05325E-015  2.24315E-015  1.18504E-011  2.75168E-015  2.71456E-007  1.93121E-009  5.08188E-008  4.68918E-013  1.91041E-014  5.58623E-020  1.36545E-013  2.94587E-011  2.30601E-011  1.02465E-028  5.59677E-034  1.00000E-040  5.00087E-029  7.99973E-013  1.20810E-020  2.88385E-022  1.33206E-016  3.93032E-024  9.90847E-025  1.69502E-039  6.63413E-037  1.00000E-040  1.00000E-040  2.71802E-027  1.00000E-040  1.65230E-039  3.23739E-025  2.07625E-015  8.89496E-035  3.41436E-037  9.14194E-023  1.33876E-017  5.84015E-019  6.97486E-014  2.95452E-025  6.18098E-011  1.00000E-040  1.77103E-018  1.00000E-040  2.10009E-024  8.02905E-030  1.71809E-021  1.40465E-024  5.31137E-009  2.52650E-023  6.17892E-022  4.06610E-013  3.65877E-014  1.00000E-040  1.00000E-040  1.33756E-023  1.00000E-040  7.12521E-022  3.65774E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.36773E-001  1.50797E+019  2.57819E+002  1.00000E+005  4.23292E-004  1.00000E-040  1.00000E-040  4.19530E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.75406E-024  1.00000E-040  1.00000E-040  2.24529E-021  5.05205E-007  1.24262E-003  3.77539E-014  2.37599E-016  2.11796E-001  8.70284E-008  2.82779E-004  7.04719E-023  6.22865E-011  1.00000E-040  1.00000E-040  3.57706E-033  8.52768E-020  4.00018E-006  2.52576E-029  8.46932E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.21954E-012  1.23981E-018  4.81460E-019  3.70297E-011  1.00000E-040  1.00000E-040  3.34355E-010  6.86875E-036  5.00297E-011  4.26774E-031  7.86673E-001  1.06085E-023  8.63052E-014  4.88294E-010  1.00000E-040  1.00000E-040  1.52692E-028  5.20229E-024  2.89373E-015  2.81916E-015  1.21304E-011  2.19718E-015  2.71573E-007  1.83096E-009  5.51209E-008  5.69525E-013  2.03827E-014  3.61964E-020  1.08854E-013  3.22332E-011  1.96880E-011  8.89375E-029  5.77256E-034  1.00000E-040  4.76068E-029  6.94338E-013  1.20888E-020  3.02226E-022  1.17891E-016  5.33413E-024  8.99650E-025  1.69611E-039  6.10243E-037  1.00000E-040  1.00000E-040  2.91887E-027  1.00000E-040  1.58263E-039  3.33524E-025  1.71505E-015  7.79525E-035  1.00000E-040  1.25134E-022  1.41903E-017  8.58089E-019  8.20866E-014  2.40116E-025  6.12581E-011  1.00000E-040  3.21469E-018  1.00000E-040  2.74720E-024  7.22012E-030  1.71919E-021  1.35174E-024  5.12163E-009  2.30465E-023  7.90765E-022  3.69011E-013  3.66510E-014  1.00000E-040  1.00000E-040  9.69910E-024  1.00000E-040  6.35745E-022  3.64759E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.69333E-001  1.35378E+019  2.51101E+002  1.00000E+005  3.26922E-004  1.00000E-040  1.00000E-040  1.61026E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.58084E-024  1.00000E-040  1.00000E-040  2.62174E-021  5.06955E-007  7.58506E-004  4.12177E-014  3.06557E-016  2.11899E-001  8.57901E-008  2.82921E-004  9.32828E-023  7.24898E-011  1.00000E-040  1.00000E-040  3.35160E-033  7.83219E-020  3.99915E-006  1.98996E-029  8.15852E-027  1.00000E-040  1.00000E-040  1.00000E-040  7.85568E-013  8.32531E-019  5.03654E-019  3.02119E-011  1.00000E-040  1.00000E-040  3.34283E-010  3.82797E-036  5.00067E-011  6.97807E-031  7.87055E-001  1.13663E-023  8.31579E-014  4.78177E-010  1.00000E-040  1.00000E-040  1.39281E-028  4.91827E-024  4.67161E-015  3.50200E-015  1.25649E-011  1.79908E-015  2.71640E-007  1.81685E-009  6.03038E-008  7.30443E-013  2.24917E-014  2.79212E-020  1.15321E-013  3.69036E-011  1.57694E-011  7.88497E-029  6.14831E-034  1.00000E-040  4.70759E-029  5.76323E-013  1.20947E-020  3.19620E-022  1.04559E-016  7.48661E-024  8.26985E-025  1.69695E-039  5.58053E-037  1.00000E-040  1.00000E-040  3.16779E-027  1.00000E-040  1.52877E-039  3.47649E-025  1.31704E-015  6.68030E-035  1.00000E-040  1.80251E-022  1.64832E-017  1.28885E-018  9.49232E-014  1.92538E-025  6.02966E-011  1.00000E-040  6.51583E-018  1.00000E-040  3.79355E-024  6.42738E-030  1.72003E-021  1.29598E-024  4.51004E-009  2.15201E-023  1.00980E-021  3.19842E-013  3.66869E-014  1.00000E-040  1.00000E-040  6.88558E-024  1.00000E-040  5.59848E-022  3.63809E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.08911E-001  1.21372E+019  2.44020E+002  1.00000E+005  2.24884E-004  1.00000E-040  1.00000E-040  4.87505E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.06143E-024  1.00000E-040  1.00000E-040  3.16781E-021  5.08611E-007  4.32071E-004  4.64391E-014  3.96170E-016  2.11968E-001  8.46576E-008  2.83018E-004  1.24565E-022  8.45920E-011  1.00000E-040  1.00000E-040  3.23306E-033  7.23146E-020  3.99772E-006  1.61911E-029  7.84130E-027  1.00000E-040  1.00000E-040  1.00000E-040  5.07258E-013  5.80281E-019  5.71584E-019  2.46595E-011  1.00000E-040  1.00000E-040  3.34149E-010  2.04479E-036  4.99816E-011  1.27495E-030  7.87312E-001  1.26662E-023  8.02501E-014  4.69189E-010  1.00000E-040  1.00000E-040  1.26648E-028  4.64893E-024  8.28256E-015  4.29820E-015  1.31637E-011  1.51662E-015  2.71657E-007  1.86625E-009  6.63040E-008  9.47247E-013  2.51565E-014  3.06723E-020  1.60345E-013  4.36730E-011  1.09682E-011  7.11441E-029  6.80808E-034  1.00000E-040  4.85919E-029  4.61679E-013  1.20986E-020  3.40993E-022  9.30721E-017  1.07656E-023  7.75984E-025  1.69751E-039  5.08391E-037  1.00000E-040  1.00000E-040  3.45930E-027  1.00000E-040  1.51766E-039  3.67525E-025  1.00879E-015  5.83438E-035  8.68673E-038  2.76116E-022  2.10434E-017  1.95541E-018  1.06724E-013  1.52952E-025  5.90060E-011  1.00000E-040  1.47184E-017  1.00000E-040  5.58070E-024  5.68527E-030  1.72059E-021  1.24185E-024  3.63046E-009  2.08714E-023  1.28598E-021  2.67703E-013  3.67061E-014  1.00000E-040  1.00000E-040  4.94930E-024  1.00000E-040  4.87949E-022  3.62903E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.54865E-001  1.08553E+019  2.36776E+002  1.00000E+005  1.38780E-004  1.00000E-040  1.00000E-040  9.98094E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.00420E-024  1.00000E-040  1.00000E-040  3.96710E-021  5.10132E-007  2.32843E-004  5.41225E-014  5.13242E-016  2.12011E-001  8.35755E-008  2.83079E-004  1.67157E-022  9.84510E-011  1.00000E-040  1.00000E-040  3.25387E-033  6.77694E-020  3.99594E-006  1.37521E-029  7.52465E-027  1.00000E-040  1.00000E-040  1.00000E-040  3.29434E-013  4.23536E-019  7.02383E-019  2.02156E-011  1.00000E-040  1.00000E-040  3.33961E-010  1.06334E-036  4.99551E-011  2.59033E-030  7.87469E-001  1.46803E-023  7.77228E-014  4.61212E-010  1.00000E-040  1.00000E-040  1.15301E-028  4.41227E-024  1.61036E-014  5.19375E-015  1.39131E-011  1.31137E-015  2.71629E-007  1.95330E-009  7.30513E-008  1.22143E-012  2.84875E-014  4.63401E-020  2.62814E-013  5.26317E-011  4.65919E-012  6.55456E-029  7.82283E-034  1.00000E-040  5.20355E-029  3.58341E-013  1.21010E-020  3.66901E-022  8.33574E-017  1.55487E-023  7.47154E-025  1.69787E-039  4.62379E-037  1.00000E-040  1.00000E-040  3.78784E-027  1.00000E-040  1.56160E-039  3.93868E-025  7.92047E-016  5.27172E-035  3.24542E-037  4.49099E-022  2.94414E-017  2.98984E-018  1.16564E-013  1.20840E-025  5.74752E-011  1.00000E-040  3.66033E-017  1.00000E-040  8.69854E-024  5.02272E-030  1.72093E-021  1.19635E-024  2.63386E-009  2.11255E-023  1.63275E-021  2.17269E-013  3.67154E-014  1.00000E-040  1.00000E-040  3.64808E-024  1.00000E-040  4.22573E-022  3.62034E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.06666E-001  9.66850E+018  2.29733E+002  9.61769E+004  7.51368E-005  1.00000E-040  1.00000E-040  2.75874E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.74614E-023  1.00000E-040  1.00000E-040  5.11477E-021  5.11499E-007  1.23338E-004  6.44483E-014  6.70951E-016  2.12034E-001  8.24691E-008  2.83115E-004  2.26928E-022  1.15202E-010  1.00000E-040  1.00000E-040  3.40437E-033  6.47804E-020  3.99384E-006  1.22180E-029  7.20877E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.17374E-013  3.22683E-019  9.12015E-019  1.67263E-011  1.00000E-040  1.00000E-040  3.33722E-010  5.51731E-037  4.99276E-011  5.56930E-030  7.87555E-001  1.73672E-023  7.47683E-014  4.54047E-010  1.00000E-040  1.00000E-040  1.05531E-028  4.23806E-024  3.60736E-014  6.14823E-015  1.48247E-011  1.14896E-015  2.71566E-007  2.04737E-009  8.06220E-008  1.58076E-012  3.28638E-014  8.07665E-020  4.69627E-013  6.40605E-011  1.97581E-012  6.26485E-029  9.16883E-034  1.00000E-040  5.66934E-029  2.68366E-013  1.21023E-020  3.98688E-022  7.52668E-017  2.19095E-023  7.37429E-025  1.69808E-039  4.20139E-037  1.00000E-040  1.00000E-040  4.15648E-027  1.00000E-040  1.66428E-039  4.29256E-025  6.28448E-016  4.93433E-035  4.16534E-037  7.54412E-022  4.38588E-017  4.64802E-018  1.25111E-013  9.60013E-026  5.57650E-011  1.00000E-040  9.47980E-017  1.00000E-040  1.37818E-023  4.45618E-030  1.72112E-021  1.16669E-024  1.65513E-009  2.20674E-023  2.07311E-021  1.70198E-013  3.67191E-014  1.00000E-040  1.00000E-040  2.75265E-024  1.00000E-040  3.64668E-022  3.61186E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
