alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00856E+000  2.56764E+019  2.84501E+002  1.00000E+005  5.74276E-004  1.00000E-040  1.00000E-040  3.74989E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.24262E-020  1.00000E-040  1.00000E-040  2.00266E-018  4.95756E-007  5.35833E-003  7.93666E-014  1.46749E-014  2.10925E-004  3.07553E-008  2.81590E-004  2.27279E-019  1.91819E-010  1.00000E-040  1.00000E-040  6.50509E-027  5.81471E-017  8.01142E-007  8.85684E-022  4.66430E-021  1.41179E-032  8.33520E-032  1.00000E-040  4.99728E-012  8.52979E-017  1.25608E-015  2.84210E-011  2.36902E-034  2.07134E-038  3.34140E-010  1.47504E-031  4.77839E-011  2.13613E-024  9.94148E-001  4.87948E-020  1.11377E-013  4.50748E-010  3.44100E-040  6.29256E-038  6.37940E-024  1.88319E-019  1.77889E-012  9.77535E-014  1.55610E-011  1.33735E-014  2.70683E-007  1.75802E-009  6.30594E-009  8.18531E-012  2.28498E-014  3.46983E-019  2.71530E-012  1.63786E-011  3.19845E-011  3.74518E-028  7.79619E-033  3.26247E-033  1.91009E-028  8.80439E-013  4.59462E-023  1.09683E-017  1.35666E-014  1.69877E-021  7.18141E-020  4.14733E-031  3.04499E-031  2.51167E-032  8.40519E-038  2.07225E-027  2.12479E-034  1.56097E-031  1.63223E-020  2.89080E-016  1.53328E-031  3.63915E-031  2.07527E-022  2.49288E-014  1.24465E-015  2.36748E-015  5.62998E-022  1.32451E-010  1.00000E-040  8.21770E-019  1.00471E-036  1.77257E-022  7.08966E-022  1.23900E-014  2.40107E-020  2.93794E-011  3.18849E-020  2.94525E-022  3.86405E-013  4.67347E-014  7.90375E-036  5.03908E-037  6.52789E-020  1.00000E-040  1.41939E-020  3.30983E-011  2.83843E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.95574E-001  2.33258E+019  2.78088E+002  1.00000E+005  7.49976E-004  1.00000E-040  1.00000E-040  4.35892E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.48072E-021  1.00000E-040  1.00000E-040  2.12893E-018  4.96278E-007  4.03632E-003  8.03985E-014  1.58200E-014  2.11197E-004  2.94458E-008  2.81969E-004  1.62904E-019  1.24819E-010  1.00000E-040  1.00000E-040  5.52441E-027  5.12078E-017  7.97962E-007  1.93444E-021  5.03858E-021  1.84340E-032  8.39932E-032  1.00000E-040  2.04016E-012  4.33117E-017  2.40163E-015  5.95861E-011  4.10131E-034  1.59259E-038  3.14545E-010  8.76610E-032  4.74937E-011  5.11708E-024  9.95469E-001  8.42774E-020  2.14249E-013  3.38398E-010  1.58072E-039  1.21594E-037  5.97099E-024  1.86550E-019  9.76052E-014  1.32769E-013  1.53212E-011  1.11576E-014  2.68745E-007  1.77711E-009  5.71771E-009  1.26886E-012  1.38715E-014  2.50515E-019  1.13925E-012  2.15854E-011  3.82468E-011  2.36050E-028  9.46118E-033  2.78069E-035  1.42665E-028  2.03670E-012  4.60077E-023  1.09394E-017  1.30202E-014  1.66304E-021  6.48452E-020  4.15491E-031  2.06435E-031  2.51502E-032  6.22489E-038  1.81532E-027  3.46269E-034  1.47266E-031  1.10813E-020  1.70669E-015  1.21334E-031  3.83873E-031  2.66307E-022  2.07643E-014  8.96722E-016  2.58723E-015  3.85255E-022  1.34386E-010  1.00000E-040  1.34295E-018  1.05569E-036  2.07680E-022  6.27238E-022  1.24065E-014  2.41482E-020  1.63570E-010  7.03206E-020  3.46170E-022  8.06359E-013  4.69899E-014  6.27153E-036  5.15154E-037  4.53552E-020  1.00000E-040  1.12209E-020  3.24865E-011  2.83611E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.93570E-001  2.10650E+019  2.72860E+002  1.00000E+005  5.39605E-004  1.00000E-040  1.00000E-040  4.53147E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.37092E-021  1.00000E-040  1.00000E-040  2.78594E-018  4.96636E-007  3.10708E-003  9.99701E-014  1.98424E-014  2.11386E-004  2.79555E-008  2.82238E-004  1.74274E-019  1.08232E-010  1.00000E-040  1.14181E-040  7.38943E-027  5.77917E-017  7.94818E-007  2.91509E-021  4.93523E-021  1.85931E-032  6.88145E-032  1.00000E-040  7.83256E-013  2.25265E-017  3.12685E-015  4.04210E-011  7.31975E-034  1.02346E-038  2.94208E-010  6.89978E-032  4.72064E-011  1.12620E-023  9.96398E-001  1.18095E-019  2.38452E-013  2.42391E-010  5.57442E-039  1.90164E-037  5.29781E-024  1.70624E-019  4.32544E-014  1.63177E-013  1.62088E-011  1.01300E-014  2.66479E-007  1.82514E-009  5.86658E-009  5.87068E-013  1.31048E-014  1.78579E-019  4.88758E-013  2.38088E-011  4.05443E-011  1.94599E-028  1.05513E-032  3.78745E-035  1.38655E-028  2.10038E-012  4.60507E-023  1.09425E-017  1.27240E-014  1.70639E-021  6.03773E-020  4.16280E-031  1.24424E-031  2.51740E-032  3.96095E-038  1.83154E-027  5.50168E-034  1.59218E-031  1.08451E-020  3.75084E-015  1.52866E-031  4.43623E-031  3.96001E-022  2.19973E-014  1.08629E-015  2.69130E-015  3.26242E-022  1.32909E-010  1.00000E-040  2.45446E-018  1.27078E-036  2.89307E-022  5.67685E-022  1.24181E-014  2.25877E-020  2.05078E-010  6.10976E-020  4.48743E-022  8.72890E-013  4.71808E-014  5.49666E-036  5.29031E-037  4.53736E-020  1.00000E-040  8.78975E-021  3.19012E-011  2.82157E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.01689E-001  1.89694E+019  2.67922E+002  1.00000E+005  4.83443E-004  1.00000E-040  1.00000E-040  3.17863E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.96037E-021  1.00000E-040  1.00000E-040  3.75281E-018  4.96970E-007  2.30888E-003  1.27928E-013  2.92992E-014  2.11547E-004  2.63477E-008  2.82469E-004  2.10557E-019  1.04906E-010  1.00000E-040  2.14588E-040  1.05903E-026  6.77268E-017  7.91927E-007  4.01319E-021  4.22698E-021  1.54284E-032  4.29404E-032  1.00000E-040  2.79115E-013  1.05855E-017  3.84112E-015  2.74755E-011  1.11872E-033  5.38068E-039  2.73512E-010  5.64459E-032  4.69335E-011  2.64478E-023  9.97196E-001  1.61816E-019  2.40300E-013  1.64760E-010  1.67315E-038  2.64885E-037  4.45881E-024  1.45878E-019  6.12101E-014  2.02449E-013  1.74512E-011  9.27100E-015  2.63939E-007  1.81807E-009  7.04611E-009  6.17981E-013  1.63024E-014  1.27480E-019  2.93713E-013  2.63701E-011  3.95606E-011  1.93114E-028  1.25523E-032  5.76602E-036  1.65675E-028  1.66491E-012  4.60871E-023  1.09474E-017  1.26617E-014  1.84211E-021  5.59169E-020  4.17228E-031  6.34037E-032  2.51951E-032  2.38226E-038  2.17839E-027  8.29010E-034  1.66023E-031  1.09392E-020  4.07537E-015  2.06620E-031  5.71519E-031  5.80102E-022  2.82724E-014  1.42613E-015  2.93226E-015  2.76405E-022  1.26160E-010  1.00000E-040  4.55403E-018  1.49068E-036  4.12854E-022  4.84622E-022  1.24281E-014  1.84232E-020  1.70624E-010  5.46534E-020  6.67958E-022  7.05158E-013  4.73061E-014  4.25784E-036  5.32415E-037  4.94048E-020  1.00000E-040  6.22728E-021  3.13490E-011  2.79169E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.18958E-001  1.71054E+019  2.62087E+002  1.00000E+005  4.51358E-004  1.00000E-040  1.00000E-040  1.55243E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.67047E-021  1.00000E-040  1.00000E-040  4.84210E-018  4.97297E-007  1.58553E-003  1.62560E-013  4.72812E-014  2.11691E-004  2.46280E-008  2.82678E-004  2.41679E-019  9.75776E-011  1.00000E-040  3.62195E-040  1.42163E-026  7.55719E-017  7.89378E-007  5.22837E-021  3.13485E-021  1.09034E-032  2.02392E-032  1.00000E-040  9.23548E-014  5.60407E-018  4.61019E-015  1.91488E-011  1.42762E-033  2.49673E-039  2.52855E-010  4.15266E-032  4.66824E-011  6.80593E-023  9.97919E-001  2.19030E-019  2.24924E-013  1.05781E-010  4.60559E-038  3.37575E-037  3.56215E-024  1.14647E-019  1.17338E-013  2.41645E-013  1.81552E-011  8.56545E-015  2.61141E-007  1.72300E-009  9.38058E-009  7.59044E-013  2.12978E-014  8.31377E-020  3.34755E-013  2.92870E-011  3.52927E-011  2.08264E-028  1.53362E-032  4.26785E-034  2.23367E-028  1.12364E-012  4.61198E-023  1.08853E-017  1.26355E-014  2.13325E-021  4.99074E-020  4.18410E-031  2.51554E-032  2.52158E-032  1.31795E-038  2.88279E-027  1.13315E-033  1.56614E-031  1.03802E-020  3.58022E-015  2.58116E-031  7.69225E-031  8.44501E-022  4.32272E-014  1.76232E-015  3.33696E-015  2.04545E-022  1.14625E-010  1.00000E-040  9.34842E-018  1.68123E-036  6.09370E-022  3.67242E-022  1.24371E-014  1.30060E-020  1.14187E-010  5.02168E-020  1.08173E-021  4.72596E-013  4.73841E-014  2.66210E-036  5.16305E-037  5.05951E-020  1.00000E-040  3.73303E-021  3.08402E-011  2.74539E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.44466E-001  1.54214E+019  2.55720E+002  1.00000E+005  3.69953E-004  1.00000E-040  1.00000E-040  8.11926E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.12990E-021  1.00000E-040  1.00000E-040  5.93545E-018  4.97573E-007  1.01260E-003  2.01502E-013  7.82850E-014  2.11803E-004  2.28330E-008  2.82845E-004  2.56135E-019  8.53273E-011  1.00000E-040  5.34580E-040  1.74995E-026  7.98681E-017  7.87143E-007  6.61052E-021  2.04406E-021  6.86591E-033  7.40121E-033  1.00000E-040  2.88638E-014  4.67169E-018  5.38295E-015  1.40982E-011  1.57941E-033  1.27880E-039  2.32626E-010  2.76562E-032  4.64548E-011  1.78253E-022  9.98491E-001  2.83815E-019  1.92574E-013  6.38849E-011  1.22586E-037  4.04791E-037  2.74795E-024  8.19787E-020  2.41404E-013  2.58114E-013  1.81445E-011  7.84469E-015  2.58078E-007  1.55796E-009  1.29192E-008  9.59716E-013  2.76123E-014  6.02278E-020  5.62751E-013  3.26441E-011  2.93178E-011  2.38679E-028  1.85571E-032  1.04294E-033  3.08873E-028  6.47770E-013  4.61450E-023  1.07056E-017  1.24657E-014  2.74737E-021  4.24426E-020  4.19867E-031  7.65700E-033  2.52352E-032  6.81001E-039  3.95620E-027  1.41573E-033  1.30404E-031  9.02473E-021  2.82622E-015  2.92686E-031  1.03177E-030  1.19405E-021  6.95278E-014  2.03627E-015  3.84156E-015  1.30387E-022  1.00120E-010  1.00000E-040  2.02861E-017  1.81333E-036  9.09684E-022  2.51635E-022  1.24443E-014  7.96462E-021  6.72464E-011  4.78555E-020  1.78943E-021  2.64822E-013  4.74297E-014  1.36609E-036  4.78095E-037  4.71800E-020  1.00000E-040  1.95100E-021  3.03814E-011  2.68541E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.77402E-001  1.39037E+019  2.48697E+002  1.00000E+005  2.78040E-004  1.00000E-040  1.00000E-040  3.50355E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07423E-021  1.00000E-040  1.00000E-040  6.75178E-018  4.97793E-007  5.94098E-004  2.39088E-013  1.27125E-013  2.11880E-004  2.10369E-008  2.82967E-004  2.48103E-019  7.01877E-011  1.00000E-040  6.48310E-040  1.88194E-026  7.77786E-017  7.85212E-007  8.24941E-021  1.21468E-021  4.06907E-033  2.25894E-033  1.00000E-040  8.98464E-015  6.08597E-018  6.26634E-015  1.12493E-011  1.54025E-033  8.57116E-040  2.13225E-010  1.60010E-032  4.62532E-011  4.43120E-022  9.98909E-001  3.34892E-019  1.45641E-013  3.61684E-011  6.17934E-037  4.77175E-037  2.13832E-024  5.32514E-020  4.83733E-013  2.31884E-013  1.72107E-011  6.89951E-015  2.54776E-007  1.33229E-009  1.76215E-008  1.21736E-012  3.37929E-014  5.87545E-020  1.02021E-012  3.59048E-011  2.11742E-011  2.93784E-028  2.18276E-032  1.00000E-040  4.11692E-028  3.06433E-013  4.61628E-023  1.03933E-017  1.20170E-014  3.94017E-021  3.43133E-020  4.21691E-031  1.79862E-033  2.52552E-032  3.29359E-039  5.38587E-027  1.60549E-033  9.37758E-032  7.08824E-021  2.04992E-015  2.86148E-031  1.37997E-030  1.64379E-021  1.11437E-013  2.20050E-015  4.39329E-015  7.04634E-023  8.49788E-011  1.00000E-040  4.67686E-017  1.92598E-036  1.36923E-021  1.56137E-022  1.24495E-014  4.27251E-021  3.66945E-011  4.77117E-020  2.90232E-021  1.19714E-013  4.74561E-014  6.11227E-037  4.20988E-037  3.82227E-020  1.00000E-040  9.06755E-022  2.99776E-011  2.61926E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.17074E-001  1.25125E+019  2.41427E+002  1.00000E+005  1.82366E-004  1.00000E-040  1.00000E-040  1.19479E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.78969E-022  1.00000E-040  1.00000E-040  7.17573E-018  4.97953E-007  3.26263E-004  2.72012E-013  1.99939E-013  2.11926E-004  1.93279E-008  2.83047E-004  2.23529E-019  5.51149E-011  1.00000E-040  6.86088E-040  1.80791E-026  7.10417E-017  7.83542E-007  1.02871E-020  6.92849E-022  2.38382E-033  6.35347E-034  1.00000E-040  3.19541E-015  9.30829E-018  7.38944E-015  9.79838E-012  1.37894E-033  6.86673E-040  1.95032E-010  8.31256E-033  4.60774E-011  1.44610E-021  9.99177E-001  3.42416E-019  9.30902E-014  1.91764E-011  1.01141E-035  5.88589E-037  1.78841E-024  3.20363E-020  9.07530E-013  1.67613E-013  1.55173E-011  5.78879E-015  2.51281E-007  1.07462E-009  2.33300E-008  1.54180E-012  3.80827E-014  8.47407E-020  1.79013E-012  3.86217E-011  9.76451E-012  3.97753E-028  2.47426E-032  1.00000E-040  5.15006E-028  1.10923E-013  4.61732E-023  9.99137E-018  1.12977E-014  5.93045E-021  2.67793E-020  4.23982E-031  3.46495E-034  2.52784E-032  1.51736E-039  7.12693E-027  1.69510E-033  5.97132E-032  5.10057E-021  1.40393E-015  2.47639E-031  1.92840E-030  2.21362E-021  1.67776E-013  2.25758E-015  4.92735E-015  3.35774E-023  7.12027E-011  1.00000E-040  1.10776E-016  2.13695E-036  2.01824E-021  8.97023E-023  1.24529E-014  2.06302E-021  1.93824E-011  5.00500E-020  4.54504E-021  4.08206E-014  4.74708E-014  2.48063E-037  3.53612E-037  2.73068E-020  1.00000E-040  3.89352E-022  2.96280E-011  2.55722E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.62903E-001  1.12332E+019  2.33993E+002  1.00000E+005  1.08484E-004  1.00000E-040  1.00000E-040  1.45680E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.69714E-022  1.00000E-040  1.00000E-040  7.19397E-018  4.98065E-007  1.69004E-004  2.98791E-013  3.03293E-013  2.11948E-004  1.77837E-008  2.83094E-004  1.90399E-019  4.17573E-011  1.00000E-040  7.02796E-040  1.57654E-026  6.14111E-017  7.82088E-007  1.28941E-020  3.98277E-022  1.43829E-033  1.81269E-034  1.00000E-040  1.60487E-015  1.40321E-017  8.98660E-015  9.18253E-012  1.17056E-033  5.68218E-040  1.78423E-010  3.90915E-033  4.59255E-011  4.11656E-020  9.99334E-001  2.97891E-019  4.93761E-014  9.58442E-012  2.13667E-034  7.88226E-037  1.66890E-024  1.85998E-020  1.59668E-012  9.66724E-014  1.32909E-011  4.65316E-015  2.47662E-007  8.18079E-010  2.97913E-008  1.93297E-012  3.93477E-014  1.56533E-019  2.95994E-012  4.04251E-011  4.50453E-012  5.70668E-028  2.71222E-032  1.15468E-032  6.03185E-028  2.98235E-014  4.61782E-023  9.56490E-018  1.04223E-014  8.25960E-021  2.05585E-020  4.26860E-031  6.02640E-035  2.53094E-032  6.70485E-040  9.10658E-027  1.69639E-033  3.53541E-032  3.44120E-021  9.28904E-016  1.92792E-031  2.89913E-030  2.98695E-021  2.30384E-013  2.22769E-015  5.39530E-015  2.06941E-023  5.99019E-011  1.00000E-040  2.71229E-016  2.58860E-036  2.63133E-021  4.84588E-023  1.24549E-014  9.44065E-022  1.00996E-011  5.48044E-020  6.84558E-021  1.02041E-014  4.74788E-014  6.22934E-038  2.86190E-037  1.74592E-020  1.00000E-040  1.57738E-022  2.93279E-011  2.50823E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.14398E-001  1.00462E+019  2.26671E+002  9.61769E+004  5.70610E-005  1.00000E-040  1.00000E-040  8.60322E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.78366E-020  1.00000E-040  1.00000E-040  7.10792E-018  4.98143E-007  8.50763E-005  3.24626E-013  4.47520E-013  2.11953E-004  1.64345E-008  2.83121E-004  1.59171E-019  3.11932E-011  1.00000E-040  8.53296E-040  1.32978E-026  5.21323E-017  7.80765E-007  1.62527E-020  2.36869E-022  9.06527E-034  5.50168E-035  1.00000E-040  1.13680E-015  1.94532E-017  1.12484E-014  8.99720E-012  9.94412E-034  4.63894E-040  1.63495E-010  1.75001E-033  4.57911E-011  6.74143E-019  9.99418E-001  2.32529E-019  2.29092E-014  4.58935E-012  4.82705E-033  1.12502E-036  1.69881E-024  1.09662E-020  2.63069E-012  4.75586E-014  1.09881E-011  3.66390E-015  2.43930E-007  5.97173E-010  3.67946E-008  2.36018E-012  3.83686E-014  3.12493E-019  4.55202E-012  4.13776E-011  2.92117E-012  7.96107E-028  2.93306E-032  9.13877E-033  6.74950E-028  6.32038E-015  4.61796E-023  9.16572E-018  9.56119E-015  9.02637E-021  1.58785E-020  4.30507E-031  1.10339E-035  2.53543E-032  2.89140E-040  1.12676E-026  1.66850E-033  2.10391E-032  2.26515E-021  6.18030E-016  1.44378E-031  4.57710E-030  4.13146E-021  2.81510E-013  2.17252E-015  5.74419E-015  5.98718E-023  5.11016E-011  1.00000E-040  6.82085E-016  3.41096E-036  2.46837E-021  2.57299E-023  1.24560E-014  4.38068E-022  5.35922E-012  6.21919E-020  9.97576E-021  1.97529E-015  4.74830E-014  1.00000E-040  2.27465E-037  1.06033E-020  1.00000E-040  6.32880E-023  2.90641E-011  2.47489E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
