alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00856E+000  2.56764E+019  2.84501E+002  1.00000E+005  5.71231E-004  1.00000E-040  1.00000E-040  6.32977E-031  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08640E-023  1.00000E-040  1.00000E-040  9.44896E-022  4.95756E-007  5.35833E-003  3.73089E-014  8.51677E-017  2.10925E-001  3.77068E-008  2.81590E-004  1.05358E-022  1.78262E-010  1.00000E-040  1.00000E-040  1.44008E-033  2.73965E-020  8.01142E-007  5.01809E-029  6.66378E-027  6.02883E-037  5.46091E-036  1.00000E-040  9.01330E-012  9.06379E-018  8.97991E-019  3.63575E-011  1.00000E-040  1.00000E-040  3.34140E-010  7.21209E-035  4.98151E-011  9.87614E-032  7.83434E-001  7.83579E-024  2.76167E-014  5.55390E-010  1.00000E-040  1.00000E-040  3.91367E-027  1.14543E-022  1.41873E-012  5.57489E-016  1.17309E-011  9.62044E-015  2.70683E-007  1.46149E-009  4.83661E-008  1.49585E-011  2.83885E-013  2.79075E-019  1.79254E-012  1.79634E-011  2.58393E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.45554E-013  1.00000E-040  4.73088E-021  1.29064E-017  1.86963E-025  2.78532E-023  1.17346E-036  4.01099E-036  3.10564E-027  2.62342E-035  1.00000E-040  1.00000E-040  4.46313E-038  1.34339E-023  9.06875E-017  4.29097E-035  1.29173E-036  4.79244E-023  1.84017E-017  7.51796E-019  4.08125E-015  4.72439E-025  6.50717E-011  1.00000E-040  4.02720E-019  2.89749E-040  1.01263E-025  1.93114E-028  1.16287E-022  2.26771E-023  2.36922E-011  1.91746E-023  1.78164E-022  1.45024E-013  2.07671E-014  1.00000E-040  7.23775E-035  1.48788E-023  1.00000E-040  4.61888E-022  3.67010E-011  4.02757E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.92421E-001  2.32436E+019  2.78088E+002  1.00000E+005  7.48689E-004  1.00000E-040  1.00000E-040  7.37463E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.40216E-024  1.00000E-040  1.00000E-040  8.92076E-022  4.96486E-007  4.04484E-003  3.61049E-014  1.00141E-016  2.11203E-001  3.67292E-008  2.81963E-004  7.51379E-023  1.17415E-010  1.00000E-040  1.00000E-040  1.12543E-033  2.32308E-020  8.00931E-007  3.69423E-029  6.59498E-027  1.00000E-040  1.00000E-040  1.00000E-040  5.14408E-012  5.16228E-018  6.69891E-019  7.49141E-011  1.00000E-040  1.00000E-040  3.34345E-010  4.11972E-035  4.97725E-011  1.60792E-031  7.84468E-001  1.03984E-023  7.91614E-014  5.33488E-010  1.00000E-040  1.00000E-040  3.79586E-027  1.14953E-022  9.76899E-014  1.02195E-015  1.13655E-011  7.86847E-015  2.71017E-007  1.42668E-009  4.82842E-008  2.34613E-012  9.58162E-014  1.74652E-019  9.99784E-013  2.35943E-011  2.69536E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.25470E-013  1.00000E-040  4.83931E-021  1.20857E-017  2.11438E-025  2.74261E-023  1.17502E-036  3.88653E-036  3.10974E-027  2.12600E-035  1.00000E-040  1.00000E-040  4.07504E-038  7.71880E-024  5.28029E-016  3.12760E-035  1.53200E-036  5.87067E-023  1.48823E-017  5.88380E-019  4.92531E-015  3.16063E-025  6.59738E-011  1.00000E-040  6.29998E-019  3.01376E-040  1.15231E-025  1.85546E-028  1.16441E-022  2.49770E-023  2.39623E-010  3.96877E-023  2.28441E-022  2.93564E-013  2.09030E-014  1.00000E-040  7.49279E-035  9.53140E-024  1.00000E-040  4.45849E-022  3.65301E-011  4.03289E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.87931E-001  2.09153E+019  2.72860E+002  1.00000E+005  5.36099E-004  1.00000E-040  1.00000E-040  7.67078E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.62291E-024  1.00000E-040  1.00000E-040  9.55586E-022  4.96942E-007  3.12558E-003  4.16977E-014  1.20981E-016  2.11398E-001  3.55814E-008  2.82225E-004  3.58851E-023  4.71891E-011  1.00000E-040  1.00000E-040  1.30780E-033  2.45369E-020  8.00623E-007  3.13301E-029  6.47884E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.93103E-012  3.48048E-018  5.72691E-019  5.87140E-011  1.00000E-040  1.00000E-040  3.34436E-010  3.03176E-035  4.97291E-011  2.91640E-031  7.85193E-001  1.32356E-023  1.02641E-013  5.14719E-010  1.00000E-040  1.00000E-040  3.60727E-027  1.11586E-022  1.28844E-014  1.42567E-015  9.82159E-012  7.00063E-015  2.71240E-007  1.30824E-009  4.84349E-008  5.24303E-013  2.95100E-014  1.18202E-019  5.40559E-013  2.25008E-011  2.70381E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.76387E-013  1.00000E-040  5.04174E-021  1.09108E-017  2.61662E-025  2.73067E-023  1.17611E-036  3.70302E-036  3.11261E-027  1.52009E-035  1.00000E-040  1.00000E-040  4.34292E-038  6.62301E-024  2.37211E-015  3.42531E-035  1.78684E-036  8.32171E-023  1.36277E-017  2.15944E-019  5.56510E-015  2.34969E-025  6.69668E-011  1.00000E-040  1.07149E-018  3.60888E-040  1.51765E-025  1.74378E-028  1.16548E-022  2.62884E-023  5.71804E-010  3.69868E-023  2.88560E-022  4.13715E-013  2.10110E-014  1.00000E-040  7.72684E-035  8.18163E-024  1.00000E-040  4.20552E-022  3.63804E-011  4.03661E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.94144E-001  1.87654E+019  2.67922E+002  1.00000E+005  4.82987E-004  1.00000E-040  1.00000E-040  5.29862E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.99804E-024  1.00000E-040  1.00000E-040  1.03396E-021  4.97372E-007  2.33123E-003  4.55224E-014  1.48740E-016  2.11566E-001  3.45086E-008  2.82452E-004  2.19975E-023  2.51187E-011  1.00000E-040  1.00000E-040  1.37517E-033  2.47142E-020  8.00423E-007  2.48047E-029  6.33073E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.69324E-012  2.23733E-018  4.70250E-019  4.60933E-011  1.00000E-040  1.00000E-040  3.34503E-010  2.12824E-035  4.96952E-011  4.33820E-031  7.85818E-001  1.45609E-023  1.06210E-013  4.99039E-010  1.00000E-040  1.00000E-040  3.37927E-027  1.08596E-022  6.22403E-015  1.79781E-015  9.27047E-012  5.76913E-015  2.71424E-007  1.17297E-009  4.91369E-008  2.76957E-013  1.81410E-014  8.11822E-020  3.13344E-013  2.11776E-011  2.54662E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.94019E-013  1.00000E-040  5.35192E-021  9.78674E-018  3.30782E-025  2.62940E-023  1.17705E-036  3.48600E-036  3.11509E-027  1.08643E-035  1.00000E-040  1.00000E-040  4.39754E-038  6.73901E-024  4.35452E-015  3.39851E-035  2.13606E-036  1.10466E-022  1.19695E-017  1.65367E-019  6.44825E-015  1.85543E-025  6.75179E-011  1.00000E-040  1.69900E-018  4.01986E-040  1.89117E-025  1.61129E-028  1.16641E-022  2.67912E-023  7.52779E-010  3.25833E-023  3.62717E-022  4.43575E-013  2.10824E-014  1.00000E-040  7.80732E-035  6.56073E-024  1.00000E-040  3.89253E-022  3.62562E-011  4.03982E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.10003E-001  1.68579E+019  2.62087E+002  1.00000E+005  4.53971E-004  1.00000E-040  1.00000E-040  2.52059E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.69439E-024  1.00000E-040  1.00000E-040  1.08427E-021  4.97831E-007  1.60591E-003  4.70789E-014  1.82668E-016  2.11720E-001  3.35878E-008  2.82659E-004  2.11214E-023  2.15363E-011  1.00000E-040  1.00000E-040  1.23282E-033  2.26120E-020  8.00354E-007  1.87943E-029  6.16251E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00409E-012  1.39733E-018  4.00303E-019  3.64758E-011  1.00000E-040  1.00000E-040  3.34562E-010  1.28099E-035  4.96721E-011  5.85238E-031  7.86390E-001  1.45420E-023  1.03118E-013  4.86243E-010  1.00000E-040  1.00000E-040  3.13373E-027  1.06281E-022  6.82728E-015  2.19055E-015  8.89404E-012  4.32382E-015  2.71586E-007  1.04449E-009  5.04307E-008  2.66208E-013  1.65047E-014  5.02576E-020  2.23088E-013  2.04568E-011  2.20828E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.12775E-013  1.00000E-040  5.78035E-021  8.77936E-018  4.29195E-025  2.45214E-023  1.17792E-036  3.25345E-036  3.11735E-027  7.69109E-036  1.00000E-040  1.00000E-040  4.20415E-038  7.00259E-024  4.51815E-015  2.83658E-035  2.60756E-036  1.43903E-022  1.10700E-017  2.08062E-019  7.75550E-015  1.42195E-025  6.74476E-011  1.00000E-040  2.84240E-018  4.28292E-040  2.33798E-025  1.46817E-028  1.16726E-022  2.69937E-023  7.60754E-010  2.76513E-023  4.53295E-022  4.21763E-013  2.11269E-014  1.00000E-040  7.83104E-035  4.51755E-024  1.00000E-040  3.54374E-022  3.61574E-011  4.04275E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.34525E-001  1.51398E+019  2.55720E+002  1.00000E+005  3.73631E-004  1.00000E-040  1.00000E-040  1.29860E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.82509E-024  1.00000E-040  1.00000E-040  1.12603E-021  4.98267E-007  1.02885E-003  4.74586E-014  2.25055E-016  2.11843E-001  3.28115E-008  2.82824E-004  2.57981E-023  2.37169E-011  1.00000E-040  1.00000E-040  1.01179E-033  1.95845E-020  8.00316E-007  1.41966E-029  5.98255E-027  1.00000E-040  1.00000E-040  1.00000E-040  6.14314E-013  8.78393E-019  3.60746E-019  2.91930E-011  1.00000E-040  1.00000E-040  3.34583E-010  6.96978E-036  4.96546E-011  7.78313E-031  7.86844E-001  1.41018E-023  9.74619E-014  4.75891E-010  1.00000E-040  1.00000E-040  2.88873E-027  1.04357E-022  1.09513E-014  2.63000E-015  8.59944E-012  3.16221E-015  2.71703E-007  9.42769E-010  5.22711E-008  3.17805E-013  1.68949E-014  3.29925E-020  2.28187E-013  2.08251E-011  1.81159E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.00604E-013  1.00000E-040  6.33366E-021  7.89817E-018  5.83974E-025  2.24180E-023  1.17862E-036  3.01962E-036  3.11915E-027  5.33534E-036  1.00000E-040  1.00000E-040  3.90902E-038  7.31382E-024  3.59006E-015  2.14537E-035  2.82276E-036  1.87613E-022  1.09698E-017  3.04869E-019  9.51049E-015  1.05719E-025  6.67969E-011  1.00000E-040  5.02031E-018  4.48898E-040  2.93701E-025  1.32460E-028  1.16793E-022  2.70406E-023  6.36819E-010  2.32818E-023  5.64733E-022  3.77994E-013  2.11532E-014  1.00000E-040  7.83736E-035  2.81579E-024  1.00000E-040  3.18312E-022  3.60782E-011  4.04510E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.66833E-001  1.35959E+019  2.48697E+002  1.00000E+005  2.81997E-004  1.00000E-040  1.00000E-040  5.50338E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.23173E-024  1.00000E-040  1.00000E-040  1.17367E-021  4.98649E-007  6.05413E-004  4.73928E-014  2.77027E-016  2.11932E-001  3.21453E-008  2.82945E-004  3.42011E-023  2.83877E-011  1.00000E-040  1.00000E-040  7.76816E-034  1.61781E-020  8.00269E-007  1.09090E-029  5.79689E-027  1.00000E-040  1.00000E-040  1.00000E-040  3.87896E-013  5.66041E-019  3.53864E-019  2.36624E-011  1.00000E-040  1.00000E-040  3.34558E-010  3.40692E-036  4.96399E-011  1.07583E-030  7.87178E-001  1.36214E-023  9.00797E-014  4.67524E-010  1.00000E-040  1.00000E-040  2.65668E-027  1.02556E-022  2.28470E-014  3.11674E-015  8.39673E-012  2.31428E-015  2.71774E-007  8.62752E-010  5.45931E-008  4.16988E-013  1.78650E-014  2.66529E-020  3.28501E-013  2.23046E-011  1.35835E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.77306E-013  1.00000E-040  7.01883E-021  7.13622E-018  8.48977E-025  2.03183E-023  1.17915E-036  2.79371E-036  3.12048E-027  3.55414E-036  1.00000E-040  1.00000E-040  3.57908E-038  7.69196E-024  2.45281E-015  1.49790E-035  3.72102E-036  2.51863E-022  1.20218E-017  4.80398E-019  1.16737E-014  7.65304E-026  6.56901E-011  1.00000E-040  9.74233E-018  4.74236E-040  3.87735E-025  1.18759E-028  1.16842E-022  2.70152E-023  4.37522E-010  1.98325E-023  7.00845E-022  3.23725E-013  2.11682E-014  1.00000E-040  7.83979E-035  1.62322E-024  1.00000E-040  2.83042E-022  3.60139E-011  4.04693E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.06183E-001  1.21857E+019  2.41427E+002  1.00000E+005  1.85519E-004  1.00000E-040  1.00000E-040  1.84207E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.98499E-025  1.00000E-040  1.00000E-040  1.25875E-021  4.98943E-007  3.33526E-004  4.80120E-014  3.42363E-016  2.11990E-001  3.15411E-008  2.83023E-004  4.50438E-023  3.34833E-011  1.00000E-040  1.00000E-040  5.96162E-034  1.32624E-020  8.00180E-007  8.74127E-030  5.60990E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.52215E-013  3.82202E-019  3.78874E-019  1.94385E-011  1.00000E-040  1.00000E-040  3.34484E-010  1.58105E-036  4.96262E-011  1.58293E-030  7.87392E-001  1.33122E-023  8.15433E-014  4.60715E-010  1.00000E-040  1.00000E-040  2.44620E-027  1.00884E-022  6.20529E-014  3.63754E-015  8.31040E-012  1.71756E-015  2.71798E-007  7.92550E-010  5.73233E-008  5.70714E-013  1.85317E-014  3.02679E-020  5.57672E-013  2.49080E-011  8.21792E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.48172E-013  1.00000E-040  7.84434E-021  6.48269E-018  1.31857E-024  1.85218E-023  1.17949E-036  2.58124E-036  3.12132E-027  2.25306E-036  1.00000E-040  1.00000E-040  3.31803E-038  8.27383E-024  1.54977E-015  1.03587E-035  4.47589E-036  3.52636E-022  1.45477E-017  7.67318E-019  1.40800E-014  5.50295E-026  6.42660E-011  1.00000E-040  2.05362E-017  5.15806E-040  5.53187E-025  1.06244E-028  1.16874E-022  2.69845E-023  2.27909E-010  1.74601E-023  8.67733E-022  2.61915E-013  2.11763E-014  1.00000E-040  7.83135E-035  9.16876E-025  1.00000E-040  2.50041E-022  3.59604E-011  4.04791E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.51945E-001  1.08940E+019  2.33993E+002  1.00000E+005  1.10722E-004  1.00000E-040  1.00000E-040  8.50502E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.04430E-025  1.00000E-040  1.00000E-040  1.37047E-021  4.99133E-007  1.73311E-004  5.01315E-014  4.24730E-016  2.12024E-001  3.09505E-008  2.83069E-004  4.99308E-023  3.28640E-011  1.00000E-040  1.00000E-040  4.73094E-034  1.09826E-020  8.00056E-007  7.42763E-030  5.42514E-027  2.21370E-038  3.60875E-037  1.00000E-040  1.69008E-013  2.74687E-019  4.48277E-019  1.62146E-011  1.00000E-040  1.00000E-040  3.34369E-010  7.08648E-037  4.96133E-011  2.50915E-030  7.87518E-001  1.31279E-023  7.00325E-014  4.55143E-010  1.00000E-040  1.00000E-040  2.26273E-027  9.94294E-023  2.13409E-013  4.14941E-015  7.96637E-012  1.30425E-015  2.71785E-007  7.08256E-010  6.03972E-008  7.56585E-013  1.70368E-014  4.53104E-020  9.80047E-013  2.85310E-011  3.09473E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.13863E-013  1.00000E-040  8.82283E-021  5.92527E-018  2.14955E-024  1.72168E-023  1.17972E-036  2.38577E-036  3.12182E-027  1.34742E-036  1.00000E-040  1.00000E-040  3.16981E-038  9.30682E-024  9.53889E-016  7.34068E-036  4.34634E-036  5.24248E-022  1.96951E-017  1.02401E-018  1.64925E-014  3.93498E-026  6.26654E-011  1.00000E-040  4.77503E-017  5.88706E-040  8.98226E-025  9.52556E-029  1.16893E-022  2.70343E-023  7.56392E-011  1.61647E-023  1.07185E-021  1.94468E-013  2.11806E-014  1.00000E-040  7.80098E-035  5.25294E-025  1.00000E-040  2.20330E-022  3.59154E-011  4.04841E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.03586E-001  9.70070E+018  2.26671E+002  9.61769E+004  5.84359E-005  1.00000E-040  1.00000E-040  2.35666E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.44042E-024  1.00000E-040  1.00000E-040  1.47855E-021  4.99223E-007  8.74859E-005  5.46627E-014  5.31789E-016  2.12042E-001  3.03443E-008  2.83094E-004  3.64956E-023  2.09789E-011  1.00000E-040  1.00000E-040  4.04659E-034  9.42703E-021  7.99904E-007  6.79372E-030  5.24128E-027  1.00000E-040  3.04346E-040  1.00000E-040  1.17180E-013  2.12832E-019  5.84683E-019  1.37537E-011  1.00000E-040  1.00000E-040  3.34218E-010  3.19135E-037  4.96015E-011  4.21266E-030  7.87586E-001  1.28533E-023  5.40513E-014  4.50493E-010  1.00000E-040  1.00000E-040  2.10761E-027  9.85753E-023  6.42328E-013  4.58619E-015  6.83358E-012  1.02116E-015  2.71744E-007  5.97741E-010  6.38560E-008  9.12178E-013  1.29738E-014  7.80521E-020  1.67870E-012  3.32758E-011  1.27540E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.88842E-013  1.00000E-040  9.99487E-021  5.45334E-018  3.57864E-024  1.65032E-023  1.17986E-036  2.20669E-036  3.12209E-027  7.66908E-037  1.00000E-040  1.00000E-040  3.18319E-038  1.11214E-023  5.99307E-016  5.57592E-036  8.12922E-036  8.30412E-022  2.96693E-017  7.88649E-019  1.87388E-014  2.81555E-026  6.10008E-011  1.04843E-036  1.20217E-016  7.12363E-040  1.74271E-024  8.59262E-029  1.16903E-022  2.72926E-023  1.61525E-011  1.59253E-023  1.32460E-021  1.28963E-013  2.11826E-014  1.00000E-040  7.74477E-035  3.17579E-025  1.00000E-040  1.94161E-022  3.58770E-011  4.04860E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
