alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.08429E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.13833E-023  1.00000E-040  1.00000E-040  1.06252E-021  4.95285E-007  6.30457E-003  7.17668E-014  3.99712E-017  2.10724E-001  1.81533E-008  2.81322E-004  2.16024E-023  2.18263E-011  1.00000E-040  1.00000E-040  5.98939E-034  5.80256E-021  8.00381E-008  2.56025E-028  4.15038E-026  2.70930E-037  2.49521E-036  1.00000E-040  5.82684E-012  2.99288E-017  1.00755E-018  3.06107E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.68851E-034  4.94908E-011  3.50745E-031  7.82689E-001  1.66212E-023  5.02941E-014  5.42848E-010  1.00000E-040  1.00000E-040  1.14881E-031  3.07832E-027  3.21366E-012  3.48188E-016  7.36274E-012  1.47313E-014  2.70426E-007  4.77729E-010  1.81567E-008  9.74025E-012  4.69158E-014  3.91631E-019  4.89839E-012  1.66880E-011  2.97097E-011  3.43135E-028  2.04690E-032  1.48878E-032  1.38642E-027  2.40729E-013  1.64113E-019  1.20838E-025  7.93960E-019  1.42942E-026  2.15918E-027  1.00000E-040  1.00000E-040  1.35939E-027  4.31750E-036  1.68369E-026  1.00000E-040  1.00000E-040  3.75172E-028  2.26794E-016  1.83274E-035  1.00000E-040  7.59423E-023  1.99946E-017  1.07493E-019  1.34868E-016  4.90305E-025  5.83169E-011  1.00000E-040  6.14231E-019  1.00000E-040  8.69196E-027  5.80238E-033  2.77815E-025  1.63092E-027  1.55907E-012  3.04833E-023  1.12934E-022  1.30063E-013  9.85118E-015  1.00000E-040  1.98743E-035  5.09347E-024  1.00000E-040  8.03188E-022  3.55649E-011  4.09981E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94103E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.44367E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.95811E-024  1.00000E-040  1.00000E-040  8.39288E-022  4.95173E-007  4.80718E-003  5.99331E-014  4.70893E-017  2.11042E-001  1.70131E-008  2.81747E-004  1.35742E-023  1.41561E-011  1.00000E-040  1.00000E-040  3.50044E-034  4.25193E-021  7.99356E-008  1.36659E-028  4.11087E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.82673E-012  1.26122E-017  5.53941E-019  6.47024E-011  1.00000E-040  1.00000E-040  3.33948E-010  8.38339E-035  4.93905E-011  4.32593E-031  7.83869E-001  1.91420E-023  1.02522E-013  5.09671E-010  1.00000E-040  1.00000E-040  1.09259E-031  2.98310E-027  5.60013E-013  5.32827E-016  7.91466E-012  1.09386E-014  2.70799E-007  5.21201E-010  1.82115E-008  1.54871E-012  2.49511E-014  2.61554E-019  2.60030E-012  1.96479E-011  3.31290E-011  1.87087E-028  1.76980E-032  1.74300E-034  9.44068E-028  6.50231E-013  1.64360E-019  1.20747E-025  7.58047E-019  1.43853E-026  1.51886E-027  1.00000E-040  1.00000E-040  1.36144E-027  3.76287E-036  1.60829E-026  1.00000E-040  1.00000E-040  2.29746E-028  1.03467E-015  1.00032E-035  1.00000E-040  8.08307E-023  1.18969E-017  8.79567E-020  1.87475E-016  2.91753E-025  5.98208E-011  1.00000E-040  8.20488E-019  1.00000E-040  8.14100E-027  5.45202E-033  2.78233E-025  1.19664E-027  6.57399E-012  5.58011E-023  1.44373E-022  3.01541E-013  9.93185E-015  1.00000E-040  1.96302E-035  2.51226E-024  1.00000E-040  7.80893E-022  3.52670E-011  4.10599E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90345E-001  2.07592E+019  2.75754E+002  1.00000E+005  5.87895E-004  1.00000E-040  1.00000E-040  2.56887E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.07226E-024  1.00000E-040  1.00000E-040  8.89417E-022  4.94955E-007  3.82590E-003  6.51996E-014  5.82118E-017  2.11250E-001  1.59716E-008  2.82026E-004  1.02292E-023  9.31673E-012  1.00000E-040  1.00000E-040  3.67554E-034  4.29546E-021  7.98302E-008  9.31688E-029  4.04831E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.38652E-012  6.90551E-018  3.83719E-019  4.65727E-011  1.00000E-040  1.00000E-040  3.33934E-010  6.03446E-035  4.92946E-011  6.82878E-031  7.84642E-001  2.27734E-023  1.24672E-013  4.81849E-010  1.00000E-040  1.00000E-040  1.00561E-031  2.79984E-027  1.48461E-013  7.12149E-016  7.96862E-012  9.32758E-015  2.71027E-007  5.45191E-010  1.86105E-008  4.25802E-013  1.63104E-014  1.85323E-019  1.30185E-012  1.90781E-011  3.40803E-011  1.19006E-028  1.73595E-032  1.90247E-036  7.75430E-028  8.69225E-013  1.64522E-019  1.21523E-025  7.14562E-019  1.63029E-026  1.11903E-027  1.00000E-040  1.00000E-040  1.36278E-027  2.77548E-036  1.58684E-026  1.00000E-040  1.00000E-040  1.97000E-028  3.53358E-015  9.95048E-036  7.09094E-038  1.07021E-022  8.77224E-018  7.23836E-020  2.24873E-016  2.14925E-025  6.12494E-011  1.00000E-040  1.25954E-018  1.00000E-040  9.59517E-027  4.98016E-033  2.78507E-025  9.42506E-028  1.87033E-011  4.48215E-023  1.84446E-022  4.11971E-013  9.99481E-015  1.00000E-040  1.95314E-035  1.93425E-024  1.00000E-040  7.46548E-022  3.50072E-011  4.11004E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97162E-001  1.86468E+019  2.70798E+002  1.00000E+005  5.44512E-004  1.00000E-040  1.00000E-040  1.53764E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.41169E-024  1.00000E-040  1.00000E-040  9.65063E-022  4.94819E-007  2.94983E-003  7.23983E-014  7.36550E-017  2.11435E-001  1.50414E-008  2.82275E-004  8.55421E-024  6.75363E-012  1.00000E-040  1.00000E-040  3.99923E-034  4.40174E-021  7.97498E-008  6.43797E-029  3.97195E-026  1.00000E-040  1.00000E-040  1.00000E-040  6.85821E-013  3.90153E-018  2.84327E-019  3.35656E-011  1.00000E-040  1.00000E-040  3.33914E-010  4.33607E-035  4.92169E-011  1.03628E-030  7.85332E-001  2.51928E-023  1.29181E-013  4.58764E-010  1.00000E-040  1.00000E-040  9.11858E-032  2.61895E-027  9.06880E-014  9.08285E-016  7.81767E-012  7.67383E-015  2.71220E-007  5.23981E-010  1.94597E-008  2.45594E-013  1.46625E-014  1.22578E-019  7.16851E-013  1.85019E-011  3.24607E-011  9.19054E-029  1.77836E-032  1.95104E-038  6.86353E-028  8.55705E-013  1.64666E-019  1.23268E-025  6.68220E-019  1.94066E-026  8.85365E-028  1.00000E-040  1.00000E-040  1.36398E-027  1.92810E-036  1.61346E-026  1.00000E-040  1.00000E-040  1.94066E-028  6.09700E-015  1.02261E-035  1.00000E-040  1.44149E-022  6.94246E-018  6.68575E-020  2.64278E-016  1.68881E-025  6.18440E-011  1.00000E-040  2.01682E-018  1.00000E-040  1.16934E-026  4.45623E-033  2.78752E-025  7.98108E-028  2.57746E-011  3.68449E-023  2.36829E-022  4.24092E-013  1.00364E-014  1.00000E-040  1.92003E-035  1.59528E-024  1.00000E-040  7.03500E-022  3.47882E-011  4.11366E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48661E-004  1.00000E-040  1.00000E-040  4.60773E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.52211E-024  1.00000E-040  1.00000E-040  9.82962E-022  4.94803E-007  2.07914E-003  7.60691E-014  9.42382E-017  2.11620E-001  1.42327E-008  2.82522E-004  8.13719E-024  5.74615E-012  1.00000E-040  1.00000E-040  3.73197E-034  4.11882E-021  7.96998E-008  4.32878E-029  3.88652E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.48467E-013  2.17634E-018  2.22595E-019  2.44681E-011  1.00000E-040  1.00000E-040  3.33919E-010  2.70638E-035  4.91611E-011  1.40848E-030  7.86017E-001  2.52369E-023  1.25297E-013  4.40134E-010  1.00000E-040  1.00000E-040  8.13945E-032  2.45014E-027  1.01386E-013  1.14644E-015  7.41117E-012  5.73995E-015  2.71407E-007  4.67298E-010  2.07938E-008  2.21304E-013  1.44866E-014  7.08607E-020  5.28665E-013  1.82275E-011  2.75899E-011  7.56286E-029  1.77341E-032  1.89371E-040  6.06647E-028  7.53777E-013  1.64810E-019  1.26070E-025  6.19137E-019  2.32390E-026  7.26342E-028  1.00000E-040  1.00000E-040  1.36517E-027  1.31872E-036  1.68475E-026  1.00000E-040  1.00000E-040  1.93142E-028  6.55241E-015  8.91008E-036  1.00000E-040  1.87774E-022  5.88221E-018  7.40982E-020  3.25313E-016  1.26264E-025  6.14215E-011  1.00000E-040  3.35208E-018  1.00000E-040  1.40070E-026  3.92321E-033  2.78996E-025  7.09639E-028  2.29197E-011  2.92040E-023  3.05816E-022  3.88148E-013  1.00626E-014  1.00000E-040  1.86449E-035  1.14467E-024  1.00000E-040  6.54292E-022  3.46112E-011  4.11727E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38324E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58185E-004  1.00000E-040  1.00000E-040  2.31788E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.67282E-024  1.00000E-040  1.00000E-040  9.65866E-022  4.94802E-007  1.37615E-003  7.71552E-014  1.22118E-016  2.11769E-001  1.35346E-008  2.82722E-004  7.90141E-024  5.06918E-012  1.00000E-040  1.00000E-040  3.15545E-034  3.63947E-021  7.96615E-008  2.96775E-029  3.79419E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.84072E-013  1.24943E-018  1.88420E-019  1.81630E-011  1.00000E-040  1.00000E-040  3.33889E-010  1.53776E-035  4.91173E-011  1.82541E-030  7.86571E-001  2.42040E-023  1.16737E-013  4.25311E-010  1.00000E-040  1.00000E-040  7.22340E-032  2.29343E-027  1.57031E-013  1.44093E-015  6.86391E-012  4.17605E-015  2.71542E-007  4.01029E-010  2.26043E-008  2.48763E-013  1.46561E-014  4.11805E-020  5.93281E-013  1.90711E-011  2.24927E-011  6.32268E-029  1.72449E-032  1.00000E-040  5.33987E-028  6.23248E-013  1.64926E-019  1.30181E-025  5.68790E-019  2.79094E-026  6.02883E-028  1.00000E-040  1.00000E-040  1.36613E-027  8.94282E-037  1.79631E-026  1.00000E-040  1.00000E-040  1.92974E-028  5.18469E-015  6.97809E-036  1.00000E-040  2.39197E-022  5.43817E-018  8.37439E-020  4.16760E-016  9.02612E-026  6.01157E-011  1.00000E-040  5.72076E-018  1.00000E-040  1.66765E-026  3.43167E-033  2.79192E-025  6.45394E-028  1.48386E-011  2.28662E-023  3.96905E-022  3.31946E-013  1.00777E-014  1.00000E-040  1.79890E-035  7.37677E-025  1.00000E-040  6.01655E-022  3.44666E-011  4.12018E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70945E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57570E-004  1.00000E-040  1.00000E-040  9.47668E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.04538E-024  1.00000E-040  1.00000E-040  9.11874E-022  4.94786E-007  8.42269E-004  7.56730E-014  1.58874E-016  2.11882E-001  1.29328E-008  2.82874E-004  6.98106E-024  4.11509E-012  1.00000E-040  1.00000E-040  2.38632E-034  3.00144E-021  7.96290E-008  2.09807E-029  3.69679E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.01948E-013  7.45477E-019  1.76244E-019  1.37910E-011  1.00000E-040  1.00000E-040  3.33816E-010  7.71732E-036  4.90821E-011  2.30580E-030  7.86992E-001  2.23128E-023  1.02722E-013  4.13606E-010  1.00000E-040  1.00000E-040  6.39878E-032  2.14691E-027  2.87616E-013  1.78726E-015  6.14166E-012  3.00492E-015  2.71625E-007  3.31011E-010  2.48755E-008  3.19041E-013  1.42405E-014  2.58639E-020  8.92834E-013  2.11837E-011  1.72342E-011  5.38544E-029  1.64301E-032  1.00000E-040  4.67426E-028  4.75341E-013  1.65014E-019  1.35906E-025  5.19370E-019  3.38962E-026  4.99775E-028  1.00000E-040  1.00000E-040  1.36686E-027  5.94910E-037  1.94399E-026  1.00000E-040  1.00000E-040  1.95134E-028  3.24963E-015  4.82828E-036  1.00000E-040  3.03912E-022  5.63509E-018  8.59207E-020  5.49783E-016  6.15103E-026  5.81845E-011  1.00000E-040  1.03936E-017  1.00000E-040  2.00082E-026  3.03500E-033  2.79341E-025  5.94307E-028  7.23450E-012  1.78484E-023  5.15673E-022  2.62982E-013  1.00861E-014  1.00000E-040  1.73248E-035  4.22348E-025  1.00000E-040  5.48146E-022  3.43479E-011  4.12240E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46530E-004  1.00000E-040  1.00000E-040  3.13352E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.52444E-025  1.00000E-040  1.00000E-040  8.50499E-022  4.94727E-007  4.82799E-004  7.32526E-014  2.07752E-016  2.11958E-001  1.24123E-008  2.82976E-004  5.43147E-024  2.93884E-012  1.00000E-040  1.00000E-040  1.70461E-034  2.38582E-021  7.95957E-008  1.55565E-029  3.59569E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.93366E-014  4.68860E-019  1.81769E-019  1.07316E-011  1.00000E-040  1.00000E-040  3.33691E-010  3.57058E-036  4.90513E-011  2.86884E-030  7.87275E-001  1.97843E-023  8.33638E-014  4.04304E-010  1.00000E-040  1.00000E-040  5.68575E-032  2.01296E-027  5.57611E-013  2.16128E-015  5.31538E-012  2.15144E-015  2.71652E-007  2.63104E-010  2.75887E-008  4.48200E-013  1.26406E-014  2.10741E-020  1.47721E-012  2.47954E-011  1.16747E-011  4.86487E-029  1.55557E-032  1.00000E-040  4.10291E-028  3.19973E-013  1.65074E-019  1.43521E-025  4.73968E-019  4.19197E-026  4.16269E-028  1.00000E-040  1.00000E-040  1.36735E-027  3.86047E-037  2.12431E-026  1.00000E-040  1.00000E-040  2.04688E-028  1.75377E-015  3.12612E-036  1.54321E-036  3.91213E-022  6.50970E-018  7.68880E-020  7.29859E-016  4.10785E-026  5.59184E-011  1.00000E-040  1.99983E-017  1.00000E-040  2.44802E-026  2.87312E-033  2.79442E-025  5.54815E-028  2.86181E-012  1.41699E-023  6.69927E-022  1.86533E-013  1.00905E-014  1.00000E-040  1.67120E-035  2.24914E-025  1.00000E-040  4.95962E-022  3.42475E-011  4.12460E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53687E-004  1.00000E-040  1.00000E-040  7.01550E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.06224E-025  1.00000E-040  1.00000E-040  8.08818E-022  4.94622E-007  2.61868E-004  7.18011E-014  2.72887E-016  2.12005E-001  1.19614E-008  2.83039E-004  3.95628E-024  1.94442E-012  1.00000E-040  1.00000E-040  1.21676E-034  1.88371E-021  7.95595E-008  1.22689E-029  3.49221E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.62974E-014  3.14679E-019  2.07704E-019  8.56810E-012  1.00000E-040  1.00000E-040  3.33517E-010  1.57358E-036  4.90232E-011  3.62152E-030  7.87449E-001  1.69967E-023  6.00688E-014  3.96795E-010  6.75784E-040  1.00000E-040  5.08752E-032  1.89440E-027  1.07853E-012  2.51128E-015  4.45994E-012  1.55190E-015  2.71634E-007  2.01996E-010  3.07339E-008  6.58830E-013  1.01282E-014  2.38691E-020  2.42193E-012  3.00842E-011  5.28207E-012  4.88151E-029  1.49636E-032  1.00000E-040  3.67619E-028  1.80848E-013  1.65110E-019  1.53241E-025  4.34851E-019  5.27960E-026  3.53630E-028  1.00000E-040  1.00000E-040  1.36765E-027  2.41315E-037  2.33476E-026  1.00000E-040  1.00000E-040  2.26461E-028  8.96959E-016  2.00545E-036  9.00293E-037  5.24441E-022  8.41971E-018  6.46181E-020  9.49831E-016  2.76807E-026  5.35905E-011  1.00000E-040  4.14746E-017  1.00000E-040  3.11852E-026  3.39366E-033  2.79503E-025  5.25698E-028  1.05078E-012  1.17409E-023  8.69290E-022  1.14760E-013  1.00926E-014  1.00000E-040  1.61851E-035  1.17506E-025  1.00000E-040  4.46875E-022  3.41598E-011  4.12584E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67492E+018  2.30808E+002  9.61769E+004  8.44413E-005  1.00000E-040  1.00000E-040  1.90556E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.50158E-024  1.00000E-040  1.00000E-040  8.16478E-022  4.94474E-007  1.38971E-004  7.35277E-014  3.62176E-016  2.12031E-001  1.15647E-008  2.83074E-004  2.97947E-024  1.30601E-012  1.00000E-040  1.00000E-040  9.40523E-035  1.54686E-021  7.95187E-008  1.04972E-029  3.38561E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.33150E-014  2.29243E-019  2.62825E-019  7.01185E-012  1.00000E-040  1.00000E-040  3.33294E-010  7.03136E-037  4.89963E-011  4.90717E-030  7.87546E-001  1.47374E-023  3.85918E-014  3.90497E-010  3.67213E-039  1.00000E-040  4.59101E-032  1.80205E-027  2.00122E-012  2.78307E-015  3.65971E-012  1.15749E-015  2.71578E-007  1.51295E-010  3.43833E-008  9.56806E-013  7.79748E-015  3.44998E-020  3.80872E-012  3.74033E-011  1.98988E-012  5.44732E-029  1.49883E-032  1.00000E-040  3.44263E-028  8.62095E-014  1.65130E-019  1.65509E-025  4.02622E-019  6.67354E-026  3.12995E-028  1.00000E-040  1.00000E-040  1.36782E-027  1.44834E-037  2.57966E-026  1.00000E-040  1.00000E-040  2.59480E-028  4.81540E-016  1.38710E-036  1.38002E-037  7.47531E-022  1.21376E-017  5.66345E-020  1.18835E-015  1.93349E-026  5.13663E-011  1.00000E-040  9.23026E-017  1.00000E-040  4.17114E-026  6.09490E-033  2.79538E-025  5.06881E-028  4.16343E-013  1.04324E-023  1.12990E-021  6.17457E-014  1.00934E-014  1.00000E-040  1.57454E-035  6.51212E-026  1.00000E-040  4.01484E-022  3.40791E-011  4.12639E-036  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
