alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69247E-004  1.00000E-040  1.00000E-040  2.25376E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.28075E-023  1.00000E-040  1.00000E-040  1.85244E-021  4.95285E-007  6.30457E-003  3.18085E-014  1.37044E-016  2.10724E-001  7.10192E-008  2.81322E-004  4.04172E-022  6.74519E-010  1.00000E-040  1.00000E-040  3.53861E-033  7.71643E-020  2.40114E-006  4.24614E-029  4.76700E-027  6.88287E-040  6.36582E-039  1.00000E-040  9.69213E-012  6.27184E-018  7.36052E-019  3.63883E-011  1.00000E-040  1.00000E-040  3.33822E-010  7.58076E-035  5.00362E-011  8.18000E-032  7.82687E-001  7.55901E-024  3.80993E-014  5.56920E-010  1.00000E-040  1.00000E-040  6.38317E-029  1.85902E-024  8.86984E-014  1.08306E-015  2.27046E-011  7.54048E-015  2.70426E-007  3.92573E-009  6.38229E-008  1.12704E-011  3.99054E-013  3.44660E-019  1.03214E-013  1.89793E-011  2.62830E-011  3.00425E-031  8.30144E-037  5.26913E-036  2.13671E-031  4.05640E-013  1.56914E-023  7.47694E-023  9.50372E-017  9.40539E-025  9.77956E-025  2.21443E-040  1.73419E-037  1.79428E-029  3.67947E-037  5.53816E-030  1.00000E-040  6.32942E-040  1.74189E-025  1.12634E-016  1.08281E-034  3.34983E-038  4.31790E-023  1.46316E-017  3.39283E-018  2.20265E-014  9.71636E-025  7.48106E-011  1.00000E-040  2.75243E-019  1.00000E-040  4.52223E-025  3.22123E-030  3.68552E-022  1.01503E-024  1.76148E-009  1.60610E-023  2.91373E-022  2.24486E-013  3.52348E-014  1.00000E-040  7.92604E-037  3.10249E-023  1.00000E-040  7.25090E-022  3.65887E-011  2.58370E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94103E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78348E-004  1.00000E-040  1.00000E-040  2.64235E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.27655E-023  1.00000E-040  1.00000E-040  1.68308E-021  4.97216E-007  4.80718E-003  3.91252E-014  1.57695E-016  2.11042E-001  6.93378E-008  2.81751E-004  1.50970E-022  2.04205E-010  1.00000E-040  1.00000E-040  4.45782E-033  8.33432E-020  2.39983E-006  3.98880E-029  4.70947E-027  1.00000E-040  1.00000E-040  1.00000E-040  5.40458E-012  4.52741E-018  6.78126E-019  7.46297E-011  1.00000E-040  1.00000E-040  3.34021E-010  5.55081E-035  4.99780E-011  1.90677E-031  7.83866E-001  1.22764E-023  9.59104E-014  5.31075E-010  1.00000E-040  1.00000E-040  6.18316E-029  1.82886E-024  6.43568E-015  1.73672E-015  1.52048E-011  7.49680E-015  2.70800E-007  3.09132E-009  6.23007E-008  1.43779E-012  7.19351E-014  2.23959E-019  5.78326E-014  2.24034E-011  2.85084E-011  1.93292E-031  1.07037E-036  1.00000E-040  1.95679E-031  8.28042E-013  1.57151E-023  7.53346E-023  8.37739E-017  1.13566E-024  7.09382E-025  2.21775E-040  1.67304E-037  1.79699E-029  2.59928E-037  5.16666E-030  1.00000E-040  7.20132E-040  1.12209E-025  9.47205E-016  1.27392E-034  3.86327E-038  6.65794E-023  1.45927E-017  6.74116E-019  2.27058E-014  6.17730E-025  7.54788E-011  1.00000E-040  5.41997E-019  1.00000E-040  6.50373E-025  3.08433E-030  3.69107E-022  6.46624E-025  3.68572E-009  4.20169E-023  3.67149E-022  3.79061E-013  3.55526E-014  1.00000E-040  8.40964E-037  3.01449E-023  1.00000E-040  6.92992E-022  3.63675E-011  2.58760E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90345E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87898E-004  1.00000E-040  1.00000E-040  2.77773E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.33841E-023  1.00000E-040  1.00000E-040  1.79010E-021  4.98685E-007  3.82590E-003  4.50731E-014  1.88349E-016  2.11250E-001  6.73235E-008  2.82034E-004  6.59871E-023  7.49869E-011  1.00000E-040  1.00000E-040  5.27212E-033  8.92109E-020  2.39797E-006  3.34481E-029  4.60071E-027  1.00000E-040  1.00000E-040  1.00000E-040  3.00519E-012  3.01761E-018  5.52658E-019  5.78081E-011  1.00000E-040  1.00000E-040  3.34062E-010  4.23036E-035  4.99139E-011  3.38709E-031  7.84639E-001  1.58074E-023  1.11019E-013  5.08462E-010  1.00000E-040  1.00000E-040  5.83349E-029  1.73759E-024  1.33374E-015  2.27620E-015  1.34582E-011  7.19765E-015  2.71028E-007  2.57363E-009  6.14914E-008  3.50405E-013  2.11807E-014  1.61731E-019  3.26822E-014  2.21143E-011  2.97691E-011  1.44515E-031  1.12631E-036  1.00000E-040  1.69360E-031  9.90377E-013  1.57306E-023  7.63619E-023  7.27479E-017  1.42355E-024  5.22583E-025  2.21991E-040  1.57456E-037  1.79876E-029  1.81808E-037  4.92501E-030  1.00000E-040  7.51967E-040  1.03061E-025  3.57259E-015  1.42729E-034  4.47568E-038  9.18072E-023  1.26621E-017  3.68524E-019  2.45831E-014  4.67803E-025  7.60038E-011  1.00000E-040  8.81673E-019  1.00000E-040  8.40043E-025  2.87485E-030  3.69471E-022  4.89841E-025  5.11790E-009  3.84605E-023  4.58904E-022  4.66406E-013  3.57976E-014  1.00000E-040  8.56145E-037  2.73977E-023  1.00000E-040  6.44619E-022  3.61650E-011  2.59015E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86468E+019  2.70798E+002  1.00000E+005  5.44514E-004  1.00000E-040  1.00000E-040  1.66267E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.70611E-023  1.00000E-040  1.00000E-040  2.00009E-021  5.00173E-007  2.94983E-003  4.95269E-014  2.28897E-016  2.11435E-001  6.55273E-008  2.82286E-004  5.38353E-023  5.28124E-011  1.00000E-040  1.00000E-040  5.62524E-033  9.05035E-020  2.39651E-006  2.62625E-029  4.45821E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.68736E-012  1.91985E-018  4.42876E-019  4.46663E-011  1.00000E-040  1.00000E-040  3.34084E-010  3.00839E-035  4.98601E-011  4.92740E-031  7.85329E-001  1.70189E-023  1.12576E-013  4.89014E-010  1.00000E-040  1.00000E-040  5.39361E-029  1.63955E-024  9.87201E-016  2.79964E-015  1.31849E-011  5.80255E-015  2.71223E-007  2.22602E-009  6.17571E-008  2.54067E-013  1.57312E-014  1.09528E-019  2.24270E-014  2.24183E-011  2.89580E-011  1.21079E-031  1.15136E-036  1.34996E-035  1.44019E-031  9.50760E-013  1.57444E-023  7.78910E-023  6.32005E-017  1.79136E-024  4.24449E-025  2.22183E-040  1.45498E-037  1.80034E-029  1.28693E-037  4.80932E-030  1.00000E-040  7.42999E-040  1.03397E-025  5.14562E-015  1.43840E-034  5.18239E-038  1.21097E-022  1.08405E-017  4.47110E-019  2.78756E-014  3.83701E-025  7.59459E-011  1.00000E-040  1.39772E-018  1.00000E-040  1.04749E-024  2.62213E-030  3.69796E-022  4.35702E-025  5.82389E-009  3.35410E-023  5.73198E-022  4.69135E-013  3.59617E-014  1.00000E-040  8.59623E-037  2.24628E-023  1.00000E-040  5.86417E-022  3.59879E-011  2.59242E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48664E-004  1.00000E-040  1.00000E-040  4.98240E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.25078E-024  1.00000E-040  1.00000E-040  2.19299E-021  5.01764E-007  2.07914E-003  5.21003E-014  2.80248E-016  2.11620E-001  6.40441E-008  2.82537E-004  6.17359E-023  5.34828E-011  1.00000E-040  1.00000E-040  5.26402E-033  8.48162E-020  2.39561E-006  1.97446E-029  4.29544E-027  1.00000E-040  1.00000E-040  1.00000E-040  9.65930E-013  1.18619E-018  3.67347E-019  3.46048E-011  1.00000E-040  1.00000E-040  3.34116E-010  1.88005E-035  4.98200E-011  6.59814E-031  7.86015E-001  1.67969E-023  1.09360E-013  4.72504E-010  1.00000E-040  1.00000E-040  4.91130E-029  1.54131E-024  1.29867E-015  3.38753E-015  1.30485E-011  4.23822E-015  2.71411E-007  1.96433E-009  6.31475E-008  2.94524E-013  1.61313E-014  6.53048E-020  2.29813E-014  2.33665E-011  2.52108E-011  1.04076E-031  1.14805E-036  1.00000E-040  1.22093E-031  8.42585E-013  1.57581E-023  7.99843E-023  5.51224E-017  2.27913E-024  3.62062E-025  2.22374E-040  1.32665E-037  1.80191E-029  9.06881E-038  4.80508E-030  1.00000E-040  6.94823E-040  1.03678E-025  4.74680E-015  1.25680E-034  5.89880E-038  1.57490E-022  9.73582E-018  6.22952E-019  3.28250E-014  3.08750E-025  7.52151E-011  1.00000E-040  2.32665E-018  1.00000E-040  1.29810E-024  2.34762E-030  3.70119E-022  4.07579E-025  5.87338E-009  2.82885E-023  7.17143E-022  4.32738E-013  3.60669E-014  1.00000E-040  8.62377E-037  1.61813E-023  1.00000E-040  5.22633E-022  3.58371E-011  2.59469E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58187E-004  1.00000E-040  1.00000E-040  2.50637E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.58246E-024  1.00000E-040  1.00000E-040  2.41793E-021  5.03349E-007  1.37615E-003  5.44630E-014  3.47058E-016  2.11769E-001  6.28275E-008  2.82740E-004  7.64886E-023  5.87088E-011  1.00000E-040  1.00000E-040  4.72817E-033  7.72608E-020  2.39477E-006  1.48984E-029  4.12149E-027  1.00000E-040  1.00000E-040  1.00000E-040  5.63958E-013  7.42257E-019  3.23646E-019  2.69212E-011  1.00000E-040  1.00000E-040  3.34100E-010  1.10090E-035  4.97842E-011  9.14282E-031  7.86569E-001  1.67073E-023  1.04858E-013  4.58442E-010  1.00000E-040  1.00000E-040  4.42427E-029  1.44438E-024  2.08376E-015  4.08459E-015  1.30340E-011  3.14047E-015  2.71548E-007  1.80669E-009  6.55949E-008  3.84131E-013  1.79734E-014  3.98535E-020  3.49375E-014  2.58242E-011  2.11116E-011  9.00478E-032  1.15013E-036  1.40854E-037  1.05746E-031  7.19124E-013  1.57692E-023  8.27585E-023  4.83122E-017  2.97902E-024  3.13861E-025  2.22528E-040  1.19865E-037  1.80318E-029  6.24055E-038  4.89566E-030  1.00000E-040  6.41039E-040  1.04174E-025  3.63814E-015  1.04562E-034  7.03766E-038  2.07522E-022  9.37528E-018  8.81752E-019  3.90517E-014  2.43897E-025  7.38855E-011  1.00000E-040  4.09316E-018  1.00000E-040  1.64378E-024  2.07214E-030  3.70379E-022  3.83486E-025  5.41166E-009  2.39242E-023  9.00229E-022  3.82789E-013  3.61294E-014  1.00000E-040  8.67252E-037  1.10502E-023  1.00000E-040  4.57440E-022  3.57040E-011  2.59650E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57572E-004  1.00000E-040  1.00000E-040  1.02474E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.24546E-024  1.00000E-040  1.00000E-040  2.69860E-021  5.04882E-007  8.42269E-004  5.73234E-014  4.31740E-016  2.11882E-001  6.18144E-008  2.82895E-004  9.65714E-023  6.55820E-011  1.00000E-040  1.00000E-040  4.11746E-033  6.83905E-020  2.39388E-006  1.14793E-029  3.94312E-027  1.00000E-040  1.00000E-040  1.00000E-040  3.34779E-013  4.77987E-019  3.11979E-019  2.10359E-011  1.00000E-040  1.00000E-040  3.34030E-010  5.92819E-036  4.97506E-011  1.37670E-030  7.86989E-001  1.70893E-023  9.95727E-014  4.46407E-010  1.00000E-040  1.00000E-040  3.95844E-029  1.34929E-024  3.74295E-015  4.90370E-015  1.31217E-011  2.40802E-015  2.71632E-007  1.72488E-009  6.90096E-008  5.21714E-013  2.05943E-014  2.74530E-020  6.44035E-014  2.99182E-011  1.66373E-011  7.81995E-032  1.17457E-036  1.26226E-039  9.47869E-032  5.95167E-013  1.57777E-023  8.63541E-023  4.25707E-017  4.04068E-024  2.74460E-025  2.22645E-040  1.07664E-037  1.80414E-029  4.08563E-038  5.06555E-030  1.00000E-040  5.89716E-040  1.05192E-025  2.56503E-015  8.33114E-035  6.93220E-038  2.85232E-022  1.00245E-017  1.27110E-018  4.61019E-014  1.88336E-025  7.20887E-011  1.00000E-040  7.98136E-018  1.00000E-040  2.18015E-024  1.80970E-030  3.70577E-022  3.60099E-025  4.58993E-009  2.06233E-023  1.13138E-021  3.28931E-013  3.61654E-014  1.00000E-040  8.74353E-037  7.24671E-024  1.00000E-040  3.94339E-022  3.55844E-011  2.59784E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46533E-004  1.00000E-040  1.00000E-040  3.38842E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.67956E-024  1.00000E-040  1.00000E-040  3.12038E-021  5.06309E-007  4.82799E-004  6.20690E-014  5.40665E-016  2.11958E-001  6.09351E-008  2.83001E-004  1.24529E-022  7.41583E-011  1.00000E-040  1.00000E-040  3.67950E-033  6.08191E-020  2.39281E-006  9.25985E-030  3.76523E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.01112E-013  3.23934E-019  3.31240E-019  1.65188E-011  1.00000E-040  1.00000E-040  3.33900E-010  3.06753E-036  4.97170E-011  2.30507E-030  7.87272E-001  1.82078E-023  9.46635E-014  4.36033E-010  1.00000E-040  1.00000E-040  3.53243E-029  1.25947E-024  7.34813E-015  5.84893E-015  1.34154E-011  1.91415E-015  2.71661E-007  1.70443E-009  7.32757E-008  7.13599E-013  2.38611E-014  2.60659E-020  1.25606E-013  3.58568E-011  1.15800E-011  6.87108E-032  1.24126E-036  1.00000E-040  8.88577E-032  4.78499E-013  1.57833E-023  9.09213E-023  3.77548E-017  5.66356E-024  2.44417E-025  2.22723E-040  9.63980E-038  1.80479E-029  2.51225E-038  5.30050E-030  1.00000E-040  5.55715E-040  1.07648E-025  1.79251E-015  6.74813E-035  1.14706E-037  4.14696E-022  1.19481E-017  1.87691E-018  5.31222E-014  1.44252E-025  6.99550E-011  1.00000E-040  1.71809E-017  1.00000E-040  3.06622E-024  1.57131E-030  3.70710E-022  3.38497E-025  3.55945E-009  1.84812E-023  1.42331E-021  2.75185E-013  3.61848E-014  1.00000E-040  8.82209E-037  4.79678E-024  1.00000E-040  3.36104E-022  3.54744E-011  2.59876E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53690E-004  1.00000E-040  1.00000E-040  7.58658E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.46955E-024  1.00000E-040  1.00000E-040  3.76818E-021  5.07591E-007  2.61868E-004  6.97487E-014  6.81177E-016  2.12005E-001  6.01213E-008  2.83067E-004  1.64470E-022  8.49617E-011  1.00000E-040  1.00000E-040  3.45187E-033  5.50592E-020  2.39158E-006  7.93724E-030  3.59178E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.22361E-013  2.34169E-019  3.89548E-019  1.30811E-011  1.00000E-040  1.00000E-040  3.33716E-010  1.54964E-036  4.96836E-011  4.32687E-030  7.87446E-001  2.02807E-023  9.03921E-014  4.27067E-010  1.00000E-040  1.00000E-040  3.15990E-029  1.18004E-024  1.58537E-014  6.89499E-015  1.39378E-011  1.57153E-015  2.71645E-007  1.72502E-009  7.82708E-008  9.65829E-013  2.77580E-014  3.49191E-020  2.47876E-013  4.37146E-011  5.34190E-012  6.16693E-032  1.36576E-036  1.00000E-040  8.72129E-032  3.73171E-013  1.57868E-023  9.66228E-023  3.37698E-017  8.05253E-024  2.23867E-025  2.22771E-040  8.62760E-038  1.80519E-029  1.44437E-038  5.58716E-030  1.00000E-040  5.44328E-040  1.11972E-025  1.29037E-015  5.68959E-035  1.17094E-037  6.42713E-022  1.59636E-017  2.84458E-018  5.93522E-014  1.10422E-025  6.76089E-011  1.00000E-040  4.08652E-017  1.00000E-040  4.58492E-024  1.36440E-030  3.70792E-022  3.20441E-025  2.46653E-009  1.74128E-023  1.79046E-021  2.23788E-013  3.61943E-014  1.00000E-040  8.89393E-037  3.27782E-024  1.00000E-040  2.84688E-022  3.53721E-011  2.59932E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67494E+018  2.30808E+002  9.61769E+004  8.44436E-005  1.00000E-040  1.00000E-040  2.27420E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.60192E-024  1.00000E-040  1.00000E-040  4.73731E-021  5.08698E-007  1.38971E-004  8.07483E-014  8.67326E-016  2.12031E-001  5.92859E-008  2.83105E-004  2.23454E-022  9.92373E-011  1.00000E-040  1.00000E-040  3.41079E-033  5.11198E-020  2.39019E-006  7.24452E-030  3.42300E-027  1.00000E-040  1.00000E-040  1.00000E-040  7.60657E-014  1.80533E-019  4.97651E-019  1.04978E-011  1.00000E-040  1.00000E-040  3.33483E-010  7.82682E-037  4.96504E-011  8.76715E-030  7.87543E-001  2.32659E-023  8.58796E-014  4.19203E-010  1.00000E-040  1.00000E-040  2.84681E-029  1.11887E-024  4.01118E-014  7.97693E-015  1.47100E-011  1.31960E-015  2.71590E-007  1.75929E-009  8.39761E-008  1.30624E-012  3.24388E-014  5.66196E-020  4.96094E-013  5.37347E-011  2.13610E-012  5.77310E-032  1.54673E-036  1.00000E-040  8.82809E-032  2.79653E-013  1.57887E-023  1.03788E-022  3.05090E-017  1.12436E-023  2.11629E-025  2.22797E-040  7.72824E-038  1.80541E-029  7.93176E-039  5.92177E-030  1.00000E-040  5.56448E-040  1.18963E-025  9.48019E-016  5.03062E-035  1.44328E-037  1.04084E-021  2.33653E-017  4.45920E-018  6.47686E-014  8.54662E-026  6.51256E-011  1.00000E-040  1.02804E-016  1.00000E-040  7.04149E-024  1.19191E-030  3.70838E-022  3.07697E-025  1.44285E-009  1.71528E-023  2.25552E-021  1.75103E-013  3.61981E-014  1.00000E-040  8.94524E-037  2.32307E-024  1.00000E-040  2.40629E-022  3.52747E-011  2.59962E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
