alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.12417E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.45546E-023  1.00000E-040  1.00000E-040  1.20253E-021  4.95285E-007  6.30456E-003  4.40233E-014  8.60386E-017  2.10724E-001  3.85020E-008  2.81322E-004  1.41213E-022  2.00157E-010  1.00000E-040  1.00000E-040  2.25509E-033  3.55955E-020  8.00380E-007  7.53525E-029  1.00524E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.15092E-012  1.15938E-017  8.59116E-019  3.51140E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.04621E-034  4.99781E-011  1.30895E-031  7.82689E-001  9.66402E-024  3.35523E-014  5.54778E-010  1.00000E-040  1.00000E-040  3.64359E-029  9.84291E-025  1.71766E-012  6.01105E-016  1.32005E-011  9.85312E-015  2.70426E-008  1.55049E-009  4.01405E-008  1.38600E-011  2.00922E-013  3.57688E-019  2.19929E-012  1.76040E-011  2.72158E-011  2.57820E-030  1.96440E-035  1.00000E-040  3.13612E-030  2.65078E-013  2.70187E-022  3.88812E-023  1.44369E-017  2.01430E-025  3.13996E-025  1.00000E-040  5.33447E-038  7.39555E-028  6.56923E-036  5.97130E-029  1.00000E-040  4.63809E-040  1.13624E-025  1.15654E-016  6.90053E-035  1.19814E-038  5.72219E-023  1.70637E-017  9.85417E-019  3.30093E-015  6.20760E-025  7.16332E-011  1.00000E-040  3.80493E-019  1.00000E-040  1.13095E-025  1.81992E-030  2.43015E-023  2.66065E-025  2.67325E-011  2.14501E-023  1.71064E-022  1.51991E-013  1.81740E-014  1.00000E-040  1.88739E-035  1.92617E-023  1.00000E-040  6.47996E-022  3.64894E-011  9.33541E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94103E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.49043E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.35711E-024  1.00000E-040  1.00000E-040  1.09840E-021  4.96074E-007  4.80718E-003  4.14304E-014  1.00125E-016  2.11041E-001  3.74098E-008  2.81748E-004  9.60696E-023  1.27576E-010  1.00000E-040  1.00000E-040  1.67149E-033  2.94162E-020  7.99953E-007  5.19886E-029  9.94400E-027  1.00000E-040  1.00000E-040  1.00000E-040  4.45972E-012  6.22241E-018  5.95438E-019  7.26244E-011  1.00000E-040  1.00000E-040  3.34039E-010  5.86599E-035  4.99222E-011  2.03248E-031  7.83868E-001  1.26790E-023  8.96347E-014  5.29059E-010  1.00000E-040  1.00000E-040  3.52734E-029  9.84677E-025  8.35516E-014  1.05072E-015  1.26190E-011  8.02591E-015  2.70842E-008  1.48728E-009  3.97388E-008  2.18899E-012  7.41900E-014  2.31153E-019  1.14994E-012  2.18190E-011  2.94259E-011  1.45217E-030  1.98957E-035  1.00000E-040  2.33912E-030  6.96644E-013  2.70594E-022  3.97511E-023  1.34342E-017  2.23453E-025  2.75211E-025  1.00000E-040  5.17260E-038  7.40670E-028  5.38972E-036  5.63474E-029  1.00000E-040  4.10570E-040  6.57590E-026  6.58163E-016  4.77662E-035  1.40237E-038  6.80518E-023  1.28006E-017  7.35962E-019  4.03456E-015  4.04860E-025  7.28555E-011  1.00000E-040  5.73292E-019  1.00000E-040  1.23854E-025  1.74496E-030  2.43381E-023  2.51990E-025  3.65528E-010  4.32970E-023  2.16654E-022  3.20983E-013  1.83433E-014  1.00000E-040  1.93184E-035  1.17366E-023  1.00000E-040  6.25644E-022  3.62753E-011  9.34948E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87895E-004  1.00000E-040  1.00000E-040  2.61802E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.67510E-024  1.00000E-040  1.00000E-040  1.17752E-021  4.96482E-007  3.82590E-003  4.85250E-014  1.20168E-016  2.11250E-001  3.60613E-008  2.82028E-004  4.30727E-023  4.77994E-011  1.00000E-040  1.00000E-040  2.03696E-033  3.20136E-020  7.99367E-007  4.31048E-029  9.76332E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.42383E-012  4.11372E-018  4.84080E-019  5.55532E-011  1.00000E-040  1.00000E-040  3.34104E-010  4.54805E-035  4.98624E-011  3.75119E-031  7.84641E-001  1.65448E-023  1.13199E-013  5.06932E-010  1.00000E-040  1.00000E-040  3.34563E-029  9.55544E-025  1.01932E-014  1.43303E-015  1.07008E-011  7.49228E-015  2.71096E-008  1.33105E-009  3.94615E-008  4.91142E-013  2.38772E-014  1.66538E-019  5.76145E-013  1.98229E-011  3.06461E-011  9.58479E-031  2.07755E-035  1.00000E-040  2.01180E-030  9.41100E-013  2.70861E-022  4.13824E-023  1.20222E-017  2.71928E-025  2.49437E-025  1.00000E-040  4.93497E-038  7.41400E-028  3.84202E-036  5.39794E-029  1.00000E-040  4.45195E-040  5.84637E-026  2.92663E-015  5.51454E-035  1.58896E-038  9.65288E-023  1.10786E-017  2.56168E-019  4.46351E-015  3.03548E-025  7.42279E-011  1.00000E-040  9.48217E-019  1.00000E-040  1.61478E-025  1.63747E-030  2.43621E-023  2.37948E-025  8.87177E-010  3.97910E-023  2.70096E-022  4.41412E-013  1.84781E-014  1.00000E-040  1.97319E-035  1.05606E-023  1.00000E-040  5.90761E-022  3.60840E-011  9.35870E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86468E+019  2.70798E+002  1.00000E+005  5.44512E-004  1.00000E-040  1.00000E-040  1.56707E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.06957E-023  1.00000E-040  1.00000E-040  1.27678E-021  4.96876E-007  2.94983E-003  5.35466E-014  1.46233E-016  2.11435E-001  3.47936E-008  2.82278E-004  2.55573E-023  2.45276E-011  1.00000E-040  1.00000E-040  2.19163E-033  3.26172E-020  7.98947E-007  3.32302E-029  9.53509E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.33208E-012  2.58331E-018  3.83786E-019  4.25514E-011  1.00000E-040  1.00000E-040  3.34154E-010  3.24899E-035  4.98154E-011  5.70021E-031  7.85331E-001  1.84921E-023  1.17086E-013  4.88455E-010  1.00000E-040  1.00000E-040  3.12791E-029  9.31835E-025  4.40872E-015  1.78795E-015  1.00585E-011  6.32114E-015  2.71314E-008  1.16767E-009  3.97222E-008  2.48298E-013  1.45162E-014  1.12334E-019  2.92057E-013  1.73916E-011  2.96891E-011  7.57123E-031  2.11505E-035  1.00000E-040  1.71711E-030  9.44105E-013  2.71099E-022  4.39007E-023  1.07048E-017  3.34210E-025  2.30307E-025  1.00000E-040  4.65105E-038  7.42052E-028  2.71780E-036  5.27886E-029  1.00000E-040  4.56554E-040  6.01120E-026  5.66743E-015  5.60408E-035  1.93298E-038  1.29573E-022  9.38226E-018  1.92694E-019  5.06709E-015  2.40774E-025  7.51616E-011  1.00000E-040  1.50980E-018  1.00000E-040  2.00466E-025  1.51079E-030  2.43835E-023  2.33827E-025  1.23167E-009  3.45462E-023  3.35301E-022  4.65253E-013  1.85677E-014  1.00000E-040  1.97825E-035  8.70814E-024  1.00000E-040  5.47508E-022  3.59234E-011  9.36703E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.69592E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.73518E-024  1.00000E-040  1.00000E-040  1.32926E-021  4.97346E-007  2.07914E-003  5.53846E-014  1.78721E-016  2.11620E-001  3.37081E-008  2.82526E-004  2.29554E-023  1.96854E-011  1.00000E-040  1.00000E-040  1.98310E-033  3.00573E-020  7.98750E-007  2.43528E-029  9.27756E-027  1.00000E-040  1.00000E-040  1.00000E-040  7.52893E-013  1.56508E-018  3.11937E-019  3.29132E-011  1.00000E-040  1.00000E-040  3.34222E-010  1.99701E-035  4.97848E-011  7.52762E-031  7.86017E-001  1.82906E-023  1.14031E-013  4.73441E-010  1.00000E-040  1.00000E-040  2.89652E-029  9.15745E-025  3.83331E-015  2.17706E-015  9.56457E-012  4.68424E-015  2.71523E-008  1.00730E-009  4.05810E-008  2.07793E-013  1.19326E-014  6.64515E-020  1.55073E-013  1.49708E-011  2.56824E-011  6.29479E-031  2.07635E-035  1.00000E-040  1.43131E-030  8.59175E-013  2.71336E-022  4.74080E-023  9.54760E-018  4.09513E-025  2.11683E-025  1.00000E-040  4.34439E-038  7.42699E-028  1.92856E-036  5.26543E-029  1.00000E-040  4.38841E-040  6.25018E-026  6.81675E-015  4.73469E-035  5.18638E-038  1.68026E-022  8.25474E-018  2.22638E-019  6.04350E-015  1.84641E-025  7.54883E-011  1.00000E-040  2.47156E-018  1.00000E-040  2.42149E-025  1.37564E-030  2.44048E-023  2.33840E-025  1.36747E-009  2.86018E-023  4.15712E-022  4.41657E-013  1.86242E-014  1.00000E-040  1.96882E-035  6.07675E-024  1.00000E-040  4.99116E-022  3.57948E-011  9.37532E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.36225E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.57652E-024  1.00000E-040  1.00000E-040  1.36512E-021  4.97795E-007  1.37615E-003  5.58091E-014  2.20302E-016  2.11769E-001  3.27985E-008  2.82727E-004  2.48443E-023  1.92207E-011  1.00000E-040  1.00000E-040  1.65548E-033  2.63950E-020  7.98601E-007  1.79013E-029  9.00214E-027  1.00000E-040  1.00000E-040  1.00000E-040  4.40399E-013  9.59745E-019  2.68424E-019  2.58123E-011  1.00000E-040  1.00000E-040  3.34247E-010  1.12763E-035  4.97610E-011  9.67927E-031  7.86571E-001  1.75064E-023  1.08842E-013  4.61335E-010  1.00000E-040  1.00000E-040  2.66849E-029  9.04556E-025  4.39745E-015  2.63704E-015  9.11602E-012  3.35660E-015  2.71682E-008  8.79761E-010  4.19970E-008  2.04941E-013  1.06272E-014  3.99353E-020  8.95385E-014  1.31383E-011  2.13260E-011  5.24777E-031  2.00479E-035  1.00000E-040  1.19141E-030  7.54713E-013  2.71527E-022  5.19797E-023  8.54756E-018  5.06760E-025  1.92921E-025  1.00000E-040  4.03343E-038  7.43222E-028  1.35612E-036  5.34045E-029  1.00000E-040  4.11378E-040  6.51358E-026  6.65155E-015  3.66104E-035  1.00000E-040  2.16639E-022  7.76050E-018  2.85119E-019  7.40446E-015  1.37214E-025  7.52712E-011  1.00000E-040  4.19229E-018  1.00000E-040  2.93219E-025  1.24175E-030  2.44220E-023  2.34608E-025  1.33661E-009  2.35057E-023  5.15735E-022  4.02479E-013  1.86572E-014  1.00000E-040  1.95746E-035  3.86597E-024  1.00000E-040  4.48784E-022  3.56891E-011  9.38280E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57570E-004  1.00000E-040  1.00000E-040  9.65816E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.69336E-024  1.00000E-040  1.00000E-040  1.38713E-021  4.98199E-007  8.42269E-004  5.53538E-014  2.72167E-016  2.11882E-001  3.20380E-008  2.82879E-004  2.82144E-023  1.97640E-011  1.00000E-040  1.00000E-040  1.28053E-033  2.20194E-020  7.98453E-007  1.34104E-029  8.71764E-027  1.00000E-040  1.00000E-040  1.00000E-040  2.67161E-013  6.04377E-019  2.51693E-019  2.05683E-011  1.00000E-040  1.00000E-040  3.34224E-010  5.72416E-036  4.97412E-011  1.28229E-030  7.86991E-001  1.67132E-023  1.02351E-013  4.51596E-010  1.00000E-040  1.00000E-040  2.45516E-029  8.95370E-025  5.82321E-015  3.18470E-015  8.66799E-012  2.40945E-015  2.71788E-008  7.78981E-010  4.39201E-008  2.15475E-013  9.71127E-015  2.66170E-020  5.99707E-014  1.18018E-011  1.66472E-011  4.33321E-031  1.92938E-035  1.00000E-040  1.00108E-030  6.49643E-013  2.71672E-022  5.76982E-023  7.69115E-018  6.41187E-025  1.74609E-025  1.00000E-040  3.73058E-038  7.43619E-028  9.25280E-037  5.48830E-029  1.00000E-040  3.77881E-040  6.78114E-026  5.78180E-015  2.59097E-035  1.00000E-040  2.85210E-022  8.06536E-018  3.77706E-019  9.16521E-015  9.83057E-026  7.46480E-011  1.00000E-040  7.70511E-018  1.00000E-040  3.63942E-025  1.11521E-030  2.44350E-023  2.35483E-025  1.19132E-009  1.94719E-023  6.39213E-022  3.59755E-013  1.86759E-014  1.00000E-040  1.94898E-035  2.25901E-024  1.00000E-040  3.99223E-022  3.56009E-011  9.39142E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.19358E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.28363E-024  1.00000E-040  1.00000E-040  1.43148E-021  4.98529E-007  4.82799E-004  5.52628E-014  3.38046E-016  2.11958E-001  3.13933E-008  2.82982E-004  3.25538E-023  2.05286E-011  1.00000E-040  1.00000E-040  9.73037E-034  1.80563E-020  7.98260E-007  1.04806E-029  8.42990E-027  8.06787E-037  8.61328E-036  1.00000E-040  1.67885E-013  3.99038E-019  2.58789E-019  1.66724E-011  1.00000E-040  1.00000E-040  3.34144E-010  2.73196E-036  4.97225E-011  1.81042E-030  7.87274E-001  1.62742E-023  9.60742E-014  4.43710E-010  1.00000E-040  1.00000E-040  2.26466E-029  8.88108E-025  8.50011E-015  3.83717E-015  8.29577E-012  1.75965E-015  2.71840E-008  7.02269E-010  4.62983E-008  2.33307E-013  9.01513E-015  2.38438E-020  5.05978E-014  1.08904E-011  1.14858E-011  3.55832E-031  1.88028E-035  1.00000E-040  8.59714E-031  5.51768E-013  2.71770E-022  6.46502E-023  6.96876E-018  8.31142E-025  1.58716E-025  1.00000E-040  3.44378E-038  7.43887E-028  6.06042E-037  5.69653E-029  1.00000E-040  3.48890E-040  7.09262E-026  4.76508E-015  1.78452E-035  1.00000E-040  3.89242E-022  9.29637E-018  5.08633E-019  1.12440E-014  6.91221E-026  7.37482E-011  1.00000E-040  1.52950E-017  1.00000E-040  4.69420E-025  1.00072E-030  2.44438E-023  2.36771E-025  9.83050E-010  1.66076E-023  7.92115E-022  3.17895E-013  1.86859E-014  1.00000E-040  1.94358E-035  1.27539E-024  1.00000E-040  3.52572E-022  3.55249E-011  9.40589E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.15071E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07560E-024  1.00000E-040  1.00000E-040  1.52620E-021  4.98779E-007  2.61868E-004  5.65117E-014  4.22405E-016  2.12005E-001  3.08350E-008  2.83046E-004  3.77668E-023  2.12235E-011  1.00000E-040  1.00000E-040  7.56053E-034  1.48766E-020  7.98016E-007  8.69049E-030  8.14390E-027  1.87889E-040  1.93603E-039  1.00000E-040  1.09430E-013  2.80524E-019  2.94459E-019  1.37765E-011  1.00000E-040  1.00000E-040  3.34015E-010  1.25631E-036  4.97043E-011  2.80572E-030  7.87448E-001  1.64193E-023  9.08632E-014  4.37269E-010  1.00000E-040  1.00000E-040  2.10235E-029  8.84938E-025  1.32995E-014  4.60604E-015  8.02397E-012  1.31515E-015  2.71847E-008  6.44701E-010  4.90965E-008  2.54358E-013  8.46138E-015  2.99382E-020  5.54260E-014  1.02957E-011  5.29521E-012  2.92831E-031  1.88275E-035  1.00000E-040  7.63126E-031  4.64484E-013  2.71830E-022  7.29480E-023  6.37169E-018  1.09245E-024  1.46967E-025  1.00000E-040  3.17831E-038  7.44051E-028  3.78134E-037  5.95596E-029  1.00000E-040  3.30735E-040  7.48287E-026  3.89711E-015  1.24617E-035  1.00000E-040  5.59783E-022  1.19886E-017  6.89941E-019  1.34833E-014  4.84073E-026  7.26782E-011  1.00000E-040  3.31029E-017  1.00000E-040  6.37314E-025  9.01397E-031  2.44492E-023  2.39395E-025  7.56026E-010  1.48581E-023  9.81614E-022  2.79119E-013  1.86908E-014  1.00000E-040  1.94033E-035  7.23364E-025  1.00000E-040  3.10367E-022  3.54578E-011  9.41991E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44417E-005  1.00000E-040  1.00000E-040  2.09789E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.75967E-024  1.00000E-040  1.00000E-040  1.70036E-021  4.98951E-007  1.38971E-004  5.98330E-014  5.34140E-016  2.12031E-001  3.03309E-008  2.83082E-004  4.37985E-023  2.16733E-011  1.00000E-040  1.00000E-040  6.24873E-034  1.26334E-020  7.97720E-007  7.72401E-030  7.85847E-027  2.94101E-037  3.22413E-036  1.00000E-040  7.43014E-014  2.11688E-019  3.67291E-019  1.16210E-011  1.00000E-040  1.00000E-040  3.33841E-010  5.80474E-037  4.96863E-011  4.79773E-030  7.87545E-001  1.73416E-023  8.72125E-014  4.31877E-010  2.67885E-040  1.00000E-040  1.96983E-029  8.91800E-025  2.20172E-014  5.50841E-015  7.86085E-012  1.01124E-015  2.71819E-008  6.01231E-010  5.23649E-008  2.75457E-013  8.05145E-015  4.64715E-020  7.40816E-014  9.93396E-012  2.06363E-012  2.44001E-031  1.94722E-035  1.00000E-040  7.03010E-031  3.90037E-013  2.71863E-022  8.29377E-023  5.88508E-018  1.42314E-024  1.40410E-025  1.00000E-040  2.93368E-038  7.44142E-028  2.27293E-037  6.26991E-029  1.00000E-040  3.28640E-040  8.01607E-026  3.25756E-015  9.21625E-036  9.04460E-037  8.46692E-022  1.70675E-017  9.33363E-019  1.57537E-014  3.44154E-026  7.14965E-011  1.00000E-040  7.61552E-017  1.00000E-040  9.01051E-025  8.18545E-031  2.44522E-023  2.44838E-025  5.42350E-010  1.40697E-023  1.21998E-021  2.44715E-013  1.86927E-014  1.00000E-040  1.93750E-035  4.28810E-025  1.00000E-040  2.73014E-022  3.53961E-011  9.44505E-038  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
