alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.20268E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.82738E-023  1.00000E-040  1.00000E-040  1.68550E-021  4.95285E-007  6.30456E-003  6.17651E-014  5.55422E-017  2.10724E-001  3.56955E-008  2.81322E-004  2.55594E-022  2.68315E-010  1.67311E-040  1.00000E-040  4.44170E-033  4.99414E-020  8.00380E-007  2.46144E-028  1.00000E-040  2.08608E-032  1.89542E-031  7.74095E-037  6.30274E-012  2.08685E-017  9.36156E-019  3.01831E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.45017E-034  4.93517E-011  2.77998E-031  7.82688E-001  1.50205E-023  5.49893E-014  5.40397E-010  1.00000E-040  1.00000E-040  2.77933E-029  5.08100E-025  1.27815E-012  4.78704E-016  1.69476E-011  1.19316E-014  8.11276E-007  1.93766E-009  2.42398E-008  1.08340E-011  1.02392E-013  3.88834E-019  1.75241E-012  1.86032E-011  2.95533E-011  1.00000E-040  1.00000E-040  1.00000E-040  3.96803E-028  3.35663E-013  4.04711E-020  1.98090E-023  1.56786E-017  2.62190E-025  2.63481E-025  1.00000E-040  5.20672E-038  3.41076E-032  2.12679E-040  5.79519E-027  1.00000E-040  6.56363E-040  5.52516E-026  2.01678E-016  1.35916E-034  3.62918E-037  7.23789E-023  1.85827E-017  1.63733E-018  3.62745E-015  7.89292E-025  6.45808E-011  1.00000E-040  5.27147E-019  1.00000E-040  1.47108E-025  1.46045E-030  7.07615E-023  2.18425E-025  5.96941E-011  2.58686E-023  2.72480E-022  1.80525E-013  2.22580E-014  2.30893E-039  8.58078E-040  3.87235E-023  1.00000E-040  1.16452E-021  3.53171E-011  1.51373E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94104E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.58247E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.01562E-023  1.00000E-040  1.00000E-040  1.53655E-021  4.95906E-007  4.80717E-003  6.47207E-014  6.37314E-017  2.11041E-001  3.41576E-008  2.81749E-004  1.12305E-022  1.04899E-010  1.00000E-040  1.00000E-040  4.06829E-033  4.58983E-020  7.99003E-007  1.65974E-028  1.00000E-040  7.59146E-037  4.11723E-036  7.75260E-037  2.95343E-012  1.09915E-017  6.23936E-019  6.31228E-011  1.00000E-040  1.00000E-040  3.33877E-010  9.02757E-035  4.92236E-011  5.34322E-031  7.83868E-001  2.17680E-023  1.22274E-013  5.02646E-010  1.00000E-040  4.83470E-040  2.46303E-029  4.99301E-025  3.14149E-014  7.23922E-016  1.36550E-011  1.05303E-014  8.12374E-007  1.65504E-009  2.35518E-008  1.52977E-012  3.69759E-014  2.67489E-019  7.71023E-013  2.62838E-011  3.38386E-011  2.82686E-028  5.23381E-033  4.09257E-031  3.17575E-028  8.30249E-013  4.05321E-020  2.01633E-023  1.41060E-017  3.03766E-025  1.93222E-025  1.00000E-040  5.08586E-038  3.41586E-032  1.56679E-040  5.38949E-027  1.00000E-040  3.25222E-040  3.58069E-026  1.39412E-015  1.16260E-034  9.83541E-033  9.58995E-023  1.34036E-017  5.91034E-019  4.14914E-015  4.98993E-025  6.57226E-011  1.00000E-040  8.83037E-019  1.00000E-040  1.76444E-025  1.26022E-030  7.08681E-023  1.56544E-025  7.75759E-010  5.87876E-023  3.40254E-022  3.79987E-013  2.24455E-014  6.90346E-040  8.61379E-040  2.84188E-023  1.00000E-040  1.13228E-021  3.49671E-011  1.51589E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87896E-004  1.00000E-040  1.00000E-040  2.71479E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07086E-023  1.00000E-040  1.00000E-040  1.66763E-021  4.96281E-007  3.82589E-003  7.56890E-014  7.69170E-017  2.11249E-001  3.25166E-008  2.82030E-004  4.87355E-023  3.81507E-011  1.00000E-040  1.00000E-040  4.94478E-033  4.98249E-020  7.97609E-007  1.18753E-028  1.00000E-040  1.44725E-036  1.15687E-035  7.76023E-037  1.36855E-012  6.30068E-018  4.40084E-019  4.40837E-011  1.00000E-040  1.00000E-040  3.33792E-010  6.97603E-035  4.91000E-011  9.57760E-031  7.84641E-001  2.74415E-023  1.38160E-013  4.70334E-010  1.00000E-040  1.00000E-040  2.18817E-029  4.80341E-025  6.38797E-015  9.37185E-016  1.20146E-011  9.73473E-015  8.13035E-007  1.42420E-009  2.34001E-008  4.51678E-013  2.25204E-014  1.92669E-019  3.49591E-013  3.10507E-011  3.53201E-011  1.93010E-028  5.28651E-033  4.40124E-033  2.76855E-028  9.44725E-013  4.05721E-020  2.08842E-023  1.25034E-017  3.76513E-025  1.53763E-025  1.00000E-040  4.89621E-038  3.41915E-032  1.06107E-040  5.19009E-027  1.00000E-040  3.49072E-040  3.47067E-026  4.57713E-015  1.33867E-034  3.96118E-034  1.34515E-022  1.00634E-017  2.46108E-019  4.52538E-015  3.80500E-025  6.63156E-011  1.00000E-040  1.45641E-018  1.00000E-040  2.26601E-025  1.10159E-030  7.09380E-023  1.29957E-025  1.35761E-009  4.92517E-023  4.25674E-022  4.52092E-013  2.25863E-014  4.66411E-040  8.52481E-040  2.59553E-023  1.00000E-040  1.08031E-021  3.46555E-011  1.51699E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86469E+019  2.70798E+002  1.00000E+005  5.44513E-004  1.00000E-040  1.00000E-040  1.62499E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.34881E-023  1.00000E-040  1.00000E-040  1.84984E-021  4.96761E-007  2.94983E-003  8.40839E-014  9.61425E-017  2.11435E-001  3.11254E-008  2.82281E-004  4.22131E-023  2.86056E-011  1.00000E-040  1.00000E-040  5.38793E-033  5.10631E-020  7.96515E-007  7.94971E-029  1.00000E-040  1.43191E-032  1.40906E-031  7.76704E-037  6.38794E-013  3.44180E-018  3.10362E-019  3.07283E-011  1.00000E-040  1.00000E-040  3.33703E-010  5.01193E-035  4.89976E-011  1.41312E-030  7.85331E-001  2.95187E-023  1.38353E-013  4.43309E-010  1.00000E-040  1.00000E-040  1.96160E-029  4.66743E-025  6.01835E-015  1.16984E-015  1.17757E-011  7.76203E-015  8.13594E-007  1.26910E-009  2.40814E-008  4.13745E-013  2.58385E-014  1.27442E-019  2.15805E-013  3.74168E-011  3.36836E-011  1.60258E-028  5.41707E-033  4.44384E-035  2.43903E-028  8.59108E-013  4.06078E-020  2.20214E-023  1.11730E-017  4.66818E-025  1.35832E-025  1.00000E-040  4.66169E-038  3.42204E-032  1.00000E-040  5.21195E-027  1.00000E-040  3.59098E-040  3.64799E-026  5.44514E-015  1.37772E-034  1.00000E-040  1.77791E-022  7.58002E-018  2.94286E-019  5.19298E-015  3.08689E-025  6.56766E-011  1.00000E-040  2.33191E-018  1.00000E-040  2.80717E-025  9.84509E-031  7.10004E-023  1.23325E-025  1.53623E-009  3.91748E-023  5.41397E-022  4.29064E-013  2.26788E-014  1.36880E-039  8.39631E-040  2.16944E-023  1.00000E-040  1.01402E-021  3.43901E-011  1.51793E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13446E-001  1.67621E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.86946E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.86831E-024  1.00000E-040  1.00000E-040  2.00350E-021  4.97396E-007  2.07914E-003  8.88288E-014  1.22801E-016  2.11620E-001  3.00355E-008  2.82530E-004  5.84500E-023  3.52939E-011  1.00000E-040  1.00000E-040  5.08179E-033  4.80284E-020  7.95769E-007  5.19331E-029  1.00000E-040  1.00000E-040  1.00000E-040  7.77380E-037  3.05477E-013  1.86066E-018  2.34303E-019  2.15698E-011  1.00000E-040  1.00000E-040  3.33641E-010  3.14390E-035  4.89198E-011  1.92543E-030  7.86016E-001  2.94950E-023  1.32091E-013  4.21162E-010  1.00000E-040  1.00000E-040  1.78417E-029  4.57469E-025  1.05838E-014  1.45389E-015  1.18293E-011  5.78855E-015  8.14130E-007  1.16371E-009  2.55994E-008  5.58262E-013  3.20313E-014  7.32227E-020  2.69702E-013  4.54792E-011  2.85275E-011  1.40314E-028  5.44345E-033  4.24382E-037  2.16166E-028  7.22537E-013  4.06433E-020  2.36335E-023  1.00617E-017  5.79666E-025  1.24539E-025  1.00000E-040  4.40104E-038  3.42485E-032  1.00000E-040  5.43189E-027  1.00000E-040  3.51608E-040  3.85690E-026  4.19591E-015  1.21329E-034  1.41621E-033  2.27790E-022  6.19314E-018  4.88406E-019  6.32365E-015  2.44890E-025  6.38079E-011  1.00000E-040  3.89516E-018  1.00000E-040  3.44702E-025  9.47863E-031  7.10624E-023  1.22097E-025  1.34299E-009  3.00632E-023  6.99660E-022  3.73463E-013  2.27372E-014  1.00000E-040  8.30784E-040  1.57487E-023  1.00000E-040  9.37720E-022  3.41719E-011  1.51871E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.44954E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.55242E-024  1.00000E-040  1.00000E-040  2.19184E-021  4.98049E-007  1.37615E-003  9.19529E-014  1.59760E-016  2.11769E-001  2.91757E-008  2.82731E-004  9.27331E-023  5.03693E-011  1.00000E-040  1.00000E-040  4.47422E-033  4.33044E-020  7.95178E-007  3.52542E-029  1.00000E-040  1.00000E-040  1.00000E-040  7.77925E-037  1.50657E-013  1.05490E-018  1.96026E-019  1.53041E-011  1.00000E-040  1.00000E-040  3.33546E-010  1.82246E-035  4.88565E-011  2.61374E-030  7.86570E-001  2.90392E-023  1.22142E-013  4.03129E-010  1.00000E-040  1.00000E-040  1.66283E-029  4.51581E-025  2.68097E-014  1.79188E-015  1.22561E-011  4.35481E-015  8.14509E-007  1.11422E-009  2.78459E-008  8.46575E-013  3.95430E-014  4.20948E-020  5.65641E-013  5.70183E-011  2.31425E-011  1.26624E-028  5.42552E-033  3.86772E-039  1.94511E-028  5.72506E-013  4.06720E-020  2.57964E-023  9.10815E-018  7.31656E-025  1.14932E-025  1.00000E-040  4.12929E-038  3.42703E-032  1.00000E-040  5.81341E-027  1.00000E-040  3.38378E-040  4.13461E-026  2.64578E-015  9.89460E-035  1.00000E-040  2.89049E-022  5.65924E-018  8.96971E-019  7.93975E-015  1.92661E-025  6.09541E-011  1.00000E-040  6.78184E-018  1.00000E-040  4.27754E-025  1.20875E-030  7.11124E-023  1.22051E-025  8.97916E-010  2.29623E-023  9.13864E-022  3.04926E-013  2.27710E-014  1.00000E-040  8.26486E-040  1.05500E-023  1.00000E-040  8.55939E-022  3.39908E-011  1.51903E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  1.00150E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.53645E-024  1.00000E-040  1.00000E-040  2.42133E-021  4.98626E-007  8.42268E-004  9.32560E-014  2.08499E-016  2.11882E-001  2.84108E-008  2.82885E-004  1.45072E-022  7.14331E-011  1.00000E-040  1.00000E-040  3.61758E-033  3.69239E-020  7.94679E-007  2.52519E-029  1.00000E-040  1.00000E-040  1.00000E-040  7.78339E-037  7.67323E-014  6.36106E-019  1.85345E-019  1.09825E-011  1.00000E-040  1.00000E-040  3.33410E-010  9.45421E-036  4.88042E-011  3.52680E-030  7.86991E-001  2.76630E-023  1.05492E-013  3.88485E-010  1.00000E-040  1.00000E-040  1.61166E-029  4.47639E-025  1.08593E-013  2.14101E-015  1.29720E-011  3.28636E-015  8.14727E-007  1.06729E-009  3.06418E-008  1.37507E-012  4.51375E-014  2.59254E-020  1.34916E-012  7.24217E-011  1.76445E-011  1.24374E-028  5.41165E-033  1.00000E-040  1.76772E-028  4.02706E-013  4.06938E-020  2.85972E-023  8.25178E-018  9.53056E-025  1.05678E-025  1.00000E-040  3.85779E-038  3.42856E-032  1.00000E-040  6.31009E-027  1.00000E-040  3.18281E-040  4.57453E-026  1.43878E-015  7.31967E-035  1.41872E-033  3.69715E-022  5.92868E-018  1.72590E-018  1.00406E-014  1.50048E-025  5.74369E-011  1.00000E-040  1.27374E-017  1.00000E-040  5.40729E-025  2.77742E-030  7.11504E-023  1.22053E-025  3.81295E-010  1.75163E-023  1.19393E-021  2.22019E-013  2.27897E-014  1.00000E-040  8.22259E-040  6.46206E-024  1.00000E-040  7.72907E-022  3.38401E-011  1.51894E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10558E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.31148E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.08469E-024  1.00000E-040  1.00000E-040  2.64784E-021  4.98998E-007  4.82799E-004  9.97580E-014  2.71178E-016  2.11958E-001  2.75427E-008  2.82988E-004  1.57013E-022  6.85233E-011  1.00000E-040  1.00000E-040  3.15403E-033  3.24313E-020  7.94202E-007  2.05227E-029  1.00000E-040  2.57328E-032  2.71900E-031  7.78616E-037  3.97041E-014  4.37417E-019  2.07224E-019  7.94034E-012  1.00000E-040  1.00000E-040  3.33221E-010  4.83199E-036  4.87588E-011  5.05985E-030  7.87274E-001  2.56322E-023  7.56367E-014  3.76514E-010  1.00000E-040  1.00000E-040  1.64731E-029  4.43101E-025  7.85030E-013  2.41050E-015  1.22285E-011  2.59544E-015  8.14777E-007  9.18403E-010  3.36986E-008  2.04854E-012  3.75637E-014  2.12901E-020  3.14885E-012  9.18623E-011  1.19059E-011  1.52182E-028  5.70033E-033  1.00000E-040  1.70045E-028  2.08330E-013  4.07085E-020  3.21239E-023  7.43842E-018  1.30483E-024  9.91275E-026  1.00000E-040  3.59495E-038  3.42943E-032  1.00000E-040  6.85726E-027  1.00000E-040  3.14225E-040  5.59374E-026  7.53341E-016  5.78441E-035  1.00000E-040  5.11018E-022  7.42876E-018  2.17325E-018  1.20547E-014  1.14462E-025  5.36356E-011  1.00000E-040  2.70831E-017  1.00000E-040  7.38012E-025  1.00539E-029  7.11760E-023  1.21435E-025  5.74664E-011  1.42779E-023  1.54658E-021  1.25058E-013  2.27993E-014  1.00000E-040  8.09902E-040  4.16543E-024  1.00000E-040  6.92394E-022  3.37126E-011  1.51831E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.41290E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.80194E-024  1.00000E-040  1.00000E-040  2.74904E-021  4.99143E-007  2.61868E-004  1.14476E-013  3.50283E-016  2.12005E-001  2.65374E-008  2.83052E-004  8.85968E-023  3.34004E-011  1.00000E-040  1.00000E-040  3.08366E-033  2.99741E-020  7.93736E-007  1.91131E-029  1.00000E-040  2.67305E-036  2.31827E-035  7.78785E-037  2.07006E-014  3.45684E-019  2.73210E-019  5.79925E-012  1.00000E-040  1.00000E-040  3.32986E-010  2.49260E-036  4.87196E-011  7.97206E-030  7.87448E-001  2.35558E-023  4.27629E-014  3.66816E-010  1.00000E-040  1.21790E-040  1.80166E-029  4.38725E-025  2.73039E-012  2.51452E-015  8.91380E-012  2.16389E-015  8.14685E-007  6.59903E-010  3.68147E-008  2.70099E-012  2.49166E-014  2.56852E-020  6.54051E-012  1.15548E-010  5.32564E-012  2.27848E-028  6.37792E-033  1.00000E-040  1.73980E-028  7.45653E-014  4.07176E-020  3.64880E-023  6.69114E-018  1.84087E-024  9.64559E-026  1.00000E-040  3.34710E-038  3.42974E-032  1.00000E-040  7.41042E-027  1.00000E-040  3.32151E-040  7.15436E-026  4.24100E-016  5.08268E-035  1.54605E-032  7.80288E-022  1.10974E-017  1.17993E-018  1.36028E-014  8.24725E-026  5.00107E-011  1.00000E-040  6.57497E-017  1.00000E-040  1.09566E-024  4.24591E-029  7.11917E-023  1.21463E-025  7.58527E-012  1.26699E-023  1.97866E-021  5.19350E-014  2.28039E-014  1.00000E-040  7.88403E-040  2.94349E-024  1.00000E-040  6.17629E-022  3.36050E-011  1.51723E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67494E+018  2.30808E+002  9.61769E+004  8.44419E-005  1.00000E-040  1.00000E-040  1.89915E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.38463E-024  1.00000E-040  1.00000E-040  3.00246E-021  4.99175E-007  1.38971E-004  1.28775E-013  4.53924E-016  2.12031E-001  2.56032E-008  2.83089E-004  6.01701E-023  1.97394E-011  1.00000E-040  1.00000E-040  2.87731E-033  2.70366E-020  7.93274E-007  1.84858E-029  1.00000E-040  2.13463E-040  1.85627E-039  7.78877E-037  1.11015E-014  2.83281E-019  3.78395E-019  4.33350E-012  1.00000E-040  1.00000E-040  3.32706E-010  1.22350E-036  4.86866E-011  1.27888E-029  7.87545E-001  2.20978E-023  2.35567E-014  3.59121E-010  1.00000E-040  1.46430E-040  2.13447E-029  4.42629E-025  5.71681E-012  2.47602E-015  6.67737E-012  1.78131E-015  8.14473E-007  4.45147E-010  4.01038E-008  3.80117E-012  1.81188E-014  3.73293E-020  1.19870E-011  1.44558E-010  2.01350E-012  3.56161E-028  7.07531E-033  1.00000E-040  1.74961E-028  2.31210E-014  4.07227E-020  4.19492E-023  6.08628E-018  2.51707E-024  9.58355E-026  1.00000E-040  3.11502E-038  3.42961E-032  1.00000E-040  7.99347E-027  1.00000E-040  3.51063E-040  8.50951E-026  2.47399E-016  4.24377E-035  9.65383E-033  1.19535E-021  1.75303E-017  9.59569E-019  1.52898E-014  5.89089E-026  4.68988E-011  1.00000E-040  1.60785E-016  1.00000E-040  1.58286E-024  1.93504E-028  7.12004E-023  1.24406E-025  2.47093E-012  1.12920E-023  2.51732E-021  1.83621E-014  2.28057E-014  1.00000E-040  7.68556E-040  1.98569E-024  1.00000E-040  5.50047E-022  3.35148E-011  1.51567E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
