alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.19207E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49987E-023  1.00000E-040  1.00000E-040  1.26780E-021  4.95285E-007  6.30456E-003  4.66634E-014  8.24060E-017  2.10724E-001  3.70594E-008  2.81322E-004  1.68235E-022  2.30515E-010  1.00000E-040  1.00000E-040  2.53450E-033  3.77305E-020  8.00380E-007  8.55218E-029  1.11914E-026  1.00000E-040  4.40146E-040  1.00000E-040  7.72434E-012  1.18406E-017  8.63690E-019  3.36943E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.10505E-034  4.97901E-011  1.50191E-031  7.82689E-001  1.05395E-023  3.84902E-014  5.50595E-010  1.00000E-040  1.00000E-040  9.01276E-030  2.51171E-025  1.38399E-012  6.17709E-016  1.43635E-011  1.07299E-014  2.70425E-007  1.72482E-009  3.95247E-008  1.29665E-011  2.03962E-013  3.65120E-019  1.77657E-012  1.79815E-011  2.77823E-011  1.00000E-040  1.00000E-040  5.54767E-035  1.00000E-040  2.92159E-013  1.00000E-040  9.98473E-024  1.48639E-017  2.09501E-025  1.62731E-025  1.00000E-040  1.46394E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.25453E-040  2.83360E-026  1.31407E-016  7.75553E-035  2.83975E-039  5.79993E-023  1.71542E-017  1.15955E-018  3.59038E-015  6.42115E-025  6.84984E-011  1.00000E-040  4.01797E-019  1.00000E-040  1.15385E-025  4.53331E-031  3.20660E-023  1.40628E-025  3.90375E-011  2.18172E-023  1.99985E-022  1.64769E-013  1.90807E-014  1.00000E-040  1.00000E-040  2.28868E-023  1.00000E-040  6.96834E-022  3.61226E-011  1.43799E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94104E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.57003E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.64278E-024  1.00000E-040  1.00000E-040  1.18643E-021  4.96026E-007  4.80718E-003  4.72002E-014  9.62546E-017  2.11041E-001  3.58056E-008  2.81748E-004  9.73630E-023  1.20218E-010  1.00000E-040  1.00000E-040  2.16689E-033  3.35002E-020  7.99646E-007  6.15943E-029  1.10664E-026  1.00000E-040  1.00000E-040  1.00000E-040  4.04563E-012  6.54473E-018  6.16922E-019  6.97696E-011  1.00000E-040  1.00000E-040  3.33984E-010  6.65353E-035  4.97103E-011  2.69951E-031  7.83868E-001  1.48944E-023  9.98233E-014  5.20905E-010  1.00000E-040  1.00000E-040  8.66045E-030  2.46867E-025  5.26899E-014  1.04262E-015  1.28304E-011  9.18440E-015  2.70800E-007  1.58930E-009  3.91494E-008  1.89942E-012  6.63982E-014  2.41263E-019  8.83443E-013  2.30183E-011  3.06590E-011  1.00000E-040  1.00000E-040  6.82344E-037  1.00000E-040  7.52138E-013  1.00000E-040  1.00471E-023  1.36421E-017  2.39488E-025  1.16365E-025  1.00000E-040  1.41971E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17268E-040  1.67582E-026  8.55212E-016  6.19234E-035  3.31048E-039  7.40734E-023  1.32623E-017  6.46667E-019  4.25208E-015  4.20477E-025  6.96082E-011  1.00000E-040  6.50359E-019  1.00000E-040  1.34995E-025  4.31436E-031  3.21143E-023  9.79800E-026  5.06848E-010  4.73878E-023  2.57344E-022  3.44747E-013  1.92548E-014  1.00000E-040  1.00000E-040  1.57886E-023  1.00000E-040  6.73372E-022  3.58613E-011  1.44016E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87895E-004  1.00000E-040  1.00000E-040  2.70170E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.12951E-024  1.00000E-040  1.00000E-040  1.29561E-021  4.96438E-007  3.82590E-003  5.60303E-014  1.16553E-016  2.11249E-001  3.43471E-008  2.82029E-004  4.22724E-023  4.32097E-011  1.00000E-040  1.00000E-040  2.71352E-033  3.69381E-020  7.98780E-007  4.95366E-029  1.08534E-026  1.00000E-040  1.00000E-040  1.00000E-040  2.09295E-012  4.16464E-018  4.85778E-019  5.18760E-011  1.00000E-040  1.00000E-040  3.33994E-010  5.22447E-035  4.96281E-011  5.11588E-031  7.84641E-001  1.96374E-023  1.21370E-013  4.95166E-010  1.00000E-040  1.00000E-040  8.09869E-030  2.33352E-025  7.50157E-015  1.40420E-015  1.11344E-011  8.69082E-015  2.71028E-007  1.41464E-009  3.91164E-008  4.36789E-013  2.30935E-014  1.74690E-019  4.25953E-013  2.27791E-011  3.20975E-011  1.00000E-040  1.00000E-040  7.79139E-039  1.00000E-040  9.54580E-013  1.00000E-040  1.01814E-023  1.21345E-017  2.97129E-025  8.31422E-026  1.00000E-040  1.35294E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.25536E-040  1.51025E-026  3.65094E-015  7.34615E-035  2.00860E-039  1.06073E-022  1.11174E-017  2.26942E-019  4.68044E-015  3.20946E-025  7.06414E-011  1.00000E-040  1.08973E-018  1.00000E-040  1.77449E-025  3.99238E-031  3.21460E-023  7.07869E-026  1.04067E-009  4.29041E-023  3.26395E-022  4.50813E-013  1.93906E-014  1.00000E-040  1.00000E-040  1.46695E-023  1.00000E-040  6.36166E-022  3.56251E-011  1.44158E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86469E+019  2.70798E+002  1.00000E+005  5.44512E-004  1.00000E-040  1.00000E-040  1.61716E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.14192E-023  1.00000E-040  1.00000E-040  1.42800E-021  4.96881E-007  2.94983E-003  6.25070E-014  1.43741E-016  2.11435E-001  3.30227E-008  2.82279E-004  2.78797E-023  2.45086E-011  1.00000E-040  1.00000E-040  2.98326E-033  3.80359E-020  7.98112E-007  3.67381E-029  1.05833E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.09044E-012  2.49987E-018  3.72210E-019  3.85218E-011  1.00000E-040  1.00000E-040  3.33992E-010  3.77159E-035  4.95604E-011  7.83055E-031  7.85331E-001  2.18460E-023  1.24518E-013  4.73465E-010  1.00000E-040  1.00000E-040  7.42130E-030  2.19715E-025  4.30653E-015  1.75807E-015  1.06918E-011  7.20184E-015  2.71223E-007  1.25683E-009  3.98092E-008  2.68244E-013  1.75104E-014  1.17582E-019  2.19513E-013  2.27058E-011  3.10502E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.23864E-013  1.00000E-040  1.03893E-023  1.07812E-017  3.69534E-025  6.56350E-026  1.00000E-040  1.27228E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.25666E-040  1.51562E-026  6.05075E-015  7.62831E-035  4.50837E-039  1.42781E-022  9.09926E-018  2.01483E-019  5.33992E-015  2.58379E-025  7.09507E-011  1.00000E-040  1.75343E-018  1.00000E-040  2.21847E-025  3.61271E-031  3.21742E-023  6.04790E-026  1.31675E-009  3.65083E-023  4.13130E-022  4.57675E-013  1.94805E-014  1.00000E-040  1.00000E-040  1.23322E-023  1.00000E-040  5.89424E-022  3.54228E-011  1.44286E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.84601E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.04499E-024  1.00000E-040  1.00000E-040  1.51333E-021  4.97431E-007  2.07914E-003  6.55283E-014  1.78702E-016  2.11620E-001  3.19203E-008  2.82528E-004  2.96622E-023  2.32059E-011  1.00000E-040  1.00000E-040  2.77226E-033  3.55160E-020  7.97697E-007  2.59293E-029  1.02784E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.82389E-013  1.45108E-018  2.94223E-019  2.88264E-011  1.00000E-040  1.00000E-040  3.34009E-010  2.34883E-035  4.95111E-011  1.05398E-030  7.86017E-001  2.17235E-023  1.20867E-013  4.55600E-010  1.00000E-040  1.00000E-040  6.70301E-030  2.06617E-025  5.17915E-015  2.16157E-015  1.03763E-011  5.30250E-015  2.71410E-007  1.11370E-009  4.12815E-008  2.81415E-013  1.76750E-014  6.91557E-020  1.45592E-013  2.31101E-011  2.67475E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.18263E-013  1.00000E-040  1.06789E-023  9.61247E-018  4.57622E-025  5.51977E-026  1.00000E-040  1.18474E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17149E-040  1.51603E-026  6.02505E-015  6.61885E-035  1.62481E-038  1.85391E-022  7.78595E-018  2.71636E-019  6.41883E-015  2.01055E-025  7.03966E-011  1.00000E-040  2.90815E-018  1.00000E-040  2.70902E-025  3.21141E-031  3.22023E-023  5.58842E-026  1.32226E-009  2.96383E-023  5.23442E-022  4.21622E-013  1.95372E-014  1.00000E-040  1.00000E-040  8.81369E-024  1.00000E-040  5.36562E-022  3.52559E-011  1.44413E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.43775E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.84804E-024  1.00000E-040  1.00000E-040  1.59347E-021  4.97983E-007  1.37615E-003  6.70918E-014  2.24636E-016  2.11769E-001  3.10196E-008  2.82729E-004  3.85099E-023  2.70882E-011  1.00000E-040  1.00000E-040  2.38868E-033  3.16826E-020  7.97357E-007  1.84602E-029  9.95213E-027  1.00000E-040  1.00000E-040  1.00000E-040  3.20933E-013  8.58231E-019  2.48540E-019  2.18293E-011  1.00000E-040  1.00000E-040  3.33985E-010  1.34720E-035  4.94705E-011  1.40072E-030  7.86571E-001  2.11519E-023  1.14769E-013  4.40972E-010  1.00000E-040  1.00000E-040  6.00107E-030  1.94079E-025  8.70317E-015  2.64400E-015  1.01818E-011  3.85573E-015  2.71546E-007  1.01361E-009  4.34811E-008  3.53095E-013  1.93929E-014  4.11422E-020  1.57883E-013  2.48923E-011  2.20870E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.96860E-013  1.00000E-040  1.10708E-023  8.60921E-018  5.73045E-025  4.73622E-026  1.00000E-040  1.09570E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.06108E-040  1.51335E-026  4.69963E-015  5.28248E-035  1.00000E-040  2.39035E-022  7.18553E-018  4.11492E-019  7.92329E-015  1.52556E-025  6.90858E-011  1.00000E-040  5.01043E-018  1.00000E-040  3.32767E-025  2.82011E-031  3.22250E-023  5.26146E-026  1.11723E-009  2.38974E-023  6.64700E-022  3.71534E-013  1.95703E-014  1.00000E-040  1.00000E-040  5.77242E-024  1.00000E-040  4.81104E-022  3.51151E-011  1.44489E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  9.96680E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.93297E-024  1.00000E-040  1.00000E-040  1.68151E-021  4.98495E-007  8.42269E-004  6.77728E-014  2.83280E-016  2.11882E-001  3.02709E-008  2.82882E-004  5.36771E-023  3.40917E-011  1.00000E-040  1.00000E-040  1.91609E-033  2.69131E-020  7.97040E-007  1.35160E-029  9.61470E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.82876E-013  5.26404E-019  2.31290E-019  1.67652E-011  1.00000E-040  1.00000E-040  3.33913E-010  6.96314E-036  4.94356E-011  1.92408E-030  7.86991E-001  2.05662E-023  1.06540E-013  4.29000E-010  1.00000E-040  1.00000E-040  5.35197E-030  1.82075E-025  1.88569E-014  3.20540E-015  1.01212E-011  2.83547E-015  2.71630E-007  9.44962E-010  4.63309E-008  4.83088E-013  2.18312E-014  2.69468E-020  2.62561E-013  2.81364E-011  1.71304E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.70883E-013  1.00000E-040  1.15894E-023  7.74707E-018  7.34991E-025  4.07202E-026  1.00000E-040  1.00880E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.51422E-026  3.15172E-015  3.87693E-035  2.83081E-039  3.14347E-022  7.41166E-018  6.69482E-019  9.87051E-015  1.12898E-025  6.71977E-011  1.00000E-040  9.37598E-018  1.00000E-040  4.20035E-025  2.45758E-031  3.22422E-023  4.96548E-026  7.81772E-010  1.94325E-023  8.43591E-022  3.15090E-013  1.95890E-014  1.00000E-040  1.00000E-040  3.48951E-024  1.00000E-040  4.26109E-022  3.49948E-011  1.44520E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.29559E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.53229E-024  1.00000E-040  1.00000E-040  1.82312E-021  4.98911E-007  4.82799E-004  6.88556E-014  3.58856E-016  2.11958E-001  2.96016E-008  2.82985E-004  7.58005E-023  4.32625E-011  1.00000E-040  1.00000E-040  1.50759E-033  2.24550E-020  7.96694E-007  1.04094E-029  9.27349E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.07621E-013  3.41544E-019  2.37942E-019  1.30761E-011  1.00000E-040  1.00000E-040  3.33786E-010  3.38110E-036  4.94032E-011  2.77497E-030  7.87274E-001  2.01147E-023  9.65154E-014  4.19125E-010  1.00000E-040  1.00000E-040  4.77827E-030  1.71006E-025  5.45582E-014  3.82571E-015  1.02629E-011  2.11643E-015  2.71659E-007  8.90273E-010  4.97274E-008  6.93321E-013  2.41613E-014  2.34957E-020  5.12543E-013  3.29588E-011  1.17254E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.40524E-013  1.00000E-040  1.22582E-023  7.00742E-018  9.66883E-025  3.52123E-026  1.00000E-040  9.26371E-039  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.54405E-026  1.93256E-015  2.76487E-035  1.00000E-040  4.26893E-022  8.54882E-018  1.13356E-018  1.21712E-014  8.30306E-026  6.49148E-011  1.00000E-040  1.89353E-017  1.00000E-040  5.49706E-025  2.13640E-031  3.22538E-023  4.69290E-026  4.14047E-010  1.62292E-023  1.06917E-021  2.52148E-013  1.95988E-014  1.00000E-040  1.00000E-040  2.03680E-024  1.00000E-040  3.74057E-022  3.48890E-011  1.44520E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.37814E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.34390E-024  1.00000E-040  1.00000E-040  2.00719E-021  4.99186E-007  2.61868E-004  7.15800E-014  4.56115E-016  2.12005E-001  2.89232E-008  2.83049E-004  9.28575E-023  4.71528E-011  1.00000E-040  1.00000E-040  1.21052E-033  1.88052E-020  7.96309E-007  8.57374E-030  8.93454E-027  1.00000E-040  1.00000E-040  1.00000E-040  6.54328E-014  2.37971E-019  2.72459E-019  1.03828E-011  1.00000E-040  1.00000E-040  3.33607E-010  1.58022E-036  4.93725E-011  4.22463E-030  7.87448E-001  1.96289E-023  8.21335E-014  4.10898E-010  1.00000E-040  1.00000E-040  4.29167E-030  1.61227E-025  2.25580E-013  4.44386E-015  1.01751E-011  1.61222E-015  2.71641E-007  8.11086E-010  5.35540E-008  9.74917E-013  2.36957E-014  2.86308E-020  1.01373E-012  3.93071E-011  5.32049E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.00912E-013  1.00000E-040  1.30990E-023  6.37084E-018  1.29159E-024  3.10167E-026  1.00000E-040  8.50061E-039  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.65101E-026  1.13450E-015  1.99524E-035  1.54524E-038  6.08990E-022  1.10987E-017  1.69592E-018  1.46005E-014  6.07272E-026  6.24225E-011  1.00000E-040  4.16622E-017  1.00000E-040  7.53131E-025  1.86296E-031  3.22609E-023  4.45386E-026  1.30365E-010  1.41838E-023  1.35115E-021  1.81423E-013  1.96035E-014  1.00000E-040  1.00000E-040  1.19372E-024  1.00000E-040  3.26786E-022  3.47941E-011  1.44514E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44419E-005  1.00000E-040  1.00000E-040  2.05816E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.92321E-024  1.00000E-040  1.00000E-040  2.13686E-021  4.99297E-007  1.38971E-004  7.87912E-014  5.84500E-016  2.12031E-001  2.81619E-008  2.83085E-004  6.75151E-023  2.99201E-011  1.00000E-040  1.00000E-040  1.08099E-033  1.65998E-020  7.95874E-007  7.79849E-030  8.59696E-027  1.00000E-040  1.00000E-040  1.00000E-040  4.11995E-014  1.83365E-019  3.50906E-019  8.40812E-012  1.00000E-040  1.00000E-040  3.33380E-010  7.58877E-037  4.93425E-011  6.81666E-030  7.87545E-001  1.88581E-023  6.03281E-014  4.03851E-010  1.00000E-040  1.00000E-040  3.89159E-030  1.53184E-025  8.70692E-013  4.96215E-015  8.57234E-012  1.28083E-015  2.71585E-007  6.71499E-010  5.78020E-008  1.17871E-012  1.80523E-014  4.42850E-020  1.90597E-012  4.73703E-011  2.05480E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.65331E-013  1.00000E-040  1.41550E-023  5.82037E-018  1.71275E-024  2.84000E-026  1.00000E-040  7.79866E-039  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.90812E-026  6.87807E-016  1.59436E-035  2.72666E-037  9.33707E-022  1.63260E-017  1.29366E-018  1.68343E-014  4.38525E-026  5.98732E-011  1.00000E-040  9.96012E-017  1.00000E-040  1.08699E-024  1.63796E-031  3.22649E-023  4.27271E-026  2.17919E-011  1.34053E-023  1.70587E-021  1.10458E-013  1.96052E-014  1.00000E-040  1.00000E-040  7.60220E-025  1.00000E-040  2.84916E-022  3.47053E-011  1.44485E-037  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
