alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00952E+000  2.54748E+019  2.87026E+002  1.00000E+005  6.69245E-004  1.00000E-040  1.00000E-040  2.16159E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.69846E-023  1.00000E-040  1.00000E-040  1.51143E-021  4.95285E-007  6.30456E-003  5.50916E-014  8.47578E-017  2.10724E-001  3.66346E-008  2.81322E-004  2.10825E-022  2.41275E-010  1.00000E-040  1.00000E-040  3.53361E-033  4.45452E-020  8.00380E-007  1.18613E-028  1.40608E-026  1.00000E-040  1.00000E-040  1.00000E-040  6.86545E-012  1.31912E-017  9.08033E-019  3.18200E-011  1.00000E-040  1.00000E-040  3.33822E-010  1.29967E-034  4.95892E-011  2.18434E-031  7.82689E-001  1.30981E-023  4.86585E-014  5.45814E-010  1.00000E-040  1.00000E-040  9.29881E-030  2.56429E-025  1.30874E-012  7.00755E-016  1.60371E-011  1.05475E-014  2.70425E-007  1.84704E-009  3.73125E-008  1.13331E-011  1.65499E-013  3.78408E-019  1.74721E-012  1.79171E-011  2.87716E-011  4.04666E-031  4.02023E-036  1.00000E-040  5.19387E-031  3.24974E-013  4.55682E-023  1.01422E-023  1.53190E-017  2.40341E-025  1.73815E-025  1.00000E-040  1.70499E-038  7.23867E-029  5.07088E-037  8.98083E-030  1.00000E-040  1.51213E-040  2.81698E-026  1.74444E-016  1.08128E-034  3.01379E-039  6.98264E-023  1.80332E-017  1.45192E-018  3.57311E-015  7.30092E-025  6.98504E-011  1.00000E-040  4.72453E-019  1.00000E-040  1.34663E-025  4.68292E-031  2.85575E-023  1.51596E-025  5.16884E-011  2.43250E-023  2.37700E-022  1.77814E-013  2.12960E-014  1.00000E-040  1.82645E-036  2.82305E-023  1.00000E-040  7.84682E-022  3.57457E-011  4.45663E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94104E-001  2.30773E+019  2.80621E+002  1.00000E+005  8.78346E-004  1.00000E-040  1.00000E-040  2.53429E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.51485E-024  1.00000E-040  1.00000E-040  1.37910E-021  4.95978E-007  4.80718E-003  5.62622E-014  9.82825E-017  2.11041E-001  3.52105E-008  2.81749E-004  1.03726E-022  1.07166E-010  1.00000E-040  1.00000E-040  3.07621E-033  3.99176E-020  7.99363E-007  8.02342E-029  1.38825E-026  1.00000E-040  1.00000E-040  1.00000E-040  3.39094E-012  6.99185E-018  6.19578E-019  6.62712E-011  1.00000E-040  1.00000E-040  3.33942E-010  7.89314E-035  4.94885E-011  3.99609E-031  7.83868E-001  1.85964E-023  1.13473E-013  5.12616E-010  1.00000E-040  1.00000E-040  8.88652E-030  2.49684E-025  3.87641E-014  1.10046E-015  1.34964E-011  9.23176E-015  2.70797E-007  1.62593E-009  3.68031E-008  1.56985E-012  5.19454E-014  2.55462E-019  8.09207E-013  2.22882E-011  3.23782E-011  2.36659E-031  4.32070E-036  1.00000E-040  4.15304E-031  8.16818E-013  4.56368E-023  1.01696E-023  1.38818E-017  2.74514E-025  1.17336E-025  1.00000E-040  1.65144E-038  7.24957E-029  3.85236E-037  8.49911E-030  1.00000E-040  1.41378E-040  1.73603E-026  1.20630E-015  8.79092E-035  3.46891E-039  9.01787E-023  1.33177E-017  6.43969E-019  4.16515E-015  4.64984E-025  7.10934E-011  1.00000E-040  7.71763E-019  1.00000E-040  1.58181E-025  4.43196E-031  2.86006E-023  9.79069E-026  6.82354E-010  5.36535E-023  2.98496E-022  3.73395E-013  2.14804E-014  1.00000E-040  1.84748E-036  1.98454E-023  1.00000E-040  7.56682E-022  3.54453E-011  4.46335E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.90346E-001  2.07593E+019  2.75754E+002  1.00000E+005  5.87896E-004  1.00000E-040  1.00000E-040  2.66414E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.93461E-024  1.00000E-040  1.00000E-040  1.47824E-021  4.96364E-007  3.82590E-003  6.53814E-014  1.18659E-016  2.11249E-001  3.36197E-008  2.82029E-004  4.28005E-023  3.72794E-011  1.00000E-040  1.00000E-040  3.69279E-033  4.30756E-020  7.98278E-007  5.92865E-029  1.35879E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.66313E-012  4.15805E-018  4.55986E-019  4.78617E-011  1.00000E-040  1.00000E-040  3.33917E-010  6.06440E-035  4.93895E-011  7.21485E-031  7.84641E-001  2.38041E-023  1.30790E-013  4.84253E-010  1.00000E-040  1.00000E-040  8.24170E-030  2.34287E-025  6.03642E-015  1.44133E-015  1.17109E-011  8.77865E-015  2.71023E-007  1.40678E-009  3.67698E-008  3.80229E-013  2.04096E-014  1.84089E-019  3.67355E-013  2.21680E-011  3.37836E-011  1.72374E-031  4.55126E-036  1.00000E-040  3.64558E-031  9.69622E-013  4.56818E-023  1.02450E-023  1.22774E-017  3.36570E-025  8.16463E-026  1.00000E-040  1.57048E-038  7.25672E-029  2.65842E-037  8.24142E-030  1.00000E-040  1.47074E-040  1.60075E-026  4.69840E-015  9.99727E-035  2.29375E-039  1.26319E-022  1.04338E-017  2.34486E-019  4.57593E-015  3.50943E-025  7.20925E-011  1.00000E-040  1.26549E-018  1.00000E-040  2.02548E-025  4.06728E-031  2.86288E-023  6.98506E-026  1.29972E-009  4.61905E-023  3.72364E-022  4.61650E-013  2.16207E-014  1.00000E-040  1.84263E-036  1.79630E-023  1.00000E-040  7.12768E-022  3.51779E-011  4.46775E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.97163E-001  1.86469E+019  2.70798E+002  1.00000E+005  5.44512E-004  1.00000E-040  1.00000E-040  1.59467E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.23116E-023  1.00000E-040  1.00000E-040  1.60823E-021  4.96811E-007  2.94983E-003  7.17703E-014  1.46542E-016  2.11435E-001  3.22212E-008  2.82280E-004  3.02393E-023  2.29778E-011  1.00000E-040  1.00000E-040  3.93009E-033  4.36359E-020  7.97443E-007  4.10541E-029  1.32226E-026  1.00000E-040  1.00000E-040  1.00000E-040  8.25759E-013  2.36253E-018  3.32115E-019  3.46081E-011  1.00000E-040  1.00000E-040  3.33885E-010  4.30702E-035  4.93087E-011  1.05556E-030  7.85331E-001  2.57018E-023  1.31938E-013  4.60623E-010  1.00000E-040  1.00000E-040  7.47889E-030  2.18892E-025  3.89622E-015  1.79315E-015  1.12382E-011  7.14929E-015  2.71215E-007  1.23283E-009  3.75762E-008  2.58808E-013  1.71433E-014  1.22484E-019  1.81019E-013  2.24148E-011  3.23724E-011  1.44271E-031  4.65930E-036  1.00000E-040  3.18153E-031  9.11789E-013  4.57220E-023  1.03645E-023  1.08871E-017  4.12317E-025  6.43570E-026  1.00000E-040  1.47309E-038  7.26310E-029  1.85374E-037  8.22801E-030  1.00000E-040  1.43746E-040  1.59493E-026  7.08472E-015  1.00494E-034  6.82003E-039  1.66820E-022  8.11702E-018  2.26530E-019  5.24175E-015  2.79995E-025  7.21968E-011  1.00000E-040  2.00305E-018  1.00000E-040  2.48327E-025  3.64456E-031  2.86539E-023  5.99748E-026  1.59587E-009  3.76598E-023  4.66558E-022  4.54037E-013  2.17135E-014  1.00000E-040  1.81927E-036  1.47416E-023  1.00000E-040  6.58069E-022  3.49510E-011  4.47168E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.13445E-001  1.67620E+019  2.65073E+002  1.00000E+005  5.48662E-004  1.00000E-040  1.00000E-040  4.77862E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.32803E-024  1.00000E-040  1.00000E-040  1.68872E-021  4.97389E-007  2.07914E-003  7.44910E-014  1.83083E-016  2.11620E-001  3.10871E-008  2.82529E-004  3.38607E-023  2.31378E-011  1.00000E-040  1.00000E-040  3.57900E-033  4.03334E-020  7.96905E-007  2.75558E-029  1.28161E-026  2.72256E-037  2.83829E-036  1.00000E-040  4.22195E-013  1.31992E-018  2.54631E-019  2.52809E-011  1.00000E-040  1.00000E-040  3.33877E-010  2.65527E-035  4.92491E-011  1.38234E-030  7.86017E-001  2.51082E-023  1.27000E-013  4.41353E-010  1.00000E-040  1.00000E-040  6.68257E-030  2.03787E-025  4.91368E-015  2.20988E-015  1.08947E-011  5.21885E-015  2.71399E-007  1.08863E-009  3.92606E-008  2.83225E-013  1.79190E-014  7.09919E-020  1.20635E-013  2.32197E-011  2.75954E-011  1.23843E-031  4.61659E-036  1.00000E-040  2.74906E-031  7.97270E-013  4.57619E-023  1.05350E-023  9.70160E-018  5.04173E-025  5.40344E-026  1.00000E-040  1.36778E-038  7.26944E-029  1.30053E-037  8.43734E-030  1.00000E-040  1.31348E-040  1.57431E-026  6.74178E-015  8.54496E-035  1.26269E-038  2.13601E-022  6.73559E-018  3.12252E-019  6.33292E-015  2.16270E-025  7.13496E-011  1.00000E-040  3.28842E-018  1.00000E-040  2.99606E-025  3.20505E-031  2.86790E-023  5.52094E-026  1.57670E-009  2.95481E-023  5.88017E-022  4.11840E-013  2.17725E-014  1.00000E-040  1.79712E-036  1.03863E-023  1.00000E-040  5.96615E-022  3.47650E-011  4.47558E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.38325E-001  1.50567E+019  2.58959E+002  1.00000E+005  4.58186E-004  1.00000E-040  1.00000E-040  2.40385E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.03118E-024  1.00000E-040  1.00000E-040  1.76784E-021  4.97982E-007  1.37615E-003  7.57701E-014  2.31830E-016  2.11769E-001  3.01834E-008  2.82730E-004  4.46624E-023  2.76740E-011  1.00000E-040  1.00000E-040  3.04313E-033  3.57409E-020  7.96472E-007  1.89842E-029  1.23848E-026  1.00000E-040  1.39846E-040  1.00000E-040  2.23566E-013  7.63813E-019  2.12569E-019  1.87295E-011  1.00000E-040  1.00000E-040  3.33832E-010  1.51287E-035  4.92004E-011  1.80882E-030  7.86571E-001  2.42269E-023  1.19923E-013  4.25705E-010  1.00000E-040  1.00000E-040  5.91489E-030  1.89146E-025  8.45014E-015  2.71921E-015  1.06990E-011  3.80080E-015  2.71532E-007  9.94692E-010  4.17599E-008  3.62636E-013  2.00557E-014  4.14056E-020  1.41587E-013  2.54762E-011  2.25552E-011  1.06239E-031  4.52103E-036  1.00000E-040  2.39785E-031  6.74344E-013  4.57941E-023  1.07805E-023  8.68733E-018  6.25362E-025  4.60623E-026  1.00000E-040  1.26088E-038  7.27456E-029  9.03573E-038  8.83831E-030  1.00000E-040  1.16787E-040  1.54823E-026  5.11489E-015  6.72979E-035  2.49857E-038  2.72410E-022  6.14199E-018  4.75665E-019  7.85690E-015  1.63258E-025  6.97143E-011  1.00000E-040  5.62763E-018  1.00000E-040  3.65244E-025  2.78285E-031  2.86992E-023  5.14655E-026  1.31724E-009  2.31560E-023  7.45208E-022  3.59968E-013  2.18073E-014  1.00000E-040  1.78257E-036  6.75086E-024  1.00000E-040  5.32457E-022  3.46093E-011  4.47873E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.70946E-001  1.35247E+019  2.52208E+002  1.00000E+005  3.57571E-004  1.00000E-040  1.00000E-040  9.82816E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.05104E-024  1.00000E-040  1.00000E-040  1.86067E-021  4.98541E-007  8.42269E-004  7.61894E-014  2.94862E-016  2.11882E-001  2.94491E-008  2.82883E-004  6.27179E-023  3.53555E-011  1.00000E-040  1.00000E-040  2.41851E-033  3.02191E-020  7.96086E-007  1.36589E-029  1.19406E-026  1.71259E-037  1.83623E-036  1.00000E-040  1.22817E-013  4.65162E-019  1.98614E-019  1.40996E-011  1.00000E-040  1.00000E-040  3.33741E-010  7.78309E-036  4.91593E-011  2.45910E-030  7.86991E-001  2.34203E-023  1.10842E-013  4.12996E-010  1.00000E-040  1.00000E-040  5.21357E-030  1.75093E-025  1.86612E-014  3.31907E-015  1.06675E-011  2.80991E-015  2.71611E-007  9.35876E-010  4.49858E-008  5.03338E-013  2.29302E-014  2.63215E-020  2.56233E-013  2.92902E-011  1.73336E-011  9.12677E-032  4.43099E-036  1.00000E-040  2.12441E-031  5.49578E-013  4.58186E-023  1.11280E-023  7.81455E-018  7.96686E-025  3.92257E-026  1.00000E-040  1.15663E-038  7.27844E-029  6.07224E-038  9.39891E-030  1.00000E-040  1.01711E-040  1.52479E-026  3.36031E-015  4.89352E-035  2.05031E-038  3.54972E-022  6.35942E-018  7.76442E-019  9.83976E-015  1.20467E-025  6.74995E-011  1.00000E-040  1.04814E-017  1.00000E-040  4.58750E-025  2.39708E-031  2.87145E-023  4.79580E-026  9.11728E-010  1.83723E-023  9.45682E-022  3.03509E-013  2.18271E-014  1.00000E-040  1.77514E-036  4.06398E-024  1.00000E-040  4.69074E-022  3.44775E-011  4.48112E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.10557E-001  1.21303E+019  2.45143E+002  1.00000E+005  2.46531E-004  1.00000E-040  1.00000E-040  3.24974E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.62422E-024  1.00000E-040  1.00000E-040  2.01760E-021  4.99000E-007  4.82799E-004  7.70882E-014  3.76827E-016  2.11958E-001  2.87986E-008  2.82986E-004  8.94226E-023  4.56330E-011  1.00000E-040  1.00000E-040  1.88714E-033  2.51081E-020  7.95688E-007  1.04553E-029  1.14921E-026  7.40285E-037  8.01406E-036  1.00000E-040  6.98750E-014  3.02914E-019  2.07397E-019  1.07977E-011  1.00000E-040  1.00000E-040  3.33596E-010  3.76348E-036  4.91222E-011  3.51147E-030  7.87274E-001  2.27732E-023  9.99296E-014  4.02594E-010  1.00000E-040  1.00000E-040  4.60062E-030  1.62141E-025  5.55752E-014  3.98388E-015  1.08716E-011  2.10855E-015  2.71635E-007  8.91403E-010  4.88206E-008  7.32369E-013  2.57005E-014  2.20846E-020  5.29977E-013  3.47973E-011  1.17721E-011  8.06598E-032  4.40012E-036  1.00000E-040  1.92208E-031  4.21155E-013  4.58350E-023  1.16023E-023  7.06360E-018  1.04302E-024  3.35386E-026  1.00000E-040  1.05780E-038  7.28106E-029  3.90668E-038  1.00860E-029  1.00000E-040  1.00000E-040  1.52979E-026  2.02205E-015  3.46096E-035  8.88819E-039  4.77853E-022  7.44397E-018  1.32394E-018  1.22019E-014  8.85160E-026  6.49040E-011  1.00000E-040  2.10785E-017  1.00000E-040  5.97722E-025  2.05971E-031  2.87248E-023  4.46921E-026  4.74116E-010  1.50036E-023  1.19941E-021  2.41018E-013  2.18376E-014  1.00000E-040  1.76946E-036  2.36412E-024  1.00000E-040  4.09272E-022  3.43629E-011  4.48273E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.56522E-001  1.08543E+019  2.37903E+002  1.00000E+005  1.53688E-004  1.00000E-040  1.00000E-040  7.27528E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.42225E-024  1.00000E-040  1.00000E-040  2.21870E-021  4.99306E-007  2.61868E-004  7.97386E-014  4.82935E-016  2.12005E-001  2.81263E-008  2.83050E-004  1.10294E-022  5.04515E-011  1.00000E-040  1.00000E-040  1.50015E-033  2.09212E-020  7.95260E-007  8.60908E-030  1.10470E-026  2.18479E-037  2.45094E-036  1.00000E-040  4.11678E-014  2.12952E-019  2.42153E-019  8.43281E-012  1.00000E-040  1.00000E-040  3.33402E-010  1.75008E-036  4.90878E-011  5.26316E-030  7.87448E-001  2.19879E-023  8.40227E-014  3.93997E-010  1.00000E-040  1.00000E-040  4.08590E-030  1.50649E-025  2.45894E-013  4.63909E-015  1.08136E-011  1.61248E-015  2.71613E-007  8.16039E-010  5.31281E-008  1.04339E-012  2.52922E-014  2.59999E-020  1.09357E-012  4.19375E-011  5.30989E-012  7.78591E-032  4.48767E-036  1.00000E-040  1.79007E-031  2.82277E-013  4.58451E-023  1.22244E-023  6.41388E-018  1.38851E-024  2.91613E-026  1.00000E-040  9.66374E-039  7.28266E-029  2.37685E-038  1.08645E-029  1.00000E-040  1.00000E-040  1.61208E-026  1.15991E-015  2.47264E-035  1.00000E-040  6.75191E-022  9.85357E-018  1.99725E-018  1.47214E-014  6.46375E-026  6.21270E-011  1.00000E-040  4.61426E-017  1.00000E-040  8.13829E-025  1.77583E-031  2.87311E-023  4.17697E-026  1.40897E-010  1.28330E-023  1.51677E-021  1.70168E-013  2.18426E-014  1.00000E-040  1.75720E-036  1.37848E-024  1.00000E-040  3.55139E-022  3.42610E-011  4.48372E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.08306E-001  9.67493E+018  2.30808E+002  9.61769E+004  8.44420E-005  1.00000E-040  1.00000E-040  1.96770E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.15953E-024  1.00000E-040  1.00000E-040  2.32634E-021  4.99424E-007  1.38971E-004  8.75737E-014  6.23507E-016  2.12031E-001  2.73446E-008  2.83086E-004  7.64188E-023  3.06992E-011  1.00000E-040  1.00000E-040  1.33354E-033  1.84253E-020  7.94791E-007  7.87379E-030  1.06044E-026  1.00000E-040  1.91814E-040  1.00000E-040  2.51615E-014  1.66367E-019  3.19190E-019  6.72915E-012  1.00000E-040  1.00000E-040  3.33158E-010  8.38517E-037  4.90549E-011  8.31756E-030  7.87545E-001  2.07350E-023  5.96395E-014  3.86691E-010  1.00000E-040  1.00000E-040  3.66631E-030  1.40954E-025  1.00183E-012  5.16732E-015  8.92075E-012  1.28755E-015  2.71551E-007  6.65778E-010  5.78900E-008  1.25620E-012  1.88958E-014  3.94106E-020  2.11922E-012  5.09054E-011  2.02271E-012  8.74683E-032  4.80886E-036  1.00000E-040  1.75734E-031  1.47481E-013  4.58507E-023  1.30297E-023  5.84801E-018  1.83593E-024  2.63559E-026  1.00000E-040  8.82401E-039  7.28356E-029  1.35699E-038  1.17264E-029  1.00000E-040  1.00000E-040  1.84306E-026  6.87607E-016  1.96684E-035  1.03704E-037  1.02847E-021  1.48358E-017  1.44318E-018  1.70407E-014  4.62512E-026  5.93358E-011  1.00000E-040  1.10039E-016  1.00000E-040  1.16706E-024  1.54453E-031  2.87347E-023  3.94157E-026  2.11348E-011  1.19244E-023  1.91566E-021  9.91601E-014  2.18444E-014  1.00000E-040  1.73220E-036  8.77319E-025  1.00000E-040  3.07375E-022  3.41668E-011  4.48427E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
