alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00966E+000  2.54480E+019  2.87368E+002  1.00000E+005  6.86918E-004  1.00000E-040  1.00000E-040  2.77405E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.77041E-021  1.00000E-040  1.00000E-040  1.83983E-019  4.95216E-007  6.44336E-003  7.12287E-014  3.34754E-015  2.10694E-003  3.40889E-008  2.81282E-004  2.45083E-020  2.33310E-010  1.00000E-040  1.00000E-040  5.99739E-029  5.83123E-018  8.00268E-007  5.18037E-024  1.88257E-022  1.56593E-035  1.30958E-034  1.00000E-040  5.67018E-012  3.49085E-017  9.37099E-017  2.84908E-011  6.45231E-039  1.00000E-040  3.33775E-010  1.69950E-032  4.87975E-011  5.15219E-027  9.91167E-001  2.07902E-021  6.55704E-014  5.08089E-010  1.00000E-040  1.00000E-040  9.29297E-026  2.54705E-021  1.42441E-012  2.57385E-014  1.65048E-011  1.39814E-014  2.70388E-007  1.91446E-009  1.50430E-008  9.86085E-012  5.84312E-014  4.14348E-019  2.02644E-012  1.74638E-011  3.06605E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.81753E-013  1.00000E-040  1.13329E-019  1.28074E-015  2.98167E-023  7.97780E-022  6.53264E-037  1.66404E-033  1.00000E-040  1.00000E-040  1.00000E-040  1.45732E-038  1.94839E-034  2.75813E-022  2.43981E-016  1.45520E-032  1.18855E-033  1.11443E-022  1.91504E-015  1.40857E-016  3.14604E-015  7.71076E-023  8.72019E-011  1.00000E-040  5.83181E-019  1.25600E-038  1.60600E-023  4.83291E-026  4.65344E-018  4.55256E-022  4.54998E-011  2.80896E-021  3.00230E-022  1.92004E-013  2.46376E-014  1.47029E-039  1.00000E-040  5.72830E-021  1.00000E-040  5.69095E-021  3.43143E-011  3.09780E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97432E-001  2.31352E+019  2.80961E+002  1.00000E+005  8.98490E-004  1.00000E-040  1.00000E-040  3.24721E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.02575E-021  1.00000E-040  1.00000E-040  1.77780E-019  4.95860E-007  4.90844E-003  7.39197E-014  3.82248E-015  2.11019E-003  3.27304E-008  2.81721E-004  1.42065E-020  1.21603E-010  1.00000E-040  1.00000E-040  5.36664E-029  5.28303E-018  7.97961E-007  1.47246E-023  1.96785E-022  1.56325E-035  1.20798E-034  1.00000E-040  2.49938E-012  1.73451E-017  7.23631E-017  5.98412E-011  1.35448E-038  1.00000E-040  3.29439E-010  1.04704E-032  4.85951E-011  1.10150E-026  9.92698E-001  3.29922E-021  1.37747E-013  4.38044E-010  1.00000E-040  1.00000E-040  8.76204E-026  2.47289E-021  4.55983E-014  3.83157E-014  1.46975E-011  1.24218E-014  2.70104E-007  1.79865E-009  1.45984E-008  1.34743E-012  2.21033E-014  2.90599E-019  8.41532E-013  2.08674E-011  3.58488E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.39160E-013  1.00000E-040  1.12844E-019  1.19370E-015  3.49342E-023  7.56214E-022  6.53562E-037  1.31770E-033  1.00000E-040  1.00000E-040  1.00000E-040  2.85755E-038  1.84577E-034  1.82338E-022  1.70776E-015  1.21613E-032  1.33125E-033  1.47197E-022  1.30098E-015  7.43773E-017  3.61824E-015  5.07225E-023  8.93735E-011  1.00000E-040  9.68083E-019  1.35900E-038  1.91189E-023  4.03118E-026  4.66063E-018  4.67774E-022  4.15770E-010  6.35105E-021  3.75507E-022  4.12050E-013  2.48569E-014  1.08451E-039  1.00000E-040  4.16116E-021  1.00000E-040  4.63827E-021  3.38348E-011  3.10134E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.96208E-001  2.08852E+019  2.76124E+002  1.00000E+005  6.02220E-004  1.00000E-040  1.00000E-040  3.41676E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.12038E-021  1.00000E-040  1.00000E-040  2.10867E-019  4.96280E-007  3.90186E-003  8.82522E-014  4.77901E-015  2.11232E-003  3.12578E-008  2.82011E-004  1.24958E-020  8.87582E-011  1.00000E-040  1.00000E-040  6.77543E-029  5.83430E-018  7.95637E-007  2.55956E-023  2.03611E-022  1.44896E-035  1.01582E-034  1.00000E-040  1.07112E-012  9.18563E-018  6.43674E-017  4.01581E-011  2.72328E-038  1.00000E-040  3.24611E-010  8.27597E-033  4.83960E-011  2.24690E-026  9.93702E-001  4.58237E-021  1.57844E-013  3.72455E-010  1.00000E-040  1.00000E-040  7.91817E-026  2.28340E-021  9.51232E-015  5.00728E-014  1.46725E-011  1.19255E-014  2.69602E-007  1.75809E-009  1.50555E-008  3.55347E-013  1.25372E-014  2.11898E-019  3.35011E-013  2.02860E-011  3.78057E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07461E-012  1.00000E-040  1.12320E-019  1.12071E-015  4.48289E-023  7.14191E-022  6.53177E-037  9.40337E-034  1.00000E-040  1.00000E-040  1.00000E-040  5.07144E-038  1.94179E-034  1.70581E-022  6.01650E-015  1.45512E-032  1.55224E-033  2.13550E-022  9.40570E-016  7.54553E-017  3.96430E-015  4.11653E-023  9.15087E-011  1.00000E-040  1.62657E-018  1.58647E-038  2.50972E-023  3.47636E-026  4.66534E-018  4.49546E-022  6.34477E-010  5.21993E-021  4.88140E-022  4.92362E-013  2.50304E-014  9.31002E-040  1.00000E-040  3.96309E-021  1.00000E-040  3.57627E-021  3.33916E-011  3.10051E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.04988E-001  1.88286E+019  2.71195E+002  1.00000E+005  5.51183E-004  1.00000E-040  1.00000E-040  2.11389E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.68779E-021  1.00000E-040  1.00000E-040  2.58605E-019  4.96724E-007  3.01493E-003  1.04852E-013  6.48467E-015  2.11419E-003  2.98304E-008  2.82266E-004  1.46880E-020  8.73567E-011  1.00000E-040  1.00000E-040  8.41369E-029  6.37220E-018  7.93620E-007  4.04873E-023  2.03593E-022  1.57815E-035  1.05251E-034  1.00000E-040  4.46717E-013  4.56590E-018  6.77562E-017  2.66771E-011  4.57628E-038  1.00000E-040  3.19420E-010  6.37120E-033  4.82170E-011  4.42569E-026  9.94587E-001  5.98048E-021  1.68147E-013  3.11471E-010  1.00000E-040  1.00000E-040  6.89378E-026  2.05396E-021  7.95723E-015  6.49610E-014  1.54304E-011  1.02156E-014  2.68988E-007  1.72334E-009  1.68543E-008  2.58502E-013  1.21658E-014  1.42385E-019  1.40403E-013  1.99047E-011  3.66628E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.02500E-012  1.00000E-040  1.11424E-019  1.06328E-015  5.92376E-023  6.57701E-022  6.52478E-037  6.00401E-034  1.00000E-040  1.00000E-040  1.00000E-040  8.14571E-038  1.97822E-034  1.65681E-022  8.92728E-015  1.70742E-032  1.89764E-033  3.08702E-022  7.12670E-016  1.01913E-016  4.54218E-015  3.47271E-023  9.28278E-011  1.00000E-040  2.77977E-018  1.78341E-038  3.30967E-023  3.01238E-026  4.66950E-018  4.06047E-022  6.37885E-010  4.23238E-021  6.75490E-022  4.85157E-013  2.51516E-014  9.12691E-040  1.00000E-040  3.77546E-021  1.00000E-040  2.57528E-021  3.29932E-011  3.09514E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.22723E-001  1.69904E+019  2.65466E+002  1.00000E+005  5.59787E-004  1.00000E-040  1.00000E-040  5.72210E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.33412E-022  1.00000E-040  1.00000E-040  3.05414E-019  4.97225E-007  2.12382E-003  1.20901E-013  9.31134E-015  2.11607E-003  2.84439E-008  2.82522E-004  1.68125E-020  8.56510E-011  1.00000E-040  1.00000E-040  9.40812E-029  6.51130E-018  7.92011E-007  6.02265E-023  1.93819E-022  1.31891E-035  7.27590E-035  1.00000E-040  1.83200E-013  2.21573E-018  8.52785E-017  1.78315E-011  6.28455E-038  1.00000E-040  3.13930E-010  4.36024E-033  4.80653E-011  9.04428E-026  9.95476E-001  7.76815E-021  1.76187E-013  2.55661E-010  1.00000E-040  1.00000E-040  5.79963E-026  1.79044E-021  1.17142E-014  8.53596E-014  1.58076E-011  8.18752E-015  2.68290E-007  1.63033E-009  2.01948E-008  2.73186E-013  1.31521E-014  8.26978E-020  7.96939E-014  1.95975E-011  3.14126E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.45657E-013  1.00000E-040  1.09776E-019  1.00625E-015  7.94137E-023  5.84269E-022  6.51615E-037  3.35950E-034  1.00000E-040  1.00000E-040  1.00000E-040  1.16570E-037  1.88021E-034  1.54243E-022  9.19580E-015  1.78284E-032  2.39142E-033  4.45934E-022  6.16142E-016  1.29081E-016  5.53119E-015  2.72212E-023  9.32171E-011  1.00000E-040  5.07235E-018  1.91336E-038  4.38269E-023  2.48587E-026  4.67367E-018  3.44155E-022  5.13443E-010  3.37710E-021  9.84064E-022  4.56244E-013  2.52324E-014  7.29684E-040  1.00000E-040  3.25590E-021  1.00000E-040  1.67462E-021  3.26458E-011  3.08333E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.48636E-001  1.53183E+019  2.59412E+002  1.00000E+005  4.64567E-004  1.00000E-040  1.00000E-040  2.94924E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.65246E-022  1.00000E-040  1.00000E-040  3.49490E-019  4.97651E-007  1.40948E-003  1.36584E-013  1.38398E-014  2.11757E-003  2.70729E-008  2.82728E-004  1.76754E-020  7.82532E-011  1.00000E-040  1.00000E-040  9.85347E-029  6.39563E-018  7.90637E-007  8.62038E-023  1.74640E-022  1.13562E-035  5.07607E-035  1.00000E-040  7.45714E-014  1.14447E-018  1.20178E-016  1.22622E-011  7.47528E-038  1.00000E-040  3.08126E-010  2.77509E-033  4.79330E-011  1.95977E-025  9.96189E-001  1.03163E-020  1.83112E-013  2.05547E-010  1.00000E-040  1.00000E-040  4.74037E-026  1.50722E-021  2.22214E-014  1.11835E-013  1.57505E-011  6.60046E-015  2.67457E-007  1.50856E-009  2.51445E-008  3.25459E-013  1.51025E-014  4.88776E-020  8.63214E-014  2.00238E-011  2.58861E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.68777E-013  1.00000E-040  1.07339E-019  9.41751E-016  1.07387E-022  5.01257E-022  6.50515E-037  1.63165E-034  1.00000E-040  1.00000E-040  1.00000E-040  1.52950E-037  1.68506E-034  1.37490E-022  7.83602E-015  1.73119E-032  3.04635E-033  6.40799E-022  6.42136E-016  1.50325E-016  6.96098E-015  1.96890E-023  9.27130E-011  1.00000E-040  9.58155E-018  1.97486E-038  5.80581E-023  1.93942E-026  4.67701E-018  2.73138E-022  3.50377E-010  2.72797E-021  1.47253E-021  4.23487E-013  2.52816E-014  5.43655E-040  1.00000E-040  2.60343E-021  1.00000E-040  9.75907E-022  3.23449E-011  3.06251E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.81937E-001  1.38133E+019  2.52702E+002  1.00000E+005  3.63753E-004  1.00000E-040  1.00000E-040  1.21809E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.15230E-022  1.00000E-040  1.00000E-040  3.76416E-019  4.97973E-007  8.65190E-004  1.48095E-013  2.06168E-014  2.11871E-003  2.57273E-008  2.82885E-004  1.66883E-020  6.57743E-011  1.00000E-040  1.00000E-040  9.08959E-029  5.81647E-018  7.89456E-007  1.20736E-022  1.49076E-022  9.51311E-036  3.20039E-035  1.00000E-040  3.06146E-014  6.46832E-019  1.83430E-016  8.94363E-012  7.68584E-038  1.00000E-040  3.02071E-010  1.54716E-033  4.78191E-011  4.43187E-025  9.96732E-001  1.36804E-020  1.86679E-013  1.61709E-010  1.00000E-040  1.22318E-040  3.79408E-026  1.21910E-021  4.97784E-014  1.42346E-013  1.50515E-011  5.25549E-015  2.66490E-007  1.34770E-009  3.16632E-008  4.12434E-013  1.77346E-014  3.16894E-020  1.52989E-013  2.09837E-011  2.00404E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.95904E-013  1.00000E-040  1.04286E-019  8.66657E-016  1.45857E-022  4.13349E-022  6.49206E-037  6.80806E-035  1.00000E-040  1.00000E-040  1.00000E-040  1.82181E-037  1.38328E-034  1.15809E-022  5.76170E-015  1.46236E-032  3.84578E-033  9.13794E-022  8.47503E-016  1.60338E-016  8.92678E-015  1.27206E-023  9.13760E-011  1.00000E-040  1.91546E-017  1.95132E-038  7.65285E-023  1.40273E-026  4.67956E-018  2.01697E-022  2.04239E-010  2.26126E-021  2.20516E-021  3.88807E-013  2.53101E-014  3.49516E-040  1.00000E-040  1.82702E-021  1.00000E-040  5.04995E-022  3.20885E-011  3.03139E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.21925E-001  1.24389E+019  2.45680E+002  1.00000E+005  2.51646E-004  1.00000E-040  1.00000E-040  4.11694E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.34533E-022  1.00000E-040  1.00000E-040  3.84206E-019  4.98167E-007  4.97629E-004  1.54304E-013  3.03798E-014  2.11948E-003  2.44389E-008  2.82991E-004  1.42569E-020  5.10057E-011  1.00000E-040  1.00000E-040  7.51363E-029  4.96638E-018  7.88396E-007  1.67722E-022  1.21506E-022  7.93455E-036  1.86568E-035  1.00000E-040  1.28757E-014  4.01040E-019  2.91162E-016  7.12383E-012  7.09824E-038  1.00000E-040  2.95841E-010  7.75169E-034  4.77202E-011  1.02821E-024  9.97098E-001  1.78916E-020  1.85551E-013  1.24587E-010  1.00000E-040  1.55948E-040  3.01005E-026  9.47705E-022  1.21640E-013  1.73019E-013  1.38344E-011  4.06092E-015  2.65390E-007  1.16040E-009  3.95611E-008  5.35593E-013  2.04002E-014  2.80660E-020  3.08594E-013  2.23143E-011  1.36586E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.18536E-013  1.00000E-040  1.01055E-019  7.86053E-016  1.97374E-022  3.28825E-022  6.47692E-037  2.43930E-035  1.00000E-040  1.00000E-040  1.00000E-040  2.01338E-037  1.04513E-034  9.26846E-023  3.80187E-015  1.09673E-032  4.79692E-033  1.28219E-021  1.37342E-015  1.57452E-016  1.14207E-014  7.38686E-024  8.92445E-011  1.00000E-040  3.94578E-017  1.86180E-038  9.95043E-023  9.43901E-027  4.68128E-018  1.38123E-022  1.01791E-010  1.97784E-021  3.25494E-021  3.47504E-013  2.53257E-014  1.29272E-040  1.00000E-040  1.13623E-021  1.00000E-040  2.35093E-022  3.18705E-011  2.98862E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.68008E-001  1.11779E+019  2.38460E+002  1.00000E+005  1.57803E-004  1.00000E-040  1.00000E-040  9.49994E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.10884E-022  1.00000E-040  1.00000E-040  3.76342E-019  4.98244E-007  2.70497E-004  1.55876E-013  4.39302E-014  2.11995E-003  2.32487E-008  2.83058E-004  1.11684E-020  3.66792E-011  1.00000E-040  1.00000E-040  5.68660E-029  4.03040E-018  7.87406E-007  2.32716E-022  9.58344E-023  6.63791E-036  9.84477E-036  1.00000E-040  5.62945E-015  2.71346E-019  4.70694E-016  6.27304E-012  6.13141E-038  1.00000E-040  2.89543E-010  3.53663E-034  4.76331E-011  2.45384E-024  9.97325E-001  2.29895E-020  1.78328E-013  9.44425E-011  1.00000E-040  1.85080E-040  2.40212E-026  7.10748E-022  2.85906E-013  1.98300E-013  1.22764E-011  3.03356E-015  2.64174E-007  9.66035E-010  4.85419E-008  6.87977E-013  2.17041E-014  3.64897E-020  5.96825E-013  2.38265E-011  6.01334E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.24651E-013  1.00000E-040  9.80733E-020  7.08577E-016  2.61942E-022  2.54762E-022  6.45994E-037  7.56347E-036  1.00000E-040  1.00000E-040  1.00000E-040  2.11129E-037  7.36819E-035  7.11313E-023  2.34702E-015  7.46551E-033  5.94821E-033  1.78419E-021  2.61082E-015  1.43405E-016  1.42899E-014  3.89882E-024  8.63852E-011  1.00000E-040  8.40652E-017  1.75493E-038  1.27118E-022  5.95706E-027  4.68235E-018  8.81538E-023  4.47238E-011  1.86319E-021  4.69833E-021  2.94788E-013  2.53336E-014  1.00000E-040  1.00000E-040  6.38393E-022  1.00000E-040  1.01125E-022  3.16834E-011  2.93422E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.19687E-001  1.00089E+019  2.31343E+002  9.61769E+004  8.72711E-005  1.00000E-040  1.00000E-040  3.55504E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.99236E-021  1.00000E-040  1.00000E-040  3.66318E-019  4.98222E-007  1.43384E-004  1.56387E-013  6.26615E-014  2.12020E-003  2.21727E-008  2.83096E-004  8.38879E-021  2.52219E-011  1.00000E-040  1.00000E-040  4.20340E-029  3.22865E-018  7.86424E-007  3.23102E-022  7.42276E-023  5.61514E-036  4.63813E-036  1.00000E-040  2.59034E-015  2.10536E-019  7.55427E-016  6.01214E-012  5.26514E-038  1.00000E-040  2.83185E-010  1.54823E-034  4.75529E-011  6.03272E-024  9.97452E-001  2.91339E-020  1.64931E-013  7.09573E-011  1.00000E-040  2.26981E-040  1.95073E-026  5.18642E-022  5.82717E-013  2.12807E-013  1.06970E-011  2.23331E-015  2.62834E-007  7.89155E-010  5.84550E-008  8.73181E-013  2.10713E-014  6.10165E-020  1.04400E-012  2.56341E-011  2.49426E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.07845E-013  1.00000E-040  9.55626E-020  6.41678E-016  3.26945E-022  1.95827E-022  6.44084E-037  2.05410E-036  1.00000E-040  1.00000E-040  1.00000E-040  2.18057E-037  5.02272E-035  5.32735E-023  1.42573E-015  4.93863E-033  7.42872E-033  2.49189E-021  5.40787E-015  1.25394E-016  1.71846E-014  1.93605E-024  8.28766E-011  1.00000E-040  1.83630E-016  1.68408E-038  1.53248E-022  3.62486E-027  4.68294E-018  5.33139E-023  1.92123E-011  1.90088E-021  6.64860E-021  2.30468E-013  2.53372E-014  1.00000E-040  1.00000E-040  3.44346E-022  1.00000E-040  4.21359E-023  3.15159E-011  2.86932E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
