alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00950E+000  2.54785E+019  2.86978E+002  1.00000E+005  6.63852E-004  1.00000E-040  1.00000E-040  9.33143E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.71230E-020  1.00000E-040  1.00000E-040  2.66265E-018  4.95294E-007  6.28529E-003  8.70856E-014  8.12508E-015  2.10728E-004  3.14515E-008  2.81327E-004  3.09278E-019  2.35061E-010  1.00000E-040  1.37186E-040  8.79991E-027  7.01809E-017  8.00396E-007  3.89199E-021  1.87808E-020  2.42122E-031  1.37621E-030  1.50087E-039  4.41343E-012  1.90789E-016  2.36468E-015  3.13479E-011  3.41171E-033  5.19831E-037  3.33828E-010  1.93848E-031  4.67407E-011  2.44263E-024  9.93221E-001  7.05246E-020  1.89980E-013  4.15379E-010  1.00000E-040  3.75426E-037  1.42780E-023  3.87639E-019  9.11253E-013  7.58472E-014  1.90211E-011  1.41965E-014  2.70431E-007  2.13457E-009  2.85797E-009  7.51190E-012  1.50730E-014  4.91443E-019  1.37531E-012  1.53570E-011  3.74243E-011  4.00049E-030  1.23623E-034  1.00000E-040  1.32246E-030  1.94380E-012  5.52213E-025  1.74737E-017  1.77982E-014  3.65162E-022  1.23100E-019  4.92315E-034  1.57543E-030  1.20840E-035  1.00000E-040  1.39344E-029  1.09235E-033  3.61168E-031  2.51077E-020  3.60170E-016  2.12988E-031  4.51564E-031  2.90080E-022  2.51841E-014  1.60759E-015  2.60161E-015  7.80656E-022  1.83267E-010  1.00000E-040  7.06926E-019  2.37363E-036  1.86802E-022  8.26155E-025  3.39249E-018  6.13151E-020  7.66776E-011  3.78926E-020  2.92094E-022  8.89704E-013  5.06143E-014  1.18971E-034  2.71533E-040  9.29112E-020  1.00000E-040  3.66204E-020  3.13451E-011  4.84001E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.97217E-001  2.31579E+019  2.80618E+002  1.00000E+005  8.68385E-004  1.00000E-040  1.00000E-040  1.09172E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.12424E-020  1.00000E-040  1.00000E-040  3.05395E-018  4.95048E-007  4.79429E-003  9.61108E-014  7.52021E-015  2.11031E-004  2.99174E-008  2.81757E-004  1.95703E-019  1.28531E-010  1.00000E-040  1.53243E-040  8.86605E-027  6.73107E-017  7.94707E-007  6.73534E-021  1.84070E-020  2.46650E-031  1.14200E-030  1.50312E-039  1.57951E-012  1.16211E-016  6.46106E-015  6.37962E-011  5.89376E-033  3.89760E-037  2.92612E-010  1.26443E-031  4.62693E-011  5.04950E-024  9.94711E-001  1.05979E-019  2.92618E-013  2.79061E-010  1.00000E-040  6.89346E-037  1.33766E-023  3.79039E-019  3.26138E-014  8.39503E-014  1.76330E-011  1.30248E-014  2.67545E-007  2.03023E-009  2.19202E-009  1.02455E-012  9.34607E-015  3.89912E-019  5.18253E-013  1.85334E-011  4.93165E-011  3.16802E-030  1.68305E-034  2.58455E-036  9.34429E-031  3.19285E-012  5.53046E-025  1.76096E-017  1.70671E-014  4.46399E-022  1.16629E-019  4.91271E-034  1.25186E-030  1.21022E-035  1.00000E-040  1.04895E-029  1.60747E-033  3.66641E-031  1.96180E-020  2.46787E-015  2.00293E-031  4.16879E-031  3.95007E-022  2.95664E-014  9.30984E-016  2.46363E-015  5.84703E-022  1.82262E-010  1.00000E-040  1.23684E-018  2.71258E-036  2.35517E-022  7.90831E-025  3.39755E-018  6.65424E-020  4.25002E-010  8.82684E-020  2.92749E-022  1.41909E-012  5.09545E-014  8.96026E-035  2.83746E-040  7.56422E-020  1.00000E-040  3.36157E-020  3.04695E-011  4.81490E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.95935E-001  2.09052E+019  2.75766E+002  1.00000E+005  5.87953E-004  1.00000E-040  1.00000E-040  1.14667E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.41761E-020  1.00000E-040  1.00000E-040  4.19760E-018  4.94582E-007  3.80602E-003  1.23701E-013  9.17940E-015  2.11228E-004  2.82263E-008  2.82045E-004  2.19783E-019  1.14614E-010  1.00000E-040  2.99166E-040  1.29354E-026  7.96589E-017  7.88895E-007  9.18729E-021  1.60435E-020  1.97454E-031  7.38981E-031  1.50461E-039  5.15673E-013  5.87403E-017  9.06817E-015  4.50761E-011  9.85485E-033  2.27399E-037  2.52493E-010  1.06616E-031  4.57874E-011  9.92519E-024  9.95699E-001  1.33931E-019  3.00239E-013  1.75098E-010  1.00000E-040  1.02557E-036  1.19053E-023  3.54267E-019  1.56753E-014  1.01028E-013  1.91564E-011  1.23282E-014  2.64210E-007  2.07717E-009  2.13790E-009  5.33149E-013  1.03906E-014  3.11973E-019  1.98003E-013  2.01691E-011  5.70611E-011  3.14442E-030  2.01267E-034  1.00000E-040  9.17106E-031  2.69850E-012  5.53595E-025  1.79286E-017  1.71307E-014  6.23423E-022  1.13707E-019  4.88991E-034  8.74188E-031  1.21144E-035  1.00000E-040  1.02599E-029  2.43597E-033  4.20855E-031  2.17334E-020  5.19261E-015  2.76704E-031  4.76830E-031  5.72563E-022  4.16915E-014  1.22101E-015  2.41708E-015  5.51173E-022  1.72774E-010  1.00000E-040  2.23134E-018  3.36359E-036  3.32857E-022  7.21540E-025  3.40084E-018  6.54816E-020  5.42857E-010  8.23698E-020  3.62744E-022  1.27360E-012  5.11990E-014  7.02526E-035  3.02780E-040  8.37248E-020  1.00000E-040  2.85495E-020  2.96068E-011  4.73183E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.04664E-001  1.88444E+019  2.70842E+002  1.00000E+005  5.40896E-004  1.00000E-040  1.00000E-040  7.07579E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.06527E-020  1.00000E-040  1.00000E-040  5.95886E-018  4.94107E-007  2.93054E-003  1.68147E-013  1.53264E-014  2.11400E-004  2.64524E-008  2.82301E-004  3.04848E-019  1.22941E-010  1.00000E-040  6.69820E-040  2.09253E-026  9.91050E-017  7.83298E-007  1.14527E-020  1.20393E-020  1.28434E-031  3.54335E-031  1.50593E-039  1.50496E-013  2.56673E-017  1.16950E-014  3.18551E-011  1.36054E-032  1.02245E-037  2.14625E-010  9.30759E-032  4.53123E-011  2.19624E-023  9.96574E-001  1.67097E-019  2.79871E-013  1.02176E-010  1.00000E-040  1.35237E-036  1.00284E-023  3.15012E-019  2.37842E-014  1.40739E-013  2.14897E-011  1.16079E-014  2.60516E-007  2.12053E-009  2.85877E-009  6.04283E-013  1.39982E-014  2.30712E-019  1.11725E-013  2.29482E-011  5.99787E-011  3.66630E-030  2.57526E-034  1.00000E-040  1.31805E-030  1.72941E-012  5.54077E-025  1.83779E-017  1.79503E-014  9.50210E-022  1.10687E-019  4.85865E-034  4.94738E-031  1.21257E-035  1.00000E-040  1.38229E-029  3.55102E-033  4.84945E-031  2.52048E-020  5.80972E-015  4.22709E-031  6.94983E-031  8.32877E-022  7.01755E-014  1.83159E-015  2.74927E-015  5.14239E-022  1.54096E-010  1.00000E-040  4.33581E-018  4.18602E-036  5.02882E-022  5.91066E-025  3.40370E-018  5.66404E-020  4.61935E-010  8.12966E-020  6.02070E-022  8.41979E-013  5.13553E-014  4.63152E-035  3.18815E-040  1.03237E-019  1.00000E-040  1.99658E-020  2.87671E-011  4.57763E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.22372E-001  1.70020E+019  2.65135E+002  1.00000E+005  5.43581E-004  1.00000E-040  1.00000E-040  2.16861E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.46905E-021  1.00000E-040  1.00000E-040  8.04081E-018  4.93658E-007  2.06329E-003  2.27720E-013  3.02361E-014  2.11570E-004  2.45514E-008  2.82555E-004  4.02432E-019  1.26186E-010  1.00000E-040  1.35074E-039  3.21566E-026  1.18524E-016  7.78108E-007  1.34747E-020  7.59551E-021  6.89476E-032  1.20834E-031  1.50723E-039  4.00176E-014  1.64077E-017  1.41597E-014  2.27254E-011  1.53537E-032  4.32459E-038  1.79863E-010  7.42929E-032  4.48571E-011  5.46801E-023  9.97441E-001  2.09880E-019  2.39518E-013  5.52641E-011  1.00000E-040  1.61721E-036  7.92415E-024  2.58113E-019  5.10228E-014  1.93098E-013  2.32559E-011  1.11681E-014  2.56494E-007  2.05409E-009  4.57838E-009  7.64365E-013  1.99250E-014  1.50755E-019  1.42920E-013  2.64729E-011  5.53838E-011  4.69260E-030  3.39150E-034  1.00000E-040  2.30371E-030  9.18853E-013  5.54549E-025  1.88086E-017  1.91751E-014  1.53625E-021  1.03702E-019  4.82078E-034  2.07206E-031  1.21378E-035  1.00000E-040  2.23607E-029  4.72337E-033  5.08997E-031  2.70467E-020  5.36368E-015  6.06359E-031  1.11908E-030  1.18165E-021  1.22459E-013  2.57451E-015  3.47350E-015  4.08437E-022  1.29424E-010  1.00000E-040  9.21925E-018  4.95369E-036  7.89351E-022  4.22194E-025  3.40646E-018  4.19426E-020  2.97512E-010  8.13154E-020  1.17490E-021  4.48897E-013  5.14534E-014  2.31317E-035  3.20158E-040  1.21484E-019  1.00000E-040  1.08550E-020  2.79683E-011  4.35109E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.48261E-001  1.53296E+019  2.59044E+002  1.00000E+005  4.53405E-004  1.00000E-040  1.00000E-040  1.11285E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.54509E-021  1.00000E-040  1.00000E-040  1.03452E-017  4.93143E-007  1.36430E-003  3.02743E-013  6.10616E-014  2.11704E-004  2.24960E-008  2.82760E-004  4.73236E-019  1.16792E-010  1.00000E-040  2.43197E-039  4.63022E-026  1.36102E-016  7.73297E-007  1.52679E-020  3.98986E-021  3.11097E-032  2.86303E-032  1.50828E-039  1.08207E-014  1.81711E-017  1.56751E-014  1.65752E-011  1.50093E-032  2.27374E-038  1.48723E-010  5.49760E-032  4.44257E-011  1.42064E-022  9.98140E-001  2.57024E-019  1.83128E-013  2.75938E-011  1.00000E-040  1.78461E-036  5.89112E-024  1.90422E-019  1.24480E-013  2.19462E-013  2.40382E-011  1.08513E-014  2.52125E-007  1.88780E-009  7.55743E-009  9.86286E-013  2.91123E-014  1.04383E-019  2.85849E-013  3.10974E-011  4.76842E-011  6.55885E-030  4.42739E-034  1.35860E-037  4.11713E-030  3.96652E-013  5.54918E-025  1.90497E-017  2.03230E-014  2.58191E-021  9.20574E-020  4.77721E-034  6.24760E-032  1.21495E-035  1.00000E-040  3.73408E-029  5.77218E-033  4.70311E-031  2.56180E-020  4.42755E-015  8.08618E-031  1.74362E-030  1.60594E-021  1.93793E-013  3.22912E-015  4.42984E-015  2.69919E-022  1.03220E-010  1.00000E-040  2.04617E-017  5.47816E-036  1.25851E-021  2.69261E-025  3.40857E-018  2.64214E-020  1.61151E-010  8.20297E-020  2.33574E-021  1.90554E-013  5.15110E-014  8.81492E-036  3.03076E-040  1.32789E-019  1.00000E-040  4.92407E-021  2.72234E-011  4.06836E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.81538E-001  1.38232E+019  2.52312E+002  1.00000E+005  3.53487E-004  1.00000E-040  1.00000E-040  4.66798E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.23346E-021  1.00000E-040  1.00000E-040  1.23456E-017  4.92567E-007  8.34334E-004  3.83516E-013  1.16972E-013  2.11801E-004  2.03598E-008  2.82917E-004  4.94856E-019  9.93131E-011  1.00000E-040  3.52813E-039  5.78829E-026  1.43649E-016  7.68931E-007  1.69107E-020  1.77479E-021  1.22354E-032  4.88782E-033  1.50908E-039  4.07185E-015  2.41474E-017  1.62686E-014  1.25723E-011  1.29961E-032  1.43806E-038  1.21511E-010  3.54330E-032  4.40268E-011  3.42739E-022  9.98669E-001  2.80665E-019  1.16825E-013  1.26575E-011  1.00000E-040  1.88706E-036  4.26613E-024  1.25850E-019  2.96009E-013  1.83991E-013  2.34576E-011  1.01576E-014  2.47458E-007  1.62608E-009  1.19518E-008  1.27028E-012  4.06783E-014  8.78889E-020  6.06969E-013  3.60771E-011  3.58199E-011  1.01007E-029  5.56696E-034  1.63482E-035  6.83255E-030  1.27240E-013  5.55184E-025  1.89424E-017  2.08911E-014  4.47888E-021  7.68431E-020  4.72954E-034  1.38048E-032  1.21624E-035  1.00000E-040  5.98228E-029  6.32295E-033  3.68513E-031  2.08810E-020  3.30204E-015  9.24815E-031  2.53628E-030  2.09355E-021  2.74075E-013  3.68466E-015  5.48862E-015  1.45704E-022  7.94473E-011  1.00000E-040  4.76819E-017  5.72654E-036  2.03092E-021  1.57879E-025  3.41005E-018  1.42989E-020  8.10206E-011  8.26522E-020  4.41106E-021  5.94609E-014  5.15454E-014  2.78654E-036  2.69824E-040  1.25590E-019  1.00000E-040  2.01671E-021  2.65477E-011  3.76621E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.21505E-001  1.24474E+019  2.45267E+002  1.00000E+005  2.43594E-004  1.00000E-040  1.00000E-040  1.59204E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.10274E-021  1.00000E-040  1.00000E-040  1.36767E-017  4.91930E-007  4.77952E-004  4.59872E-013  2.09169E-013  2.11860E-004  1.82775E-008  2.83024E-004  4.74317E-019  8.03679E-011  1.00000E-040  4.17809E-039  6.28839E-026  1.40136E-016  7.64996E-007  1.85895E-020  7.09098E-022  4.44092E-033  6.73861E-034  1.50961E-039  2.60002E-015  3.15628E-017  1.64145E-014  1.00547E-011  1.02986E-032  9.19653E-039  9.83548E-011  2.02163E-032  4.36647E-011  6.98635E-022  9.99026E-001  2.48839E-019  5.65688E-014  5.32032E-012  1.00000E-040  2.08035E-036  3.27460E-024  7.69296E-020  6.38077E-013  1.06062E-013  2.16793E-011  8.98654E-015  2.42566E-007  1.31356E-009  1.76949E-008  1.63740E-012  5.19973E-014  1.05681E-019  1.21735E-012  4.07577E-011  1.82944E-011  1.64695E-029  6.59675E-034  1.45287E-034  1.01700E-029  2.63265E-014  5.55342E-025  1.84838E-017  2.06700E-014  7.83597E-021  6.12973E-020  4.67917E-034  2.45785E-033  1.21782E-035  1.00000E-040  8.99038E-029  6.31883E-033  2.51915E-031  1.49696E-020  2.27084E-015  9.10723E-031  3.67251E-030  2.63489E-021  3.42652E-013  3.94877E-015  6.53372E-015  6.70674E-023  6.03416E-011  1.00000E-040  1.12912E-016  6.08947E-036  3.26149E-021  9.01443E-026  3.41087E-018  6.92307E-021  4.03337E-011  8.35744E-020  7.77442E-021  1.19488E-014  5.15654E-014  9.28266E-037  2.27193E-040  1.02286E-019  1.00000E-040  7.91432E-022  2.59483E-011  3.49276E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.67573E-001  1.11837E+019  2.38053E+002  1.00000E+005  1.51737E-004  1.00000E-040  1.00000E-040  2.16011E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.62251E-021  1.00000E-040  1.00000E-040  1.41116E-017  4.91238E-007  2.59302E-004  5.24691E-013  3.50030E-013  2.11890E-004  1.63792E-008  2.83092E-004  4.25231E-019  6.29160E-011  1.00000E-040  4.26520E-039  6.03417E-026  1.27668E-016  7.61436E-007  2.05482E-020  2.78597E-022  1.62071E-033  8.97402E-035  1.50993E-039  2.11485E-015  3.89282E-017  1.68629E-014  8.50332E-012  7.73693E-033  5.63380E-039  7.92738E-011  1.03423E-032  4.33391E-011  7.71587E-021  9.99244E-001  1.82781E-019  2.06803E-014  2.06254E-012  1.00000E-040  2.59684E-036  2.89984E-024  4.58936E-020  1.25615E-012  4.36006E-014  1.89593E-011  7.51558E-015  2.37558E-007  9.95340E-010  2.44823E-008  2.12206E-012  5.98597E-014  1.69545E-019  2.25607E-012  4.46991E-011  8.28711E-012  2.47632E-029  7.48687E-034  1.00000E-040  1.35821E-029  3.51744E-015  5.55415E-025  1.78165E-017  1.97973E-014  1.28507E-020  4.78711E-020  4.62727E-034  4.11761E-034  1.22000E-035  1.00000E-040  1.26632E-028  5.90547E-033  1.59577E-031  9.85791E-021  1.47447E-015  7.85595E-031  5.74394E-030  3.27995E-021  3.84252E-013  4.03629E-015  7.47162E-015  2.97998E-023  4.62136E-011  1.00000E-040  2.70766E-016  7.19679E-036  4.87680E-021  5.31893E-026  3.41118E-018  3.19650E-021  2.01904E-011  8.54178E-020  1.28167E-020  1.53900E-015  5.15763E-014  8.53914E-037  1.82670E-040  7.27797E-020  1.00000E-040  3.02085E-022  2.54234E-011  3.28919E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.19251E-001  1.00100E+019  2.31001E+002  9.61769E+004  8.32665E-005  1.00000E-040  1.00000E-040  7.06476E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.50185E-019  1.00000E-040  1.00000E-040  1.41169E-017  4.90467E-007  1.37958E-004  5.85258E-013  5.56724E-013  2.11899E-004  1.47286E-008  2.83131E-004  3.71151E-019  4.86294E-011  1.00000E-040  4.54815E-039  5.50030E-026  1.13346E-016  7.58081E-007  2.30090E-020  1.16249E-022  6.37711E-034  1.34085E-035  1.51011E-039  1.71069E-015  4.48145E-017  1.79485E-014  7.49648E-012  5.88086E-033  3.41970E-039  6.39711E-011  5.03416E-033  4.30387E-011  2.35023E-019  9.99365E-001  1.30291E-019  6.50300E-015  7.48889E-013  1.00000E-040  3.65103E-036  2.94460E-024  2.79137E-020  2.27297E-012  1.56110E-014  1.59091E-011  6.09415E-015  2.32471E-007  7.16507E-010  3.19075E-008  2.71856E-012  6.32594E-014  2.95737E-019  3.81988E-012  4.79281E-011  4.83951E-012  3.18315E-029  8.46601E-034  5.97443E-035  1.67409E-029  3.54905E-016  5.55430E-025  1.71323E-017  1.87243E-014  1.68276E-020  3.75943E-020  4.57358E-034  7.87384E-035  1.22324E-035  1.00000E-040  1.68680E-028  5.42782E-033  1.00876E-031  6.33764E-021  9.50276E-016  6.41157E-031  9.68098E-030  4.13840E-021  3.88401E-013  4.04639E-015  8.19618E-015  4.49266E-023  3.61011E-011  1.00000E-040  6.50681E-016  9.59146E-036  5.59169E-021  3.41344E-026  3.41108E-018  1.49799E-021  1.04148E-011  8.90810E-020  2.00126E-020  1.44765E-016  5.15813E-014  2.77750E-036  1.43098E-040  4.84726E-020  1.00000E-040  1.16403E-022  2.49548E-011  3.16982E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
