alt press den temp eddy H2Oaer CO2aer S8aer H2SO4aer NH3aer N2Oaer C2H2aer C2H4aer C2H6aer CH3CNaer HCCCNaer HCNaer CH4aer HCaer1 HCaer2 HCaer3 He H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS CN HCN N N2 NH NH2 NH3 C2 C2H C2H2 C2H4 NO HNO HO2 HNCO N2O H2O2 O3 NO2 NO3 SO3 HNO2 HNO3 H2SO4 HCl Cl Cl2 HOCl N2H4 ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 NCO 1CH2 HCCO NNH HSO CH3O H2COH H2CN N2H2 C4H HCNOH C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 N2H3 NH2CO HS4 C4H3 CH2N2 CH2CN CH3CN HCCCN O1D N2D H2Oaer_r CO2aer_r S8aer_r H2SO4aer_r NH3aer_r N2Oaer_r C2H2aer_r C2H4aer_r C2H6aer_r CH3CNaer_r HCCCNaer_r HCNaer_r CH4aer_r HCaer1_r HCaer2_r HCaer3_r
5.00000E-01 9.68635E-01 2.52298E+19 2.85699E+02 1.00000E+05 8.00137E-04 1.00000E-40 1.00000E-40 1.37847E-30 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.08233E-34 1.00000E-40 1.00000E-40 8.12488E-22 5.31027E-07 7.71850E-03 1.49684E-14 3.80070E-17 2.10407E-01 1.10213E-07 3.60697E-04 1.61254E-23 3.26569E-11 1.00000E-40 1.00000E-40 7.58900E-34 3.52504E-20 2.28812E-06 2.60142E-29 2.01048E-26 6.63478E-39 6.16392E-38 4.39561E-37 2.33959E-12 3.04908E-18 9.43557E-20 1.84044E-11 1.00000E-40 1.00000E-40 5.29170E-10 1.00000E-40 3.75125E-17 1.73930E-38 7.81511E-01 3.89288E-30 2.70237E-28 3.11568E-22 1.00000E-40 1.00000E-40 2.07094E-29 7.38538E-25 1.18724E-16 1.77589E-17 8.44600E-12 1.81676E-21 3.10600E-07 8.43717E-10 1.64650E-08 1.16838E-13 3.57695E-15 3.38330E-20 8.08855E-15 4.27555E-12 3.33923E-12 1.89587E-10 2.63564E-17 2.49630E-22 8.71204E-17 1.00000E-40 4.26644E-10 3.16514E-23 5.61816E-17 9.28494E-25 8.64295E-26 6.06158E-40 5.10467E-38 1.00000E-40 1.00000E-40 5.38773E-15 1.00000E-40 1.17951E-40 1.65889E-25 4.21770E-27 2.30909E-35 2.81976E-39 5.36840E-33 1.88195E-18 1.39904E-19 1.67821E-14 5.99101E-30 3.36971E-39 1.00000E-40 1.00497E-25 1.00000E-40 3.27624E-25 1.27748E-30 1.17603E-21 1.31264E-25 1.53641E-08 3.83877E-24 1.00000E-40 1.00903E-23 3.57159E-33 1.00000E-40 6.20432E-24 1.27999E-40 5.93833E-30 1.00000E-40 1.03684E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
1.50000E+00 8.58308E-01 2.28496E+19 2.79262E+02 1.00000E+05 1.04244E-03 1.00000E-40 1.00000E-40 1.54057E-27 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 8.65079E-35 1.00000E-40 1.00000E-40 1.04895E-21 5.33558E-07 5.78438E-03 1.88808E-14 4.96951E-17 2.10817E-01 1.07671E-07 3.61406E-04 2.30541E-23 3.77853E-11 1.00000E-40 1.00000E-40 9.95097E-34 3.87000E-20 2.28940E-06 4.46785E-29 2.00865E-26 8.38462E-39 8.00937E-38 4.40417E-37 2.83527E-12 4.16385E-18 1.88265E-19 3.82259E-11 1.00000E-40 1.00000E-40 5.29822E-10 1.00000E-40 3.78788E-17 2.88308E-38 7.83034E-01 3.94857E-30 3.03208E-28 3.12192E-22 1.00000E-40 1.00000E-40 2.01883E-29 7.18063E-25 1.95608E-16 1.87086E-17 9.28797E-12 2.03942E-21 3.11162E-07 1.01742E-09 1.82658E-08 1.61893E-13 4.36895E-15 4.13000E-20 9.97752E-15 6.12196E-12 6.85615E-12 1.85083E-10 2.42330E-17 1.40409E-22 6.46095E-17 1.00000E-40 4.36412E-10 3.17915E-23 5.34123E-17 1.10833E-24 9.70220E-26 6.07340E-40 4.98014E-38 1.00000E-40 1.00000E-40 3.80404E-15 1.00000E-40 1.35825E-40 1.57711E-25 6.90713E-27 2.82405E-35 3.71806E-39 4.31869E-33 4.07169E-18 2.09661E-19 1.80484E-14 5.34711E-30 3.37510E-39 1.00000E-40 2.07204E-25 1.00000E-40 4.82726E-25 1.22824E-30 1.17832E-21 1.56419E-25 1.49460E-08 1.04333E-23 1.00000E-40 1.02158E-23 4.32308E-33 1.00000E-40 6.28895E-24 1.25522E-40 5.93947E-30 1.00000E-40 1.45048E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
2.50000E+00 7.58618E-01 2.06525E+19 2.74794E+02 1.00000E+05 9.06632E-04 1.00000E-40 1.00000E-40 1.52005E-24 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 6.84037E-35 1.00000E-40 1.00000E-40 1.34584E-21 5.36068E-07 4.17360E-03 2.34855E-14 6.67559E-17 2.11158E-01 1.05242E-07 3.61998E-04 3.33822E-23 4.49253E-11 1.00000E-40 1.00000E-40 1.26062E-33 4.17139E-20 2.29016E-06 6.44532E-29 1.99752E-26 1.22899E-38 1.20270E-37 4.41130E-37 3.01840E-12 4.86198E-18 3.34012E-19 5.19521E-11 1.00000E-40 1.00000E-40 5.30298E-10 1.00000E-40 3.82779E-17 4.93927E-38 7.84303E-01 4.14212E-30 3.44489E-28 3.12656E-22 1.00000E-40 1.00000E-40 1.92008E-29 6.81654E-25 3.57514E-16 2.08190E-17 1.01715E-11 1.97584E-21 3.11618E-07 1.19820E-09 2.07894E-08 2.42928E-13 5.92180E-15 3.77698E-20 1.46769E-14 9.18541E-12 1.03363E-11 1.74869E-10 2.22382E-17 7.74836E-23 4.69049E-17 1.00000E-40 4.51696E-10 3.20061E-23 4.94021E-17 1.47744E-24 1.05882E-25 6.08326E-40 4.76812E-38 1.00000E-40 1.00000E-40 2.74691E-15 1.00000E-40 1.50553E-40 1.47079E-25 7.12231E-27 3.32590E-35 4.92882E-39 3.38268E-33 7.86217E-18 3.28631E-19 2.02205E-14 4.43832E-30 3.38050E-39 1.00000E-40 4.31219E-25 1.00000E-40 7.10728E-25 1.14636E-30 1.18023E-21 1.71717E-25 1.40740E-08 1.83296E-23 1.00000E-40 1.03806E-23 6.14239E-33 1.00000E-40 6.13365E-24 1.20624E-40 5.92988E-30 1.00000E-40 2.03938E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
3.50000E+00 6.68825E-01 1.86256E+19 2.69643E+02 1.00000E+05 8.20478E-04 1.00000E-40 1.00000E-40 1.23285E-21 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 4.25043E-35 1.00000E-40 1.00059E-40 1.68219E-21 5.38590E-07 2.79101E-03 2.81373E-14 9.14113E-17 2.11452E-01 1.02964E-07 3.62507E-04 4.85137E-23 5.45947E-11 1.00000E-40 1.00000E-40 1.47107E-33 4.30872E-20 2.29061E-06 8.13132E-29 1.97570E-26 1.92503E-38 1.92400E-37 4.41741E-37 2.98911E-12 5.03034E-18 5.41921E-19 6.02263E-11 1.00000E-40 1.00000E-40 5.30648E-10 1.00000E-40 3.87173E-17 8.49308E-38 7.85392E-01 4.46316E-30 3.83486E-28 3.12935E-22 1.00000E-40 1.00000E-40 1.78775E-29 6.36283E-25 6.71741E-16 2.44821E-17 1.10355E-11 1.82610E-21 3.11997E-07 1.35681E-09 2.40779E-08 3.63642E-13 8.10678E-15 3.22746E-20 2.41688E-14 1.33930E-11 1.32020E-11 1.61393E-10 1.99246E-17 4.12940E-23 3.33654E-17 1.00000E-40 4.70073E-10 3.23089E-23 4.50327E-17 2.07776E-24 1.07346E-25 6.09172E-40 4.50372E-38 1.00000E-40 1.00000E-40 2.00210E-15 1.00000E-40 1.57993E-40 1.36188E-25 5.42374E-27 3.59543E-35 6.54094E-39 2.52513E-33 1.39402E-17 5.24719E-19 2.33396E-14 3.50425E-30 3.38845E-39 1.00000E-40 8.86039E-25 1.00000E-40 1.02205E-24 1.04577E-30 1.18187E-21 1.72999E-25 1.27739E-08 2.65017E-23 1.00000E-40 1.05679E-23 9.67468E-33 1.00000E-40 5.50918E-24 1.13738E-40 5.91559E-30 1.00000E-40 2.87529E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
4.50000E+00 5.88109E-01 1.67615E+19 2.63928E+02 1.00000E+05 6.18363E-04 1.00000E-40 1.00000E-40 9.84674E-19 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 3.06281E-35 1.00000E-40 1.00159E-40 2.12902E-21 5.41009E-07 1.79578E-03 3.38393E-14 1.26501E-16 2.11663E-01 1.00814E-07 3.62875E-04 7.06940E-23 6.68253E-11 1.00000E-40 1.00000E-40 1.71403E-33 4.43926E-20 2.29036E-06 9.61028E-29 1.94283E-26 3.19152E-38 3.24928E-37 4.42181E-37 2.80230E-12 4.92218E-18 8.51716E-19 6.36605E-11 1.00000E-40 1.00000E-40 5.30786E-10 1.00000E-40 3.91971E-17 1.53619E-37 7.86176E-01 4.96360E-30 4.33017E-28 3.12987E-22 1.00000E-40 1.00000E-40 1.63494E-29 5.87287E-25 1.28268E-15 3.02504E-17 1.20382E-11 1.68225E-21 3.12249E-07 1.53866E-09 2.81317E-08 5.33079E-13 1.09906E-14 2.90199E-20 4.22919E-14 1.94087E-11 1.53487E-11 1.46376E-10 1.75979E-17 2.18232E-23 2.38944E-17 1.00000E-40 4.89708E-10 3.27145E-23 4.07269E-17 3.01132E-24 1.03825E-25 6.09784E-40 4.21040E-38 1.00000E-40 1.00000E-40 1.46154E-15 1.00000E-40 1.64544E-40 1.25779E-25 3.67609E-27 3.86621E-35 8.64798E-39 1.86430E-33 2.40526E-17 8.42816E-19 2.69733E-14 2.66311E-30 3.40031E-39 1.00000E-40 1.87695E-24 1.00000E-40 1.49626E-24 9.36462E-31 1.18305E-21 1.65184E-25 1.11076E-08 3.51419E-23 1.00000E-40 1.07726E-23 1.60662E-32 1.00000E-40 4.88323E-24 1.05362E-40 5.89939E-30 1.00000E-40 4.03939E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
5.50000E+00 5.15662E-01 1.50490E+19 2.57819E+02 1.00000E+05 4.37544E-04 1.00000E-40 1.00000E-40 6.36434E-16 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 2.41285E-35 1.00000E-40 1.00226E-40 2.74489E-21 5.43315E-07 1.12251E-03 4.11884E-14 1.75770E-16 2.11805E-01 9.87786E-08 3.63126E-04 1.02253E-22 8.12487E-11 1.00000E-40 1.00000E-40 2.02572E-33 4.59715E-20 2.28953E-06 1.08690E-28 1.89992E-26 5.49905E-38 5.69013E-37 4.42477E-37 2.49775E-12 4.64165E-18 1.31358E-18 6.29235E-11 1.00000E-40 1.00000E-40 5.30743E-10 1.00000E-40 3.97258E-17 2.93817E-37 7.86706E-01 5.67555E-30 4.97352E-28 3.12807E-22 1.00000E-40 1.00000E-40 1.47348E-29 5.38271E-25 2.48481E-15 3.89724E-17 1.31937E-11 1.56202E-21 3.12393E-07 1.74493E-09 3.29303E-08 7.55919E-13 1.46283E-14 3.10326E-20 7.67836E-14 2.75728E-11 1.61255E-11 1.31093E-10 1.54409E-17 1.15716E-23 1.73465E-17 1.00000E-40 5.09333E-10 3.32489E-23 3.66996E-17 4.45135E-24 9.81585E-26 6.10200E-40 3.90412E-38 1.00000E-40 1.00000E-40 1.06626E-15 1.00000E-40 1.72185E-40 1.16101E-25 2.47858E-27 4.19972E-35 1.13581E-38 1.36708E-33 4.09326E-17 1.34583E-18 3.07695E-14 1.96050E-30 3.41739E-39 1.00000E-40 4.14182E-24 1.00000E-40 2.25007E-24 8.25792E-31 1.18384E-21 1.53166E-25 9.16377E-09 4.41917E-23 1.00000E-40 1.09964E-23 2.74189E-32 1.00000E-40 4.34374E-24 1.00000E-40 5.88286E-30 1.00000E-40 5.63244E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
6.50000E+00 4.50507E-01 1.34772E+19 2.51101E+02 1.00000E+05 2.97055E-04 1.00000E-40 1.00000E-40 2.96157E-13 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.80886E-34 1.00000E-40 1.00271E-40 3.59100E-21 5.45495E-07 6.82145E-04 5.06144E-14 2.44093E-16 2.11899E-01 9.68377E-08 3.63292E-04 1.45890E-22 9.74525E-11 1.00000E-40 1.00000E-40 2.41505E-33 4.77148E-20 2.28828E-06 1.17805E-28 1.84859E-26 9.71929E-38 1.02015E-36 4.42671E-37 2.11038E-12 4.21754E-18 1.97930E-18 5.87854E-11 1.00000E-40 1.00000E-40 5.30565E-10 1.00000E-40 4.03144E-17 5.87890E-37 7.87053E-01 6.61080E-30 5.76687E-28 3.12394E-22 1.00000E-40 1.00000E-40 1.31341E-29 4.91527E-25 4.95718E-15 5.19465E-17 1.44662E-11 1.45850E-21 3.12457E-07 1.96470E-09 3.84277E-08 1.03452E-12 1.91469E-14 4.20245E-20 1.43647E-13 3.80540E-11 1.43759E-11 1.16476E-10 1.35569E-17 6.20168E-24 1.27703E-17 1.00000E-40 5.28043E-10 3.39434E-23 3.30607E-17 6.65505E-24 9.20071E-26 6.10475E-40 3.59619E-38 1.00000E-40 1.00000E-40 7.80053E-16 1.00000E-40 1.81190E-40 1.07226E-25 1.71871E-27 4.58181E-35 1.48092E-38 9.90054E-34 6.84454E-17 2.12339E-18 3.45358E-14 1.40384E-30 3.44007E-39 1.00000E-40 9.51792E-24 1.00000E-40 3.46853E-24 7.19309E-31 1.18437E-21 1.40147E-25 7.05404E-09 5.31388E-23 1.00000E-40 1.12426E-23 4.76222E-32 1.00000E-40 3.85520E-24 1.00000E-40 5.86687E-30 1.00000E-40 7.77512E-22 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
7.50000E+00 3.91882E-01 1.20364E+19 2.44020E+02 1.00000E+05 1.93357E-04 1.00000E-40 1.00000E-40 8.94739E-11 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 4.85441E-32 1.00000E-40 1.00299E-40 4.73806E-21 5.47515E-07 4.02368E-04 6.23978E-14 3.37709E-16 2.11958E-01 9.49592E-08 3.63400E-04 2.05760E-22 1.15647E-10 1.00000E-40 1.00000E-40 2.86515E-33 4.92930E-20 2.28677E-06 1.21111E-28 1.79086E-26 1.74436E-37 1.85405E-36 4.42793E-37 1.67409E-12 3.65017E-18 2.87301E-18 5.21506E-11 1.00000E-40 1.00000E-40 5.30286E-10 1.00000E-40 4.09747E-17 1.21121E-36 7.87273E-01 7.75904E-30 6.67007E-28 3.11738E-22 1.00000E-40 1.00000E-40 1.16320E-29 4.48591E-25 1.05815E-14 7.11434E-17 1.58175E-11 1.35956E-21 3.12462E-07 2.18200E-09 4.45449E-08 1.37752E-12 2.47714E-14 6.72880E-20 2.76823E-13 5.09087E-11 8.61203E-12 1.03183E-10 1.19869E-17 3.38862E-24 9.54907E-18 1.00000E-40 5.45194E-10 3.48353E-23 2.98667E-17 9.94977E-24 8.61014E-26 6.10653E-40 3.29554E-38 1.00000E-40 1.00000E-40 5.77561E-16 1.00000E-40 1.91113E-40 9.91617E-26 1.21181E-27 4.95071E-35 1.92030E-38 7.02284E-34 1.10977E-16 3.32201E-18 3.82472E-14 9.82020E-31 3.46771E-39 1.00000E-40 2.27018E-23 1.00000E-40 5.44253E-24 6.21314E-31 1.18470E-21 1.27897E-25 4.91578E-09 6.10003E-23 1.00000E-40 1.15157E-23 8.39237E-32 1.00000E-40 3.36418E-24 1.00000E-40 5.85195E-30 1.00000E-40 1.06072E-21 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
8.50000E+00 3.39458E-01 1.07181E+19 2.36776E+02 1.00000E+05 1.20355E-04 1.00000E-40 1.00000E-40 1.70681E-10 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 8.68797E-30 1.00000E-40 1.00316E-40 6.26391E-21 5.49308E-07 2.30124E-04 7.64297E-14 4.64441E-16 2.11994E-01 9.30925E-08 3.63469E-04 2.89951E-22 1.37530E-10 1.00000E-40 1.00000E-40 3.31429E-33 5.01620E-20 2.28509E-06 1.15674E-28 1.72906E-26 3.14187E-37 3.37653E-36 4.42868E-37 1.22640E-12 2.94471E-18 3.92470E-18 4.41019E-11 1.00000E-40 1.00000E-40 5.29930E-10 1.00000E-40 4.17195E-17 2.51956E-36 7.87409E-01 9.06987E-30 7.57113E-28 3.10823E-22 1.00000E-40 1.00000E-40 1.03005E-29 4.10878E-25 2.61209E-14 9.95126E-17 1.72382E-11 1.25288E-21 3.12424E-07 2.37144E-09 5.11590E-08 1.81966E-12 3.16019E-14 1.14954E-19 5.49659E-13 6.60949E-11 4.35593E-12 9.16680E-11 1.07156E-17 1.90586E-24 7.28409E-18 1.00000E-40 5.60337E-10 3.59691E-23 2.71472E-17 1.45974E-23 8.07037E-26 6.10768E-40 3.01024E-38 1.00000E-40 1.00000E-40 4.39299E-16 1.00000E-40 2.00936E-40 9.19271E-26 8.37011E-28 5.18899E-35 2.48766E-38 4.83584E-34 1.70652E-16 5.24139E-18 4.20594E-14 6.76458E-31 3.49897E-39 1.00000E-40 5.58807E-23 1.00000E-40 8.56531E-24 5.35211E-31 1.18490E-21 1.17375E-25 2.92052E-09 6.64694E-23 1.00000E-40 1.18203E-23 1.49865E-31 1.00000E-40 2.82566E-24 1.00000E-40 5.83848E-30 1.00000E-40 1.42837E-21 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
9.50000E+00 2.92724E-01 9.51402E+18 2.29733E+02 9.61769E+04 6.99990E-05 1.00000E-40 1.00000E-40 8.01900E-10 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 1.00000E-40 8.79002E-28 1.00000E-40 1.00327E-40 8.21032E-21 5.50796E-07 1.28243E-04 9.17318E-14 6.35229E-16 2.12016E-01 9.11066E-08 3.63511E-04 4.08037E-22 1.64457E-10 1.00000E-40 1.00000E-40 3.63273E-33 4.95568E-20 2.28323E-06 9.95166E-29 1.66452E-26 5.63224E-37 6.11197E-36 4.42910E-37 8.11671E-13 2.14514E-18 4.89094E-18 3.58274E-11 1.00000E-40 1.00000E-40 5.29503E-10 1.00000E-40 4.25796E-17 5.17055E-36 7.87489E-01 1.04397E-29 8.26947E-28 3.09603E-22 1.00000E-40 1.00000E-40 9.17839E-30 3.80020E-25 8.95695E-14 1.42082E-16 1.87277E-11 1.12947E-21 3.12350E-07 2.48055E-09 5.82165E-08 2.47323E-12 3.85709E-14 1.91190E-19 1.13171E-12 8.37745E-11 2.78259E-12 8.20371E-11 9.64344E-18 1.10965E-24 5.71079E-18 1.00000E-40 5.73424E-10 3.74275E-23 2.48681E-17 2.04386E-23 7.59836E-26 6.10842E-40 2.74313E-38 1.00000E-40 1.00000E-40 3.50004E-16 1.00000E-40 2.08973E-40 8.56712E-26 5.31105E-28 5.12487E-35 3.24218E-38 3.19069E-34 2.41639E-16 8.60643E-18 4.62948E-14 4.63943E-31 3.53355E-39 1.00000E-40 1.40535E-22 1.00000E-40 1.30384E-23 4.62379E-31 1.18502E-21 1.09106E-25 1.26447E-09 6.83347E-23 1.00000E-40 1.21685E-23 2.72896E-31 1.00000E-40 2.22630E-24 1.00000E-40 5.82649E-30 1.00000E-40 1.90065E-21 1.00000E-40 1.00000E-03 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05 1.00000E-05
