alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00317E+000  3.28117E+019  2.21443E+002  1.00000E+005  1.38821E-010  1.00000E-040  1.00000E-040  6.42866E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.11125E-024  1.00000E-040  1.00000E-040  8.62215E-022  4.98421E-007  1.26542E-005  1.80886E-017  1.16461E-016  2.12058E-004  4.97405E-008  2.83103E-004  9.59445E-023  3.16683E-010  1.00000E-040  1.00000E-040  1.87026E-032  7.14176E-022  8.05448E-007  5.90597E-023  1.40075E-020  4.55043E-029  8.87122E-029  5.28642E-032  8.35683E-011  1.32957E-018  1.69949E-017  4.82748E-011  8.49968E-039  1.00000E-040  3.35936E-010  4.36888E-038  3.97832E-011  5.43627E-026  9.99491E-001  2.83595E-021  8.43152E-017  4.36765E-010  3.59735E-034  2.63666E-036  3.96814E-021  1.24720E-018  6.22628E-012  8.66797E-019  9.76609E-015  1.18548E-014  2.72138E-007  7.27397E-012  4.35430E-009  5.10478E-010  2.59765E-014  9.92604E-022  4.32656E-012  3.27170E-012  5.39855E-012  1.01075E-029  2.79453E-036  1.00000E-040  4.80535E-029  5.63118E-014  3.11801E-025  6.11667E-016  1.97354E-016  9.69469E-020  1.40287E-018  2.99734E-024  7.59782E-034  8.70972E-028  7.32653E-034  1.37269E-028  2.40317E-035  1.26408E-034  5.59827E-020  4.60611E-022  1.18326E-037  3.25046E-030  1.78466E-025  8.44480E-014  1.20335E-019  5.28899E-016  1.59844E-025  2.92191E-011  1.00000E-040  2.08617E-019  5.09799E-037  1.13140E-022  7.13484E-023  1.86454E-014  1.96601E-020  2.21572E-016  2.16302E-023  2.09982E-025  1.64905E-014  7.08175E-014  3.08399E-033  2.81995E-034  8.77390E-023  1.00000E-040  1.38254E-022  3.03796E-011  1.38539E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.67610E-001  2.64957E+019  2.37173E+002  1.00000E+005  2.04114E-010  1.00000E-040  1.00000E-040  1.42979E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.70465E-024  1.00000E-040  1.00000E-040  2.78444E-021  4.98588E-007  1.25732E-005  5.11521E-017  2.35342E-016  2.12057E-004  4.97112E-008  2.83103E-004  1.97846E-022  3.01414E-010  1.00000E-040  1.00000E-040  3.23415E-032  5.38858E-021  8.05383E-007  2.33149E-022  1.40647E-020  3.22871E-029  6.24534E-029  5.28641E-032  7.84192E-011  3.22400E-018  6.50590E-017  1.02034E-010  1.72918E-038  1.00000E-040  3.34871E-010  8.38813E-037  3.97741E-011  3.56680E-025  9.99491E-001  5.50437E-021  2.27818E-016  4.14966E-010  2.92393E-034  6.40083E-036  3.96845E-021  1.24737E-018  3.42909E-012  1.68357E-018  4.48779E-014  1.18803E-014  2.72001E-007  9.33819E-012  4.91842E-009  4.64078E-010  1.01976E-013  3.95283E-020  4.31972E-012  1.60240E-011  2.16082E-012  9.90584E-030  3.23030E-036  1.00000E-040  4.86242E-029  5.65561E-014  3.11785E-025  6.11671E-016  1.97408E-016  9.70405E-020  1.40216E-018  2.99734E-024  7.70368E-034  8.70974E-028  7.30700E-034  1.53209E-028  2.40634E-035  4.18810E-034  5.91799E-020  1.84908E-021  2.42724E-037  5.65772E-030  2.11489E-025  5.56830E-014  4.12790E-019  5.27145E-016  4.08872E-025  2.92191E-011  1.00000E-040  6.20097E-020  9.84360E-037  2.12111E-023  7.35746E-023  1.86454E-014  2.01603E-020  2.07540E-015  1.09364E-022  3.99697E-025  1.66509E-014  7.08175E-014  3.07256E-033  2.93050E-034  9.10328E-023  1.00000E-040  1.42281E-022  3.03673E-011  1.38567E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.55726E-001  2.25072E+019  2.43198E+002  1.00000E+005  6.11694E-010  1.00000E-040  1.00000E-040  2.27660E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07321E-023  1.00000E-040  1.00000E-040  5.91527E-021  4.98788E-007  1.24753E-005  1.02212E-016  3.90525E-016  2.12056E-004  4.96753E-008  2.83103E-004  3.33881E-022  2.85458E-010  1.00000E-040  1.00000E-040  5.12839E-032  1.66570E-020  8.05306E-007  4.22291E-022  1.41305E-020  2.50865E-029  4.80103E-029  5.28640E-032  7.26937E-011  5.48924E-018  1.22086E-016  1.07493E-010  3.01446E-038  1.00000E-040  3.33646E-010  3.28032E-036  3.97643E-011  2.18240E-024  9.99491E-001  8.70066E-021  4.32791E-016  3.90503E-010  3.39220E-034  1.12402E-035  3.96952E-021  1.24775E-018  2.79157E-012  3.86353E-018  9.67613E-014  1.19301E-014  2.71838E-007  1.23790E-011  5.59564E-009  4.10790E-010  1.64515E-013  1.78726E-019  4.30662E-012  2.89172E-011  1.59343E-012  9.46585E-030  3.83214E-036  1.00000E-040  4.98615E-029  5.73142E-014  3.11767E-025  6.11685E-016  1.97501E-016  9.73572E-020  1.40000E-018  2.99735E-024  7.90848E-034  8.70981E-028  7.13405E-034  1.70326E-028  2.41715E-035  8.88886E-034  6.47146E-020  4.55626E-021  4.08376E-037  8.83926E-030  3.13163E-025  5.31933E-014  8.86806E-019  5.24538E-016  8.24936E-025  2.92193E-011  1.00000E-040  5.08835E-020  1.72136E-036  1.53658E-023  7.76998E-023  1.86454E-014  2.12261E-020  6.31203E-015  2.15105E-022  6.52226E-025  1.70528E-014  7.08175E-014  3.04230E-033  3.34318E-034  9.80562E-023  1.00000E-040  1.49620E-022  3.03543E-011  1.38651E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.59728E-001  1.95552E+019  2.44354E+002  1.00000E+005  1.75157E-009  1.00000E-040  1.00000E-040  1.63768E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.46631E-023  1.00000E-040  1.00000E-040  1.06590E-020  4.99021E-007  1.23602E-005  1.80262E-016  5.91846E-016  2.12055E-004  4.96333E-008  2.83103E-004  5.16656E-022  2.69356E-010  1.00000E-040  1.00000E-040  7.95202E-032  3.55561E-020  8.05215E-007  6.83601E-022  1.41446E-020  2.05775E-029  3.83796E-029  5.28639E-032  6.66816E-011  8.17021E-018  2.12829E-016  1.13134E-010  4.72296E-038  1.00000E-040  3.32301E-010  6.55490E-036  3.97542E-011  1.12402E-023  9.99491E-001  1.29438E-020  7.28715E-016  3.64509E-010  5.02423E-034  1.76032E-035  3.97190E-021  1.24819E-018  2.46211E-012  9.24396E-018  1.67868E-013  1.19977E-014  2.71653E-007  1.66062E-011  6.37409E-009  3.55558E-010  1.93834E-013  4.17347E-019  4.28724E-012  4.11909E-011  1.21563E-012  8.78251E-030  4.63714E-036  1.00000E-040  5.18269E-029  5.88937E-014  3.11747E-025  6.11719E-016  1.97586E-016  9.80618E-020  1.39523E-018  2.99737E-024  8.01467E-034  8.70995E-028  6.71863E-034  1.88911E-028  2.44143E-035  1.58629E-033  7.09795E-020  9.35963E-021  6.52241E-037  1.32868E-029  5.22435E-025  6.96882E-014  1.57890E-018  5.21933E-016  1.27553E-024  2.92200E-011  1.00000E-040  6.85586E-020  2.96120E-036  2.11054E-023  8.21933E-023  1.86454E-014  2.28876E-020  1.30756E-014  3.90421E-022  9.89850E-025  1.77935E-014  7.08175E-014  2.98893E-033  4.17478E-034  1.09352E-022  1.00000E-040  1.55871E-022  3.03411E-011  1.38821E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  5.75756E-001  1.72490E+019  2.41764E+002  1.00000E+005  4.87167E-009  1.00000E-040  1.00000E-040  1.06572E-020  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.57265E-023  1.00000E-040  1.00000E-040  1.73720E-020  4.99286E-007  1.22253E-005  2.96047E-016  8.39355E-016  2.12054E-004  4.95853E-008  2.83103E-004  7.56501E-022  2.53423E-010  1.00000E-040  1.00000E-040  1.21959E-031  5.88985E-020  8.05113E-007  1.03878E-021  1.40448E-020  1.75065E-029  3.12934E-029  5.28637E-032  6.06124E-011  1.12548E-017  3.60234E-016  1.18709E-010  6.98949E-038  1.00000E-040  3.30869E-010  8.11392E-036  3.97440E-011  5.11540E-023  9.99491E-001  1.88222E-020  1.15093E-015  3.37888E-010  9.06213E-034  2.58913E-035  3.97626E-021  1.24824E-018  2.28857E-012  2.33175E-017  2.54075E-013  1.20728E-014  2.71445E-007  2.22582E-011  7.24783E-009  3.01042E-010  1.81131E-013  6.16814E-019  4.26177E-012  5.23329E-011  9.66845E-013  7.87684E-030  5.70938E-036  1.00000E-040  5.45561E-029  6.16731E-014  3.11725E-025  6.11787E-016  1.97605E-016  9.93711E-020  1.38633E-018  2.99740E-024  7.72748E-034  8.71021E-028  6.03453E-034  2.09341E-028  2.48696E-035  2.53917E-033  7.63798E-020  1.72048E-020  1.00636E-036  1.94962E-029  9.72639E-025  1.17061E-013  2.50331E-018  5.20022E-016  1.61415E-024  2.92217E-011  3.45537E-037  1.35452E-019  5.14458E-036  4.58928E-023  8.51959E-023  1.86454E-014  2.51119E-020  2.09920E-014  6.81491E-022  1.43113E-024  1.89855E-014  7.08177E-014  2.91043E-033  5.45304E-034  1.25597E-022  1.00000E-040  1.55760E-022  3.03281E-011  1.39107E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.01487E-001  1.53120E+019  2.37216E+002  1.00000E+005  1.34326E-008  1.00000E-040  1.00000E-040  6.28291E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.44276E-023  1.00000E-040  1.00000E-040  2.69125E-020  4.99585E-007  1.20629E-005  4.66340E-016  1.15069E-015  2.12052E-004  4.95318E-008  2.83103E-004  1.07288E-021  2.37918E-010  1.00000E-040  1.00000E-040  1.86165E-031  8.48026E-020  8.04999E-007  1.51616E-021  1.37896E-020  1.51241E-029  2.53989E-029  5.28636E-032  5.46829E-011  1.48109E-017  6.07757E-016  1.23985E-010  1.00688E-037  1.00000E-040  3.29374E-010  7.67327E-036  3.97337E-011  2.06791E-022  9.99491E-001  2.69210E-020  1.76341E-015  3.11437E-010  1.85177E-033  3.67222E-035  3.98336E-021  1.24715E-018  2.16410E-012  6.25897E-017  3.59225E-013  1.21432E-014  2.71218E-007  2.95858E-011  8.21270E-009  2.49499E-010  1.49267E-013  7.08019E-019  4.23030E-012  6.19360E-011  7.88024E-013  6.79754E-030  7.05244E-036  1.00000E-040  5.80529E-029  6.61431E-014  3.11700E-025  6.11903E-016  1.97536E-016  1.01575E-019  1.37191E-018  2.99746E-024  6.98389E-034  8.71023E-028  5.14493E-034  2.31873E-028  2.56425E-035  3.81923E-033  7.97663E-020  2.99186E-020  1.50871E-036  2.83773E-029  1.92403E-024  2.32326E-013  3.70732E-018  5.18896E-016  1.79238E-024  2.92249E-011  1.00000E-040  3.30083E-019  8.97510E-036  1.30845E-022  8.55480E-023  1.86454E-014  2.77295E-020  2.94777E-014  1.15823E-021  2.00799E-024  2.07401E-014  7.08178E-014  2.80685E-033  7.09628E-034  1.47692E-022  1.00000E-040  1.47122E-022  3.03153E-011  1.39546E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.35491E-001  1.36300E+019  2.31419E+002  1.00000E+005  3.70341E-008  1.00000E-040  1.00000E-040  3.34473E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17779E-023  1.00000E-040  1.00000E-040  4.03639E-020  4.99922E-007  1.18518E-005  7.07664E-016  1.54412E-015  2.12051E-004  4.94731E-008  2.83103E-004  1.47780E-021  2.23097E-010  1.00000E-040  1.00000E-040  2.81275E-031  1.09802E-019  8.04871E-007  2.14538E-021  1.33618E-020  1.31599E-029  2.02890E-029  5.28634E-032  4.90579E-011  1.89353E-017  1.02062E-015  1.28706E-010  1.42590E-037  1.00000E-040  3.27838E-010  5.91276E-036  3.97235E-011  7.48929E-022  9.99491E-001  3.81001E-020  2.65780E-015  2.85838E-010  4.14025E-033  5.08334E-035  3.99405E-021  1.24395E-018  2.05815E-012  1.76035E-016  4.83375E-013  1.21957E-014  2.70971E-007  3.88180E-011  9.26681E-009  2.02757E-010  1.12989E-013  6.70221E-019  4.19299E-012  6.97083E-011  6.12128E-013  5.61575E-030  8.66231E-036  1.00000E-040  6.22822E-029  7.29544E-014  3.11673E-025  6.12085E-016  1.97396E-016  1.05068E-019  1.35118E-018  2.99755E-024  5.93526E-034  8.71175E-028  4.16369E-034  2.56521E-028  2.68779E-035  5.45467E-033  8.02796E-020  4.98212E-020  2.17274E-036  4.13278E-029  3.96122E-024  5.16288E-013  5.19253E-018  5.18436E-016  1.80842E-024  2.92303E-011  1.00000E-040  9.33260E-019  1.56118E-035  4.66834E-022  8.28454E-023  1.86454E-014  3.04374E-020  3.75430E-014  1.91170E-021  2.75702E-024  2.31635E-014  7.08179E-014  2.68038E-033  8.94949E-034  1.76949E-022  1.00000E-040  1.30848E-022  3.03030E-011  1.40179E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  3.76777E-001  1.21263E+019  2.25046E+002  1.00000E+005  1.02692E-007  1.00000E-040  1.00000E-040  1.60181E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.83293E-024  1.00000E-040  1.00000E-040  5.91222E-020  5.00299E-007  1.15336E-005  1.02767E-015  2.05299E-015  2.12049E-004  4.94099E-008  2.83103E-004  1.96499E-021  2.09283E-010  1.00000E-040  1.00000E-040  4.18555E-031  1.30840E-019  8.04728E-007  2.95839E-021  1.27711E-020  1.14649E-029  1.58136E-029  5.28632E-032  4.38827E-011  2.38609E-017  1.66271E-015  1.32582E-010  1.98451E-037  1.00000E-040  3.26281E-010  3.92424E-036  3.97133E-011  2.43946E-021  9.99492E-001  5.34746E-020  3.96975E-015  2.61715E-010  9.33349E-033  6.92241E-035  4.00916E-021  1.23755E-018  1.95540E-012  4.87494E-016  6.20974E-013  1.22170E-014  2.70705E-007  5.00979E-011  1.04095E-008  1.62288E-010  8.18970E-014  5.55614E-019  4.15022E-012  7.55271E-011  3.50694E-013  4.42198E-030  1.04669E-035  1.00000E-040  6.71569E-029  8.29556E-014  3.11643E-025  6.12352E-016  1.97240E-016  1.10370E-019  1.32447E-018  2.99765E-024  4.80537E-034  8.71482E-028  3.21864E-034  2.83292E-028  2.87732E-035  7.39073E-033  7.73614E-020  7.93940E-020  2.99129E-036  6.06393E-029  8.21205E-024  1.13577E-012  6.88071E-018  5.18456E-016  1.70254E-024  2.92388E-011  1.00000E-040  2.87178E-018  2.65777E-035  1.98107E-021  7.73375E-023  1.86454E-014  3.27700E-020  4.42417E-014  3.02162E-021  3.72901E-024  2.63261E-014  7.08179E-014  2.53554E-033  1.08227E-033  2.15372E-022  1.00000E-040  1.09878E-022  3.02911E-011  1.41055E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.24607E-001  1.07660E+019  2.18384E+002  1.00000E+005  2.85827E-007  1.00000E-040  1.00000E-040  2.20095E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.36220E-024  1.00000E-040  1.00000E-040  8.45906E-020  5.00724E-007  1.09426E-005  1.42144E-015  2.71902E-015  2.12047E-004  4.93428E-008  2.83103E-004  2.51236E-021  1.96874E-010  1.00000E-040  1.00000E-040  6.12227E-031  1.44522E-019  8.04569E-007  3.98577E-021  1.20506E-020  9.99153E-030  1.20028E-029  5.28630E-032  3.92853E-011  2.99548E-017  2.55762E-015  1.35404E-010  2.70603E-037  1.00000E-040  3.24720E-010  2.28639E-036  3.97030E-011  7.20247E-021  9.99492E-001  7.47289E-020  5.86634E-015  2.39657E-010  1.91746E-032  9.31363E-035  4.02925E-021  1.22700E-018  1.86742E-012  1.22829E-015  7.56691E-013  1.21953E-014  2.70420E-007  6.34387E-011  1.16408E-008  1.29087E-010  5.81703E-014  4.22964E-019  4.10288E-012  7.95922E-011  1.94702E-013  3.31707E-030  1.23274E-035  1.00000E-040  7.25423E-029  9.71605E-014  3.11610E-025  6.12725E-016  1.97149E-016  1.18076E-019  1.29348E-018  2.99779E-024  3.76717E-034  8.71850E-028  2.40889E-034  3.12128E-028  3.15888E-035  9.47485E-033  7.10509E-020  1.19952E-019  3.93563E-036  8.99695E-029  1.68981E-023  2.20592E-012  8.61674E-018  5.18893E-016  1.53114E-024  2.92508E-011  1.00000E-040  9.47748E-018  4.38778E-035  8.71716E-021  6.96565E-023  1.86454E-014  3.41811E-020  4.81191E-014  4.53723E-021  4.98584E-024  3.02139E-014  7.08180E-014  2.37946E-033  1.25393E-033  2.66060E-022  1.00000E-040  8.76539E-023  3.02797E-011  1.42233E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.78375E-001  9.52728E+018  2.11630E+002  9.61769E+004  7.83915E-007  1.00000E-040  1.00000E-040  1.26065E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.04476E-039  5.07662E-023  1.00000E-040  1.00000E-040  1.17259E-019  5.01213E-007  9.60043E-006  1.86698E-015  3.60836E-015  2.12045E-004  4.92713E-008  2.83104E-004  3.08250E-021  1.86133E-010  1.00000E-040  1.00000E-040  8.86656E-031  1.48812E-019  8.04387E-007  5.26338E-021  1.12382E-020  8.70632E-030  8.86799E-030  5.28627E-032  3.53066E-011  3.74216E-017  3.74909E-015  1.37255E-010  3.58455E-037  1.00000E-040  3.23143E-010  1.18669E-036  3.96926E-011  1.93914E-020  9.99494E-001  1.04259E-019  8.51991E-015  2.19874E-010  3.36046E-032  1.24161E-034  4.05473E-021  1.21147E-018  1.81157E-012  2.69713E-015  8.71646E-013  1.21177E-014  2.70112E-007  7.90715E-011  1.29868E-008  1.03211E-010  4.15150E-014  3.33241E-019  4.05121E-012  8.25414E-011  1.71685E-013  2.38347E-030  1.39807E-035  1.00000E-040  7.83871E-029  1.16970E-013  3.11575E-025  6.13236E-016  1.97220E-016  1.28627E-019  1.26077E-018  2.99796E-024  2.90274E-034  8.72302E-028  1.77979E-034  3.43626E-028  3.57358E-035  1.14731E-032  6.19490E-020  1.69943E-019  5.00756E-036  1.35427E-028  3.41695E-023  3.62892E-012  1.01961E-017  5.19799E-016  1.35226E-024  2.92670E-011  1.00000E-040  2.96288E-017  6.98100E-035  2.66679E-020  6.05160E-023  1.86454E-014  3.41113E-020  4.79593E-014  6.44916E-021  6.61766E-024  3.47067E-014  7.08181E-014  2.21843E-033  1.39881E-033  3.35029E-022  1.00000E-040  6.69470E-023  3.02685E-011  1.43814E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
