alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00317E+000  3.29804E+019  2.20310E+002  1.00000E+005  1.93764E-010  1.00000E-040  1.00000E-040  6.01773E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.26831E-024  1.00000E-040  1.00000E-040  5.36930E-022  4.98422E-007  1.09695E-005  9.81843E-018  5.17644E-017  2.12058E-004  4.98221E-008  2.83104E-004  6.62708E-023  3.66387E-010  1.00000E-040  1.00000E-040  8.99367E-032  3.63542E-022  8.05449E-007  3.84366E-023  1.46096E-020  7.73856E-029  1.50552E-028  2.11773E-031  1.01473E-010  9.40980E-019  1.00335E-017  4.78773E-011  1.55393E-037  1.24179E-040  3.35936E-010  2.05548E-038  3.95795E-011  2.15665E-026  9.99492E-001  1.72178E-021  4.32471E-017  4.39175E-010  1.00000E-040  6.95742E-036  1.68735E-020  5.05181E-018  8.05074E-012  4.40673E-019  4.86641E-015  9.64559E-015  2.72138E-007  2.25019E-012  2.83376E-009  6.20013E-010  1.46890E-014  6.70431E-022  6.51593E-012  2.68682E-012  5.72406E-012  2.41071E-031  3.79773E-038  2.22999E-034  8.04090E-031  1.40124E-014  6.56899E-027  2.59438E-015  2.16480E-016  4.80434E-019  5.29109E-018  5.81389E-024  1.53458E-032  1.00000E-040  1.00000E-040  2.07602E-030  4.92992E-034  2.74749E-034  2.99656E-019  2.01507E-022  7.29869E-037  6.39960E-030  1.88468E-026  7.20154E-014  6.37343E-020  6.38978E-016  9.80605E-026  5.31073E-012  1.00000E-040  1.32199E-019  1.21196E-036  2.79732E-022  1.17610E-022  1.46589E-014  1.04961E-019  8.79293E-017  1.17852E-023  1.11262E-025  5.31542E-015  3.08210E-014  6.60237E-033  1.00000E-040  1.54428E-021  1.00000E-040  1.75917E-022  3.02275E-011  5.66821E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.75421E-001  2.68156E+019  2.36454E+002  1.00000E+005  2.85510E-010  1.00000E-040  1.00000E-040  1.55685E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.46021E-024  1.00000E-040  1.00000E-040  1.68037E-021  4.98548E-007  1.08793E-005  2.68416E-017  1.03870E-016  2.12058E-004  4.98044E-008  2.83103E-004  1.30177E-022  3.51195E-010  1.00000E-040  1.00000E-040  1.29697E-031  2.70106E-021  8.05386E-007  1.43549E-022  1.46500E-020  5.46932E-029  1.06852E-028  2.11773E-031  9.66192E-011  2.29950E-018  3.65326E-017  1.01052E-010  2.85114E-037  1.25541E-040  3.35079E-010  4.03739E-037  3.95704E-011  1.27524E-025  9.99492E-001  3.31875E-021  1.13831E-016  4.22396E-010  1.00000E-040  1.66579E-035  1.68743E-020  5.05160E-018  4.24017E-012  6.63888E-019  2.29701E-014  9.65922E-015  2.72038E-007  2.88545E-012  3.22473E-009  5.80323E-010  6.46345E-014  2.60366E-020  6.51152E-012  1.34416E-011  2.19423E-012  2.38098E-031  4.35149E-038  2.45452E-034  8.10589E-031  1.40487E-014  6.56876E-027  2.59438E-015  2.16536E-016  4.80694E-019  5.28890E-018  5.81389E-024  1.53740E-032  1.00000E-040  1.00000E-040  2.30490E-030  4.93347E-034  8.83635E-034  3.08042E-019  7.66238E-022  1.27462E-036  1.10662E-029  2.09295E-026  4.59533E-014  2.14130E-019  6.38292E-016  2.49166E-025  5.31071E-012  1.00000E-040  3.58643E-020  2.23258E-036  4.57909E-023  1.19111E-022  1.46589E-014  1.06308E-019  8.55625E-016  5.72676E-023  2.12586E-025  5.33855E-015  3.08210E-014  6.59040E-033  1.00000E-040  1.58891E-021  1.00000E-040  1.78195E-022  3.02157E-011  5.66899E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.69352E-001  2.28887E+019  2.43456E+002  1.00000E+005  8.28737E-010  1.00000E-040  1.00000E-040  6.52638E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.73196E-024  1.00000E-040  1.00000E-040  3.50521E-021  4.98698E-007  1.07707E-005  5.20698E-017  1.72272E-016  2.12057E-004  4.97827E-008  2.83103E-004  2.12629E-022  3.35346E-010  1.00000E-040  1.00000E-040  1.84670E-031  8.43935E-021  8.05311E-007  2.56567E-022  1.47012E-020  4.19507E-029  8.22493E-029  2.11772E-031  9.11793E-011  3.95971E-018  6.58536E-017  1.06409E-010  4.72103E-037  1.28308E-040  3.34094E-010  1.71045E-036  3.95607E-011  7.36449E-025  9.99492E-001  5.20561E-021  2.10530E-016  4.03451E-010  1.00000E-040  2.89456E-035  1.68767E-020  5.05058E-018  3.42577E-012  1.21779E-018  4.93996E-014  9.68600E-015  2.71919E-007  3.81674E-012  3.69323E-009  5.32529E-010  1.14572E-013  1.26117E-019  6.50381E-012  2.48585E-011  1.56606E-012  2.31559E-031  5.11057E-038  3.00253E-034  8.24829E-031  1.41585E-014  6.56849E-027  2.59441E-015  2.16649E-016  4.81555E-019  5.28210E-018  5.81390E-024  1.52628E-032  1.00000E-040  1.00000E-040  2.55951E-030  4.94541E-034  1.83760E-033  3.23625E-019  1.79845E-021  1.92230E-036  1.70356E-029  2.86374E-026  4.06788E-014  4.52339E-019  6.37514E-016  5.09460E-025  5.31066E-012  1.00000E-040  2.54297E-020  3.70791E-036  2.65667E-023  1.22034E-022  1.46589E-014  1.09441E-019  2.64000E-015  1.08356E-022  3.47831E-025  5.39764E-015  3.08210E-014  6.55917E-033  1.00000E-040  1.68804E-021  1.00000E-040  1.82203E-022  3.02034E-011  5.67132E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.77771E-001  2.00447E+019  2.44906E+002  1.00000E+005  2.28238E-009  1.00000E-040  1.00000E-040  5.06428E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.27546E-024  1.00000E-040  1.00000E-040  6.13132E-021  4.98872E-007  1.06438E-005  8.88922E-017  2.57230E-016  2.12056E-004  4.97571E-008  2.83103E-004  3.18764E-022  3.19397E-010  1.00000E-040  1.00000E-040  2.60613E-031  1.75290E-020  8.05224E-007  4.09521E-022  1.47214E-020  3.41664E-029  6.65095E-029  2.11772E-031  8.54023E-011  5.94440E-018  1.09431E-016  1.12034E-010  7.07574E-037  1.32950E-040  3.33014E-010  3.41351E-036  3.95507E-011  3.69240E-024  9.99493E-001  7.75202E-021  3.41444E-016  3.83142E-010  1.00000E-040  4.47314E-035  1.68821E-020  5.04785E-018  3.09607E-012  2.35290E-018  8.27888E-014  9.72273E-015  2.71783E-007  5.10681E-012  4.22910E-009  4.81423E-010  1.39920E-013  2.88316E-019  6.49345E-012  3.65926E-011  1.13433E-012  2.21217E-031  6.19180E-038  4.01354E-034  8.47675E-031  1.43800E-014  6.56821E-027  2.59449E-015  2.16797E-016  4.83429E-019  5.26741E-018  5.81392E-024  1.48027E-032  1.00000E-040  1.00000E-040  2.83015E-030  4.97178E-034  3.18083E-033  3.42814E-019  3.44257E-021  2.71070E-036  2.51514E-029  4.56069E-026  5.21480E-014  7.82828E-019  6.37285E-016  7.84676E-025  5.31061E-012  1.00000E-040  3.23020E-020  6.13493E-036  3.34804E-023  1.25551E-022  1.46589E-014  1.14870E-019  5.22435E-015  1.90092E-022  5.25602E-025  5.50881E-015  3.08210E-014  6.50491E-033  1.00000E-040  1.85193E-021  1.00000E-040  1.84740E-022  3.01911E-011  5.67598E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  5.96924E-001  1.78670E+019  2.41983E+002  1.00000E+005  6.07401E-009  1.00000E-040  1.00000E-040  3.56833E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.82956E-024  1.00000E-040  1.00000E-040  9.60649E-021  4.99068E-007  1.04962E-005  1.41306E-016  3.55097E-016  2.12055E-004  4.97279E-008  2.83103E-004  4.53029E-022  3.03709E-010  1.00000E-040  1.00000E-040  3.66650E-031  2.74155E-020  8.05126E-007  6.13972E-022  1.46674E-020  2.90627E-029  5.55540E-029  2.11771E-031  7.94983E-011  8.25937E-018  1.75614E-016  1.17699E-010  1.00279E-036  1.39848E-040  3.31866E-010  3.94804E-036  3.95407E-011  1.68035E-023  9.99493E-001  1.13865E-020  5.14525E-016  3.62156E-010  1.00000E-040  6.48180E-035  1.68918E-020  5.04199E-018  3.03090E-012  4.77725E-018  1.18069E-013  9.76449E-015  2.71632E-007  6.82855E-012  4.82637E-009  4.29188E-010  1.29071E-013  3.93805E-019  6.48108E-012  4.84640E-011  8.41246E-013  2.07173E-031  7.73698E-038  5.70920E-034  8.79715E-031  1.47541E-014  6.56790E-027  2.59464E-015  2.16955E-016  4.86830E-019  5.24109E-018  5.81395E-024  1.38983E-032  1.00000E-040  1.00000E-040  3.12063E-030  5.02031E-034  4.90616E-033  3.61549E-019  5.78875E-021  3.66697E-036  3.61831E-029  8.34725E-026  9.03067E-014  1.19807E-018  6.38013E-016  9.75694E-025  5.31055E-012  1.00000E-040  6.48160E-020  1.03842E-035  7.56186E-023  1.28588E-022  1.46589E-014  1.22869E-019  7.63445E-015  3.22924E-022  7.52566E-025  5.68880E-015  3.08211E-014  6.42621E-033  1.00000E-040  2.09268E-021  1.00000E-040  1.82036E-022  3.01791E-011  5.68377E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.24674E-001  1.60226E+019  2.37178E+002  1.00000E+005  1.60400E-008  1.00000E-040  1.00000E-040  2.29445E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.00509E-024  1.00000E-040  1.00000E-040  1.43873E-020  4.99287E-007  1.03204E-005  2.18899E-016  4.74106E-016  2.12054E-004  4.96950E-008  2.83103E-004  6.33803E-022  2.88537E-010  1.00000E-040  1.00000E-040  5.16863E-031  3.79890E-020  8.05017E-007  8.86906E-022  1.45111E-020  2.51343E-029  4.65681E-029  2.11771E-031  7.36426E-011  1.10432E-017  2.81705E-016  1.23188E-010  1.39399E-036  1.49377E-040  3.30671E-010  3.56945E-036  3.95308E-011  6.87462E-023  9.99493E-001  1.65028E-020  7.49067E-016  3.41077E-010  1.00000E-040  9.07080E-035  1.69074E-020  5.03109E-018  3.05444E-012  1.00969E-017  1.58317E-013  9.80616E-015  2.71467E-007  9.07294E-012  5.48118E-009  3.77704E-010  1.04509E-013  4.31315E-019  6.46695E-012  6.03517E-011  6.35978E-013  1.89869E-031  9.78023E-038  8.46067E-034  9.21327E-031  1.53284E-014  6.56757E-027  2.59489E-015  2.17120E-016  4.92419E-019  5.19998E-018  5.81400E-024  1.26575E-032  1.00000E-040  1.00000E-040  3.43623E-030  5.10117E-034  7.22924E-033  3.76977E-019  9.28037E-021  4.87666E-036  5.17098E-029  1.64434E-025  1.87413E-013  1.74090E-018  6.39517E-016  1.07518E-024  5.31052E-012  1.00000E-040  1.61808E-019  1.79021E-035  2.28271E-022  1.30465E-022  1.46589E-014  1.33205E-019  9.81829E-015  5.42864E-022  1.04492E-024  5.95153E-015  3.08211E-014  6.32320E-033  1.00000E-040  2.42633E-021  1.00000E-040  1.72869E-022  3.01676E-011  5.69559E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.59820E-001  1.44061E+019  2.31185E+002  1.00000E+005  4.23783E-008  1.00000E-040  1.00000E-040  1.34254E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.48198E-024  1.00000E-040  1.00000E-040  2.10557E-020  4.99530E-007  1.00953E-005  3.34023E-016  6.19882E-016  2.12053E-004  4.96586E-008  2.83103E-004  8.81054E-022  2.74079E-010  1.00000E-040  1.00000E-040  7.33826E-031  4.85132E-020  8.04895E-007  1.24548E-021  1.42388E-020  2.19245E-029  3.87926E-029  2.11770E-031  6.79789E-011  1.44487E-017  4.51506E-016  1.28256E-010  1.92489E-036  1.61927E-040  3.29444E-010  2.70222E-036  3.95210E-011  2.54116E-022  9.99493E-001  2.37261E-020  1.06806E-015  3.20394E-010  1.00000E-040  1.24050E-034  1.69308E-020  5.01282E-018  3.12831E-012  2.21698E-017  2.04913E-013  9.84194E-015  2.71288E-007  1.19511E-011  6.19220E-009  3.28551E-010  7.72994E-014  4.02251E-019  6.45098E-012  7.21354E-011  4.69100E-013  1.70027E-031  1.24375E-037  1.28986E-033  9.72657E-031  1.61593E-014  6.56720E-027  2.59527E-015  2.17313E-016  5.01099E-019  5.14197E-018  5.81407E-024  1.12461E-032  1.00000E-040  1.00000E-040  3.77780E-030  5.22864E-034  1.03507E-032  3.86534E-019  1.44476E-020  6.42951E-036  7.40823E-029  3.44029E-025  4.43606E-013  2.44709E-018  6.41453E-016  1.09667E-024  5.31054E-012  1.00000E-040  4.77539E-019  3.14225E-035  8.82289E-022  1.30791E-022  1.46589E-014  1.45257E-019  1.16067E-014  9.06637E-022  1.41894E-024  6.30857E-015  3.08212E-014  6.19737E-033  1.00000E-040  2.87503E-021  1.00000E-040  1.57972E-022  3.01567E-011  5.71251E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.01537E-001  1.29473E+019  2.24627E+002  1.00000E+005  1.12626E-007  1.00000E-040  1.00000E-040  7.12491E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.85592E-024  1.00000E-040  1.00000E-040  3.04127E-020  4.99800E-007  9.76392E-006  4.97839E-016  8.02781E-016  2.12052E-004  4.96189E-008  2.83104E-004  1.20833E-021  2.60572E-010  1.00000E-040  1.00000E-040  1.05289E-030  5.81672E-020  8.04761E-007  1.70812E-021  1.38530E-020  1.91823E-029  3.18720E-029  2.11769E-031  6.26422E-011  1.87178E-017  6.97186E-016  1.32584E-010  2.63055E-036  1.77827E-040  3.28199E-010  1.79708E-036  3.95113E-011  8.50695E-022  9.99493E-001  3.38978E-020  1.50314E-015  3.00571E-010  1.00000E-040  1.66979E-034  1.69639E-020  4.98481E-018  3.22860E-012  4.98168E-017  2.56568E-013  9.86514E-015  2.71096E-007  1.55873E-011  6.95881E-009  2.83338E-010  5.42479E-014  3.36437E-019  6.43265E-012  8.36273E-011  2.83965E-013  1.48679E-031  1.58235E-037  2.00991E-033  1.03340E-030  1.73131E-014  6.56680E-027  2.59582E-015  2.17572E-016  5.14110E-019  5.06738E-018  5.81416E-024  9.81922E-033  1.00000E-040  1.00000E-040  4.14563E-030  5.42292E-034  1.43603E-032  3.87285E-019  2.18015E-020  8.45803E-036  1.06948E-028  7.40257E-025  1.04661E-012  3.32126E-018  6.43526E-016  1.07030E-024  5.31065E-012  1.00000E-040  1.58103E-018  5.50804E-035  4.31383E-021  1.29330E-022  1.46589E-014  1.57762E-019  1.28456E-014  1.48102E-021  1.89684E-024  6.76504E-015  3.08212E-014  6.05165E-033  1.00000E-040  3.46885E-021  1.00000E-040  1.39310E-022  3.01464E-011  5.73574E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.49214E-001  1.16154E+019  2.17758E+002  1.00000E+005  3.00506E-007  1.00000E-040  1.00000E-040  1.42433E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.55423E-024  1.00000E-040  1.00000E-040  4.31843E-020  5.00101E-007  9.17189E-006  7.13105E-016  1.03482E-015  2.12051E-004  4.95762E-008  2.83104E-004  1.61042E-021  2.48322E-010  1.00000E-040  1.00000E-040  1.53038E-030  6.50757E-020  8.04613E-007  2.29188E-021  1.33699E-020  1.68186E-029  2.57713E-029  2.11769E-031  5.77643E-011  2.41285E-017  9.94221E-016  1.35890E-010  3.51820E-036  1.97177E-040  3.26949E-010  1.05380E-036  3.95017E-011  2.59475E-021  9.99494E-001  4.82809E-020  2.08896E-015  2.82071E-010  1.00000E-040  2.22143E-034  1.70086E-020  4.94502E-018  3.36604E-012  1.10984E-016  3.05881E-013  9.86763E-015  2.70890E-007  2.01185E-011  7.78063E-009  2.43626E-010  3.68114E-014  2.61169E-019  6.41090E-012  9.46673E-011  1.45045E-013  1.27163E-031  2.01071E-037  3.19165E-033  1.10268E-030  1.88605E-014  6.56636E-027  2.59660E-015  2.17953E-016  5.33033E-019  4.97984E-018  5.81427E-024  8.48941E-033  1.00000E-040  1.00000E-040  4.53908E-030  5.71200E-034  1.90353E-032  3.76544E-019  3.13273E-020  1.11339E-035  1.56210E-028  1.59993E-024  2.16044E-012  4.29718E-018  6.45699E-016  1.03129E-024  5.31089E-012  1.00000E-040  5.86893E-018  9.45410E-035  2.33693E-020  1.25896E-022  1.46589E-014  1.68748E-019  1.31593E-014  2.32060E-021  2.50480E-024  7.31430E-015  3.08212E-014  5.89065E-033  1.00000E-040  4.24848E-021  1.00000E-040  1.19223E-022  3.01367E-011  5.76676E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.02349E-001  1.03913E+019  2.10743E+002  9.61769E+004  7.90757E-007  1.00000E-040  1.00000E-040  9.74769E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.26085E-039  4.39938E-023  1.00000E-040  1.00000E-040  5.97402E-020  5.00443E-007  7.88872E-006  9.75023E-016  1.33468E-015  2.12050E-004  4.95300E-008  2.83104E-004  2.07078E-021  2.37505E-010  1.00000E-040  1.00000E-040  2.26308E-030  6.79056E-020  8.04444E-007  3.01593E-021  1.28075E-020  1.47739E-029  2.04853E-029  2.11768E-031  5.33935E-011  3.08597E-017  1.32494E-015  1.38190E-010  4.55862E-036  2.20058E-040  3.25681E-010  5.49046E-037  3.94920E-011  7.23186E-021  9.99495E-001  6.86942E-020  2.85935E-015  2.65051E-010  1.00000E-040  2.92874E-034  1.70670E-020  4.89134E-018  3.55747E-012  2.35762E-016  3.46141E-013  9.83768E-015  2.70666E-007  2.58300E-011  8.67413E-009  2.10197E-010  2.46897E-014  2.12565E-019  6.38317E-012  1.05504E-010  1.22825E-013  1.06697E-031  2.55427E-037  5.19695E-033  1.18061E-030  2.08959E-014  6.56589E-027  2.59767E-015  2.18536E-016  5.59726E-019  4.88486E-018  5.81442E-024  7.30898E-033  1.00000E-040  1.00000E-040  4.96633E-030  6.14106E-034  2.39742E-032  3.53413E-019  4.24114E-020  1.47352E-035  2.31228E-028  3.43489E-024  3.73206E-012  5.27533E-018  6.48191E-016  1.01716E-024  5.31132E-012  1.00000E-040  2.13143E-017  1.57490E-034  8.61634E-020  1.20342E-022  1.46589E-014  1.75875E-019  1.24051E-014  3.46232E-021  3.28061E-024  7.94141E-015  3.08213E-014  5.71739E-033  1.00000E-040  5.28882E-021  1.00000E-040  9.96759E-023  3.01276E-011  5.80808E-026  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
