alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00317E+000  3.29804E+019  2.20310E+002  1.00000E+005  1.59049E-010  1.00000E-040  1.00000E-040  6.17838E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.85938E-029  1.00000E-040  1.00000E-040  5.40578E-026  4.98422E-007  1.09695E-005  6.72555E-019  1.50897E-019  2.12058E-001  5.07496E-008  2.83104E-004  2.99689E-026  5.11218E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.49154E-026  8.05449E-007  8.62065E-036  3.00118E-026  1.00000E-040  1.00000E-040  9.36447E-035  3.97000E-010  7.95897E-021  1.94718E-020  4.34665E-011  1.00000E-040  1.00000E-040  3.35936E-010  1.00000E-040  3.96026E-011  1.12265E-039  7.87646E-001  1.00777E-028  1.90831E-021  4.54484E-010  1.00000E-040  1.00000E-040  3.00922E-023  2.49695E-021  4.48670E-012  1.50100E-023  1.26053E-015  2.57270E-016  2.72138E-007  3.65516E-014  8.83134E-009  1.40063E-009  1.77130E-013  2.08022E-022  2.90305E-012  2.05273E-013  5.53834E-012  1.09623E-028  7.04557E-038  1.00000E-040  4.54827E-030  5.61414E-017  1.29586E-021  4.45823E-018  2.23806E-015  1.57052E-022  1.04547E-021  1.32436E-031  1.45500E-039  2.29185E-035  1.00000E-040  1.20555E-027  2.14336E-036  1.00000E-040  1.29962E-021  5.15601E-024  1.00000E-040  2.89408E-035  3.74699E-030  1.64685E-018  4.34253E-024  1.16645E-014  6.84994E-030  1.54154E-014  1.00000E-040  9.02091E-021  1.48054E-040  3.69432E-027  1.44762E-025  1.08582E-020  5.06240E-023  1.07557E-017  7.32904E-028  1.32615E-026  1.29338E-017  1.21250E-018  1.01694E-038  1.00000E-040  2.91876E-028  1.00000E-040  4.42806E-025  3.02494E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.71815E-001  2.67051E+019  2.36454E+002  1.00000E+005  2.35317E-010  1.00000E-040  1.00000E-040  1.50897E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.90515E-028  1.00000E-040  1.00000E-040  1.03277E-025  4.98427E-007  1.08861E-005  1.02229E-018  3.03532E-019  2.12058E-001  5.07628E-008  2.83103E-004  4.11012E-026  4.96626E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.03389E-025  8.05448E-007  2.07470E-035  3.00119E-026  1.00000E-040  1.00000E-040  9.36445E-035  3.96882E-010  1.26916E-020  1.24541E-020  9.20360E-011  1.00000E-040  1.00000E-040  3.35926E-010  1.00000E-040  3.95968E-011  8.76580E-040  7.87646E-001  1.10020E-028  4.01602E-021  4.54163E-010  1.00000E-040  1.00000E-040  3.00923E-023  2.49688E-021  2.55412E-012  1.57309E-023  3.18498E-015  2.57311E-016  2.72137E-007  4.68596E-014  9.89574E-009  1.40021E-009  7.69759E-013  3.71595E-021  2.90306E-012  9.16107E-013  2.09306E-012  1.09620E-028  8.21776E-038  1.00000E-040  4.56143E-030  5.61460E-017  1.29586E-021  4.45824E-018  2.23860E-015  1.57056E-022  1.04591E-021  1.32436E-031  1.45501E-039  2.29185E-035  1.00000E-040  1.33430E-027  2.14347E-036  1.00000E-040  1.29902E-021  1.08933E-023  1.00000E-040  5.05202E-035  2.31353E-030  5.99171E-019  8.08524E-024  1.16647E-014  1.37729E-029  1.54154E-014  1.00000E-040  1.37718E-021  1.51635E-040  3.60157E-028  1.44717E-025  1.08582E-020  5.05744E-023  5.37018E-017  1.98600E-027  2.20162E-026  1.29311E-017  1.21250E-018  1.01695E-038  1.00000E-040  3.00895E-028  1.00000E-040  4.42785E-025  3.02408E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.63196E-001  2.27056E+019  2.43456E+002  1.00000E+005  6.96655E-010  1.00000E-040  1.00000E-040  5.23636E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.93204E-028  1.00000E-040  1.00000E-040  1.60164E-025  4.98434E-007  1.07854E-005  1.33149E-018  5.05765E-019  2.12059E-001  5.07779E-008  2.83103E-004  5.14429E-026  4.82035E-010  1.00000E-040  1.00000E-040  1.00000E-040  2.17880E-025  8.05446E-007  3.75535E-035  3.00124E-026  1.00000E-040  1.00000E-040  9.36443E-035  3.96746E-010  1.65183E-020  1.09785E-020  9.21712E-011  1.00000E-040  1.00000E-040  3.35914E-010  1.00000E-040  3.95911E-011  1.06696E-039  7.87646E-001  1.28105E-028  5.97086E-021  4.53830E-010  1.00000E-040  1.00000E-040  3.00925E-023  2.49671E-021  2.15241E-012  1.83079E-023  4.64892E-015  2.57268E-016  2.72135E-007  6.19841E-014  1.11774E-008  1.39809E-009  1.40726E-012  1.22846E-020  2.90320E-012  1.59964E-012  1.45075E-012  1.09613E-028  9.20639E-038  1.00000E-040  4.59253E-030  5.61566E-017  1.29586E-021  4.45824E-018  2.23980E-015  1.57068E-022  1.04685E-021  1.32436E-031  1.45477E-039  2.29185E-035  1.00000E-040  1.47915E-027  2.14373E-036  1.00000E-040  1.29735E-021  1.61790E-023  1.00000E-040  8.12496E-035  2.12536E-030  4.45061E-019  1.14723E-023  1.16651E-014  2.23580E-029  1.54154E-014  1.00000E-040  6.46249E-022  1.69058E-040  1.46357E-028  1.44607E-025  1.08582E-020  5.05009E-023  1.06750E-016  2.39857E-027  3.30048E-026  1.29254E-017  1.21250E-018  1.01697E-038  1.00000E-040  3.21309E-028  1.00000E-040  4.42605E-025  3.02322E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.69777E-001  1.98083E+019  2.44906E+002  1.00000E+005  1.95636E-009  1.00000E-040  1.00000E-040  4.05085E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.30968E-028  1.00000E-040  1.00000E-040  2.22696E-025  4.98440E-007  1.06674E-005  1.67331E-018  7.60159E-019  2.12059E-001  5.07946E-008  2.83103E-004  6.15569E-026  4.68059E-010  1.00000E-040  1.00000E-040  1.00000E-040  3.34721E-025  8.05443E-007  5.80458E-035  3.00134E-026  1.00000E-040  1.00000E-040  9.36441E-035  3.96594E-010  2.02324E-020  1.27270E-020  9.23230E-011  1.00000E-040  1.00000E-040  3.35900E-010  1.00000E-040  3.95857E-011  1.67161E-039  7.87646E-001  1.53903E-028  7.71122E-021  4.53497E-010  1.00000E-040  1.00000E-040  3.00927E-023  2.49643E-021  2.18498E-012  2.21890E-023  5.45589E-015  2.57083E-016  2.72133E-007  8.31291E-014  1.26650E-008  1.39586E-009  1.66933E-012  1.45297E-020  2.90352E-012  2.25833E-012  9.96438E-013  1.09602E-028  1.01067E-037  1.00000E-040  4.64576E-030  5.61742E-017  1.29586E-021  4.45824E-018  2.24174E-015  1.57087E-022  1.04835E-021  1.32436E-031  1.45358E-039  2.29185E-035  1.00000E-040  1.63552E-027  2.14416E-036  1.00000E-040  1.29430E-021  2.08965E-023  1.00000E-040  1.16745E-034  2.49168E-030  4.99731E-019  1.46696E-023  1.16657E-014  2.83149E-029  1.54154E-014  1.00000E-040  6.01700E-022  2.05840E-040  1.40427E-028  1.44420E-025  1.08582E-020  5.04912E-023  1.39004E-016  2.94562E-027  4.67492E-026  1.29163E-017  1.21250E-018  1.01700E-038  1.00000E-040  3.55512E-028  1.00000E-040  4.42065E-025  3.02242E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  5.87625E-001  1.75886E+019  2.41983E+002  1.00000E+005  5.30859E-009  1.00000E-040  1.00000E-040  2.83755E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.94730E-028  1.00000E-040  1.00000E-040  2.87778E-025  4.98447E-007  1.05298E-005  2.10765E-018  1.05813E-018  2.12059E-001  5.08127E-008  2.83103E-004  7.17306E-026  4.55086E-010  1.00000E-040  1.00000E-040  1.00000E-040  4.16821E-025  8.05441E-007  8.07108E-035  3.00151E-026  1.00000E-040  1.00000E-040  9.36439E-035  3.96428E-010  2.44155E-020  1.88281E-020  9.24900E-011  1.00000E-040  1.00000E-040  3.35884E-010  1.00000E-040  3.95808E-011  3.22121E-039  7.87646E-001  1.89981E-028  9.20624E-021  4.53173E-010  1.00000E-040  1.00000E-040  3.00932E-023  2.49600E-021  2.57535E-012  2.83346E-023  5.55484E-015  2.56717E-016  2.72131E-007  1.11978E-013  1.43548E-008  1.39377E-009  1.41437E-012  9.06545E-021  2.90406E-012  2.90935E-012  6.78236E-013  1.09588E-028  1.10165E-037  1.00000E-040  4.72381E-030  5.61998E-017  1.29586E-021  4.45825E-018  2.24449E-015  1.57116E-022  1.05043E-021  1.32436E-031  1.45084E-039  2.29185E-035  1.00000E-040  1.80623E-027  2.14481E-036  1.00000E-040  1.28964E-021  2.49935E-023  1.00000E-040  1.66078E-034  3.61357E-030  7.89560E-019  1.78774E-023  1.16667E-014  2.96947E-029  1.54155E-014  1.00000E-040  9.52716E-022  2.75905E-040  2.46389E-028  1.44146E-025  1.08582E-020  5.05806E-023  1.34365E-016  3.77926E-027  6.35757E-026  1.29037E-017  1.21250E-018  1.01706E-038  1.00000E-040  4.06289E-028  1.00000E-040  4.41016E-025  3.02169E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.14492E-001  1.57116E+019  2.37178E+002  1.00000E+005  1.42960E-008  1.00000E-040  1.00000E-040  1.80844E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.29397E-028  1.00000E-040  1.00000E-040  3.59025E-025  4.98454E-007  1.03656E-005  2.58470E-018  1.42704E-018  2.12059E-001  5.08321E-008  2.83103E-004  8.23375E-026  4.43349E-010  1.00000E-040  1.00000E-040  1.89341E-040  4.59535E-025  8.05438E-007  1.06325E-034  3.00176E-026  1.00000E-040  1.00000E-040  9.36437E-035  3.96248E-010  2.84798E-020  3.01483E-020  9.26714E-011  1.00000E-040  1.00000E-040  3.35866E-010  1.00000E-040  3.95765E-011  6.84743E-039  7.87646E-001  2.37072E-028  1.03154E-020  4.52862E-010  1.00000E-040  1.00000E-040  3.00938E-023  2.49541E-021  3.18284E-012  3.70774E-023  5.26117E-015  2.56150E-016  2.72128E-007  1.50893E-013  1.62520E-008  1.39161E-009  1.04336E-012  5.13984E-021  2.90480E-012  3.57923E-012  4.54946E-013  1.09570E-028  1.20320E-037  1.00000E-040  4.82752E-030  5.62351E-017  1.29586E-021  4.45826E-018  2.24812E-015  1.57156E-022  1.05312E-021  1.32436E-031  1.44664E-039  2.29185E-035  1.00000E-040  1.99511E-027  2.14570E-036  1.00000E-040  1.28321E-021  2.80591E-023  1.00000E-040  1.02450E-034  5.63536E-030  1.42361E-018  2.06417E-023  1.16679E-014  2.79053E-029  1.54155E-014  1.00000E-040  1.87342E-021  3.76199E-040  5.70970E-028  1.43773E-025  1.08582E-020  5.07087E-023  1.11974E-016  4.81254E-027  8.45756E-026  1.28868E-017  1.21250E-018  1.01713E-038  1.00000E-040  4.77294E-028  1.00000E-040  4.39438E-025  3.02106E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.49104E-001  1.40703E+019  2.31185E+002  1.00000E+005  3.85273E-008  1.00000E-040  1.00000E-040  1.04545E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.62586E-028  1.00000E-040  1.00000E-040  4.37666E-025  4.98461E-007  1.01550E-005  3.07159E-018  1.88819E-018  2.12059E-001  5.08531E-008  2.83103E-004  9.35555E-026  4.32976E-010  1.00000E-040  1.00000E-040  2.75563E-040  4.59462E-025  8.05435E-007  1.35536E-034  3.00212E-026  1.00000E-040  1.00000E-040  9.36434E-035  3.96055E-010  3.20445E-020  4.99231E-020  9.28676E-011  1.00000E-040  1.00000E-040  3.35846E-010  1.00000E-040  3.95729E-011  1.56455E-038  7.87647E-001  2.98547E-028  1.09140E-020  4.52566E-010  1.00000E-040  1.00000E-040  3.00945E-023  2.49463E-021  4.01250E-012  4.94639E-023  4.73877E-015  2.55384E-016  2.72125E-007  2.03164E-013  1.83729E-008  1.38923E-009  7.04950E-013  2.96418E-021  2.90573E-012  4.30413E-012  2.94817E-013  1.09550E-028  1.32041E-037  1.00000E-040  4.95763E-030  5.62818E-017  1.29586E-021  4.45828E-018  2.25273E-015  1.57209E-022  1.05644E-021  1.32436E-031  1.44132E-039  2.29185E-035  1.00000E-040  2.20387E-027  2.14688E-036  1.00000E-040  1.27489E-021  2.97184E-023  1.00000E-040  4.93669E-034  9.18227E-030  2.79936E-018  2.26741E-023  1.16693E-014  2.43732E-029  1.54156E-014  1.00000E-040  4.27240E-021  5.13538E-040  1.67732E-027  1.43291E-025  1.08582E-020  5.08184E-023  8.40447E-017  6.02188E-027  1.10798E-025  1.28649E-017  1.21251E-018  1.01723E-038  1.00000E-040  5.73529E-028  1.00000E-040  4.37369E-025  3.02053E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  3.90577E-001  1.25939E+019  2.24627E+002  1.00000E+005  1.04478E-007  1.00000E-040  1.00000E-040  5.46331E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08403E-028  1.00000E-040  1.00000E-040  5.28128E-025  4.98468E-007  9.84379E-006  3.57191E-018  2.47980E-018  2.12059E-001  5.08756E-008  2.83103E-004  1.05812E-025  4.24060E-010  1.00000E-040  1.00000E-040  3.25294E-040  4.32326E-025  8.05431E-007  1.80595E-034  3.00261E-026  1.00000E-040  1.00000E-040  9.36431E-035  3.95847E-010  3.51847E-020  8.25905E-020  9.30797E-011  1.00000E-040  1.00000E-040  3.35824E-010  1.00000E-040  3.95701E-011  3.73297E-038  7.87647E-001  3.78480E-028  1.11230E-020  4.52285E-010  1.00000E-040  1.00000E-040  3.00955E-023  2.49363E-021  5.08015E-012  6.71736E-023  4.15828E-015  2.54442E-016  2.72122E-007  2.73239E-013  2.07415E-008  1.38657E-009  4.53035E-013  1.74709E-021  2.90683E-012  5.12939E-012  1.73740E-013  1.09527E-028  1.45738E-037  1.00000E-040  5.11541E-030  5.63420E-017  1.29586E-021  4.45830E-018  2.25843E-015  1.57278E-022  1.06043E-021  1.32436E-031  1.43515E-039  2.29185E-035  1.00000E-040  2.43446E-027  2.14840E-036  1.00019E-040  1.26468E-021  3.02704E-023  1.00000E-040  1.00000E-040  1.54156E-029  5.82620E-018  2.40861E-023  1.16708E-014  2.03414E-029  1.54157E-014  1.00000E-040  1.08555E-020  7.00985E-040  6.65136E-027  1.42689E-025  1.08582E-020  5.08764E-023  5.93501E-017  7.43768E-027  1.43766E-025  1.28373E-017  1.21251E-018  1.01736E-038  1.00000E-040  7.01748E-028  1.00000E-040  4.34871E-025  3.02012E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.38253E-001  1.12508E+019  2.17758E+002  1.00000E+005  2.84584E-007  1.00000E-040  1.00000E-040  2.56642E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.84077E-029  1.00000E-040  1.00000E-040  6.35501E-025  4.98475E-007  9.28193E-006  4.10785E-018  3.24951E-018  2.12059E-001  5.08999E-008  2.83103E-004  1.19586E-025  4.16685E-010  1.00000E-040  1.00000E-040  5.71226E-040  3.90883E-025  8.05427E-007  4.75724E-034  3.00328E-026  1.00000E-040  1.00000E-040  9.36427E-035  3.95623E-010  3.81228E-020  1.33745E-019  9.33098E-011  1.00000E-040  1.00000E-040  3.35800E-010  1.00000E-040  3.95680E-011  9.13683E-038  7.87647E-001  4.83094E-028  1.10761E-020  4.52020E-010  1.00000E-040  1.00000E-040  3.00968E-023  2.49240E-021  6.45034E-012  9.32437E-023  3.59550E-015  2.53357E-016  2.72119E-007  3.67108E-013  2.33905E-008  1.38359E-009  2.79528E-013  1.03995E-021  2.90803E-012  6.11269E-012  7.21362E-014  1.09501E-028  1.61819E-037  1.00000E-040  5.30304E-030  5.64180E-017  1.29586E-021  4.45832E-018  2.26533E-015  1.57363E-022  1.06513E-021  1.32437E-031  1.42827E-039  2.29185E-035  1.00000E-040  2.68894E-027  2.15030E-036  1.00000E-040  1.25263E-021  3.00634E-023  1.00000E-040  1.79192E-034  2.67493E-029  1.28020E-017  2.50943E-023  1.16722E-014  1.65643E-029  1.54158E-014  1.00000E-040  3.14968E-020  9.63482E-040  3.77423E-026  1.41960E-025  1.08582E-020  5.08645E-023  4.02047E-017  9.14665E-027  1.85369E-025  1.28029E-017  1.21252E-018  1.01752E-038  1.00000E-040  8.71060E-028  1.00000E-040  4.31996E-025  3.01983E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.91587E-001  1.00215E+019  2.10743E+002  9.61769E+004  7.65346E-007  1.00000E-040  1.00000E-040  3.65730E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.78591E-027  1.00000E-040  1.00000E-040  7.66554E-025  4.98483E-007  8.04172E-006  4.70825E-018  4.27377E-018  2.12059E-001  5.09268E-008  2.83103E-004  1.35424E-025  4.10831E-010  1.00000E-040  1.00000E-040  4.17326E-040  3.44570E-025  8.05423E-007  4.72194E-033  3.00417E-026  1.00000E-040  1.00000E-040  9.36424E-035  3.95376E-010  4.10581E-020  2.07209E-019  9.35654E-011  1.00000E-040  1.00000E-040  3.35772E-010  1.00000E-040  3.95669E-011  2.24724E-037  7.87648E-001  6.21144E-028  1.08870E-020  4.51765E-010  1.00000E-040  1.00000E-040  3.00984E-023  2.49086E-021  8.19943E-012  1.32014E-022  3.09071E-015  2.52125E-016  2.72115E-007  4.95276E-013  2.64186E-008  1.38021E-009  1.67082E-013  6.90144E-022  2.90930E-012  7.35230E-012  2.18062E-014  1.09472E-028  1.80613E-037  1.00000E-040  5.52796E-030  5.65144E-017  1.29586E-021  4.45835E-018  2.27375E-015  1.57470E-022  1.07068E-021  1.32437E-031  1.42056E-039  2.29185E-035  1.00000E-040  2.97636E-027  2.15269E-036  1.00000E-040  1.23855E-021  2.93973E-023  1.00000E-040  8.03207E-034  4.81372E-029  2.96831E-017  2.59095E-023  1.16733E-014  1.34299E-029  1.54159E-014  1.00000E-040  9.67250E-020  1.34085E-039  1.72190E-025  1.41077E-025  1.08582E-020  5.07687E-023  2.65059E-017  1.12734E-026  2.38641E-025  1.27597E-017  1.21253E-018  1.01772E-038  1.00000E-040  1.09808E-027  1.00000E-040  4.28717E-025  3.01967E-011  1.06084E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
