Wavelength (nm)	Solar flux (mW/m^2/nm)
1.050000e+01	8.434698e+00
1.150000e+01	6.571688e+00
1.250000e+01	4.241952e+00
1.350000e+01	4.122769e+00
1.450000e+01	4.122769e+00
1.550000e+01	4.122769e+00
1.650000e+01	4.122769e+00
1.750000e+01	4.122769e+00
1.850000e+01	4.122769e+00
1.950000e+01	4.110205e+00
2.050000e+01	3.628236e+00
2.150000e+01	3.615671e+00
2.250000e+01	3.615671e+00
2.350000e+01	3.615671e+00
2.450000e+01	3.615671e+00
2.550000e+01	3.615671e+00
2.650000e+01	3.615671e+00
2.750000e+01	3.615671e+00
2.850000e+01	3.615671e+00
2.950000e+01	3.605197e+00
3.050000e+01	3.203401e+00
3.150000e+01	3.192927e+00
3.250000e+01	3.192927e+00
3.350000e+01	3.192927e+00
3.450000e+01	3.192927e+00
3.550000e+01	3.192927e+00
3.650000e+01	3.192927e+00
3.750000e+01	3.192927e+00
3.850000e+01	3.192927e+00
3.950000e+01	3.114992e+00
4.050000e+01	1.253150e-01
4.150000e+01	4.737999e-02
4.250000e+01	4.737999e-02
4.350000e+01	4.737999e-02
4.450000e+01	4.737999e-02
4.550000e+01	4.737999e-02
4.650000e+01	4.737999e-02
4.750000e+01	4.737999e-02
4.850000e+01	4.737999e-02
4.950000e+01	4.746323e-02
5.050000e+01	5.065699e-02
5.150000e+01	5.074024e-02
5.250000e+01	5.074024e-02
5.350000e+01	5.074024e-02
5.450000e+01	5.074024e-02
5.550000e+01	5.074024e-02
5.650000e+01	5.074024e-02
5.750000e+01	5.074024e-02
5.850000e+01	5.074024e-02
5.950000e+01	5.232206e-02
6.050000e+01	1.130024e-01
6.150000e+01	1.145842e-01
6.250000e+01	1.145842e-01
6.350000e+01	1.145842e-01
6.450000e+01	1.145842e-01
6.550000e+01	1.145842e-01
6.650000e+01	1.145842e-01
6.750000e+01	1.145842e-01
6.850000e+01	1.145842e-01
6.950000e+01	1.138930e-01
7.050000e+01	8.737585e-02
