# (bar) (K)     (cm2/s)
# Pressure        Temp     Kzz
 9.92556E-01   222.89  1.120E+05
 9.76325E-01   227.20  1.120E+05
 9.57485E-01   229.92  1.120E+05
 9.36198E-01   232.27  1.120E+05
 9.12645E-01   234.55  1.120E+05
 8.87020E-01   236.88  1.120E+05
 8.59535E-01   239.14  1.120E+05
 8.20858E-01   241.57  1.120E+05
 7.63404E-01   243.88  1.120E+05
 6.91389E-01   244.48  1.120E+05
 6.09779E-01   242.15  1.120E+05
 5.24687E-01   237.01  1.120E+05
 4.45993E-01   230.03  1.120E+05
 3.79101E-01   222.48  1.120E+05
 3.22242E-01   214.92  1.120E+05
 2.73911E-01   207.57  1.120E+05
 2.32829E-01   200.89  1.120E+05
 1.97908E-01   195.63  1.120E+05
 1.68225E-01   192.71  1.120E+05
 1.42994E-01   192.83  1.120E+05
 1.21547E-01   193.36  1.120E+05
 1.03317E-01   193.06  1.120E+05
 8.78212E-02   192.30  1.120E+05
 7.37510E-02   190.95  1.120E+05
 6.15205E-02   189.40  1.120E+05
 5.16775E-02   188.04  1.120E+05
 4.31938E-02   186.91  1.120E+05
 3.59233E-02   185.99  1.120E+05
 2.97280E-02   185.21  1.120E+05
 2.44790E-02   184.57  1.120E+05
 2.00568E-02   183.97  1.120E+05
 1.63518E-02   183.37  1.120E+05
 1.32648E-02   182.73  1.120E+05
 1.07071E-02   182.23  1.120E+05
 8.59973E-03   181.72  1.120E+05
 6.87285E-03   181.43  1.120E+05
 5.46540E-03   181.25  1.120E+05
 4.32457E-03   181.01  1.120E+05
 3.40488E-03   180.61  1.120E+05
 2.66742E-03   180.04  1.120E+05
 2.07932E-03   179.35  1.120E+05
 1.61285E-03   178.98  1.120E+05
 1.24479E-03   179.47  1.120E+05
 9.55948E-04   180.47  1.120E+05
 7.30480E-04   181.50  1.120E+05
 5.53470E-04   182.29  1.120E+05
 4.10168E-04   181.86  1.120E+05
 2.92025E-04   177.66  1.120E+05
 1.98120E-04   171.93  1.120E+05
 1.28273E-04   168.78  1.120E+05
 7.99108E-05   167.74  1.120E+05
 4.87307E-05   169.43  1.120E+05
 2.95578E-05   174.36  1.120E+05
 1.78980E-05   182.07  1.120E+05
 1.08138E-05   197.70  1.120E+05
 6.55683E-06   220.46  1.120E+05
 3.97825E-06   237.29  1.120E+05
 2.40457E-06   286.97  1.120E+05
 1.45846E-06   356.79  1.120E+05
 8.84602E-07   425.29  1.120E+05
 5.36533E-07   486.59  1.120E+05
 3.25423E-07   539.29  1.120E+05
 1.97380E-07   583.93  1.120E+05
 1.19719E-07   621.31  1.120E+05
 7.26127E-08   652.07  1.120E+05
 4.40410E-08   675.80  1.120E+05
 2.67123E-08   690.94  1.120E+05
 1.62019E-08   699.47  1.120E+05
 9.82690E-09   697.11  1.120E+05
 5.96030E-09   665.67  1.120E+05
