# (bar) (K)     (cm2/s)
# Pressure        Temp     Kzz
 9.92556E-01   221.78  1.120E+05
 9.76325E-01   226.20  1.120E+05
 9.57485E-01   229.02  1.120E+05
 9.36198E-01   231.52  1.120E+05
 9.12645E-01   233.97  1.120E+05
 8.87020E-01   236.46  1.120E+05
 8.59535E-01   238.85  1.120E+05
 8.20858E-01   241.40  1.120E+05
 7.63404E-01   243.99  1.120E+05
 6.91389E-01   244.80  1.120E+05
 6.09779E-01   242.26  1.120E+05
 5.24687E-01   236.88  1.120E+05
 4.45993E-01   229.66  1.120E+05
 3.79101E-01   221.88  1.120E+05
 3.22242E-01   214.12  1.120E+05
 2.73911E-01   206.43  1.120E+05
 2.32829E-01   199.17  1.120E+05
 1.97908E-01   192.91  1.120E+05
 1.68225E-01   188.21  1.120E+05
 1.42994E-01   186.12  1.120E+05
 1.21547E-01   186.08  1.120E+05
 1.03317E-01   185.86  1.120E+05
 8.78212E-02   185.28  1.120E+05
 7.37510E-02   184.56  1.120E+05
 6.15205E-02   183.92  1.120E+05
 5.16775E-02   183.54  1.120E+05
 4.31938E-02   183.44  1.120E+05
 3.59233E-02   183.52  1.120E+05
 2.97280E-02   183.75  1.120E+05
 2.44790E-02   184.01  1.120E+05
 2.00568E-02   184.22  1.120E+05
 1.63518E-02   184.27  1.120E+05
 1.32648E-02   184.23  1.120E+05
 1.07071E-02   184.24  1.120E+05
 8.59973E-03   184.34  1.120E+05
 6.87285E-03   184.34  1.120E+05
 5.46540E-03   184.04  1.120E+05
 4.32457E-03   183.49  1.120E+05
 3.40488E-03   182.93  1.120E+05
 2.66742E-03   182.61  1.120E+05
 2.07932E-03   182.65  1.120E+05
 1.61285E-03   182.89  1.120E+05
 1.24479E-03   183.39  1.120E+05
 9.55948E-04   183.55  1.120E+05
 7.30480E-04   183.29  1.120E+05
 5.53470E-04   182.23  1.120E+05
 4.10168E-04   180.81  1.120E+05
 2.92025E-04   180.56  1.120E+05
 1.98120E-04   182.70  1.120E+05
 1.28273E-04   186.36  1.120E+05
 7.99108E-05   189.56  1.120E+05
 4.87307E-05   191.55  1.120E+05
 2.95578E-05   194.26  1.120E+05
 1.78980E-05   198.94  1.120E+05
 1.08138E-05   211.21  1.120E+05
 6.55683E-06   232.83  1.120E+05
 3.97825E-06   246.22  1.120E+05
 2.40457E-06   300.49  1.120E+05
 1.45846E-06   342.70  1.120E+05
 8.84602E-07   382.99  1.120E+05
 5.36533E-07   423.85  1.120E+05
 3.25423E-07   463.85  1.120E+05
 1.97380E-07   503.53  1.120E+05
 1.19719E-07   543.09  1.120E+05
 7.26127E-08   581.83  1.120E+05
 4.40410E-08   617.24  1.120E+05
 2.67123E-08   645.78  1.120E+05
 1.62019E-08   667.80  1.120E+05
 9.82690E-09   678.98  1.120E+05
 5.96030E-09   659.49  1.120E+05
