# (bar) (K)     (cm2/s)
# Pressure        Temp     Kzz
 9.92556E-01   221.72  1.120E+05
 9.76325E-01   225.92  1.120E+05
 9.57485E-01   228.70  1.120E+05
 9.36198E-01   231.09  1.120E+05
 9.12645E-01   233.50  1.120E+05
 8.87020E-01   236.12  1.120E+05
 8.59535E-01   238.70  1.120E+05
 8.20858E-01   241.49  1.120E+05
 7.63404E-01   244.28  1.120E+05
 6.91389E-01   245.05  1.120E+05
 6.09779E-01   242.39  1.120E+05
 5.24687E-01   236.96  1.120E+05
 4.45993E-01   229.75  1.120E+05
 3.79101E-01   221.99  1.120E+05
 3.22242E-01   214.18  1.120E+05
 2.73911E-01   206.50  1.120E+05
 2.32829E-01   199.28  1.120E+05
 1.97908E-01   193.20  1.120E+05
 1.68225E-01   188.86  1.120E+05
 1.42994E-01   187.56  1.120E+05
 1.21547E-01   187.75  1.120E+05
 1.03317E-01   187.56  1.120E+05
 8.78212E-02   186.87  1.120E+05
 7.37510E-02   185.98  1.120E+05
 6.15205E-02   185.26  1.120E+05
 5.16775E-02   185.02  1.120E+05
 4.31938E-02   185.20  1.120E+05
 3.59233E-02   185.75  1.120E+05
 2.97280E-02   186.56  1.120E+05
 2.44790E-02   187.17  1.120E+05
 2.00568E-02   187.33  1.120E+05
 1.63518E-02   187.26  1.120E+05
 1.32648E-02   187.02  1.120E+05
 1.07071E-02   186.74  1.120E+05
 8.59973E-03   186.52  1.120E+05
 6.87285E-03   186.28  1.120E+05
 5.46540E-03   185.81  1.120E+05
 4.32457E-03   185.13  1.120E+05
 3.40488E-03   184.47  1.120E+05
 2.66742E-03   184.06  1.120E+05
 2.07932E-03   183.91  1.120E+05
 1.61285E-03   183.82  1.120E+05
 1.24479E-03   183.73  1.120E+05
 9.55948E-04   183.62  1.120E+05
 7.30480E-04   183.48  1.120E+05
 5.53470E-04   183.21  1.120E+05
 4.10168E-04   182.49  1.120E+05
 2.92025E-04   180.93  1.120E+05
 1.98120E-04   179.45  1.120E+05
 1.28273E-04   179.91  1.120E+05
 7.99108E-05   182.85  1.120E+05
 4.87307E-05   190.03  1.120E+05
 2.95578E-05   202.27  1.120E+05
 1.78980E-05   214.00  1.120E+05
 1.08138E-05   221.25  1.120E+05
 6.55683E-06   226.68  1.120E+05
 3.97825E-06   229.31  1.120E+05
 2.40457E-06   227.56  1.120E+05
 1.45846E-06   224.22  1.120E+05
 8.84602E-07   224.37  1.120E+05
 5.36533E-07   234.60  1.120E+05
 3.25423E-07   264.27  1.120E+05
 1.97380E-07   319.69  1.120E+05
 1.19719E-07   392.47  1.120E+05
 7.26127E-08   466.65  1.120E+05
 4.40410E-08   529.76  1.120E+05
 2.67123E-08   580.01  1.120E+05
 1.62019E-08   619.20  1.120E+05
 9.82690E-09   643.75  1.120E+05
 5.96030E-09   641.47  1.120E+05
