alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00813E+000  2.57818E+019  2.83217E+002  1.00000E+005  5.65156E-004  1.00000E-040  1.00000E-040  8.87164E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.38976E-020  1.00000E-040  1.00000E-040  4.69488E-018  4.95968E-007  4.92680E-003  3.05575E-014  8.42848E-015  2.11014E-004  1.55503E-007  2.81710E-004  9.64468E-019  1.07404E-009  1.00000E-040  2.62365E-040  9.06537E-027  2.11957E-016  8.01484E-006  2.90658E-021  3.71296E-020  7.02356E-031  5.59116E-030  1.00000E-040  7.97229E-012  1.22746E-016  2.37786E-015  4.42086E-011  6.25958E-033  2.07499E-036  3.34282E-010  5.29049E-032  4.90036E-011  1.13982E-024  9.94572E-001  4.82988E-020  1.25945E-013  4.19611E-010  2.28325E-036  6.59830E-036  2.69491E-022  8.46025E-018  1.94599E-013  5.38198E-014  3.19011E-011  4.35493E-015  2.70798E-007  6.02257E-009  3.15501E-009  1.63156E-011  2.49499E-014  2.76440E-019  3.03937E-013  1.26636E-011  2.83279E-011  1.00000E-040  1.00000E-040  3.62975E-035  1.00000E-040  3.38756E-012  1.00000E-040  4.34741E-016  4.97883E-013  2.61730E-018  1.57277E-018  1.87258E-027  1.02283E-028  3.85082E-028  6.08436E-033  1.00000E-040  2.97640E-033  2.66655E-030  3.26637E-019  6.88613E-017  2.10439E-031  9.02969E-030  2.30637E-022  2.86002E-014  6.75800E-015  5.45512E-014  1.51991E-021  3.65929E-010  1.00000E-040  3.64456E-019  1.66772E-035  3.53117E-021  1.30337E-018  4.60638E-012  8.99582E-019  1.12540E-009  1.92791E-020  3.11491E-022  1.54994E-012  3.37356E-013  1.46805E-033  1.84804E-032  8.98164E-020  1.00000E-040  7.46727E-020  3.54260E-011  1.73926E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94700E-001  2.34303E+019  2.76577E+002  1.00000E+005  7.37374E-004  1.00000E-040  1.00000E-040  1.03361E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.96455E-020  1.00000E-040  1.00000E-040  4.68692E-018  5.04029E-007  3.65692E-003  3.49532E-014  3.89779E-015  2.11249E-004  1.54551E-007  2.82090E-004  6.09143E-019  5.63770E-010  1.00000E-040  2.45338E-040  9.56854E-027  2.06386E-016  8.00343E-006  5.80908E-021  4.18908E-020  8.59360E-031  6.20634E-030  1.00000E-040  3.97107E-012  2.15217E-016  9.23562E-015  8.83494E-011  1.86668E-032  2.75504E-036  2.99809E-010  3.49177E-032  4.88695E-011  1.74341E-024  9.95841E-001  7.23667E-020  2.62042E-013  2.86565E-010  1.04255E-035  1.28546E-035  2.62349E-022  8.74986E-018  1.15440E-014  4.36073E-014  2.60157E-011  3.74906E-015  2.67855E-007  5.48801E-009  1.27536E-009  2.57826E-012  3.44824E-015  1.87805E-019  1.71975E-013  1.41314E-011  3.28299E-011  1.00000E-040  1.00000E-040  1.97608E-035  1.00000E-040  6.12372E-012  1.00000E-040  4.35591E-016  4.51856E-013  2.54454E-018  1.39123E-018  1.87549E-027  1.10464E-028  3.85578E-028  4.08740E-033  1.00000E-040  4.37513E-033  2.95955E-030  2.27275E-019  4.46448E-016  2.06451E-031  4.43978E-030  3.32240E-022  6.32271E-014  3.86804E-015  3.98874E-014  1.00131E-021  3.65258E-010  1.00000E-040  6.92576E-019  2.06777E-035  4.81973E-021  1.41746E-018  4.61226E-012  1.34543E-018  3.46811E-009  4.58746E-020  1.61195E-022  2.74977E-012  3.38984E-013  1.07839E-033  1.95083E-032  7.60272E-020  1.00000E-040  9.72816E-020  3.50851E-011  1.74354E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.92402E-001  2.11206E+019  2.71742E+002  1.00000E+005  4.95011E-004  1.00000E-040  1.00000E-040  1.08027E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.45877E-020  1.00000E-040  1.00000E-040  5.42407E-018  5.11220E-007  2.82364E-003  4.23972E-014  1.73743E-015  2.11390E-004  1.51820E-007  2.82347E-004  4.18043E-019  3.18974E-010  1.00000E-040  3.48343E-040  1.22859E-026  2.28035E-016  7.98959E-006  8.75892E-021  4.51456E-020  9.24221E-031  6.17588E-030  1.00000E-040  1.91001E-012  3.78633E-016  1.65795E-014  7.56856E-011  4.31145E-032  4.05920E-036  2.65637E-010  2.76446E-032  4.87219E-011  2.41106E-024  9.96674E-001  8.49522E-020  2.93332E-013  1.82349E-010  3.53788E-035  2.07778E-035  2.49310E-022  8.62098E-018  2.48079E-015  2.57931E-014  2.36828E-011  3.48432E-015  2.64482E-007  4.94146E-009  4.65523E-010  7.76545E-013  1.89577E-015  1.50647E-019  9.46512E-014  1.20767E-011  3.69142E-011  1.00000E-040  1.00000E-040  3.80021E-036  1.00000E-040  6.42834E-012  1.00000E-040  4.37266E-016  4.02203E-013  2.45508E-018  1.32478E-018  1.87783E-027  1.12349E-028  3.85913E-028  2.67832E-033  1.00000E-040  6.65751E-033  3.37548E-030  2.37367E-019  1.58805E-015  2.50744E-031  2.38333E-030  4.71881E-022  1.14556E-013  2.81258E-015  2.58584E-014  8.36794E-022  3.58099E-010  1.00000E-040  1.19699E-018  2.58547E-035  6.59144E-021  1.49189E-018  4.61613E-012  1.70668E-018  5.61815E-009  4.89685E-020  7.40844E-023  3.22822E-012  3.40170E-013  1.01449E-033  2.11322E-032  7.54271E-020  1.00000E-040  1.21572E-019  3.47421E-011  1.74989E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.00277E-001  1.90287E+019  2.66549E+002  1.00000E+005  4.68942E-004  1.00000E-040  1.00000E-040  5.93588E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.96007E-020  1.00000E-040  1.00000E-040  7.05617E-018  5.18298E-007  2.06022E-003  5.41804E-014  1.36368E-015  2.11517E-004  1.48551E-007  2.82585E-004  3.96975E-019  2.48961E-010  1.00000E-040  6.17097E-040  1.72364E-026  2.62502E-016  7.97618E-006  1.21238E-020  4.39711E-020  8.41429E-031  5.02777E-030  1.00000E-040  9.00357E-013  4.31292E-016  2.73480E-014  6.40611E-011  6.97936E-032  4.34626E-036  2.32746E-010  2.19663E-032  4.85752E-011  3.99443E-024  9.97437E-001  9.43727E-020  2.84640E-013  1.07712E-010  1.06808E-034  3.06250E-035  2.31818E-022  8.11374E-018  1.81166E-015  2.23276E-014  2.42140E-011  3.30492E-015  2.60767E-007  4.67542E-009  2.92308E-010  5.79655E-013  1.92032E-015  1.13960E-019  5.83722E-014  1.05920E-011  3.79996E-011  1.00000E-040  1.00000E-040  7.27487E-037  1.00000E-040  4.92590E-012  1.00000E-040  4.39625E-016  3.61481E-013  2.28692E-018  1.32948E-018  1.88017E-027  9.74950E-029  3.86239E-028  1.72214E-033  1.00000E-040  9.85260E-033  3.86012E-030  2.83451E-019  2.51088E-015  3.30577E-031  2.35178E-030  7.01914E-022  2.47751E-013  2.93253E-015  1.96509E-014  7.95111E-022  3.41575E-010  1.00000E-040  2.28971E-018  3.36393E-035  9.74599E-021  1.42139E-018  4.61968E-012  1.78830E-018  6.54188E-009  5.46165E-020  5.76796E-023  2.71899E-012  3.40955E-013  1.01338E-033  2.36734E-032  8.18803E-020  1.00000E-040  1.24261E-019  3.44038E-011  1.76001E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.17324E-001  1.71574E+019  2.60603E+002  1.00000E+005  4.22636E-004  1.00000E-040  1.00000E-040  3.01524E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49024E-020  1.00000E-040  1.00000E-040  9.90496E-018  5.25405E-007  1.39307E-003  7.29533E-014  2.44584E-015  2.11624E-004  1.45228E-007  2.82797E-004  5.75864E-019  2.94606E-010  1.00000E-040  1.26098E-039  2.59066E-026  3.10183E-016  7.96312E-006  1.57979E-020  3.77243E-020  6.38310E-031  3.19294E-030  1.00000E-040  4.31395E-013  3.87199E-016  4.35713E-014  5.32517E-011  8.62566E-032  3.17546E-036  2.01921E-010  1.68427E-032  4.84299E-011  7.80587E-024  9.98104E-001  1.02188E-019  2.55719E-013  5.89074E-011  3.02293E-034  4.27411E-035  2.12310E-022  7.21827E-018  2.53516E-015  3.75582E-014  2.74155E-011  3.27545E-015  2.56719E-007  4.89101E-009  4.35862E-010  6.46352E-013  2.26230E-015  8.63977E-020  5.31808E-014  1.04351E-011  3.61000E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.03016E-012  1.00000E-040  4.41987E-016  3.34633E-013  2.00012E-018  1.32943E-018  1.88248E-027  6.90747E-029  3.86566E-028  1.04290E-033  1.00000E-040  1.39662E-032  4.36333E-030  3.56565E-019  2.78321E-015  4.61341E-031  3.92099E-030  1.11076E-021  6.39397E-013  4.71230E-015  2.07368E-014  7.78362E-022  3.16030E-010  1.00000E-040  5.07750E-018  4.62341E-035  1.59948E-020  1.21702E-018  4.62278E-012  1.59257E-018  5.85807E-009  6.35265E-020  1.01959E-022  1.78348E-012  3.41437E-013  9.12548E-034  2.65716E-032  9.43990E-020  1.00000E-040  9.90008E-020  3.40728E-011  1.77568E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.42640E-001  1.54664E+019  2.54120E+002  1.00000E+005  3.38788E-004  1.00000E-040  1.00000E-040  1.50475E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.23982E-020  1.00000E-040  1.00000E-040  1.43153E-017  5.32322E-007  8.75202E-004  9.96501E-014  8.05740E-015  2.11701E-004  1.41767E-007  2.82966E-004  1.04691E-018  4.36008E-010  1.00000E-040  2.65660E-039  3.89485E-026  3.64333E-016  7.95022E-006  1.95347E-020  2.72590E-020  3.88656E-031  1.44298E-030  1.00000E-040  2.33235E-013  3.93529E-016  6.23966E-014  4.32097E-011  8.09151E-032  1.88791E-036  1.73739E-010  1.21393E-032  4.82867E-011  1.91046E-023  9.98621E-001  1.13784E-019  2.12193E-013  2.97982E-011  8.11108E-034  5.81878E-035  1.94844E-022  5.83162E-018  5.74670E-015  8.15376E-014  3.28969E-011  3.33123E-015  2.52356E-007  5.46678E-009  1.20146E-009  8.53082E-013  3.11101E-015  8.03031E-020  8.46637E-014  1.17723E-011  3.08129E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.54216E-012  1.00000E-040  4.43189E-016  3.22577E-013  1.59889E-018  1.28647E-018  1.88468E-027  3.62135E-029  3.86908E-028  5.82923E-034  1.00000E-040  1.85424E-032  4.51843E-030  4.22643E-019  2.52852E-015  6.37227E-031  9.77739E-030  1.79841E-021  1.62872E-012  9.82599E-015  3.05863E-014  6.97896E-022  2.84385E-010  1.00000E-040  1.24046E-017  6.56153E-035  2.80556E-020  8.93231E-019  4.62520E-012  1.12848E-018  3.78628E-009  7.36555E-020  3.22749E-022  9.25707E-013  3.41716E-013  6.59887E-034  2.85809E-032  1.07550E-019  1.00000E-040  5.49618E-020  3.37536E-011  1.79968E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.75415E-001  1.39391E+019  2.47033E+002  1.00000E+005  2.47999E-004  1.00000E-040  1.00000E-040  6.07007E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.42318E-040  7.79874E-021  1.00000E-040  1.00000E-040  1.90903E-017  5.38494E-007  5.05778E-004  1.30940E-013  3.13952E-014  2.11745E-004  1.37386E-007  2.83092E-004  1.56484E-018  5.38379E-010  1.00000E-040  4.75488E-039  5.18840E-026  3.97692E-016  7.93772E-006  2.30449E-020  1.52226E-020  1.78564E-031  3.91009E-031  1.00000E-040  1.44955E-013  3.80819E-016  6.89523E-014  3.44869E-011  5.42523E-032  8.22373E-037  1.48592E-010  7.66527E-033  4.81492E-011  6.95074E-023  9.98991E-001  1.42162E-019  1.54587E-013  1.39460E-011  2.07745E-033  7.96574E-035  1.84220E-022  3.91204E-018  2.25951E-014  1.41152E-013  3.67819E-011  3.27698E-015  2.47732E-007  5.77377E-009  3.85471E-009  1.24138E-012  5.47876E-015  1.02080E-019  1.89270E-013  1.44576E-011  2.02545E-011  1.00000E-040  1.00000E-040  6.50635E-037  1.00000E-040  6.31163E-013  1.00000E-040  4.41708E-016  3.15887E-013  1.14399E-018  1.18886E-018  1.88686E-027  1.15056E-029  3.87314E-028  2.94937E-034  1.00000E-040  2.20856E-032  3.71383E-030  3.83209E-019  1.87678E-015  7.69837E-031  3.18236E-029  2.87143E-021  3.04160E-012  1.67245E-014  5.12230E-014  4.50256E-022  2.50890E-010  1.00000E-040  3.22376E-017  9.40686E-035  4.99020E-020  4.86909E-019  4.62695E-012  5.32077E-019  1.51938E-009  8.14613E-020  1.18414E-021  3.57055E-013  3.41875E-013  3.54612E-034  2.82193E-032  1.07837E-019  1.00000E-040  1.75013E-020  3.34529E-011  1.83529E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.14952E-001  1.25423E+019  2.39628E+002  1.00000E+005  1.60156E-004  1.00000E-040  1.00000E-040  1.84448E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.32394E-038  3.81868E-021  1.00000E-040  1.00000E-040  2.16979E-017  5.43412E-007  2.71792E-004  1.61481E-013  9.40207E-014  2.11760E-004  1.31365E-007  2.83180E-004  1.48779E-018  4.33576E-010  1.00000E-040  7.69801E-039  5.84036E-026  3.93579E-016  7.92575E-006  2.65764E-020  6.17866E-021  6.21474E-032  5.60074E-032  1.00000E-040  9.50205E-014  3.59765E-016  6.10611E-014  2.81306E-011  2.96581E-032  2.89418E-037  1.26716E-010  4.21296E-033  4.80199E-011  6.64010E-022  9.99224E-001  1.71056E-019  8.74810E-014  6.03217E-012  4.75140E-033  1.11396E-034  1.82187E-022  2.09495E-018  1.18265E-013  1.36554E-013  3.45684E-011  3.01744E-015  2.42930E-007  5.20170E-009  9.62263E-009  1.79319E-012  1.18262E-014  1.68616E-019  4.70909E-013  1.78612E-011  9.29872E-012  1.00000E-040  1.00000E-040  3.05485E-036  1.00000E-040  1.82377E-013  1.00000E-040  4.36936E-016  2.93617E-013  8.09732E-019  9.84753E-019  1.88932E-027  1.99428E-030  3.87856E-028  1.35306E-034  1.00000E-040  2.34441E-032  2.27876E-030  2.47897E-019  1.22227E-015  7.77632E-031  9.33320E-029  4.43026E-021  3.84627E-012  1.71942E-014  7.28734E-014  1.90626E-022  2.19516E-010  1.00000E-040  8.51619E-017  1.34467E-034  8.33533E-020  2.00591E-019  4.62807E-012  1.70316E-019  4.27574E-010  8.69446E-020  3.38120E-021  9.03470E-014  3.41962E-013  1.58327E-034  2.50527E-032  9.05506E-020  1.00000E-040  3.66176E-021  3.31758E-011  1.88358E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.60666E-001  1.12577E+019  2.32044E+002  1.00000E+005  9.29043E-005  1.00000E-040  1.00000E-040  2.09091E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.34413E-036  1.25231E-020  1.55874E-039  1.00000E-040  2.28459E-017  5.47290E-007  1.37147E-004  1.87358E-013  2.03987E-013  2.11752E-004  1.24476E-007  2.83238E-004  1.17345E-018  2.97106E-010  1.00000E-040  1.55654E-038  5.62682E-026  3.56568E-016  7.91436E-006  3.05113E-020  1.97610E-021  1.83868E-032  4.97430E-033  1.00000E-040  6.57899E-014  3.67866E-016  5.36870E-014  2.37581E-011  1.71029E-032  1.12134E-037  1.08241E-010  2.03237E-033  4.79004E-011  4.45031E-020  9.99359E-001  1.47231E-019  3.45416E-014  2.42300E-012  8.78181E-033  1.56940E-034  1.85702E-022  1.00514E-018  4.61485E-013  7.21724E-014  3.00809E-011  2.59766E-015  2.38058E-007  4.21099E-009  1.76306E-008  2.37984E-012  2.20299E-014  3.09031E-019  1.10499E-012  2.08813E-011  5.08698E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.42249E-014  1.00000E-040  4.29938E-016  2.62645E-013  6.69239E-019  7.47520E-019  1.89258E-027  2.11237E-031  3.88631E-028  5.81887E-035  1.00000E-040  2.27229E-032  1.17592E-030  1.41405E-019  7.71791E-016  6.65633E-031  2.14445E-028  6.68763E-021  4.15088E-012  1.51308E-014  8.60304E-014  1.30236E-022  1.92764E-010  1.00000E-040  2.27978E-016  1.89082E-034  1.12105E-019  8.21949E-020  4.62874E-012  5.01406E-020  1.31647E-010  9.08679E-020  7.08219E-021  1.46552E-014  3.42008E-013  7.16844E-035  2.05718E-032  6.42789E-020  1.00000E-040  8.40657E-022  3.29234E-011  1.93999E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.12076E-001  1.00608E+019  2.24669E+002  9.61769E+004  4.70808E-005  1.00000E-040  1.00000E-040  1.27978E-009  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.11279E-034  1.01576E-018  1.70233E-037  1.00000E-040  2.42233E-017  5.50575E-007  6.76229E-005  2.11956E-013  3.67453E-013  2.11731E-004  1.17601E-007  2.83276E-004  9.60551E-019  2.13338E-010  1.00000E-040  3.78347E-038  5.11971E-026  3.13781E-016  7.90316E-006  3.51854E-020  6.04425E-022  5.42838E-033  4.01300E-034  1.00000E-040  4.76084E-014  3.86132E-016  5.08870E-014  2.07088E-011  1.13717E-032  5.35189E-038  9.29662E-011  9.28235E-034  4.77875E-011  8.95776E-019  9.99429E-001  1.00019E-019  1.07762E-014  9.20182E-013  1.23006E-032  2.18039E-034  1.90096E-022  4.92915E-019  1.17186E-012  2.90248E-014  2.61018E-011  2.15778E-015  2.33147E-007  3.28640E-009  2.67175E-008  2.97950E-012  3.20765E-014  5.85027E-019  2.19377E-012  2.30748E-011  3.75900E-012  1.00000E-040  1.00000E-040  3.83901E-038  1.00000E-040  4.78776E-015  1.00000E-040  4.22551E-016  2.34995E-013  5.68036E-019  5.70762E-019  1.89727E-027  1.58710E-032  3.89781E-028  2.48042E-035  1.00000E-040  2.12838E-032  6.05740E-031  8.24608E-020  4.96431E-016  5.35594E-031  4.12864E-028  1.01178E-020  4.14655E-012  1.44005E-014  9.19334E-014  5.50433E-022  1.70892E-010  1.00000E-040  6.11772E-016  2.62029E-034  9.38096E-020  3.80016E-020  4.62911E-012  1.64779E-020  5.31718E-011  9.56870E-020  1.22991E-020  1.72553E-015  3.42030E-013  3.51777E-035  1.62698E-032  4.22283E-020  1.00000E-040  2.64532E-022  3.26879E-011  1.99430E-029  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
