alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00897E+000  2.55872E+019  2.85610E+002  1.00000E+005  6.36914E-004  1.00000E-040  1.00000E-040  1.18376E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.03471E-021  1.00000E-040  1.00000E-040  3.52275E-019  4.95554E-007  5.75732E-003  2.59882E-014  3.11996E-015  2.10838E-003  1.64301E-007  2.81475E-004  7.23122E-020  1.03252E-009  1.00000E-040  1.00000E-040  7.36395E-029  1.99051E-017  8.00815E-006  6.61951E-024  3.72942E-022  6.02676E-035  5.56282E-034  1.00000E-040  1.10740E-011  2.44196E-017  7.38677E-017  3.90147E-011  1.43502E-038  1.00000E-040  3.34003E-010  5.50280E-033  4.98853E-011  1.31716E-027  9.91844E-001  7.71213E-022  2.00300E-014  5.20605E-010  5.49746E-040  2.05225E-040  2.33574E-024  7.27338E-020  8.82705E-013  1.21032E-014  2.79770E-011  4.54056E-015  2.70572E-007  5.46969E-009  1.51756E-008  2.14919E-011  1.07145E-013  2.98160E-019  9.86835E-013  1.75567E-011  2.53945E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.56593E-013  1.00000E-040  3.91679E-018  4.39235E-014  2.27719E-021  1.38067E-020  1.21840E-029  1.69783E-031  1.59828E-030  7.64443E-036  1.00000E-040  9.50050E-038  1.99555E-033  7.98079E-021  4.62366E-017  1.75410E-032  2.81331E-032  7.48017E-023  1.51747E-015  5.48446E-016  9.71597E-014  1.74790E-022  1.51332E-010  1.00000E-040  2.54305E-019  1.18375E-037  2.96425E-022  9.50584E-022  2.64596E-014  9.57638E-021  2.75282E-010  1.42158E-021  4.00641E-022  1.96725E-013  9.29164E-014  2.83509E-038  1.44592E-035  7.23920E-021  1.00000E-040  1.21346E-020  3.65914E-011  1.27997E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.96264E-001  2.32548E+019  2.79152E+002  1.00000E+005  8.32830E-004  1.00000E-040  1.00000E-040  1.38694E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.34438E-021  1.00000E-040  1.00000E-040  3.25954E-019  5.02375E-007  4.36130E-003  2.82506E-014  3.08614E-015  2.11132E-003  1.64509E-007  2.81883E-004  4.42016E-020  5.35805E-010  1.00000E-040  1.00000E-040  7.20248E-029  1.88542E-017  8.00440E-006  2.02205E-023  3.95171E-022  6.22784E-035  5.44101E-034  1.00000E-040  6.65828E-012  1.98475E-017  8.83637E-017  7.96588E-011  3.34132E-038  1.00000E-040  3.29806E-010  3.53466E-033  4.98270E-011  2.51437E-027  9.93237E-001  1.34182E-021  7.35910E-014  4.59320E-010  2.76141E-039  4.63513E-040  2.27008E-024  7.52933E-020  3.44566E-014  2.33913E-014  2.24780E-011  3.87648E-015  2.70253E-007  5.27308E-009  1.28857E-008  4.47200E-012  3.00349E-014  1.87181E-019  5.78316E-013  2.42648E-011  2.70029E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.36279E-013  1.00000E-040  3.91787E-018  4.03338E-014  2.27214E-021  1.30492E-020  1.22024E-029  1.46004E-031  1.60053E-030  5.93314E-036  1.00000E-040  1.62485E-037  2.11032E-033  4.71146E-021  2.23692E-016  1.60003E-032  2.78347E-032  1.02785E-022  1.47709E-015  2.84259E-016  9.66862E-014  1.14758E-022  1.53283E-010  1.00000E-040  4.48315E-019  1.38584E-037  3.87663E-022  7.98957E-022  2.64968E-014  1.11122E-020  1.98521E-009  3.27630E-021  4.30805E-022  3.80894E-013  9.37290E-014  2.01475E-038  1.53247E-035  5.73776E-021  1.00000E-040  1.05330E-020  3.63795E-011  1.28153E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.94708E-001  2.09582E+019  2.74644E+002  1.00000E+005  5.26851E-004  1.00000E-040  1.00000E-040  1.45887E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.82558E-021  1.00000E-040  1.00000E-040  3.69719E-019  5.08313E-007  3.49908E-003  3.30267E-014  3.17791E-015  2.11313E-003  1.63456E-007  2.82141E-004  3.60140E-020  3.64645E-010  1.00000E-040  1.00000E-040  8.86635E-029  2.06702E-017  7.99765E-006  3.78907E-023  4.22434E-022  6.47905E-035  5.31564E-034  1.00000E-040  3.93559E-012  1.68049E-017  1.05686E-016  6.41533E-011  7.94798E-038  1.00000E-040  3.25084E-010  2.81499E-033  4.97546E-011  5.06945E-027  9.94097E-001  2.12242E-021  1.17558E-013  3.98153E-010  1.02294E-038  8.79441E-040  2.14856E-024  7.39779E-020  6.67917E-015  3.26252E-014  2.14741E-011  3.54772E-015  2.69713E-007  5.19996E-009  1.09427E-008  1.20498E-012  8.76398E-015  1.44503E-019  3.29084E-013  2.34793E-011  2.90636E-011  1.00000E-040  1.00000E-040  1.84449E-037  1.00000E-040  1.46451E-012  1.00000E-040  3.91850E-018  3.64081E-014  2.36518E-021  1.25737E-020  1.22154E-029  1.17554E-031  1.60192E-030  4.29917E-036  1.00000E-040  2.83784E-037  2.32053E-033  3.57535E-021  8.71343E-016  1.87242E-032  2.77244E-032  1.44069E-022  1.38823E-015  2.63836E-016  9.22754E-014  8.81938E-023  1.56320E-010  1.00000E-040  7.19904E-019  1.65163E-037  5.14928E-022  7.04169E-022  2.65197E-014  1.20365E-020  3.20855E-009  3.15757E-021  4.53210E-022  6.40656E-013  9.44689E-014  1.49448E-038  1.59413E-035  5.42549E-021  1.00000E-040  9.01272E-021  3.61704E-011  1.28185E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.03164E-001  1.88990E+019  2.69485E+002  1.00000E+005  5.37903E-004  1.00000E-040  1.00000E-040  4.54235E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.28813E-021  1.00000E-040  1.00000E-040  4.54914E-019  5.13961E-007  2.63125E-003  3.87282E-014  3.66480E-015  2.11495E-003  1.61860E-007  2.82401E-004  3.86791E-020  3.30842E-010  1.00000E-040  1.00000E-040  1.06087E-028  2.20843E-017  7.99215E-006  6.39001E-023  4.40674E-022  6.63018E-035  4.96692E-034  1.00000E-040  2.27613E-012  1.24811E-017  1.42959E-016  5.11458E-011  1.54863E-037  1.00000E-040  3.20013E-010  2.09099E-033  4.96898E-011  1.06779E-026  9.94962E-001  3.14686E-021  1.42436E-013  3.38020E-010  3.38787E-038  1.51083E-039  1.98018E-024  6.96593E-020  3.51886E-015  4.13115E-014  2.22485E-011  3.19526E-015  2.69094E-007  5.07464E-009  1.04779E-008  6.24235E-013  5.26614E-015  9.64350E-020  1.88293E-013  2.13526E-011  2.79931E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.84151E-012  1.00000E-040  3.91631E-018  3.26348E-014  2.62674E-021  1.21083E-020  1.22297E-029  8.64351E-032  1.60332E-030  2.92124E-036  1.00000E-040  4.61750E-037  2.43694E-033  3.22496E-021  1.76502E-015  2.10988E-032  3.03852E-032  2.09298E-022  1.38760E-015  3.24758E-016  9.23051E-014  7.42565E-023  1.59684E-010  1.00000E-040  1.25042E-018  1.94951E-037  7.02828E-022  6.31164E-022  2.65428E-014  1.19693E-020  3.59406E-009  3.03981E-021  5.25364E-022  8.32771E-013  9.50261E-014  1.27484E-038  1.63599E-035  5.06354E-021  1.00000E-040  7.35531E-021  3.59751E-011  1.28121E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.20670E-001  1.70443E+019  2.63754E+002  1.00000E+005  5.06770E-004  1.00000E-040  1.00000E-040  1.95624E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.29081E-021  1.00000E-040  1.00000E-040  5.78273E-019  5.19272E-007  1.83425E-003  4.64896E-014  4.94194E-015  2.11661E-003  1.59791E-007  2.82640E-004  4.60632E-020  3.33609E-010  1.00000E-040  1.00000E-040  1.28454E-028  2.34939E-017  7.98723E-006  9.93611E-023  4.37643E-022  6.39383E-035  4.22136E-034  1.00000E-040  1.27981E-012  7.93288E-018  2.12278E-016  4.04893E-011  2.45821E-037  1.00000E-040  3.14602E-010  1.48186E-033  4.96295E-011  2.53785E-026  9.95758E-001  4.69230E-021  1.62988E-013  2.80301E-010  1.02779E-037  2.40188E-039  1.77890E-024  6.32914E-020  3.68736E-015  5.46401E-014  2.35657E-011  2.85716E-015  2.68372E-007  4.99800E-009  1.18177E-008  5.34667E-013  4.81298E-015  6.17977E-020  1.14772E-013  1.97905E-011  2.54022E-011  1.00000E-040  1.00000E-040  9.39776E-038  1.00000E-040  1.98896E-012  1.00000E-040  3.90832E-018  2.90582E-014  3.13880E-021  1.15668E-020  1.22442E-029  5.69335E-032  1.60463E-030  1.83942E-036  1.00000E-040  6.96903E-037  2.51320E-033  3.02896E-021  2.26819E-015  2.38345E-032  3.82465E-032  3.20222E-022  1.53694E-015  4.27798E-016  1.00172E-013  6.25072E-023  1.62591E-010  1.00000E-040  2.39496E-018  2.32828E-037  1.00704E-021  5.45671E-022  2.65640E-014  1.09068E-020  3.30235E-009  2.99249E-021  7.04942E-022  9.27832E-013  9.54002E-014  1.12900E-038  1.65485E-035  4.74619E-021  1.00000E-040  5.49060E-021  3.57919E-011  1.27892E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.46409E-001  1.53603E+019  2.57652E+002  1.00000E+005  4.13813E-004  1.00000E-040  1.00000E-040  9.66706E-017  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.95839E-022  1.00000E-040  1.00000E-040  7.35817E-019  5.24094E-007  1.20450E-003  5.65421E-014  7.56126E-015  2.11792E-003  1.57177E-007  2.82832E-004  5.52288E-020  3.39484E-010  1.00000E-040  1.00000E-040  1.55368E-028  2.47882E-017  7.98206E-006  1.44770E-022  4.07414E-022  5.69003E-035  3.15715E-034  1.00000E-040  6.97391E-013  4.41930E-018  3.27675E-016  3.20126E-011  3.26214E-037  1.00000E-040  3.08871E-010  1.00410E-033  4.95698E-011  6.67292E-026  9.96386E-001  7.01072E-021  1.80866E-013  2.26594E-010  2.88819E-037  3.56012E-039  1.56100E-024  5.54415E-020  5.49403E-015  7.61199E-014  2.48907E-011  2.59622E-015  2.67519E-007  4.95067E-009  1.51923E-008  5.63166E-013  5.26417E-015  4.30304E-020  8.59994E-014  1.93203E-011  2.22558E-011  1.00000E-040  1.00000E-040  2.97239E-035  1.00000E-040  1.96608E-012  1.00000E-040  3.89231E-018  2.56878E-014  4.03865E-021  1.08619E-020  1.22579E-029  3.29493E-032  1.60569E-030  1.07846E-036  1.00000E-040  9.76018E-037  2.52192E-033  2.84725E-021  2.35786E-015  2.66845E-032  5.36341E-032  5.06612E-022  1.93767E-015  5.65610E-016  1.16732E-013  5.00926E-023  1.64425E-010  1.00000E-040  4.93747E-018  2.78422E-037  1.49277E-021  4.41434E-022  2.65808E-014  9.09986E-021  2.59648E-009  2.99537E-021  1.06409E-021  9.33992E-013  9.56287E-014  9.46734E-039  1.64218E-035  4.39805E-021  1.00000E-040  3.63332E-021  3.56188E-011  1.27418E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.79580E-001  1.38432E+019  2.50923E+002  1.00000E+005  3.18423E-004  1.00000E-040  1.00000E-040  3.76138E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.79800E-022  1.00000E-040  1.00000E-040  8.99731E-019  5.28315E-007  7.31832E-004  6.77121E-014  1.22154E-014  2.11890E-003  1.53970E-007  2.82979E-004  6.19684E-020  3.26525E-010  1.00000E-040  1.00000E-040  1.74337E-028  2.48606E-017  7.97667E-006  2.00814E-022  3.52761E-022  4.69107E-035  2.05100E-034  1.00000E-040  3.69606E-013  2.27527E-018  5.14468E-016  2.55333E-011  3.68800E-037  1.00000E-040  3.02898E-010  6.11971E-034  4.95116E-011  1.87751E-025  9.96857E-001  1.02989E-020  1.93817E-013  1.78501E-010  7.79605E-037  4.94511E-039  1.34366E-024  4.66530E-020  1.03385E-014  1.06563E-013  2.54593E-011  2.34103E-015  2.66540E-007  4.80444E-009  2.08045E-008  6.56546E-013  6.39187E-015  3.68367E-020  9.42918E-014  1.98278E-011  1.80450E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.82407E-012  1.00000E-040  3.86740E-018  2.25489E-014  5.53747E-021  9.88187E-021  1.22713E-029  1.64270E-032  1.60656E-030  5.93103E-037  1.00000E-040  1.25263E-036  2.37822E-033  2.59923E-021  2.12101E-015  2.73773E-032  7.85738E-032  8.15723E-022  2.95373E-015  7.06219E-016  1.41320E-013  3.63453E-023  1.64772E-010  1.00000E-040  1.10338E-017  3.27487E-037  2.25157E-021  3.26925E-022  2.65934E-014  6.96151E-021  1.76432E-009  3.00164E-021  1.69158E-021  8.70535E-013  9.57590E-014  7.17354E-039  1.59534E-035  3.75756E-021  1.00000E-040  2.08453E-021  3.54573E-011  1.26636E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.19472E-001  1.24605E+019  2.43829E+002  1.00000E+005  2.18075E-004  1.00000E-040  1.00000E-040  1.15915E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.78177E-022  1.00000E-040  1.00000E-040  1.04490E-018  5.31871E-007  4.14565E-004  7.86858E-014  1.97652E-014  2.11954E-003  1.50222E-007  2.83081E-004  6.28063E-020  2.87259E-010  1.00000E-040  1.00000E-040  1.78093E-028  2.35658E-017  7.97096E-006  2.69937E-022  2.84310E-022  3.64206E-035  1.15569E-034  1.00000E-040  1.92226E-013  1.16113E-018  7.96062E-016  2.08144E-011  3.69870E-037  1.00000E-040  2.96776E-010  3.36054E-034  4.94549E-011  5.43991E-025  9.97174E-001  1.47262E-020  2.00203E-013  1.37295E-010  2.03082E-036  6.51269E-039  1.14329E-024  3.76683E-020  2.34604E-014  1.43433E-013  2.49313E-011  2.04926E-015  2.65439E-007  4.49977E-009  2.86620E-008  8.17905E-013  8.31452E-015  4.42149E-020  1.46465E-013  2.11966E-011  1.22399E-011  1.00000E-040  1.00000E-040  4.77314E-036  1.00000E-040  1.60873E-012  1.00000E-040  3.83677E-018  1.97107E-014  7.87321E-021  8.65121E-021  1.22847E-029  6.98066E-033  1.60725E-030  3.12059E-037  1.00000E-040  1.48154E-036  2.07977E-033  2.27429E-021  1.69737E-015  2.53113E-032  1.14957E-031  1.30786E-021  5.43168E-015  8.03751E-016  1.71441E-013  2.35439E-023  1.63439E-010  1.00000E-040  2.58558E-017  3.75117E-037  3.37852E-021  2.22136E-022  2.66018E-014  4.90701E-021  1.04503E-009  3.00133E-021  2.68497E-021  7.59353E-013  9.58283E-014  4.87771E-039  1.51917E-035  2.89128E-021  1.00000E-040  1.04057E-021  3.53075E-011  1.25497E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.65484E-001  1.11925E+019  2.36514E+002  1.00000E+005  1.34506E-004  2.89002E-040  1.00000E-040  1.31136E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.17539E-022  1.00000E-040  1.00000E-040  1.16263E-018  5.34808E-007  2.20956E-004  8.86595E-014  3.11057E-014  2.11992E-003  1.46133E-007  2.83148E-004  5.77352E-020  2.31815E-010  1.00000E-040  1.00000E-040  1.66231E-028  2.11939E-017  7.96495E-006  3.57057E-022  2.15538E-022  2.73735E-035  5.75710E-035  1.00000E-040  9.95642E-014  6.47397E-019  1.19698E-015  1.75642E-011  3.44444E-037  1.00000E-040  2.90626E-010  1.67257E-034  4.94004E-011  1.59741E-024  9.97367E-001  2.04956E-020  1.99343E-013  1.03762E-010  5.08306E-036  8.26668E-039  9.71995E-025  2.92782E-020  6.07651E-014  1.80663E-013  2.34698E-011  1.72869E-015  2.64232E-007  4.06182E-009  3.84727E-008  1.05342E-012  1.10839E-014  6.90900E-020  2.67145E-013  2.32193E-011  5.00844E-012  1.00000E-040  1.00000E-040  6.73549E-037  1.00000E-040  1.35270E-012  1.00000E-040  3.80674E-018  1.72630E-014  1.11157E-020  7.31784E-021  1.22987E-029  2.53302E-033  1.60788E-030  1.59318E-037  1.00000E-040  1.64197E-036  1.69317E-033  1.90460E-021  1.24792E-015  2.11815E-032  1.64942E-031  2.08209E-021  1.14562E-014  8.38406E-016  2.03195E-013  1.37109E-023  1.60482E-010  1.00000E-040  6.30144E-017  4.22087E-037  4.95956E-021  1.41086E-022  2.66070E-014  3.22993E-021  5.46146E-010  3.02786E-021  4.13277E-021  6.21665E-013  9.58628E-014  3.06149E-039  1.42505E-035  2.00584E-021  1.00000E-040  4.66567E-022  3.51690E-011  1.23985E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.17120E-001  1.00165E+019  2.29310E+002  9.61769E+004  7.27164E-005  3.67838E-038  1.00000E-040  4.52206E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.37736E-020  1.00000E-040  1.00000E-040  1.27511E-018  5.37292E-007  1.14625E-004  9.81309E-014  4.75367E-014  2.12012E-003  1.41908E-007  2.83190E-004  5.00798E-020  1.77431E-010  1.00000E-040  1.00000E-040  1.48241E-028  1.86076E-017  7.95855E-006  4.69578E-022  1.56392E-022  2.03541E-035  2.61358E-035  1.00000E-040  5.23397E-014  4.73023E-019  1.72729E-015  1.54351E-011  3.13761E-037  1.00000E-040  2.84464E-010  7.89081E-035  4.93472E-011  4.68630E-024  9.97473E-001  2.78533E-020  1.90886E-013  7.77503E-011  1.16087E-035  1.02858E-038  8.33460E-025  2.20674E-020  1.67839E-013  2.10529E-013  2.16334E-011  1.41953E-015  2.62912E-007  3.57673E-009  4.99107E-008  1.35750E-012  1.43131E-014  1.21561E-019  5.04891E-013  2.57648E-011  2.35599E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07188E-012  1.00000E-040  3.78391E-018  1.52447E-014  1.46382E-020  6.07190E-021  1.23147E-029  7.93248E-034  1.60857E-030  8.02787E-038  1.00000E-040  1.75737E-036  1.31391E-033  1.54472E-021  8.77219E-016  1.68471E-032  2.33066E-031  3.29088E-021  2.50508E-014  8.31607E-016  2.32364E-013  7.42418E-024  1.56076E-010  1.00000E-040  1.55923E-016  4.74128E-037  6.68067E-021  8.67418E-023  2.66098E-014  2.02099E-021  2.55069E-010  3.13095E-021  6.14154E-021  4.72769E-013  9.58790E-014  1.86443E-039  1.32383E-035  1.30802E-021  1.00000E-040  1.99118E-022  3.50377E-011  1.22080E-032  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
