alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.38270E-004  1.00000E-040  1.00000E-040  2.54201E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.62857E-020  1.00000E-040  1.00000E-040  2.73702E-018  4.95541E-007  5.79049E-003  8.91574E-014  6.79081E-015  2.10833E-004  3.07455E-008  2.81467E-004  3.15968E-019  2.26185E-010  1.00000E-040  1.38059E-040  8.69827E-027  6.84436E-017  8.00794E-007  4.64385E-021  1.82663E-020  2.59526E-031  1.49218E-030  2.33250E-039  4.23187E-012  2.20438E-016  2.81910E-015  3.10900E-011  4.87292E-033  7.28650E-037  3.33995E-010  1.77563E-031  4.63132E-011  2.76802E-024  9.93716E-001  7.82807E-020  2.10819E-013  4.02977E-010  1.00000E-040  4.47887E-037  1.41273E-023  3.94972E-019  7.77473E-013  6.82746E-014  1.90680E-011  1.28133E-014  2.70565E-007  1.83627E-009  2.46825E-009  7.19159E-012  1.34841E-014  4.70851E-019  1.18652E-012  1.52613E-011  3.95783E-011  3.68723E-030  1.29126E-034  6.21989E-035  1.08598E-030  2.24150E-012  5.55194E-025  1.75481E-017  1.78459E-014  3.79737E-022  1.19945E-019  4.99287E-034  1.66316E-030  1.00000E-040  1.00000E-040  1.17151E-029  1.26898E-033  3.72092E-031  2.43028E-020  3.79256E-016  2.07678E-031  3.79122E-031  3.23515E-022  2.80050E-014  1.67653E-015  2.76067E-015  7.59443E-022  1.91340E-010  1.00000E-040  8.03546E-019  2.45284E-036  1.94202E-022  8.86591E-025  3.67271E-018  6.70243E-020  9.19364E-011  3.88369E-020  3.08668E-022  1.04017E-012  6.08663E-014  1.24135E-034  1.00000E-040  9.68203E-020  1.00000E-040  4.11019E-020  3.08932E-011  4.93892E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.96353E-001  2.32479E+019  2.79262E+002  1.00000E+005  8.34717E-004  1.00000E-040  1.00000E-040  2.97912E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08642E-020  1.00000E-040  1.00000E-040  3.24237E-018  4.95091E-007  4.39363E-003  1.03891E-013  6.65457E-015  2.11115E-004  2.91522E-008  2.81871E-004  1.98121E-019  1.19375E-010  1.00000E-040  1.76439E-040  9.70501E-027  6.89608E-017  7.94642E-007  7.97770E-021  1.74939E-020  2.65844E-031  1.19225E-030  2.33577E-039  1.44155E-012  1.28765E-016  8.03342E-015  6.27292E-011  8.23330E-033  5.14935E-037  2.89286E-010  1.20759E-031  4.58070E-011  6.11142E-024  9.95112E-001  1.17590E-019  3.10328E-013  2.61617E-010  1.00000E-040  8.20084E-037  1.32043E-023  3.82596E-019  2.66826E-014  7.69274E-014  1.78129E-011  1.22966E-014  2.67224E-007  1.88653E-009  2.00480E-009  9.59439E-013  9.65920E-015  3.85078E-019  4.30305E-013  1.88925E-011  5.42617E-011  3.10232E-030  1.82124E-034  1.74207E-036  8.71228E-031  3.32806E-012  5.55977E-025  1.77327E-017  1.71856E-014  4.82688E-022  1.16108E-019  4.98262E-034  1.31957E-030  1.00000E-040  1.00000E-040  9.49159E-030  1.92941E-033  3.94792E-031  2.00236E-020  2.78950E-015  2.15968E-031  3.73020E-031  4.64093E-022  3.66438E-014  9.40317E-016  2.58595E-015  5.77645E-022  1.88920E-010  1.00000E-040  1.50028E-018  2.95905E-036  2.59297E-022  8.34719E-025  3.67784E-018  7.14083E-020  4.87951E-010  9.48017E-020  3.22367E-022  1.51733E-012  6.11948E-014  9.35942E-035  1.00000E-040  8.76867E-020  1.00000E-040  3.69635E-020  2.99730E-011  4.90991E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.94860E-001  2.09508E+019  2.74794E+002  1.00000E+005  5.26035E-004  1.00000E-040  1.00000E-040  3.13507E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.96342E-020  1.00000E-040  1.00000E-040  4.62957E-018  4.94411E-007  3.53442E-003  1.38563E-013  8.95413E-015  2.11284E-004  2.74383E-008  2.82123E-004  2.40096E-019  1.13197E-010  1.00000E-040  3.91847E-040  1.54625E-026  8.57723E-017  7.88341E-007  1.07146E-020  1.47169E-020  2.07618E-031  7.21219E-031  2.33778E-039  4.40170E-013  5.88556E-017  1.09071E-014  4.36873E-011  1.32597E-032  2.70521E-037  2.46231E-010  1.08560E-031  4.52888E-011  1.24386E-023  9.95971E-001  1.48512E-019  3.11370E-013  1.57432E-010  1.00000E-040  1.21574E-036  1.17092E-023  3.56334E-019  1.43023E-014  9.89286E-014  1.99208E-011  1.21755E-014  2.63386E-007  2.03745E-009  2.14172E-009  5.49769E-013  1.16393E-014  3.32055E-019  1.59869E-013  2.13306E-011  6.50969E-011  3.31843E-030  2.27668E-034  1.00000E-040  9.99205E-031  2.60373E-012  5.56456E-025  1.81321E-017  1.74974E-014  6.93148E-022  1.15209E-019  4.95922E-034  9.08145E-031  1.00000E-040  1.00000E-040  1.03250E-029  3.00409E-033  4.69683E-031  2.31101E-020  5.58658E-015  3.27094E-031  4.67588E-031  6.78406E-022  5.28463E-014  1.33272E-015  2.59776E-015  5.63427E-022  1.76404E-010  1.00000E-040  2.71035E-018  3.76683E-036  3.75439E-022  7.51213E-025  3.68092E-018  6.86183E-020  6.05276E-010  9.01142E-020  4.31103E-022  1.25538E-012  6.14210E-014  7.17313E-035  1.00000E-040  1.06665E-019  1.00000E-040  3.02569E-020  2.90642E-011  4.81720E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.03370E-001  1.88935E+019  2.69643E+002  1.00000E+005  5.39213E-004  1.00000E-040  1.00000E-040  9.26179E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.46887E-020  1.00000E-040  1.00000E-040  6.53431E-018  4.93798E-007  2.66487E-003  1.89185E-013  1.61814E-014  2.11454E-004  2.56679E-008  2.82378E-004  3.44821E-019  1.26143E-010  1.00000E-040  8.68628E-040  2.49269E-026  1.06080E-016  7.82405E-007  1.31162E-020  1.05793E-020  1.31504E-031  3.20046E-031  2.33981E-039  1.19396E-013  2.49109E-017  1.37881E-014  3.04711E-011  1.72032E-032  1.09082E-037  2.06152E-010  9.29567E-032  4.47851E-011  2.80182E-023  9.96840E-001  1.82988E-019  2.82026E-013  8.75107E-011  1.00000E-040  1.58752E-036  9.78360E-024  3.14165E-019  2.30722E-014  1.44260E-013  2.24119E-011  1.17710E-014  2.59182E-007  2.10331E-009  3.11529E-009  6.43517E-013  1.58674E-014  2.33809E-019  9.66676E-014  2.43428E-011  6.57834E-011  4.08225E-030  3.00313E-034  1.00000E-040  1.62190E-030  1.56098E-012  5.56935E-025  1.86511E-017  1.86221E-014  1.07738E-021  1.12526E-019  4.92687E-034  4.89383E-031  1.00000E-040  1.00000E-040  1.53218E-029  4.30140E-033  5.37804E-031  2.69288E-020  6.00144E-015  4.96426E-031  7.29619E-031  9.80778E-022  9.07032E-014  2.06498E-015  3.08971E-015  5.15232E-022  1.54101E-010  1.00000E-040  5.42087E-018  4.69217E-036  5.76658E-022  5.99958E-025  3.68398E-018  5.78869E-020  4.91100E-010  8.83659E-020  7.64810E-022  7.72983E-013  6.15721E-014  4.46684E-035  1.00000E-040  1.33106E-019  1.00000E-040  1.97514E-020  2.81863E-011  4.64896E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.20916E-001  1.70398E+019  2.63928E+002  1.00000E+005  5.10777E-004  1.00000E-040  1.00000E-040  3.89314E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.42159E-021  1.00000E-040  1.00000E-040  8.79220E-018  4.93192E-007  1.86125E-003  2.56765E-013  3.33683E-014  2.11609E-004  2.37639E-008  2.82613E-004  4.55942E-019  1.30075E-010  1.00000E-040  1.74993E-039  3.83824E-026  1.26917E-016  7.76896E-007  1.51516E-020  6.37938E-021  6.85762E-032  1.00287E-031  2.34169E-039  2.97689E-014  1.76875E-017  1.60151E-014  2.14990E-011  1.83696E-032  4.42763E-038  1.69911E-010  7.39409E-032  4.43037E-011  6.95283E-023  9.97643E-001  2.25660E-019  2.32797E-013  4.48072E-011  1.00000E-040  1.87610E-036  7.64962E-024  2.54079E-019  5.16232E-014  1.97446E-013  2.42242E-011  1.16221E-014  2.54604E-007  2.05503E-009  5.23220E-009  8.25695E-013  2.29938E-014  1.54440E-019  1.38054E-013  2.84685E-011  6.03156E-011  5.48105E-030  4.00651E-034  1.00000E-040  3.05083E-030  7.69364E-013  5.57370E-025  1.91238E-017  2.01182E-014  1.76217E-021  1.05228E-019  4.88692E-034  1.91985E-031  1.00000E-040  1.00000E-040  2.62572E-029  5.61791E-033  5.58299E-031  2.87094E-020  5.40012E-015  7.13027E-031  1.21134E-030  1.36509E-021  1.52580E-013  2.89319E-015  3.99878E-015  3.99389E-022  1.26369E-010  1.00000E-040  1.16016E-017  5.51209E-036  9.13004E-022  4.19987E-025  3.68672E-018  4.18026E-020  3.01890E-010  8.76462E-020  1.53855E-021  3.81127E-013  6.16673E-014  2.08794E-035  1.00000E-040  1.58194E-019  1.00000E-040  1.00621E-020  2.73555E-011  4.40752E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.46686E-001  1.53582E+019  2.57819E+002  1.00000E+005  4.19193E-004  1.00000E-040  1.00000E-040  1.91218E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.46484E-021  1.00000E-040  1.00000E-040  1.12298E-017  4.92534E-007  1.22284E-003  3.39906E-013  6.85144E-014  2.11729E-004  2.16980E-008  2.82802E-004  5.28379E-019  1.19423E-010  1.00000E-040  3.09067E-039  5.46251E-026  1.44757E-016  7.71843E-007  1.68524E-020  3.20715E-021  3.00075E-032  2.18819E-032  2.34318E-039  7.99211E-015  2.00930E-017  1.68607E-014  1.55540E-011  1.70961E-032  2.29971E-038  1.37975E-010  5.40921E-032  4.38518E-011  1.75866E-022  9.98281E-001  2.67153E-019  1.68960E-013  2.10440E-011  1.00000E-040  2.05042E-036  5.64282E-024  1.84189E-019  1.27834E-013  2.13444E-013  2.48922E-011  1.14629E-014  2.49657E-007  1.88875E-009  8.82348E-009  1.07334E-012  3.38883E-014  1.09348E-019  2.87392E-013  3.36800E-011  5.11848E-011  8.05596E-030  5.24412E-034  4.07440E-036  5.66792E-030  3.01204E-013  5.57702E-025  1.93526E-017  2.13956E-014  2.98266E-021  9.28561E-020  4.84086E-034  5.38542E-032  1.00000E-040  1.00000E-040  4.51588E-029  6.69751E-033  5.04641E-031  2.66368E-020  4.37286E-015  9.38957E-031  1.90219E-030  1.80947E-021  2.26970E-013  3.57048E-015  5.13236E-015  2.55399E-022  9.83808E-011  1.00000E-040  2.58007E-017  6.03099E-036  1.46260E-021  2.64012E-025  3.68877E-018  2.56533E-020  1.58539E-010  8.73841E-020  3.07064E-021  1.46561E-013  6.17247E-014  7.45946E-036  1.00000E-040  1.72289E-019  1.00000E-040  4.36184E-021  2.65877E-011  4.11806E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.79879E-001  1.38420E+019  2.51101E+002  1.00000E+005  3.22390E-004  1.00000E-040  1.00000E-040  7.49802E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.18443E-021  1.00000E-040  1.00000E-040  1.32820E-017  4.91841E-007  7.44134E-004  4.26526E-013  1.31713E-013  2.11814E-004  1.95603E-008  2.82944E-004  5.44236E-019  1.01065E-010  1.00000E-040  4.35399E-039  6.68830E-026  1.51132E-016  7.67318E-007  1.83334E-020  1.37431E-021  1.14338E-032  3.48236E-033  2.34430E-039  3.29275E-015  2.53307E-017  1.66626E-014  1.17437E-011  1.41238E-032  1.36566E-038  1.10547E-010  3.43627E-032  4.34391E-011  3.99290E-022  9.98760E-001  2.74586E-019  9.92220E-014  9.01966E-012  1.17383E-039  2.18565E-036  4.12867E-024  1.19647E-019  3.01453E-013  1.63058E-013  2.41442E-011  1.07952E-014  2.44402E-007  1.62344E-009  1.40772E-008  1.39291E-012  4.74080E-014  9.60135E-020  6.13642E-013  3.91325E-011  3.71433E-011  1.29970E-029  6.53972E-034  2.57101E-035  9.58575E-030  8.35350E-014  5.57932E-025  1.91677E-017  2.19019E-014  5.18939E-021  7.69258E-020  4.79062E-034  1.11785E-032  1.00000E-040  1.00000E-040  7.34554E-029  7.12528E-033  3.85005E-031  2.11070E-020  3.20701E-015  1.05111E-030  2.80459E-030  2.29366E-021  2.98996E-013  4.01618E-015  6.34470E-015  1.33580E-022  7.41400E-011  1.00000E-040  5.97941E-017  6.31580E-036  2.36096E-021  1.54318E-025  3.69016E-018  1.35364E-020  7.87441E-011  8.68490E-020  5.74843E-021  3.96136E-014  6.17601E-014  2.21264E-036  1.00000E-040  1.60820E-019  1.00000E-040  1.74618E-021  2.58988E-011  3.82908E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.19789E-001  1.24601E+019  2.44020E+002  1.00000E+005  2.21018E-004  1.00000E-040  1.00000E-040  2.31657E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.05252E-021  1.00000E-040  1.00000E-040  1.44999E-017  4.91119E-007  4.22561E-004  5.03911E-013  2.34840E-013  2.11865E-004  1.74967E-008  2.83042E-004  5.12518E-019  8.15576E-011  1.00000E-040  4.92908E-039  7.01948E-026  1.44700E-016  7.63303E-007  1.98102E-020  5.34530E-022  4.03646E-033  4.57036E-034  2.34504E-039  2.23201E-015  3.10538E-017  1.62064E-014  9.37429E-012  1.06271E-032  7.93559E-039  8.76296E-011  1.91069E-032  4.30697E-011  8.36452E-022  9.99081E-001  2.24864E-019  4.26888E-014  3.52133E-012  3.19986E-038  2.52106E-036  3.32587E-024  7.22734E-020  6.42710E-013  8.27868E-014  2.21427E-011  9.53987E-015  2.38928E-007  1.30819E-009  2.09199E-008  1.81882E-012  6.06848E-014  1.19187E-019  1.22823E-012  4.41669E-011  1.65220E-011  2.13524E-029  7.64955E-034  4.08729E-035  1.43826E-029  1.42262E-014  5.58060E-025  1.85846E-017  2.14422E-014  9.03657E-021  6.08755E-020  4.73779E-034  1.91131E-033  1.00000E-040  1.00000E-040  1.11371E-028  6.86671E-033  2.56142E-031  1.46631E-020  2.16197E-015  9.98478E-031  4.25023E-030  2.81385E-021  3.51222E-013  4.23809E-015  7.51371E-015  5.97053E-023  5.54126E-011  1.00000E-040  1.41032E-016  6.95976E-036  3.76559E-021  8.91929E-026  3.69091E-018  6.41647E-021  3.88868E-011  8.64397E-020  9.98954E-021  6.58715E-015  6.17813E-014  5.99988E-037  1.00000E-040  1.27576E-019  1.00000E-040  6.73265E-022  2.52950E-011  3.59859E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.65821E-001  1.11905E+019  2.36776E+002  1.00000E+005  1.35962E-004  1.00000E-040  1.00000E-040  2.33341E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.17850E-021  1.00000E-040  1.00000E-040  1.47300E-017  4.90364E-007  2.27002E-004  5.65712E-013  3.90869E-013  2.11888E-004  1.56373E-008  2.83103E-004  4.51005E-019  6.37145E-011  1.00000E-040  4.88066E-039  6.48966E-026  1.29215E-016  7.59714E-007  2.15420E-020  2.06179E-022  1.43876E-033  5.88970E-035  2.34549E-039  1.78606E-015  3.61909E-017  1.62256E-014  7.91325E-012  7.58356E-033  4.41844E-039  6.91084E-011  9.50869E-033  4.27416E-011  2.07000E-020  9.99276E-001  1.57705E-019  1.39190E-014  1.26175E-012  8.09076E-037  3.38723E-036  3.18160E-024  4.27982E-020  1.25784E-012  3.03593E-014  1.92206E-011  7.95196E-015  2.33365E-007  9.90176E-010  2.89848E-008  2.40072E-012  7.04063E-014  1.92880E-019  2.27239E-012  4.84544E-011  7.52911E-012  3.08160E-029  8.62533E-034  1.00000E-040  1.92653E-029  1.58120E-015  5.58108E-025  1.77888E-017  2.02586E-014  1.43522E-020  4.72153E-020  4.68366E-034  3.17217E-034  1.00000E-040  1.00000E-040  1.57730E-028  6.18345E-033  1.58417E-031  9.40466E-021  1.37580E-015  8.28533E-031  7.13783E-030  3.42566E-021  3.74356E-013  4.26039E-015  8.52547E-015  2.93971E-023  4.19414E-011  1.00000E-040  3.36681E-016  8.76315E-036  5.40998E-021  5.43328E-026  3.69114E-018  2.91201E-021  1.92946E-011  8.68478E-020  1.62027E-020  7.06216E-016  6.17929E-014  1.36378E-037  1.00000E-040  8.81172E-020  1.00000E-040  2.52914E-022  2.47723E-011  3.46931E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.17489E-001  1.00097E+019  2.29733E+002  9.61769E+004  7.33848E-005  1.00000E-040  1.00000E-040  7.69291E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.99500E-019  1.00000E-040  1.00000E-040  1.45995E-017  4.89544E-007  1.19891E-004  6.22910E-013  6.18080E-013  2.11892E-004  1.40403E-008  2.83138E-004  3.88091E-019  4.92623E-011  1.00000E-040  5.35614E-039  5.74956E-026  1.13034E-016  7.56360E-007  2.37274E-020  8.44618E-023  5.51147E-034  8.50517E-036  2.34573E-039  1.39382E-015  3.98175E-017  1.69192E-014  6.94222E-012  5.52634E-033  2.48372E-039  5.45657E-011  4.53452E-033  4.24419E-011  5.22920E-019  9.99384E-001  1.13356E-019  3.98383E-015  4.21303E-013  2.28242E-035  5.07797E-036  3.45887E-024  2.58354E-020  2.26222E-012  1.03038E-014  1.60683E-011  6.44250E-015  2.27762E-007  7.14451E-010  3.77854E-008  3.13001E-012  7.55573E-014  3.33783E-019  3.83420E-012  5.20595E-011  4.51512E-012  3.76940E-029  9.70190E-034  1.00000E-040  2.38178E-029  1.36149E-016  5.58103E-025  1.69981E-017  1.89169E-014  1.75373E-020  3.68946E-020  4.62791E-034  6.17096E-035  1.00000E-040  1.00000E-040  2.10859E-028  5.50349E-033  9.81167E-032  5.94133E-021  8.75175E-016  6.56530E-031  1.27704E-029  4.24574E-021  3.63878E-013  4.21406E-015  9.25353E-015  7.63107E-023  3.24693E-011  1.00000E-040  8.04704E-016  1.23627E-035  5.69404E-021  3.64686E-026  3.69097E-018  1.34412E-021  9.90212E-012  8.90201E-020  2.48788E-020  5.63889E-017  6.17981E-014  1.00000E-040  1.00000E-040  5.73717E-020  1.00000E-040  9.67041E-023  2.43096E-011  3.44656E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
