alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00812E+000  2.57816E+019  2.83217E+002  1.00000E+005  5.65151E-004  1.00000E-040  1.00000E-040  2.92120E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.19432E-020  1.00000E-040  1.00000E-040  1.92530E-018  4.95971E-007  4.92684E-003  7.74282E-014  1.12478E-014  2.11016E-004  3.00702E-008  2.81712E-004  2.18999E-019  1.83302E-010  1.00000E-040  1.00000E-040  5.83120E-027  5.40016E-017  8.01490E-007  9.55158E-022  5.91240E-021  2.37193E-032  1.59992E-031  1.00000E-040  5.02055E-012  9.57819E-017  1.36405E-015  2.82352E-011  2.71289E-034  2.50123E-038  3.34285E-010  1.29267E-031  4.76509E-011  1.95412E-024  9.94579E-001  4.78979E-020  1.13469E-013  4.45451E-010  5.07367E-040  6.39714E-038  5.90595E-024  1.81914E-019  1.81428E-012  8.61397E-014  1.49438E-011  1.21986E-014  2.70800E-007  1.44793E-009  5.52153E-009  8.15918E-012  1.92249E-014  3.16311E-019  2.76190E-012  1.61915E-011  3.22278E-011  5.38179E-030  1.17307E-034  1.00000E-040  2.48276E-030  9.32618E-013  7.53836E-025  1.00714E-017  1.28864E-014  1.93151E-021  6.41335E-020  9.56352E-031  3.10405E-031  2.67396E-032  8.55782E-038  2.74027E-029  2.13556E-034  1.45280E-031  1.54831E-020  2.78534E-016  1.35547E-031  2.60523E-031  2.20679E-022  2.65409E-014  1.22825E-015  2.57847E-015  5.50715E-022  1.38224E-010  1.00000E-040  8.97976E-019  9.26081E-037  1.75468E-022  8.71645E-022  1.43904E-014  2.57823E-020  2.82619E-011  3.11996E-020  2.94161E-022  4.27334E-013  5.41934E-014  1.45061E-035  5.34056E-037  6.42801E-020  1.00000E-040  1.63413E-020  3.30758E-011  2.85999E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.94693E-001  2.34301E+019  2.76577E+002  1.00000E+005  7.37368E-004  1.00000E-040  1.00000E-040  3.40338E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.04465E-021  1.00000E-040  1.00000E-040  2.07849E-018  4.96421E-007  3.65695E-003  8.07097E-014  1.30273E-014  2.11277E-004  2.87407E-008  2.82077E-004  1.55423E-019  1.16665E-010  1.00000E-040  1.00000E-040  5.17843E-027  4.84310E-017  7.98405E-007  2.11538E-021  6.15442E-021  2.91512E-032  1.51172E-031  1.00000E-040  2.03387E-012  4.62537E-017  2.72990E-015  5.90633E-011  4.54574E-034  1.82890E-038  3.14102E-010  7.71790E-032  4.73664E-011  5.04561E-024  9.95848E-001  8.44947E-020  2.21032E-013  3.30840E-010  2.29059E-039  1.23394E-037  5.50993E-024  1.77409E-019  8.31893E-014  1.18275E-013  1.49120E-011  1.04557E-014  2.68693E-007  1.61260E-009  5.40777E-009  1.25230E-012  1.36750E-014  2.27540E-019  1.13530E-012  2.18899E-011  3.91383E-011  3.43490E-030  1.48247E-034  1.00000E-040  2.09778E-030  2.14088E-012  7.54801E-025  1.00561E-017  1.23779E-014  1.86500E-021  5.88370E-020  9.57928E-031  2.08116E-031  2.67738E-032  6.10312E-038  2.62784E-029  3.55983E-034  1.38539E-031  1.02881E-020  1.74581E-015  1.11809E-031  2.95352E-031  2.94067E-022  2.35342E-014  8.58397E-016  2.86769E-015  3.70441E-022  1.40045E-010  1.00000E-040  1.55002E-018  1.00278E-036  2.13333E-022  7.50241E-022  1.44087E-014  2.52442E-020  1.82838E-010  7.08054E-020  3.66836E-022  8.77762E-013  5.44425E-014  1.09461E-035  5.45430E-037  4.73783E-020  1.00000E-040  1.25225E-020  3.24765E-011  2.85827E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.92395E-001  2.11204E+019  2.71742E+002  1.00000E+005  4.95002E-004  1.00000E-040  1.00000E-040  3.55702E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.07814E-021  1.00000E-040  1.00000E-040  2.81634E-018  4.96686E-007  2.82366E-003  1.03690E-013  1.78238E-014  2.11446E-004  2.72513E-008  2.82318E-004  1.74684E-019  1.05050E-010  1.00000E-040  1.15980E-040  7.52431E-027  5.73303E-017  7.95311E-007  3.16132E-021  5.77524E-021  2.74752E-032  1.14051E-031  1.00000E-040  7.65414E-013  2.24608E-017  3.44281E-015  3.97652E-011  7.88450E-034  1.08613E-038  2.93156E-010  6.46757E-032  4.70827E-011  1.18676E-023  9.96681E-001  1.21707E-019  2.45327E-013  2.33690E-010  7.72337E-039  1.92763E-037  4.86998E-024  1.60283E-019  3.60755E-014  1.53181E-013  1.61712E-011  9.96124E-015  2.66230E-007  1.75368E-009  6.01985E-009  5.78448E-013  1.37987E-014  1.74799E-019  4.68944E-013  2.46265E-011  4.23725E-011  2.95958E-030  1.71326E-034  1.00000E-040  2.34342E-030  2.14253E-012  7.55430E-025  1.00749E-017  1.21605E-014  1.88743E-021  5.56489E-020  9.59439E-031  1.22717E-031  2.67967E-032  3.79967E-038  2.91743E-029  5.80801E-034  1.53443E-031  1.02269E-020  3.98243E-015  1.53633E-031  3.70255E-031  4.44894E-022  2.49938E-014  1.09069E-015  3.03787E-015  3.19775E-022  1.38079E-010  1.00000E-040  2.82896E-018  1.23517E-036  3.03531E-022  6.67308E-022  1.44208E-014  2.27727E-020  2.28964E-010  6.29063E-020  5.08063E-022  9.17334E-013  5.46222E-014  9.06874E-036  5.57690E-037  5.15944E-020  1.00000E-040  9.41725E-021  3.19015E-011  2.84561E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.00271E-001  1.90286E+019  2.66549E+002  1.00000E+005  4.68932E-004  1.00000E-040  1.00000E-040  1.95449E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.31022E-021  1.00000E-040  1.00000E-040  3.79153E-018  4.96966E-007  2.06023E-003  1.33599E-013  2.79934E-014  2.11599E-004  2.56654E-008  2.82539E-004  2.16813E-019  1.04982E-010  1.00000E-040  2.18025E-040  1.07810E-026  6.68748E-017  7.92538E-007  4.31167E-021  4.73279E-021  2.15347E-032  6.57295E-032  1.00000E-040  2.66048E-013  9.81700E-018  4.13114E-015  2.68449E-011  1.13857E-033  5.15712E-039  2.71890E-010  5.18767E-032  4.68178E-011  2.93510E-023  9.97444E-001  1.68604E-019  2.44953E-013  1.56192E-010  2.29454E-038  2.67282E-037  4.07649E-024  1.35084E-019  5.25729E-014  1.97756E-013  1.75122E-011  9.36927E-015  2.63496E-007  1.78947E-009  7.73330E-009  6.19519E-013  1.74890E-014  1.21517E-019  2.69707E-013  2.73933E-011  4.07564E-011  3.02713E-030  2.09485E-034  1.00000E-040  3.11447E-030  1.65427E-012  7.55999E-025  1.00786E-017  1.21491E-014  2.00265E-021  5.16538E-020  9.61303E-031  5.90417E-032  2.68185E-032  2.22089E-038  3.75773E-029  8.65771E-034  1.58408E-031  1.02722E-020  4.25010E-015  2.06867E-031  5.05646E-031  6.61107E-022  3.26032E-014  1.47134E-015  3.39776E-015  2.65691E-022  1.30501E-010  1.00000E-040  5.44165E-018  1.45864E-036  4.41191E-022  5.50109E-022  1.44318E-014  1.79350E-020  1.84378E-010  5.64140E-020  7.94026E-022  7.18509E-013  5.47425E-014  6.58415E-036  5.57246E-037  5.69096E-020  1.00000E-040  6.25268E-021  3.13643E-011  2.82018E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.17319E-001  1.71572E+019  2.60603E+002  1.00000E+005  4.22625E-004  1.00000E-040  1.00000E-040  9.92812E-017  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.53599E-021  1.00000E-040  1.00000E-040  4.85620E-018  4.97235E-007  1.39308E-003  1.69045E-013  4.68561E-014  2.11730E-004  2.39800E-008  2.82732E-004  2.48787E-019  9.85067E-011  1.00000E-040  3.59681E-040  1.42402E-026  7.38529E-017  7.90118E-007  5.58158E-021  3.36855E-021  1.45381E-032  2.87289E-032  1.00000E-040  8.58977E-014  5.05390E-018  4.79939E-015  1.86858E-011  1.37597E-033  2.16312E-039  2.50714E-010  3.74149E-032  4.65766E-011  7.69897E-023  9.98111E-001  2.27836E-019  2.26645E-013  9.83522E-011  6.18354E-038  3.40301E-037  3.24947E-024  1.04559E-019  1.04572E-013  2.40309E-013  1.81969E-011  8.79394E-015  2.60487E-007  1.72195E-009  1.07249E-008  7.77106E-013  2.31770E-014  8.04170E-020  3.06095E-013  3.06733E-011  3.59516E-011  3.31944E-030  2.58318E-034  9.51455E-036  4.47422E-030  1.09347E-012  7.56488E-025  1.00014E-017  1.21164E-014  2.28831E-021  4.58505E-020  9.63617E-031  2.19256E-032  2.68395E-032  1.20945E-038  5.23586E-029  1.16284E-033  1.46381E-031  9.63213E-021  3.62860E-015  2.53739E-031  7.05246E-031  9.61197E-022  4.90630E-014  1.81513E-015  3.93479E-015  1.92138E-022  1.18049E-010  1.00000E-040  1.13146E-017  1.63970E-036  6.53925E-022  4.05720E-022  1.44415E-014  1.22532E-020  1.18833E-010  5.16265E-020  1.31544E-021  4.69382E-013  5.48173E-014  3.86851E-036  5.35927E-037  5.78541E-020  1.00000E-040  3.54402E-021  3.08745E-011  2.78202E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.42635E-001  1.54663E+019  2.54120E+002  1.00000E+005  3.38776E-004  1.00000E-040  1.00000E-040  4.95455E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.03225E-021  1.00000E-040  1.00000E-040  5.86351E-018  4.97458E-007  8.75209E-004  2.06684E-013  7.87254E-014  2.11829E-004  2.22324E-008  2.82883E-004  2.58735E-019  8.57652E-011  1.00000E-040  5.05135E-040  1.69069E-026  7.64551E-017  7.88031E-007  7.03675E-021  2.12119E-021  8.88506E-033  9.85991E-033  1.00000E-040  2.63110E-014  4.26093E-018  5.44919E-015  1.38660E-011  1.44522E-033  1.02676E-039  2.30040E-010  2.41401E-032  4.63613E-011  2.01051E-022  9.98628E-001  2.91448E-019  1.91188E-013  5.81038E-011  1.46307E-037  4.12045E-037  2.53052E-024  7.35409E-020  2.21287E-013  2.56266E-013  1.80633E-011  8.08140E-015  2.57206E-007  1.56861E-009  1.50678E-008  1.00343E-012  3.03014E-014  6.10727E-020  5.25237E-013  3.43636E-011  2.90633E-011  3.83289E-030  3.11646E-034  1.00000E-040  6.38182E-030  6.19260E-013  7.56856E-025  9.79990E-018  1.18710E-014  2.92166E-021  3.85988E-020  9.66500E-031  6.23200E-033  2.68597E-032  6.20253E-039  7.39671E-029  1.41863E-033  1.18112E-031  8.21962E-021  2.77633E-015  2.76826E-031  9.70770E-031  1.34821E-021  7.69976E-014  2.06065E-015  4.56542E-015  1.19182E-022  1.02814E-010  1.00000E-040  2.46999E-017  1.76749E-036  9.73200E-022  2.71711E-022  1.44490E-014  7.27413E-021  6.75956E-011  4.89938E-020  2.17937E-021  2.57308E-013  5.48614E-014  1.88879E-036  4.92348E-037  5.24929E-020  1.00000E-040  1.77146E-021  3.04393E-011  2.73557E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.75411E-001  1.39390E+019  2.47033E+002  1.00000E+005  2.47986E-004  1.00000E-040  1.00000E-040  1.99873E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.04278E-021  1.00000E-040  1.00000E-040  6.55061E-018  4.97632E-007  5.05782E-004  2.40652E-013  1.28195E-013  2.11896E-004  2.04999E-008  2.82991E-004  2.44240E-019  6.99838E-011  1.00000E-040  5.79441E-040  1.73916E-026  7.26804E-017  7.86263E-007  8.78816E-021  1.22961E-021  5.19399E-033  2.87845E-033  1.00000E-040  8.07894E-015  5.56395E-018  6.22989E-015  1.12513E-011  1.34260E-033  6.53562E-040  2.10277E-010  1.35010E-032  4.61743E-011  4.92645E-022  9.98998E-001  3.36438E-019  1.41791E-013  3.20930E-011  2.83261E-037  5.01352E-037  2.03446E-024  4.69515E-020  4.50844E-013  2.26781E-013  1.69924E-011  7.07863E-015  2.53686E-007  1.34690E-009  2.07147E-008  1.30138E-012  3.72755E-014  6.47264E-020  9.68285E-013  3.78762E-011  1.94851E-011  4.74495E-030  3.62694E-034  1.00000E-040  8.60352E-030  2.87040E-013  7.57104E-025  9.47309E-018  1.13047E-014  4.15293E-021  3.08585E-020  9.70159E-031  1.37370E-033  2.68815E-032  2.99753E-039  1.02273E-028  1.56890E-033  8.18610E-032  6.32033E-021  1.95403E-015  2.58333E-031  1.34762E-030  1.83509E-021  1.20441E-013  2.17666E-015  5.22442E-015  6.27695E-023  8.72630E-011  1.00000E-040  5.68060E-017  1.90930E-036  1.45028E-021  1.65413E-022  1.44544E-014  3.78305E-021  3.58410E-011  4.88101E-020  3.49822E-021  1.13492E-013  5.48870E-014  8.23174E-037  4.30481E-037  4.09960E-020  1.00000E-040  7.96781E-022  3.00621E-011  2.68982E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.14948E-001  1.25422E+019  2.39628E+002  1.00000E+005  1.60143E-004  1.00000E-040  1.00000E-040  1.49198E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.76599E-039  1.00000E-040  5.62313E-022  1.00000E-040  1.00000E-040  6.78985E-018  4.97757E-007  2.71794E-004  2.67405E-013  2.00688E-013  2.11933E-004  1.88699E-008  2.83061E-004  2.13072E-019  5.43375E-011  1.00000E-040  5.79859E-040  1.57528E-026  6.42399E-017  7.84765E-007  1.09931E-020  6.91840E-022  3.04540E-033  7.92005E-034  1.00000E-040  2.84915E-015  8.43751E-018  7.31637E-015  1.00100E-011  1.14078E-033  4.97618E-040  1.91818E-010  6.68188E-033  4.60144E-011  2.79141E-021  9.99232E-001  3.33702E-019  8.82278E-014  1.65583E-011  2.44406E-037  6.52867E-037  1.80120E-024  2.77399E-020  8.55268E-013  1.59759E-013  1.51476E-011  5.87868E-015  2.49981E-007  1.08877E-009  2.74845E-008  1.68633E-012  4.21501E-014  1.00076E-019  1.71808E-012  4.07175E-011  8.20858E-012  6.46696E-030  4.05369E-034  1.46290E-034  1.07698E-029  1.01147E-013  7.57243E-025  9.07223E-018  1.04624E-014  6.13173E-021  2.38042E-020  9.74820E-031  2.48231E-034  2.69082E-032  1.37811E-039  1.36488E-028  1.60597E-033  4.99255E-032  4.44083E-021  1.29654E-015  2.10066E-031  1.98974E-030  2.45152E-021  1.78911E-013  2.17376E-015  5.84161E-015  2.94351E-023  7.33700E-011  1.00000E-040  1.35073E-016  2.20144E-036  2.09368E-021  9.27590E-023  1.44579E-014  1.76883E-021  1.83757E-011  5.11907E-020  5.38821E-021  3.75130E-014  5.49013E-014  3.44676E-037  3.59115E-037  2.78322E-020  1.00000E-040  3.30592E-022  2.97408E-011  2.65544E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.60662E-001  1.12576E+019  2.32044E+002  1.00000E+005  9.28917E-005  1.00000E-040  1.00000E-040  1.58792E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.43228E-037  1.00000E-040  1.33020E-021  1.00000E-040  1.00000E-040  6.64841E-018  4.97843E-007  1.37147E-004  2.87120E-013  3.02097E-013  2.11949E-004  1.74139E-008  2.83102E-004  1.75784E-019  4.06935E-011  1.00000E-040  5.95183E-040  1.29466E-026  5.36988E-017  7.83478E-007  1.38304E-020  3.95794E-022  1.85496E-033  2.24961E-034  1.00000E-040  1.41599E-015  1.25838E-017  8.93202E-015  9.56300E-012  9.21978E-034  3.92159E-040  1.75047E-010  2.98148E-033  4.58786E-011  9.34161E-020  9.99366E-001  2.80419E-019  4.52960E-014  8.03640E-012  1.00000E-040  9.25804E-037  1.78669E-024  1.58424E-020  1.51570E-012  8.91962E-014  1.28367E-011  4.67689E-015  2.46166E-007  8.32047E-010  3.50856E-008  2.16207E-012  4.37808E-014  1.90676E-019  2.85729E-012  4.25915E-011  3.93546E-012  9.33256E-030  4.37820E-034  1.82624E-036  1.25838E-029  2.63237E-014  7.57302E-025  8.66426E-018  9.50057E-015  8.13454E-021  1.80966E-020  9.80724E-031  4.05707E-035  2.69450E-032  6.05981E-040  1.75243E-028  1.55812E-033  2.83764E-032  2.93207E-021  8.34018E-016  1.53497E-031  3.16485E-030  3.30153E-021  2.43813E-013  2.08948E-015  6.35324E-015  2.43461E-023  6.21094E-011  1.00000E-040  3.34293E-016  2.78789E-036  2.56864E-021  4.89216E-023  1.44599E-014  7.86012E-022  9.30596E-012  5.59992E-020  7.96206E-021  9.04276E-015  5.49090E-014  1.39499E-037  2.89112E-037  1.68751E-020  1.00000E-040  1.29634E-022  2.94685E-011  2.63982E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.12072E-001  1.00607E+019  2.24669E+002  9.61769E+004  4.70685E-005  1.00000E-040  1.00000E-040  1.05549E-009  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.79726E-035  1.00000E-040  8.22642E-020  1.00000E-040  1.00000E-040  6.48939E-018  4.97899E-007  6.76231E-005  3.07019E-013  4.42754E-013  2.11950E-004  1.61548E-008  2.83124E-004  1.43758E-019  3.02150E-011  1.00000E-040  7.87362E-040  1.04888E-026  4.45844E-017  7.82316E-007  1.74740E-020  2.35331E-022  1.18113E-033  6.85668E-035  1.00000E-040  9.89705E-016  1.72535E-017  1.12225E-014  9.49585E-012  7.57794E-034  3.09950E-040  1.60059E-010  1.28663E-033  4.57599E-011  1.20815E-018  9.99436E-001  2.11902E-019  2.03272E-014  3.73131E-012  1.00000E-040  1.37314E-036  1.89814E-024  9.22900E-021  2.50253E-012  4.24348E-014  1.05650E-011  3.66586E-015  2.42256E-007  6.12639E-010  4.32901E-008  2.69318E-012  4.31779E-014  3.88205E-019  4.39414E-012  4.36348E-011  2.71831E-012  1.30507E-029  4.69595E-034  1.60411E-033  1.40823E-029  5.38847E-015  7.57307E-025  8.29409E-018  8.60229E-015  8.27986E-021  1.39078E-020  9.88246E-031  7.10089E-036  2.69990E-032  2.60548E-040  2.17513E-028  1.49960E-033  1.64112E-032  1.90318E-021  5.45808E-016  1.10086E-031  5.18710E-030  4.57687E-021  2.95878E-013  2.00079E-015  6.69101E-015  8.68187E-023  5.33769E-011  1.00000E-040  8.47150E-016  3.78989E-036  2.18737E-021  2.56419E-023  1.44609E-014  3.57065E-022  4.84711E-012  6.34895E-020  1.13839E-020  1.68513E-015  5.49126E-014  3.45600E-038  2.29300E-037  9.86932E-021  1.00000E-040  5.10719E-023  2.92308E-011  2.64225E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
