alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00825E+000  2.57850E+019  2.83217E+002  1.00000E+005  5.61641E-004  1.00000E-040  1.00000E-040  2.64204E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.57784E-024  1.00000E-040  1.00000E-040  5.85035E-022  4.95908E-007  4.92620E-003  3.62143E-014  2.53903E-017  3.16389E-001  3.86610E-008  2.81675E-004  4.75298E-023  1.14602E-010  1.00000E-040  1.00000E-040  5.67453E-034  1.68744E-020  8.01387E-007  8.26052E-029  1.89237E-026  1.00000E-040  1.00000E-040  2.20946E-029  9.52866E-012  1.85440E-017  6.51106E-019  3.83792E-011  1.00000E-040  1.00000E-040  3.34242E-010  4.19939E-035  4.97856E-011  3.95250E-032  6.78401E-001  4.70328E-024  1.79167E-014  5.57667E-010  1.00000E-040  1.00000E-040  4.00571E-027  1.21659E-022  3.80253E-012  1.46641E-016  7.96480E-012  7.75235E-015  2.70766E-007  6.71932E-010  2.41173E-008  1.76606E-011  8.39834E-014  2.46837E-019  5.25245E-012  1.74550E-011  2.52432E-011  1.06841E-025  5.66272E-031  1.20966E-031  5.85163E-026  1.23285E-013  1.50712E-017  5.13165E-021  8.12221E-018  1.22026E-025  2.72758E-023  9.37848E-040  4.34317E-036  1.00000E-040  1.00000E-040  1.18654E-024  1.00000E-040  3.03037E-038  1.67491E-023  6.77220E-017  2.88838E-035  3.95765E-037  3.37629E-023  1.35377E-017  3.42297E-019  2.67794E-015  2.90442E-025  4.52179E-011  1.00000E-040  4.38861E-019  2.93778E-040  6.99207E-026  1.98379E-028  9.47745E-024  2.48323E-023  5.90972E-012  1.32295E-023  1.04692E-022  7.66661E-014  1.70596E-014  1.00000E-040  1.00000E-040  8.70460E-024  1.00000E-040  5.11868E-022  3.69115E-011  2.83674E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.90060E-001  2.33088E+019  2.76577E+002  1.00000E+005  7.36734E-004  1.00000E-040  1.00000E-040  3.08798E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.66888E-024  1.00000E-040  1.00088E-040  4.80215E-022  4.96684E-007  3.66730E-003  2.91218E-014  3.19397E-017  3.16789E-001  3.79130E-008  2.82033E-004  3.51782E-023  8.49701E-011  1.00000E-040  1.00000E-040  3.04399E-034  1.17940E-020  8.01442E-007  4.86940E-029  1.88114E-026  2.94151E-040  1.00000E-040  2.21225E-029  5.82143E-012  8.74772E-018  4.37300E-019  7.91259E-011  1.00000E-040  1.00000E-040  3.34478E-010  1.94493E-035  4.97650E-011  4.26257E-032  6.79260E-001  4.85726E-024  4.51523E-014  5.40496E-010  1.00000E-040  1.00000E-040  3.88436E-027  1.21888E-022  7.94230E-013  2.95827E-016  8.78691E-012  5.46987E-015  2.71088E-007  8.07972E-010  2.59884E-008  4.07077E-012  5.37693E-014  1.46222E-019  3.39584E-012  2.49854E-011  2.55669E-011  6.60164E-026  5.28252E-031  1.62224E-033  4.22515E-026  3.24580E-013  1.50902E-017  5.24463E-021  7.80630E-018  1.30175E-025  2.48964E-023  9.38995E-040  4.26015E-036  1.00000E-040  1.00000E-040  1.22888E-024  1.00000E-040  2.29043E-038  1.02755E-023  2.17805E-016  1.44048E-035  5.04708E-037  3.48072E-023  9.89202E-018  2.96375E-019  3.76032E-015  1.84842E-025  4.59438E-011  1.00000E-040  5.84832E-019  2.55071E-040  6.72663E-026  1.90603E-028  9.48944E-024  2.67387E-023  2.18433E-011  2.28149E-023  1.40886E-022  1.66097E-013  1.71545E-014  1.00000E-040  1.00000E-040  4.07596E-024  1.00000E-040  5.00474E-022  3.67883E-011  2.84033E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.84021E-001  2.08972E+019  2.71742E+002  1.00000E+005  4.89654E-004  1.00000E-040  1.00000E-040  3.22963E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.14457E-024  1.00000E-040  1.00170E-040  5.09296E-022  4.97185E-007  2.84925E-003  3.10701E-014  4.15595E-017  3.17049E-001  3.70585E-008  2.82266E-004  2.66283E-023  5.60948E-011  1.00000E-040  1.00000E-040  3.07393E-034  1.17082E-020  8.01316E-007  3.78253E-029  1.86180E-026  1.00000E-040  1.00000E-040  2.21406E-029  3.60184E-012  5.50387E-018  3.67599E-019  6.45707E-011  1.00000E-040  1.00000E-040  3.34579E-010  1.36558E-035  4.97382E-011  6.58874E-032  6.79818E-001  5.76766E-024  7.70237E-014  5.25819E-010  1.00000E-040  1.00000E-040  3.70103E-027  1.19060E-022  1.34037E-013  4.73396E-016  8.68981E-012  4.39791E-015  2.71287E-007  8.73481E-010  2.79371E-008  1.17950E-012  3.11643E-014  1.03635E-019  2.05384E-012  2.56028E-011  2.56004E-011  3.65901E-026  5.19068E-031  2.06405E-035  3.66242E-026  6.21938E-013  1.51026E-017  5.44026E-021  7.28716E-018  1.56037E-025  2.37086E-023  9.39711E-040  4.13918E-036  1.00000E-040  1.00000E-040  1.28904E-024  1.00000E-040  2.27773E-038  7.21665E-024  7.75956E-016  1.37635E-035  1.26621E-035  4.52576E-023  8.86483E-018  2.37396E-019  4.73066E-015  1.33625E-025  4.68800E-011  1.00000E-040  8.86849E-019  2.81252E-040  8.18044E-026  1.79631E-028  9.49722E-024  2.79698E-023  9.48453E-011  2.03897E-023  1.86100E-022  2.91168E-013  1.72372E-014  1.00000E-040  1.00000E-040  2.99169E-024  1.00000E-040  4.82528E-022  3.66784E-011  2.84266E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.89036E-001  1.87233E+019  2.66549E+002  1.00000E+005  4.69225E-004  1.00000E-040  1.00000E-040  1.69094E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.63610E-024  1.00000E-040  1.00246E-040  5.57716E-022  4.97634E-007  2.08984E-003  3.45444E-014  5.42498E-017  3.17291E-001  3.61807E-008  2.82483E-004  1.88391E-023  3.42721E-011  1.00000E-040  1.00000E-040  3.30816E-034  1.18969E-020  8.01289E-007  3.01254E-029  1.83754E-026  1.00000E-040  1.00000E-040  2.21574E-029  2.24626E-012  3.62748E-018  3.34584E-019  5.26722E-011  1.00000E-040  1.00000E-040  3.34672E-010  9.51143E-036  4.97194E-011  1.04364E-031  6.80335E-001  6.55550E-024  8.74353E-014  5.13360E-010  1.00000E-040  1.00000E-040  3.47951E-027  1.14839E-022  5.01695E-014  6.53036E-016  8.15284E-012  3.68395E-015  2.71466E-007  8.43450E-010  3.02156E-008  5.67236E-013  2.05037E-014  6.92394E-020  1.28727E-012  2.47524E-011  2.37525E-011  2.42696E-026  5.16235E-031  2.50685E-037  3.43654E-026  7.41341E-013  1.51141E-017  5.72592E-021  6.67808E-018  2.02789E-025  2.27356E-023  9.40361E-040  3.99464E-036  1.00000E-040  1.00000E-040  1.36991E-024  1.00000E-040  2.32215E-038  6.75121E-024  1.64055E-015  1.39265E-035  4.52274E-036  6.23842E-023  8.66520E-018  1.70301E-019  5.70154E-015  1.03696E-025  4.76292E-011  1.00000E-040  1.47226E-018  3.21886E-040  1.05845E-025  1.66697E-028  9.50444E-024  2.84410E-023  1.64036E-010  1.90523E-023  2.42863E-022  3.60082E-013  1.72938E-014  1.00000E-040  1.00000E-040  2.43442E-024  1.00000E-040  4.59842E-022  3.65874E-011  2.84476E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.03977E-001  1.67864E+019  2.60603E+002  1.00000E+005  4.26536E-004  1.00000E-040  1.00000E-040  8.31917E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.55195E-024  1.00000E-040  1.00314E-040  5.98319E-022  4.98045E-007  1.41979E-003  3.66955E-014  7.06486E-017  3.17504E-001  3.53537E-008  2.82674E-004  1.67641E-023  2.69406E-011  1.00000E-040  1.00000E-040  3.11053E-034  1.11350E-020  8.01323E-007  2.29549E-029  1.80963E-026  1.00000E-040  1.00000E-040  2.21722E-029  1.42619E-012  2.32238E-018  3.12775E-019  4.31701E-011  1.00000E-040  1.00000E-040  3.34744E-010  5.78863E-036  4.97069E-011  1.52798E-031  6.80792E-001  6.87275E-024  8.73594E-014  5.03020E-010  1.00000E-040  1.00000E-040  3.24034E-027  1.10851E-022  4.56926E-014  8.49178E-016  7.84936E-012  2.94655E-015  2.71617E-007  7.83845E-010  3.29333E-008  4.63680E-013  1.77066E-014  4.41171E-020  9.18636E-013  2.43820E-011  2.06267E-011  1.87388E-026  5.14593E-031  2.92659E-039  3.20740E-026  7.12915E-013  1.51243E-017  6.11036E-021  6.07544E-018  2.78895E-025  2.12779E-023  9.40918E-040  3.83546E-036  1.00000E-040  1.00000E-040  1.47325E-024  1.00000E-040  2.24651E-038  6.87984E-024  1.94988E-015  1.21652E-035  1.00000E-040  8.47098E-023  8.82066E-018  1.79719E-019  6.96702E-015  7.97805E-026  4.79297E-011  1.00000E-040  2.56893E-018  3.54879E-040  1.36403E-025  1.52768E-028  9.51081E-024  2.84315E-023  1.68697E-010  1.72217E-023  3.14330E-022  3.64822E-013  1.73284E-014  1.00000E-040  1.00000E-040  1.76093E-024  1.00000E-040  4.33760E-022  3.65138E-011  2.84666E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.27828E-001  1.50442E+019  2.54120E+002  1.00000E+005  3.43982E-004  1.00000E-040  1.00000E-040  4.05149E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07733E-024  1.00000E-040  1.00366E-040  6.33930E-022  4.98390E-007  8.96233E-004  3.78214E-014  9.19447E-017  3.17670E-001  3.45909E-008  2.82823E-004  1.80299E-023  2.59238E-011  1.00000E-040  1.00000E-040  2.65088E-034  9.81224E-021  8.01348E-007  1.72157E-029  1.77902E-026  1.00000E-040  1.00000E-040  2.21838E-029  9.27337E-013  1.47792E-018  3.04944E-019  3.56716E-011  1.00000E-040  1.00000E-040  3.34773E-010  3.16190E-036  4.96968E-011  2.16372E-031  6.81149E-001  6.88886E-024  8.26400E-014  4.94539E-010  8.66421E-040  1.00000E-040  3.00116E-027  1.07206E-022  7.17805E-014  1.07202E-015  7.63151E-012  2.28525E-015  2.71724E-007  7.18522E-010  3.61079E-008  5.02187E-013  1.71134E-014  3.11368E-020  8.31765E-013  2.51469E-011  1.68293E-011  1.56030E-026  5.10213E-031  1.00000E-040  2.96773E-026  6.12020E-013  1.51322E-017  6.60040E-021  5.51710E-018  4.07199E-025  1.94822E-023  9.41328E-040  3.66869E-036  1.00000E-040  1.00000E-040  1.59826E-024  1.00000E-040  2.10098E-038  7.18878E-024  1.65989E-015  9.53038E-036  1.29620E-036  1.14523E-022  9.48060E-018  2.32723E-019  8.64043E-015  5.98420E-026  4.77293E-011  1.00000E-040  4.72198E-018  3.83508E-040  1.78206E-025  1.38801E-028  9.51577E-024  2.81666E-023  1.21987E-010  1.53282E-023  4.04294E-022  3.28471E-013  1.73481E-014  1.00000E-040  1.00000E-040  1.14480E-024  1.00000E-040  4.05640E-022  3.64538E-011  2.84809E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.59683E-001  1.34778E+019  2.47033E+002  1.00000E+005  2.53324E-004  1.00000E-040  1.00000E-040  1.58777E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.60974E-025  1.00000E-040  1.00404E-040  6.63466E-022  4.98651E-007  5.20271E-004  3.84514E-014  1.19194E-016  3.17790E-001  3.38766E-008  2.82930E-004  1.93820E-023  2.50583E-011  1.00000E-040  1.00000E-040  2.09956E-034  8.22566E-021  8.01338E-007  1.30011E-029  1.74647E-026  1.00000E-040  1.00000E-040  2.21920E-029  6.18718E-013  9.54184E-019  3.18596E-019  2.97741E-011  1.00000E-040  1.00000E-040  3.34756E-010  1.54946E-036  4.96877E-011  3.08896E-031  6.81405E-001  6.71186E-024  7.39547E-014  4.87608E-010  2.09880E-038  1.00000E-040  2.77452E-027  1.03710E-022  1.56981E-013  1.31919E-015  7.29697E-012  1.74530E-015  2.71786E-007  6.44932E-010  3.97306E-008  6.10590E-013  1.62888E-014  2.85085E-020  9.86563E-013  2.71581E-011  1.21901E-011  1.37114E-026  5.06969E-031  1.00000E-040  2.75236E-026  4.74595E-013  1.51379E-017  7.20278E-021  5.01558E-018  6.34215E-025  1.76404E-023  9.41590E-040  3.49942E-036  1.00000E-040  1.00000E-040  1.74308E-024  1.00000E-040  1.92643E-038  7.71769E-024  1.16426E-015  6.84988E-036  1.00000E-040  1.58275E-022  1.10865E-017  2.99154E-019  1.07297E-014  4.35109E-026  4.71076E-011  1.00000E-040  9.46312E-018  4.15929E-040  2.44744E-025  1.25558E-028  9.51933E-024  2.77864E-023  6.17177E-011  1.37031E-023  5.16538E-022  2.68139E-013  1.73588E-014  1.00000E-040  1.00000E-040  6.82995E-025  1.00000E-040  3.76735E-022  3.64042E-011  2.84910E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  3.98759E-001  1.20528E+019  2.39628E+002  1.00000E+005  1.64372E-004  1.00000E-040  1.00000E-040  4.68296E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.17581E-025  1.00000E-040  1.00429E-040  6.90489E-022  4.98818E-007  2.80884E-004  3.94963E-014  1.54432E-016  3.17866E-001  3.31927E-008  2.82999E-004  1.73821E-023  2.01310E-011  1.00000E-040  1.00000E-040  1.64047E-034  6.78792E-021  8.01277E-007  1.01559E-029  1.71256E-026  1.00000E-040  1.00000E-040  2.21973E-029  4.23570E-013  6.40299E-019  3.61148E-019  2.51369E-011  1.00000E-040  1.00000E-040  3.34692E-010  7.10890E-037  4.96782E-011  4.55276E-031  6.81569E-001  6.41359E-024  6.11641E-014  4.81921E-010  3.08846E-037  1.00000E-040  2.56880E-027  1.00281E-022  3.75235E-013  1.57670E-015  6.62679E-012  1.33365E-015  2.71806E-007  5.58574E-010  4.37947E-008  7.62150E-013  1.39807E-014  3.66028E-020  1.38986E-012  3.04957E-011  6.30009E-012  1.29881E-026  5.12039E-031  1.00000E-040  2.59520E-026  3.24519E-013  1.51415E-017  7.92541E-021  4.57602E-018  1.04291E-024  1.60308E-023  9.41713E-040  3.33120E-036  1.00000E-040  1.00000E-040  1.90631E-024  1.00000E-040  1.77737E-038  8.69279E-024  7.40612E-016  4.80617E-036  2.22919E-036  2.27999E-022  1.42457E-017  3.06298E-019  1.31328E-014  3.09964E-026  4.62011E-011  1.00000E-040  2.07406E-017  4.63577E-040  3.68714E-025  1.13767E-028  9.52158E-024  2.73802E-023  2.23465E-011  1.25947E-023  6.56549E-022  1.96775E-013  1.73644E-014  1.00000E-040  1.00000E-040  3.93510E-025  1.00000E-040  3.48134E-022  3.63623E-011  2.84986E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.44397E-001  1.07499E+019  2.32044E+002  1.00000E+005  9.58071E-005  1.00000E-040  1.00000E-040  8.73165E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.70142E-025  1.00000E-040  1.00443E-040  7.25218E-022  4.98907E-007  1.42388E-004  4.13601E-014  2.00402E-016  3.17910E-001  3.25446E-008  2.83039E-004  1.30243E-023  1.34297E-011  1.00000E-040  1.00000E-040  1.29409E-034  5.58805E-021  8.01174E-007  8.30776E-030  1.67781E-026  1.00000E-040  1.00000E-040  2.22002E-029  2.98436E-013  4.51312E-019  4.46907E-019  2.15126E-011  1.00000E-040  1.00000E-040  3.34589E-010  3.10093E-037  4.96689E-011  6.99368E-031  6.81663E-001  6.03173E-024  4.57462E-014  4.77237E-010  2.75318E-036  1.00000E-040  2.38935E-027  9.71047E-023  7.82034E-013  1.81833E-015  5.74444E-012  1.02833E-015  2.71793E-007  4.67485E-010  4.83291E-008  9.72306E-013  1.09591E-014  5.95123E-020  2.05925E-012  3.52322E-011  2.35948E-012  1.34644E-026  5.28862E-031  1.00000E-040  2.50061E-026  1.93002E-013  1.51436E-017  8.77945E-021  4.20374E-018  1.76908E-024  1.47960E-023  9.41728E-040  3.16687E-036  1.00000E-040  1.00000E-040  2.08797E-024  1.00000E-040  1.67040E-038  1.02422E-023  4.55303E-016  3.37170E-036  3.12494E-034  3.45773E-022  2.02318E-017  2.54064E-019  1.57207E-014  2.20082E-026  4.51581E-011  1.00000E-040  4.98871E-017  5.36855E-040  6.46219E-025  1.04378E-028  9.52287E-024  2.70575E-023  7.39194E-012  1.20251E-023  8.31605E-022  1.29505E-013  1.73672E-014  1.00000E-040  1.00000E-040  2.24362E-025  1.00000E-040  3.20749E-022  3.63267E-011  2.85034E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.96052E-001  9.54425E+018  2.24669E+002  9.61769E+004  4.87682E-005  1.00000E-040  1.00000E-040  2.90815E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.43157E-024  1.00000E-040  1.00450E-040  7.96782E-022  4.98942E-007  7.05088E-005  4.45857E-014  2.62926E-016  3.17933E-001  3.19408E-008  2.83060E-004  9.73350E-024  8.85477E-012  1.00000E-040  1.00000E-040  1.07506E-034  4.72181E-021  8.01039E-007  7.19706E-030  1.64199E-026  1.00000E-040  1.00000E-040  2.22017E-029  2.17214E-013  3.37046E-019  5.96639E-019  1.86815E-011  1.00000E-040  1.00000E-040  3.34452E-010  1.35192E-037  4.96599E-011  1.13211E-030  6.81712E-001  5.70466E-024  3.16462E-014  4.73291E-010  1.55638E-035  1.00000E-040  2.23684E-027  9.48563E-023  1.42324E-012  2.01885E-015  4.97778E-012  8.07854E-016  2.71754E-007  3.85389E-010  5.34919E-008  1.26745E-012  8.43346E-015  1.06270E-019  3.02598E-012  4.16254E-011  1.04944E-012  1.50405E-026  5.60330E-031  1.00000E-040  2.47228E-026  1.02518E-013  1.51447E-017  9.80027E-021  3.89621E-018  3.01554E-024  1.40371E-023  9.41665E-040  3.00586E-036  1.00000E-040  1.00000E-040  2.29431E-024  1.00000E-040  1.63297E-038  1.22759E-023  2.86203E-016  2.48015E-036  8.04145E-034  5.48941E-022  3.12194E-017  2.18255E-019  1.83810E-014  1.60102E-026  4.40859E-011  1.00000E-040  1.26929E-016  6.48294E-040  1.37202E-024  9.91860E-029  9.52351E-024  2.69775E-023  2.87814E-012  1.20064E-023  1.05539E-021  7.80117E-014  1.73685E-014  1.00000E-040  1.00000E-040  1.31960E-025  1.00000E-040  2.94857E-022  3.62959E-011  2.85067E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
