alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00900E+000  2.55799E+019  2.85699E+002  1.00000E+005  6.38270E-004  1.00000E-040  1.00000E-040  2.62030E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.65316E-020  1.00000E-040  1.00000E-040  2.85969E-018  4.95541E-007  5.79049E-003  9.25349E-014  6.96245E-015  2.10833E-004  3.07316E-008  2.81467E-004  3.27078E-019  2.24520E-010  1.00000E-040  1.55367E-040  9.37009E-027  7.10341E-017  8.00794E-007  4.99416E-021  1.90624E-020  2.73065E-031  1.55996E-030  2.53369E-039  4.10108E-012  2.27115E-016  2.97638E-015  3.09396E-011  5.70773E-033  8.36131E-037  3.33995E-010  1.83587E-031  4.61321E-011  3.04898E-024  9.93716E-001  8.33182E-020  2.21184E-013  3.98474E-010  1.00000E-040  5.05961E-037  1.48299E-023  4.12814E-019  7.39447E-013  7.04280E-014  1.94808E-011  1.26530E-014  2.70565E-007  1.85345E-009  2.42458E-009  6.95422E-012  1.32575E-014  4.79489E-019  1.13848E-012  1.52657E-011  4.02960E-011  1.00000E-040  1.00000E-040  8.88139E-036  1.00000E-040  2.34417E-012  1.00000E-040  1.82844E-017  1.83399E-014  3.93049E-022  1.24981E-019  5.19569E-034  1.77060E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.40970E-033  4.03634E-031  2.52018E-020  4.04086E-016  2.23718E-031  4.08560E-031  3.39543E-022  2.87010E-014  1.73489E-015  2.76012E-015  7.73932E-022  1.93489E-010  1.00000E-040  8.30727E-019  2.67236E-036  2.01668E-022  9.29420E-025  3.78242E-018  7.04837E-020  9.95199E-011  4.01131E-020  3.18196E-022  1.08483E-012  6.25161E-014  1.30089E-034  1.00000E-040  9.97047E-020  1.00000E-040  4.16989E-020  3.06467E-011  5.12921E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.96353E-001  2.32479E+019  2.79262E+002  1.00000E+005  8.34717E-004  1.00000E-040  1.00000E-040  3.07088E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.11077E-020  1.00000E-040  1.00000E-040  3.40116E-018  4.95041E-007  4.39363E-003  1.08345E-013  6.77144E-015  2.11115E-004  2.91165E-008  2.81872E-004  2.05227E-019  1.18237E-010  1.00000E-040  2.01119E-040  1.05485E-026  7.18814E-017  7.94322E-007  8.51670E-021  1.81820E-020  2.78133E-031  1.23628E-030  2.53724E-039  1.36416E-012  1.31667E-016  8.56873E-015  6.23050E-011  9.64237E-033  5.84162E-037  2.87689E-010  1.25356E-031  4.56033E-011  6.65528E-024  9.95112E-001  1.23452E-019  3.17656E-013  2.55125E-010  1.00000E-040  9.24119E-037  1.38444E-023  3.99467E-019  2.61746E-014  7.84157E-014  1.81911E-011  1.21876E-014  2.67086E-007  1.89301E-009  1.95328E-009  9.28229E-013  9.69673E-015  3.95015E-019  4.06444E-013  1.88332E-011  5.56343E-011  1.00000E-040  1.00000E-040  1.08620E-036  1.00000E-040  3.35537E-012  1.00000E-040  1.84862E-017  1.76789E-014  5.01142E-022  1.21009E-019  5.18431E-034  1.40653E-030  1.00000E-040  1.00000E-040  1.00000E-040  2.14107E-033  4.29873E-031  2.11765E-020  2.96031E-015  2.34738E-031  3.99240E-031  4.88042E-022  3.85503E-014  9.79864E-016  2.56486E-015  5.93229E-022  1.90502E-010  1.00000E-040  1.55765E-018  3.23551E-036  2.70411E-022  8.75944E-025  3.78769E-018  7.50983E-020  5.05727E-010  9.81976E-020  3.29602E-022  1.53652E-012  6.28467E-014  9.86526E-035  1.00000E-040  9.08982E-020  1.00000E-040  3.76314E-020  2.96961E-011  5.09543E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.94860E-001  2.09508E+019  2.74794E+002  1.00000E+005  5.26035E-004  1.00000E-040  1.00000E-040  3.23162E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.03797E-020  1.00000E-040  1.00000E-040  4.86166E-018  4.94316E-007  3.53442E-003  1.44668E-013  9.14265E-015  2.11283E-004  2.73850E-008  2.82124E-004  2.51105E-019  1.13138E-010  1.00000E-040  4.48083E-040  1.68400E-026  8.94723E-017  7.87712E-007  1.13605E-020  1.51666E-020  2.14418E-031  7.35267E-031  2.53943E-039  4.05792E-013  5.93507E-017  1.15963E-014  4.32190E-011  1.54100E-032  3.01082E-037  2.43328E-010  1.12758E-031  4.50627E-011  1.34181E-023  9.95971E-001  1.54218E-019  3.15387E-013  1.51015E-010  1.00000E-040  1.36518E-036  1.22540E-023  3.72044E-019  1.47838E-014  1.00681E-013  2.03637E-011  1.20360E-014  2.63098E-007  2.03806E-009  2.09300E-009  5.54749E-013  1.18440E-014  3.41128E-019  1.51000E-013  2.13463E-011  6.68516E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.56242E-012  1.00000E-040  1.89229E-017  1.80623E-014  7.20970E-022  1.20143E-019  5.15875E-034  9.66371E-031  1.00000E-040  1.00000E-040  1.00000E-040  3.31930E-033  5.11997E-031  2.46337E-020  5.72086E-015  3.56234E-031  5.01601E-031  7.09873E-022  5.64326E-014  1.39811E-015  2.57826E-015  5.80500E-022  1.76797E-010  1.00000E-040  2.81563E-018  4.11577E-036  3.91870E-022  7.87164E-025  3.79086E-018  7.20742E-020  6.20403E-010  9.30763E-020  4.42079E-022  1.24058E-012  6.30727E-014  7.50946E-035  1.00000E-040  1.10944E-019  1.00000E-040  3.07609E-020  2.87577E-011  4.98979E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.03370E-001  1.88935E+019  2.69643E+002  1.00000E+005  5.39213E-004  1.00000E-040  1.00000E-040  9.54704E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.50221E-020  1.00000E-040  1.00000E-040  6.86099E-018  4.93657E-007  2.66487E-003  1.97839E-013  1.66883E-014  2.11452E-004  2.55960E-008  2.82379E-004  3.61668E-019  1.26335E-010  1.00000E-040  9.96096E-040  2.72271E-026  1.10799E-016  7.81480E-007  1.38038E-020  1.07624E-020  1.33306E-031  3.17947E-031  2.54164E-039  1.07132E-013  2.56236E-017  1.45850E-014  3.00361E-011  1.97761E-032  1.20173E-037  2.02282E-010  9.66579E-032  4.45371E-011  3.00366E-023  9.96840E-001  1.88333E-019  2.82458E-013  8.23749E-011  1.00000E-040  1.77378E-036  1.02080E-023  3.27718E-019  2.43624E-014  1.46828E-013  2.29027E-011  1.16438E-014  2.58733E-007  2.09907E-009  3.07459E-009  6.56517E-013  1.62640E-014  2.40218E-019  9.60470E-014  2.44806E-011  6.75597E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.49832E-012  1.00000E-040  1.94914E-017  1.93122E-014  1.12332E-021  1.17426E-019  5.12343E-034  5.16937E-031  1.00000E-040  1.00000E-040  1.00000E-040  4.72686E-033  5.86670E-031  2.88229E-020  6.07532E-015  5.42231E-031  7.87447E-031  1.01911E-021  9.71988E-014  2.16736E-015  3.08269E-015  5.29865E-022  1.53119E-010  1.00000E-040  5.63745E-018  5.11964E-036  6.03014E-022  6.26190E-025  3.79400E-018  6.06444E-020  4.97844E-010  9.10897E-020  7.91946E-022  7.44564E-013  6.32235E-014  4.59011E-035  1.00000E-040  1.38889E-019  1.00000E-040  1.99077E-020  2.78514E-011  4.79912E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.20916E-001  1.70398E+019  2.63928E+002  1.00000E+005  5.10777E-004  1.00000E-040  1.00000E-040  4.01303E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.53077E-021  1.00000E-040  1.00000E-040  9.22338E-018  4.93006E-007  1.86125E-003  2.68992E-013  3.47533E-014  2.11607E-004  2.36665E-008  2.82615E-004  4.77831E-019  1.30032E-010  1.00000E-040  2.01148E-039  4.20619E-026  1.32757E-016  7.75698E-007  1.58185E-020  6.37311E-021  6.78472E-032  9.60780E-032  2.54368E-039  2.62110E-014  1.91438E-017  1.68091E-014  2.11051E-011  2.08528E-032  4.95953E-038  1.65419E-010  7.69855E-032  4.40348E-011  7.41858E-023  9.97643E-001  2.30368E-019  2.29752E-013  4.12969E-011  1.00000E-040  2.08117E-036  7.94179E-024  2.64238E-019  5.51762E-014  1.99230E-013  2.47236E-011  1.15212E-014  2.53983E-007  2.04423E-009  5.21439E-009  8.43571E-013  2.37052E-014  1.58556E-019  1.44253E-013  2.87437E-011  6.18935E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.16003E-013  1.00000E-040  2.00122E-017  2.09542E-014  1.84301E-021  1.09837E-019  5.07984E-034  1.99969E-031  1.00000E-040  1.00000E-040  1.00000E-040  6.13543E-033  6.08275E-031  3.07092E-020  5.44186E-015  7.81372E-031  1.31223E-030  1.40638E-021  1.62272E-013  3.03146E-015  4.00845E-015  4.07745E-022  1.24273E-010  1.00000E-040  1.20803E-017  5.99513E-036  9.57108E-022  4.35668E-025  3.79680E-018  4.35749E-020  3.02318E-010  9.01387E-020  1.60853E-021  3.55759E-013  6.33187E-014  2.08648E-035  1.00000E-040  1.65625E-019  1.00000E-040  1.00078E-020  2.69941E-011  4.52653E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.46686E-001  1.53582E+019  2.57819E+002  1.00000E+005  4.19193E-004  1.00000E-040  1.00000E-040  1.97106E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.47599E-021  1.00000E-040  1.00000E-040  1.17660E-017  4.92305E-007  1.22284E-003  3.56742E-013  7.18796E-014  2.11726E-004  2.15678E-008  2.82803E-004  5.53134E-019  1.19112E-010  1.00000E-040  3.55987E-039  6.00608E-026  1.51644E-016  7.70400E-007  1.74412E-020  3.12826E-021  2.87945E-032  1.99843E-032  2.54530E-039  7.17593E-015  2.19600E-017  1.75053E-014  1.51869E-011  1.91605E-032  2.61019E-038  1.33176E-010  5.63959E-032  4.35635E-011  1.86135E-022  9.98281E-001  2.69525E-019  1.63077E-013  1.89475E-011  1.00000E-040  2.25234E-036  5.81464E-024  1.90631E-019  1.37165E-013  2.10430E-013  2.53611E-011  1.13854E-014  2.48856E-007  1.87042E-009  8.85721E-009  1.09459E-012  3.50376E-014  1.12034E-019  3.04553E-013  3.40800E-011  5.24342E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.68109E-013  1.00000E-040  2.02699E-017  2.23586E-014  3.13124E-021  9.68973E-020  5.02963E-034  5.50992E-032  1.00000E-040  1.00000E-040  1.00000E-040  7.26375E-033  5.48167E-031  2.83372E-020  4.39462E-015  1.03238E-030  2.05866E-030  1.84674E-021  2.37673E-013  3.73586E-015  5.15725E-015  2.57735E-022  9.56683E-011  1.00000E-040  2.69007E-017  6.52246E-036  1.53790E-021  2.71761E-025  3.79889E-018  2.65546E-020  1.57371E-010  8.95489E-020  3.23331E-021  1.30843E-013  6.33764E-014  7.20546E-036  1.00000E-040  1.81000E-019  1.00000E-040  4.28593E-021  2.62024E-011  4.20071E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.79879E-001  1.38420E+019  2.51101E+002  1.00000E+005  3.22390E-004  1.00000E-040  1.00000E-040  7.72875E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.16096E-021  1.00000E-040  1.00000E-040  1.38968E-017  4.91571E-007  7.44134E-004  4.48349E-013  1.38905E-013  2.11811E-004  1.93958E-008  2.82946E-004  5.70051E-019  1.00750E-010  1.00000E-040  5.02102E-039  7.37431E-026  1.58518E-016  7.65663E-007  1.87948E-020  1.30248E-021  1.05790E-032  3.00254E-033  2.54651E-039  3.15979E-015  2.72308E-017  1.70769E-014  1.13883E-011  1.56291E-032  1.52624E-038  1.05702E-010  3.58665E-032  4.31337E-011  4.14711E-022  9.98760E-001  2.70928E-019  9.22021E-014  7.91463E-012  1.19704E-039  2.37347E-036  4.21520E-024  1.23298E-019  3.22210E-013  1.54190E-013  2.45535E-011  1.07355E-014  2.43417E-007  1.59933E-009  1.42040E-008  1.41651E-012  4.89960E-014  9.79167E-020  6.50900E-013  3.96241E-011  3.79291E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.92539E-014  1.00000E-040  2.00775E-017  2.29359E-014  5.47199E-021  8.02354E-020  4.97494E-034  1.12606E-032  1.00000E-040  1.00000E-040  1.00000E-040  7.66473E-033  4.17060E-031  2.22683E-020  3.21439E-015  1.15890E-030  3.02133E-030  2.31854E-021  3.06620E-013  4.20466E-015  6.38046E-015  1.33083E-022  7.12964E-011  1.00000E-040  6.24114E-017  6.77809E-036  2.49142E-021  1.57527E-025  3.80030E-018  1.39195E-020  7.79080E-011  8.85305E-020  6.08415E-021  3.29844E-014  6.34122E-014  2.06902E-036  1.00000E-040  1.69395E-019  1.00000E-040  1.70120E-021  2.54927E-011  3.87581E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.19789E-001  1.24601E+019  2.44020E+002  1.00000E+005  2.21018E-004  1.00000E-040  1.00000E-040  2.38717E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.02953E-021  1.00000E-040  1.00000E-040  1.51490E-017  4.90813E-007  4.22561E-004  5.30363E-013  2.48645E-013  2.11861E-004  1.73018E-008  2.83044E-004  5.37621E-019  8.13505E-011  1.00000E-040  5.68555E-039  7.75664E-026  1.51919E-016  7.61470E-007  2.01046E-020  4.91241E-022  3.58929E-033  3.70541E-034  2.54732E-039  2.20790E-015  3.25953E-017  1.63859E-014  9.01813E-012  1.16107E-032  8.60153E-039  8.29358E-011  1.99605E-032  4.27494E-011  8.57465E-022  9.99081E-001  2.15989E-019  3.75934E-014  3.00516E-012  3.31822E-038  2.71168E-036  3.36977E-024  7.44070E-020  6.83356E-013  7.40064E-014  2.24713E-011  9.49385E-015  2.37759E-007  1.28124E-009  2.11887E-008  1.84717E-012  6.25925E-014  1.20670E-019  1.30034E-012  4.47367E-011  1.67035E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07287E-014  1.00000E-040  1.94500E-017  2.24744E-014  9.56386E-021  6.34796E-020  4.91753E-034  1.91644E-033  1.00000E-040  1.00000E-040  1.00000E-040  7.31910E-033  2.77552E-031  1.53369E-020  2.15967E-015  1.10331E-030  4.55845E-030  2.81839E-021  3.51672E-013  4.44336E-015  7.55523E-015  5.88277E-023  5.27339E-011  1.00000E-040  1.47331E-016  7.42178E-036  3.98406E-021  9.03704E-026  3.80104E-018  6.57624E-021  3.84593E-011  8.75222E-020  1.06144E-020  5.00365E-015  6.34337E-014  5.79203E-037  1.00000E-040  1.34630E-019  1.00000E-040  6.51890E-022  2.48717E-011  3.61562E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.65821E-001  1.11905E+019  2.36776E+002  1.00000E+005  1.35962E-004  1.00000E-040  1.00000E-040  2.35271E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.16956E-021  1.00000E-040  1.00000E-040  1.53670E-017  4.90027E-007  2.27002E-004  5.96031E-013  4.15105E-013  2.11884E-004  1.54187E-008  2.83105E-004  4.73725E-019  6.35915E-011  1.00000E-040  5.62488E-039  7.18416E-026  1.35767E-016  7.57734E-007  2.16368E-020  1.84029E-022  1.23045E-033  4.50412E-035  2.54781E-039  1.74654E-015  3.70604E-017  1.61946E-014  7.54764E-012  8.18176E-033  4.62797E-039  6.46944E-011  9.94053E-033  4.24089E-011  2.25280E-020  9.99276E-001  1.50584E-019  1.16744E-014  1.04536E-012  8.65769E-037  3.62882E-036  3.21549E-024  4.40889E-020  1.33312E-012  2.59593E-014  1.94554E-011  7.91631E-015  2.32019E-007  9.63058E-010  2.94391E-008  2.43906E-012  7.24499E-014  1.93837E-019  2.40362E-012  4.91144E-011  7.58290E-012  1.00000E-040  1.00000E-040  4.38454E-035  1.00000E-040  1.09170E-015  1.00000E-040  1.85886E-017  2.12297E-014  1.51617E-020  4.92176E-020  4.85879E-034  3.21304E-034  1.00000E-040  1.00000E-040  1.00000E-040  6.52688E-033  1.71945E-031  9.77436E-021  1.36938E-015  9.17180E-031  7.64930E-030  3.40118E-021  3.65846E-013  4.47226E-015  8.56796E-015  2.92467E-023  3.95234E-011  1.00000E-040  3.51966E-016  9.33115E-036  5.69891E-021  5.47696E-026  3.80125E-018  2.98033E-021  1.90843E-011  8.72765E-020  1.72688E-020  4.91038E-016  6.34455E-014  3.09255E-037  1.00000E-040  9.31084E-020  1.00000E-040  2.43653E-022  2.43352E-011  3.46626E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.17489E-001  1.00097E+019  2.29733E+002  9.61769E+004  7.33850E-005  1.00000E-040  1.00000E-040  7.57588E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.99358E-019  1.00000E-040  1.00000E-040  1.52078E-017  4.89178E-007  1.19891E-004  6.56770E-013  6.57881E-013  2.11887E-004  1.38059E-008  2.83140E-004  4.07967E-019  4.91830E-011  1.00000E-040  6.16015E-039  6.37252E-026  1.18824E-016  7.54254E-007  2.35919E-020  7.34643E-023  4.54805E-034  6.17772E-036  2.54807E-039  1.33230E-015  3.98712E-017  1.66918E-014  6.56449E-012  5.89038E-033  2.51786E-039  5.05049E-011  4.74246E-033  4.20987E-011  5.67508E-019  9.99384E-001  1.10188E-019  3.21241E-015  3.38110E-013  2.55426E-035  5.44096E-036  3.49976E-024  2.65927E-020  2.39303E-012  8.77684E-015  1.62118E-011  6.41350E-015  2.26247E-007  6.89187E-010  3.84486E-008  3.18126E-012  7.75935E-014  3.32791E-019  4.05596E-012  5.28045E-011  4.51560E-012  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.69510E-017  1.00000E-040  1.77315E-017  1.98094E-014  1.83304E-020  3.84266E-020  4.79844E-034  6.36195E-035  1.00000E-040  1.00000E-040  1.00000E-040  5.75251E-033  1.06485E-031  6.14851E-021  8.68377E-016  7.27647E-031  1.36987E-029  4.17979E-021  3.47777E-013  4.42705E-015  9.29403E-015  8.08499E-023  3.03170E-011  1.00000E-040  8.41588E-016  1.31888E-035  5.91488E-021  3.66695E-026  3.80103E-018  1.37229E-021  9.79564E-012  8.87541E-020  2.65782E-020  3.61612E-017  6.34507E-014  7.95890E-037  1.00000E-040  6.06650E-020  1.00000E-040  9.27723E-023  2.38616E-011  3.43262E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
