alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00911E+000  2.55860E+019  2.85664E+002  1.00000E+005  6.28958E-004  1.00000E-040  1.00000E-040  6.92939E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.47954E-024  1.00000E-040  1.00000E-040  7.16267E-022  4.95484E-007  5.77670E-003  4.22435E-014  2.39320E-017  3.16119E-001  3.79128E-008  2.81435E-004  6.69471E-023  1.42934E-010  2.33129E-040  1.00000E-040  8.65963E-034  2.16250E-020  8.00702E-007  1.16747E-028  2.11049E-024  1.00000E-040  1.00000E-040  3.41252E-033  8.54591E-012  2.16790E-017  6.11949E-019  3.64414E-011  1.00000E-040  1.00000E-040  3.33956E-010  5.98731E-035  4.98820E-011  5.15680E-032  6.77822E-001  5.75548E-024  2.41413E-014  5.55401E-010  1.00000E-040  1.00000E-040  9.31834E-029  1.85856E-025  3.31235E-012  1.60951E-016  9.69899E-012  8.95448E-015  2.70534E-007  8.80060E-010  2.14922E-008  1.56937E-011  7.85791E-014  3.20461E-019  4.44709E-012  1.76669E-011  2.70845E-011  1.54882E-026  2.19665E-031  6.55446E-038  1.62464E-026  1.71144E-013  3.68983E-018  7.51590E-024  9.33283E-018  1.27310E-025  8.01018E-026  1.00000E-040  1.07682E-038  3.77031E-031  1.00000E-040  2.46529E-025  1.00000E-040  1.22088E-039  2.41885E-026  9.09494E-017  4.52401E-035  6.53264E-039  4.38119E-023  1.23450E-017  4.39338E-019  2.61969E-015  3.67357E-025  5.46292E-011  1.00000E-040  4.11395E-019  1.00000E-040  7.40161E-026  2.42295E-030  3.17859E-023  7.23212E-026  9.06683E-012  1.43896E-023  1.23073E-022  1.02402E-013  1.66029E-014  1.00000E-040  1.00000E-040  1.32698E-023  1.00000E-040  7.49109E-022  3.65666E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.91752E-001  2.31285E+019  2.79263E+002  1.00000E+005  8.27064E-004  1.00000E-040  1.00000E-040  8.14599E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.81119E-024  1.00000E-040  1.00042E-040  6.11312E-022  4.96295E-007  4.40485E-003  3.47279E-014  3.00400E-017  3.16555E-001  3.70426E-008  2.81825E-004  5.50646E-023  1.17620E-010  1.00000E-040  1.00000E-040  4.92210E-034  1.56255E-020  8.00387E-007  6.69866E-029  2.11897E-024  6.72626E-036  5.37627E-035  3.41722E-033  4.93296E-012  9.94738E-018  3.91321E-019  7.53774E-011  1.00000E-040  1.00000E-040  3.34155E-010  2.91918E-035  4.98357E-011  5.98616E-032  6.78757E-001  6.37385E-024  6.41636E-014  5.32552E-010  1.00000E-040  1.00000E-040  8.23038E-029  1.85715E-025  3.95895E-013  3.05006E-016  1.09206E-011  6.55703E-015  2.70881E-007  1.04742E-009  2.30277E-008  3.30171E-012  5.21127E-014  2.05484E-019  2.58373E-012  2.52960E-011  2.92422E-011  6.12593E-027  2.21592E-031  2.43081E-039  1.22656E-026  4.73063E-013  3.69492E-018  7.63681E-024  8.91922E-018  1.35134E-025  6.34137E-026  1.00000E-040  1.05792E-038  3.77684E-031  1.00000E-040  2.53935E-025  1.00000E-040  3.02173E-039  1.39578E-026  3.43767E-016  2.40012E-035  1.58334E-038  4.56483E-023  8.54994E-018  4.54131E-019  3.61521E-015  2.36676E-025  5.55961E-011  1.00000E-040  5.43025E-019  1.00000E-040  7.13697E-026  1.00000E-040  3.18298E-023  6.30502E-026  7.03397E-011  2.53823E-023  1.64993E-022  2.28343E-013  1.67335E-014  1.00000E-040  1.00000E-040  6.60174E-024  1.00000E-040  7.34060E-022  3.63781E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.86555E-001  2.07306E+019  2.74811E+002  1.00000E+005  5.14945E-004  1.00000E-040  1.00000E-040  8.57787E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17892E-023  1.00000E-040  1.00126E-040  6.72562E-022  4.96733E-007  3.57193E-003  4.06256E-014  3.90398E-017  3.16820E-001  3.59420E-008  2.82063E-004  3.27614E-023  5.88719E-011  1.00000E-040  1.00000E-040  6.09395E-034  1.72917E-020  7.99833E-007  5.33209E-029  2.11794E-024  1.00000E-040  1.00000E-040  3.42008E-033  2.82763E-012  6.42016E-018  3.28134E-019  5.90929E-011  1.00000E-040  1.00000E-040  3.34186E-010  2.33741E-035  4.97801E-011  1.08177E-031  6.79325E-001  8.26661E-024  9.73371E-014  5.12446E-010  1.00000E-040  1.00000E-040  5.71562E-029  1.79537E-025  4.13803E-014  4.64328E-016  9.86212E-012  5.84106E-015  2.71075E-007  1.07955E-009  2.45940E-008  8.92769E-013  2.70029E-014  1.59064E-019  1.40070E-012  2.69904E-011  3.14800E-011  5.69749E-027  2.23732E-031  1.00000E-040  1.21828E-026  7.88803E-013  3.69801E-018  7.86046E-024  8.18224E-018  1.62188E-025  5.18584E-026  1.00000E-040  1.02965E-038  3.78262E-031  1.00000E-040  2.64940E-025  1.00000E-040  1.00000E-040  1.09301E-026  1.40063E-015  2.82673E-035  1.00000E-040  6.39386E-023  7.59505E-018  2.30689E-019  4.26059E-015  1.78015E-025  5.67461E-011  1.00000E-040  8.63759E-019  1.00000E-040  9.25364E-026  3.46533E-031  3.18564E-023  5.30912E-026  3.14020E-010  2.38022E-023  2.16845E-022  3.66536E-013  1.68446E-014  1.00000E-040  1.00000E-040  5.86596E-024  1.00000E-040  7.09608E-022  3.62026E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.92232E-001  1.85910E+019  2.69691E+002  1.00000E+005  5.35383E-004  1.00000E-040  1.00000E-040  2.18225E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.66315E-024  1.00000E-040  1.00212E-040  7.44423E-022  4.97187E-007  2.71378E-003  4.61852E-014  5.09696E-017  3.17092E-001  3.48434E-008  2.82308E-004  2.10318E-023  3.24724E-011  1.00000E-040  1.00000E-040  6.90633E-034  1.80511E-020  7.99491E-007  4.02185E-029  2.11857E-024  1.00000E-040  1.00000E-040  3.42301E-033  1.62424E-012  4.01688E-018  2.81004E-019  4.61922E-011  1.00000E-040  1.00000E-040  3.34239E-010  1.69075E-035  4.97390E-011  1.76735E-031  6.79910E-001  9.56886E-024  1.05439E-013  4.95185E-010  1.00000E-040  1.00000E-040  1.98363E-029  1.72380E-025  1.67434E-014  6.29406E-016  9.24961E-012  5.07096E-015  2.71272E-007  1.01370E-009  2.65982E-008  4.61049E-013  1.96746E-014  1.03721E-019  7.84051E-013  2.71564E-011  2.96585E-011  5.90724E-027  2.28834E-031  1.00000E-040  1.18990E-026  8.55136E-013  3.70120E-018  8.20297E-024  7.39250E-018  2.03480E-025  4.43980E-026  1.00000E-040  9.94862E-039  3.78731E-031  1.00000E-040  2.84604E-025  1.00000E-040  1.00000E-040  1.08019E-026  2.78333E-015  3.01877E-035  1.00000E-040  8.92018E-023  6.96661E-018  1.59202E-019  4.98287E-015  1.41611E-025  5.75209E-011  1.00000E-040  1.44165E-018  1.00000E-040  1.19716E-025  1.00000E-040  3.18838E-023  4.75448E-026  4.80409E-010  2.17584E-023  2.83057E-022  4.17759E-013  1.69211E-014  1.00000E-040  1.00000E-040  5.10518E-024  1.00000E-040  6.77951E-022  3.60530E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.07687E-001  1.66725E+019  2.63996E+002  1.00000E+005  5.14218E-004  1.00000E-040  1.00000E-040  8.61786E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.29830E-024  1.00000E-040  1.00293E-040  8.05762E-022  4.97660E-007  1.90804E-003  4.94795E-014  6.69527E-017  3.17349E-001  3.38533E-008  2.82538E-004  1.97090E-023  2.69498E-011  1.00000E-040  1.00000E-040  6.71825E-034  1.72677E-020  7.99283E-007  2.86146E-029  2.12125E-024  1.00000E-040  1.00000E-040  3.42577E-033  9.49134E-013  2.40454E-018  2.42315E-019  3.62701E-011  1.00000E-040  1.00000E-040  3.34286E-010  1.07499E-035  4.97086E-011  2.55440E-031  6.80459E-001  1.00050E-023  1.04606E-013  4.80698E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.66183E-025  1.65423E-014  8.21400E-016  9.02151E-012  4.04743E-015  2.71449E-007  9.36419E-010  2.91547E-008  4.16910E-013  1.91218E-014  6.29180E-020  5.05346E-013  2.78997E-011  2.58715E-011  5.57487E-027  2.28673E-031  1.00000E-040  1.13755E-026  7.91335E-013  3.70419E-018  8.67753E-024  6.65592E-018  2.57402E-025  3.92502E-026  1.00000E-040  9.55781E-039  3.79068E-031  1.00000E-040  3.13309E-025  1.00000E-040  2.00362E-039  1.11191E-026  3.11429E-015  2.74134E-035  1.94654E-036  1.19620E-022  6.50461E-018  1.83372E-019  6.04897E-015  1.11351E-025  5.76249E-011  1.00000E-040  2.44217E-018  1.00000E-040  1.50346E-025  1.00000E-040  3.19096E-023  4.50375E-026  4.99227E-010  1.89387E-023  3.68941E-022  4.05384E-013  1.69685E-014  1.00000E-040  1.00000E-040  3.84981E-024  1.00000E-040  6.40887E-022  3.59270E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.31999E-001  1.49402E+019  2.57912E+002  1.00000E+005  4.25220E-004  1.00000E-040  1.00000E-040  4.13786E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.67954E-024  1.00000E-040  1.00358E-040  8.67833E-022  4.98092E-007  1.26281E-003  5.15625E-014  8.84305E-017  3.17554E-001  3.29790E-008  2.82722E-004  2.39788E-023  2.94161E-011  1.00000E-040  1.00000E-040  6.01051E-034  1.57153E-020  7.99094E-007  2.01666E-029  2.12645E-024  1.00000E-040  1.00000E-040  3.42797E-033  5.68179E-013  1.43899E-018  2.17861E-019  2.87269E-011  1.00000E-040  1.00000E-040  3.34287E-010  6.26687E-036  4.96827E-011  3.57309E-031  6.80899E-001  1.00804E-023  1.00176E-013  4.68631E-010  1.00000E-040  2.34474E-040  1.00000E-040  1.60854E-025  2.65882E-014  1.05344E-015  8.96917E-012  3.14155E-015  2.71578E-007  8.74556E-010  3.22716E-008  4.85589E-013  2.04910E-014  3.93910E-020  4.42559E-013  3.01406E-011  2.16843E-011  4.99219E-027  2.25698E-031  1.00000E-040  1.08390E-026  6.79340E-013  3.70658E-018  9.29775E-024  5.99663E-018  3.28743E-025  3.51988E-026  1.00000E-040  9.14205E-039  3.79263E-031  1.00000E-040  3.50675E-025  1.00000E-040  1.00000E-040  1.15754E-026  2.58800E-015  2.27114E-035  1.84252E-032  1.58513E-022  6.39151E-018  2.63875E-019  7.52075E-015  8.59220E-026  5.70415E-011  1.00000E-040  4.28102E-018  1.00000E-040  1.88686E-025  1.00000E-040  3.19302E-023  4.36517E-026  3.98164E-010  1.62533E-023  4.80016E-022  3.61823E-013  1.69957E-014  1.00000E-040  1.00000E-040  2.64000E-024  1.00000E-040  6.00277E-022  3.58185E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.64272E-001  1.33858E+019  2.51214E+002  1.00000E+005  3.30266E-004  1.00000E-040  1.00000E-040  1.57582E-015  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.17569E-024  1.00000E-040  1.00407E-040  9.29001E-022  4.98457E-007  7.73901E-004  5.26767E-014  1.16549E-016  3.17709E-001  3.21885E-008  2.82862E-004  3.14418E-023  3.48814E-011  1.00000E-040  1.00000E-040  4.94821E-034  1.35448E-020  7.98891E-007  1.43324E-029  2.13505E-024  1.00000E-040  1.00000E-040  3.42964E-033  3.49705E-013  8.74972E-019  2.09989E-019  2.30123E-011  1.00000E-040  1.00000E-040  3.34240E-010  3.27699E-036  4.96596E-011  5.02183E-031  6.81232E-001  9.92442E-024  9.22673E-014  4.58601E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.56063E-025  6.15568E-014  1.32574E-015  8.97471E-012  2.41232E-015  2.71658E-007  8.17538E-010  3.59241E-008  6.36812E-013  2.21645E-014  2.80829E-020  5.65240E-013  3.40041E-011  1.69750E-011  4.38605E-027  2.21980E-031  1.00000E-040  1.03146E-026  5.43629E-013  3.70839E-018  1.00788E-023  5.41495E-018  4.27014E-025  3.16464E-026  1.00000E-040  8.71522E-039  3.79346E-031  1.00000E-040  3.96000E-025  1.00000E-040  1.00000E-040  1.22093E-026  1.78677E-015  1.71067E-035  1.00000E-040  2.12441E-022  6.82820E-018  4.12679E-019  9.43556E-015  6.45432E-026  5.58885E-011  1.00000E-040  8.08166E-018  1.00000E-040  2.41104E-025  1.00000E-040  3.19458E-023  4.26107E-026  2.36113E-010  1.39365E-023  6.21530E-022  3.00751E-013  1.70107E-014  1.00000E-040  1.00000E-040  1.65155E-024  1.00000E-040  5.57928E-022  3.57239E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.03715E-001  1.19762E+019  2.44158E+002  1.00000E+005  2.28144E-004  1.00000E-040  1.00000E-040  4.75519E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.28029E-025  1.00000E-040  1.00440E-040  9.93817E-022  4.98712E-007  4.42890E-004  5.39490E-014  1.53401E-016  3.17814E-001  3.14284E-008  2.82957E-004  3.69980E-023  3.70492E-011  1.00000E-040  1.00000E-040  3.95936E-034  1.14050E-020  7.98638E-007  1.05561E-029  2.14815E-024  1.00000E-040  1.00000E-040  3.43076E-033  2.21314E-013  5.54103E-019  2.19736E-019  1.86766E-011  1.00000E-040  1.00000E-040  3.34139E-010  1.59673E-036  4.96370E-011  7.21459E-031  6.81458E-001  9.59876E-024  7.99241E-014  4.50200E-010  1.00000E-040  3.49331E-040  1.00000E-040  1.51718E-025  1.96777E-013  1.62649E-015  8.77408E-012  1.85535E-015  2.71689E-007  7.44738E-010  4.00646E-008  8.60285E-013  2.20152E-014  2.71461E-020  9.06843E-013  3.96418E-011  1.15203E-011  3.96794E-027  2.20133E-031  1.00000E-040  9.85288E-027  3.90457E-013  3.70962E-018  1.10366E-023  4.90523E-018  5.65460E-025  2.86656E-026  1.00000E-040  8.28759E-039  3.79353E-031  1.00000E-040  4.48223E-025  1.00000E-040  1.00000E-040  1.33885E-026  1.10801E-015  1.23987E-035  1.00000E-040  2.93437E-022  8.01443E-018  5.84759E-019  1.17033E-014  4.75522E-026  5.43367E-011  1.00000E-040  1.64986E-017  1.00000E-040  3.18447E-025  1.00000E-040  3.19564E-023  4.17325E-026  9.01804E-011  1.22090E-023  8.00335E-022  2.26983E-013  1.70184E-014  1.00000E-040  1.00000E-040  9.87626E-025  1.00000E-040  5.15501E-022  3.56391E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.49660E-001  1.06884E+019  2.36946E+002  1.00000E+005  1.41396E-004  1.00000E-040  1.00000E-040  9.71077E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.15748E-025  1.00000E-040  1.00461E-040  1.04804E-021  4.98845E-007  2.40051E-004  5.71327E-014  2.01923E-016  3.17879E-001  3.06604E-008  2.83015E-004  3.04399E-023  2.71972E-011  1.00000E-040  1.00000E-040  3.30412E-034  9.74910E-021  7.98330E-007  8.33285E-030  2.16722E-024  1.00000E-040  1.00000E-040  3.43144E-033  1.44198E-013  3.77218E-019  2.55126E-019  1.53925E-011  1.00000E-040  1.00000E-040  3.33988E-010  7.57988E-037  4.96144E-011  1.09121E-030  6.81596E-001  9.14463E-024  6.18685E-014  4.43082E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.47893E-025  6.14382E-013  1.92712E-015  7.72968E-012  1.45632E-015  2.71677E-007  6.37848E-010  4.46604E-008  1.08851E-012  1.81662E-014  3.63831E-020  1.52293E-012  4.71624E-011  4.77922E-012  4.04098E-027  2.28207E-031  1.00000E-040  9.79769E-027  2.37174E-013  3.71037E-018  1.21898E-023  4.46478E-018  7.55991E-025  2.65718E-026  1.00000E-040  7.86739E-039  3.79364E-031  1.00000E-040  5.05920E-025  1.00000E-040  1.00000E-040  1.56624E-026  6.74069E-016  9.29488E-036  1.00000E-040  4.29928E-022  1.05451E-017  5.24346E-019  1.41022E-014  3.45065E-026  5.25795E-011  1.00000E-040  3.70003E-017  1.00000E-040  4.44781E-025  1.00000E-040  3.19629E-023  4.11276E-026  2.19184E-011  1.12803E-023  1.02519E-021  1.50144E-013  1.70220E-014  1.00000E-040  1.00000E-040  6.01716E-025  1.00000E-040  4.74463E-022  3.55610E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.01560E-001  9.49833E+018  2.29955E+002  9.61769E+004  7.68361E-005  1.00000E-040  1.00000E-040  2.32978E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.73541E-024  1.00000E-040  1.00472E-040  1.11906E-021  4.98883E-007  1.28190E-004  6.17551E-014  2.68303E-016  3.17914E-001  2.98990E-008  2.83048E-004  2.01446E-023  1.59347E-011  1.00000E-040  1.00000E-040  2.86518E-034  8.50248E-021  7.97965E-007  6.97201E-030  2.19464E-024  1.00000E-040  1.00000E-040  3.43181E-033  9.74060E-014  2.72352E-019  3.18154E-019  1.29134E-011  1.00000E-040  1.00000E-040  3.33790E-010  3.59706E-037  4.95915E-011  1.68010E-030  6.81673E-001  8.57569E-024  4.31308E-014  4.36889E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.45751E-025  1.32621E-012  2.19455E-015  6.46897E-012  1.16020E-015  2.71630E-007  5.23161E-010  4.98633E-008  1.39997E-012  1.42847E-014  5.76485E-020  2.42441E-012  5.71159E-011  1.87362E-012  4.65409E-027  2.42617E-031  1.00000E-040  9.96753E-027  1.23970E-013  3.71078E-018  1.35908E-023  4.09855E-018  9.94299E-025  2.53583E-026  1.00000E-040  7.45404E-039  3.79407E-031  1.00000E-040  5.70538E-025  1.00000E-040  1.00000E-040  1.89066E-026  4.16282E-016  7.21800E-036  1.00000E-040  6.50198E-022  1.49753E-017  3.65178E-019  1.66361E-014  2.53218E-026  5.07730E-011  1.00000E-040  8.60420E-017  1.00000E-040  6.32478E-025  1.00000E-040  3.19664E-023  4.11345E-026  5.94132E-012  1.08337E-023  1.31364E-021  8.80887E-014  1.70233E-014  1.00000E-040  1.00000E-040  3.75778E-025  1.00000E-040  4.35370E-022  3.54866E-011  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
