alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00898E+000  2.55827E+019  2.85664E+002  1.00000E+005  6.32238E-004  1.00000E-040  1.00000E-040  1.81771E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.67735E-021  1.00000E-040  1.00000E-040  1.87443E-019  4.95548E-007  5.77744E-003  7.42514E-014  2.34675E-015  2.10836E-003  3.27756E-008  2.81471E-004  2.65447E-020  2.33116E-010  1.00000E-040  1.00000E-040  6.02627E-029  5.69832E-018  8.00805E-007  8.70834E-024  3.31814E-022  4.98373E-035  4.54968E-034  1.00000E-040  5.41178E-012  4.46083E-017  1.03424E-016  2.71917E-011  1.41923E-038  1.00000E-040  3.33999E-010  1.52884E-032  4.82641E-011  5.82920E-027  9.91831E-001  2.23477E-021  7.03970E-014  4.97230E-010  1.00000E-040  1.00000E-040  9.38383E-026  2.65642E-021  1.40899E-012  2.08830E-014  1.65897E-011  1.25658E-014  2.70569E-007  1.61914E-009  1.17530E-008  9.38213E-012  4.21960E-014  3.76610E-019  2.03392E-012  1.74821E-011  3.17856E-011  6.92797E-031  9.48343E-036  6.85823E-035  4.07066E-031  4.08936E-013  7.35406E-025  1.15916E-019  1.28293E-015  3.12781E-023  7.99943E-022  6.69382E-037  1.94369E-033  1.00000E-040  1.00000E-040  4.91812E-030  2.34940E-038  2.08342E-034  2.84596E-022  2.57482E-016  1.43629E-032  8.50431E-034  1.25837E-022  2.10200E-015  1.56089E-016  3.42318E-015  7.50812E-023  8.92679E-011  1.00000E-040  6.99578E-019  1.35761E-038  1.68842E-023  4.11418E-027  5.04333E-021  5.17513E-022  4.98516E-011  2.82965E-021  3.29045E-022  2.09779E-013  3.07672E-014  4.99493E-039  1.00000E-040  6.06054E-021  1.00000E-040  6.97028E-021  3.37086E-011  3.13188E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.96316E-001  2.32469E+019  2.79263E+002  1.00000E+005  8.27017E-004  1.00000E-040  1.00000E-040  2.13049E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  9.71465E-022  1.00000E-040  1.00000E-040  1.85586E-019  4.95958E-007  4.39247E-003  8.13162E-014  2.89467E-015  2.11128E-003  3.12776E-008  2.81868E-004  1.43042E-020  1.09856E-010  1.00000E-040  1.00000E-040  5.98768E-029  5.43700E-018  7.97927E-007  2.37441E-023  3.38561E-022  4.88551E-035  4.13096E-034  1.00000E-040  2.27973E-012  2.08193E-017  8.88377E-017  5.71897E-011  2.89782E-038  1.00000E-040  3.27888E-010  9.87472E-033  4.80187E-011  1.38385E-026  9.93213E-001  3.72655E-021  1.49514E-013  4.19802E-010  1.00000E-040  1.00000E-040  8.83433E-026  2.56795E-021  3.32727E-014  3.14542E-014  1.46241E-011  1.16720E-014  2.70047E-007  1.63412E-009  1.23296E-008  1.23182E-012  1.94353E-014  2.74089E-019  7.96738E-013  2.16878E-011  3.85994E-011  4.34996E-031  1.15508E-035  5.03545E-037  3.75930E-031  1.00514E-012  7.36430E-025  1.15874E-019  1.19708E-015  3.79389E-023  7.72756E-022  6.69604E-037  1.56945E-033  1.00000E-040  1.00000E-040  5.01432E-030  4.67902E-038  2.07391E-034  1.90278E-022  2.01366E-015  1.33181E-032  1.03034E-033  1.75809E-022  1.45415E-015  7.24916E-017  3.97185E-015  4.92846E-023  9.14451E-011  1.00000E-040  1.23082E-018  1.54955E-038  2.11269E-023  3.77819E-027  5.05034E-021  5.26499E-022  5.32694E-010  6.76454E-021  4.37180E-022  4.51686E-013  3.09794E-014  3.57939E-039  1.00000E-040  4.91274E-021  1.00000E-040  5.70120E-021  3.31676E-011  3.13424E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.94809E-001  2.09481E+019  2.74811E+002  1.00000E+005  5.22193E-004  1.00000E-040  1.00000E-040  2.24178E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.28938E-021  1.00000E-040  1.00000E-040  2.32637E-019  4.96156E-007  3.53877E-003  1.02178E-013  3.99121E-015  2.11308E-003  2.96982E-008  2.82115E-004  1.33676E-020  8.32632E-011  1.00000E-040  1.00000E-040  8.51236E-029  6.40762E-018  7.95027E-007  3.98890E-023  3.37158E-022  4.47886E-035  3.50077E-034  1.00000E-040  9.13861E-013  9.99643E-018  8.27374E-017  3.70631E-011  5.66361E-038  1.00000E-040  3.21153E-010  8.44444E-033  4.77759E-011  3.09692E-026  9.94064E-001  5.44904E-021  1.73027E-013  3.47637E-010  1.00000E-040  1.00000E-040  7.95966E-026  2.37393E-021  7.02655E-015  4.39359E-014  1.51426E-011  1.18652E-014  2.69287E-007  1.69433E-009  1.39329E-008  3.33783E-013  1.37776E-014  2.15324E-019  2.93925E-013  2.21598E-011  4.22536E-011  3.49405E-031  1.30900E-035  5.76468E-039  4.12662E-031  1.11711E-012  7.37061E-025  1.16038E-019  1.13827E-015  5.03727E-023  7.46322E-022  6.69088E-037  1.13466E-033  1.00000E-040  1.00000E-040  5.58972E-030  8.48415E-038  2.30750E-034  1.83995E-022  7.28850E-015  1.80112E-032  1.32066E-033  2.64379E-022  1.02827E-015  7.94469E-017  4.44812E-015  4.14346E-023  9.32911E-011  1.00000E-040  2.10481E-018  1.88767E-038  2.87264E-023  3.31409E-027  5.05462E-021  5.00537E-022  8.03469E-010  5.63606E-021  6.12884E-022  5.24237E-013  3.11430E-014  2.95323E-039  1.00000E-040  5.29545E-021  1.00000E-040  4.33780E-021  3.26611E-011  3.13080E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  7.03316E-001  1.88887E+019  2.69691E+002  1.00000E+005  5.35366E-004  1.00000E-040  1.00000E-040  6.65128E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.07923E-021  1.00000E-040  1.00000E-040  2.91298E-019  4.96470E-007  2.67483E-003  1.24018E-013  5.92670E-015  2.11490E-003  2.82160E-008  2.82364E-004  1.70512E-020  8.85346E-011  1.00000E-040  1.00000E-040  1.09103E-028  7.08292E-018  7.92577E-007  6.12364E-023  3.21692E-022  3.87572E-035  2.68621E-034  1.00000E-040  3.52067E-013  4.38546E-018  9.11908E-017  2.37309E-011  8.82915E-038  1.00000E-040  3.13978E-010  6.49833E-033  4.75611E-011  6.50354E-026  9.94926E-001  7.30812E-021  1.84491E-013  2.81598E-010  1.00000E-040  1.00000E-040  6.88107E-026  2.13577E-021  6.27379E-015  6.12964E-014  1.62841E-011  1.04826E-014  2.68427E-007  1.71082E-009  1.71197E-008  2.59030E-013  1.43440E-014  1.38133E-019  1.13599E-013  2.21842E-011  3.93558E-011  3.13748E-031  1.50356E-035  1.00000E-040  4.91416E-031  1.03913E-012  7.37699E-025  1.15735E-019  1.09858E-015  6.82462E-023  6.96835E-022  6.68283E-037  7.19995E-034  1.00000E-040  1.00000E-040  6.81444E-030  1.35073E-037  2.39741E-034  1.80882E-022  1.04195E-014  2.17521E-032  1.75969E-033  3.91087E-022  7.74245E-016  1.16044E-016  5.33813E-015  3.50215E-023  9.39163E-011  1.00000E-040  3.75555E-018  2.16153E-038  3.88320E-023  2.73496E-027  5.05894E-021  4.48227E-022  7.92035E-010  4.50868E-021  9.14332E-022  5.03028E-013  3.12599E-014  2.46548E-039  1.00000E-040  5.28492E-021  1.00000E-040  3.00203E-021  3.22068E-011  3.12069E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.20866E-001  1.70340E+019  2.63996E+002  1.00000E+005  5.09577E-004  1.00000E-040  1.00000E-040  2.74822E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.45435E-022  1.00000E-040  1.00000E-040  3.51106E-019  4.96825E-007  1.87209E-003  1.45831E-013  9.20814E-015  2.11659E-003  2.67977E-008  2.82595E-004  2.06617E-020  9.15781E-011  1.00000E-040  1.00000E-040  1.26792E-028  7.37802E-018  7.90535E-007  8.91772E-023  2.90896E-022  3.26201E-035  1.92672E-034  1.00000E-040  1.32008E-013  1.94393E-018  1.16978E-016  1.53700E-011  1.14273E-037  1.00000E-040  3.06392E-010  4.52158E-033  4.73746E-011  1.38804E-025  9.95727E-001  9.68011E-021  1.92705E-013  2.22545E-010  1.00000E-040  1.01666E-040  5.72583E-026  1.85929E-021  9.79522E-015  8.55858E-014  1.70214E-011  8.77311E-015  2.67444E-007  1.67871E-009  2.21977E-008  2.86933E-013  1.63057E-014  8.12633E-020  6.28151E-014  2.27090E-011  3.35879E-011  2.84427E-031  1.70819E-035  1.00000E-040  6.09337E-031  9.32625E-013  7.38290E-025  1.14451E-019  1.05725E-015  9.29321E-023  6.25605E-022  6.67224E-037  3.94786E-034  1.00000E-040  1.00000E-040  8.79782E-030  1.92790E-037  2.32136E-034  1.70397E-022  1.03288E-014  2.35973E-032  2.37642E-033  5.70323E-022  6.80172E-016  1.54285E-016  6.76983E-015  2.74866E-023  9.32177E-011  1.00000E-040  6.99582E-018  2.34039E-038  5.23085E-023  2.11720E-027  5.06291E-021  3.76983E-022  6.20314E-010  3.55576E-021  1.41681E-021  4.59812E-013  3.13364E-014  1.95190E-039  1.00000E-040  4.77063E-021  1.00000E-040  1.85252E-021  3.18088E-011  3.10098E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.46644E-001  1.53515E+019  2.57912E+002  1.00000E+005  4.19181E-004  1.00000E-040  1.00000E-040  1.35279E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.69398E-022  1.00000E-040  1.00000E-040  4.03524E-019  4.97120E-007  1.23299E-003  1.65839E-013  1.45047E-014  2.11793E-003  2.54008E-008  2.82780E-004  2.22062E-020  8.59464E-011  1.00000E-040  1.00000E-040  1.34016E-028  7.27124E-018  7.88799E-007  1.26210E-022  2.48463E-022  2.60675E-035  1.21312E-034  1.00000E-040  4.89001E-014  9.58112E-019  1.65595E-016  1.04245E-011  1.28364E-037  1.00000E-040  2.98436E-010  2.86924E-033  4.72130E-011  3.04297E-025  9.96365E-001  1.28152E-020  1.97586E-013  1.71142E-010  1.00000E-040  1.38345E-040  4.60996E-026  1.55654E-021  1.98601E-014  1.16576E-013  1.71153E-011  7.31008E-015  2.66308E-007  1.59466E-009  2.93388E-008  3.57893E-013  1.95445E-014  4.87737E-020  7.48968E-014  2.41152E-011  2.73738E-011  2.52957E-031  1.89336E-035  1.00000E-040  7.53921E-031  8.28096E-013  7.38760E-025  1.12045E-019  1.00097E-015  1.26367E-022  5.39328E-022  6.65900E-037  1.84886E-034  1.00000E-040  1.00000E-040  1.16060E-029  2.51381E-037  2.08195E-034  1.52572E-022  8.40321E-015  2.30958E-032  3.16672E-033  8.16268E-022  7.54064E-016  1.82862E-016  8.81563E-015  1.96561E-023  9.13272E-011  1.00000E-040  1.34158E-017  2.39962E-038  6.97597E-023  1.53813E-027  5.06602E-021  2.96028E-022  4.07593E-010  2.85402E-021  2.21213E-021  4.12619E-013  3.13820E-014  1.38018E-039  1.00000E-040  3.88422E-021  1.00000E-040  1.01371E-021  3.14662E-011  3.06858E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.79850E-001  1.38350E+019  2.51214E+002  1.00000E+005  3.23506E-004  1.00000E-040  1.00000E-040  5.32010E-014  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.19256E-022  1.00000E-040  1.00000E-040  4.31729E-019  4.97319E-007  7.52131E-004  1.79115E-013  2.25110E-014  2.11893E-003  2.40277E-008  2.82919E-004  2.08754E-020  7.27996E-011  1.00000E-040  1.00000E-040  1.22400E-028  6.57607E-018  7.87321E-007  1.76528E-022  2.01138E-022  2.05891E-035  6.88569E-035  1.00000E-040  1.82869E-014  5.34564E-019  2.51750E-016  7.73831E-012  1.25142E-037  1.00000E-040  2.90209E-010  1.58287E-033  4.70754E-011  6.76534E-025  9.96844E-001  1.66218E-020  1.96972E-013  1.27852E-010  1.00000E-040  1.76819E-040  3.62196E-026  1.24490E-021  4.79072E-014  1.50813E-013  1.63771E-011  5.92113E-015  2.65022E-007  1.44918E-009  3.85403E-008  4.77307E-013  2.38462E-014  3.34625E-020  1.48445E-013  2.61916E-011  2.06596E-011  2.17820E-031  2.01904E-035  1.00000E-040  8.93921E-031  7.27822E-013  7.39111E-025  1.08743E-019  9.25031E-016  1.70848E-022  4.44454E-022  6.64349E-037  7.32484E-035  1.00000E-040  1.00000E-040  1.52389E-029  2.97116E-037  1.68347E-034  1.28229E-022  5.85286E-015  1.92987E-032  4.09450E-033  1.14291E-021  1.08085E-015  1.93721E-016  1.16182E-014  1.24523E-023  8.84259E-011  1.00000E-040  2.68601E-017  2.32142E-038  9.14801E-023  1.04861E-027  5.06830E-021  2.14813E-022  2.26969E-010  2.39960E-021  3.39947E-021  3.63455E-013  3.14075E-014  8.91451E-040  1.00000E-040  2.72158E-021  1.00000E-040  4.90595E-022  3.11772E-011  3.02179E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.19775E-001  1.24527E+019  2.44158E+002  1.00000E+005  2.22346E-004  1.00000E-040  1.00000E-040  1.66209E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.32972E-022  1.00000E-040  1.00000E-040  4.33006E-019  4.97398E-007  4.28411E-004  1.84110E-013  3.40678E-014  2.11960E-003  2.27150E-008  2.83014E-004  1.74356E-020  5.62346E-011  1.00000E-040  1.00000E-040  9.79785E-029  5.51738E-018  7.86019E-007  2.46703E-022  1.55963E-022  1.64723E-035  3.59189E-035  1.00000E-040  7.04032E-015  3.30225E-019  3.98068E-016  6.49894E-012  1.09508E-037  1.00000E-040  2.81837E-010  7.72751E-034  4.69576E-011  1.51693E-024  9.97167E-001  2.09476E-020  1.89340E-013  9.27889E-011  1.00000E-040  2.19015E-040  2.81581E-026  9.50208E-022  1.26181E-013  1.82115E-013  1.49767E-011  4.58783E-015  2.63593E-007  1.26015E-009  4.95679E-008  6.58212E-013  2.83377E-014  3.29326E-020  3.25491E-013  2.87329E-011  1.30631E-011  1.83275E-031  2.06631E-035  1.00000E-040  9.96878E-031  6.22304E-013  7.39346E-025  1.05146E-019  8.37165E-016  2.28292E-022  3.51684E-022  6.62585E-037  2.45522E-035  1.00000E-040  1.00000E-040  1.96072E-029  3.24560E-037  1.23153E-034  1.01658E-022  3.62003E-015  1.39926E-032  5.15368E-033  1.56082E-021  1.88936E-015  1.86139E-016  1.51845E-014  7.01991E-024  8.46902E-011  1.00000E-040  5.52400E-017  2.14649E-038  1.17279E-022  6.75721E-028  5.06975E-021  1.43104E-022  1.07146E-010  2.18535E-021  5.08397E-021  3.07482E-013  3.14203E-014  5.91703E-040  1.00000E-040  1.65382E-021  1.00000E-040  2.13524E-022  3.09346E-011  2.96038E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.65827E-001  1.11826E+019  2.36946E+002  1.00000E+005  1.37147E-004  1.00000E-040  1.00000E-040  1.24699E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.34838E-022  1.00000E-040  1.00000E-040  4.15537E-019  4.97359E-007  2.31102E-004  1.82844E-013  5.01494E-014  2.12000E-003  2.15097E-008  2.83072E-004  1.32774E-020  4.01463E-011  1.00000E-040  1.00000E-040  7.14705E-029  4.39301E-018  7.84822E-007  3.45822E-022  1.17784E-022  1.35510E-035  1.77669E-035  1.00000E-040  2.83235E-015  2.25647E-019  6.39703E-016  6.15584E-012  9.03689E-038  1.00000E-040  2.73484E-010  3.43513E-034  4.68550E-011  3.45162E-024  9.97364E-001  2.56007E-020  1.73272E-013  6.57293E-011  1.00000E-040  2.56816E-040  2.20360E-026  6.94612E-022  3.16290E-013  2.02513E-013  1.31987E-011  3.41641E-015  2.62039E-007  1.05571E-009  6.20102E-008  9.09579E-013  3.09096E-014  4.81753E-020  6.69019E-013  3.15450E-011  5.17973E-012  1.55062E-031  2.05265E-035  1.00000E-040  1.04913E-030  4.99264E-013  7.39486E-025  1.01850E-019  7.50836E-016  2.96368E-022  2.70608E-022  6.60626E-037  7.02942E-036  1.00000E-040  1.00000E-040  2.45515E-029  3.37349E-037  8.31980E-035  7.70408E-023  2.08237E-015  9.16891E-033  6.39127E-033  2.10239E-021  3.77725E-015  1.65082E-016  1.92508E-014  3.58572E-024  8.03404E-011  1.00000E-040  1.16659E-016  1.95412E-038  1.45918E-022  4.19018E-028  5.07054E-021  8.78708E-023  4.43359E-011  2.17843E-021  7.37380E-021  2.40445E-013  3.14255E-014  5.87286E-040  1.00000E-040  9.02419E-022  1.00000E-040  8.65044E-023  3.07285E-011  2.88565E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.17520E-001  1.00010E+019  2.29955E+002  9.61769E+004  7.41870E-005  1.00000E-040  1.00000E-040  4.46310E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.04026E-021  1.00000E-040  1.00000E-040  3.98536E-019  4.97218E-007  1.22856E-004  1.81043E-013  7.25123E-014  2.12021E-003  2.04306E-008  2.83105E-004  9.77641E-021  2.75694E-011  1.00000E-040  1.00000E-040  5.17067E-029  3.48833E-018  7.83643E-007  4.85464E-022  8.81383E-023  1.14327E-035  8.52355E-036  1.00000E-040  1.20252E-015  1.86347E-019  1.01605E-015  6.32287E-012  7.57552E-038  1.00000E-040  2.65186E-010  1.49115E-034  4.67610E-011  7.95247E-024  9.97472E-001  3.03854E-020  1.49218E-013  4.58546E-011  1.00000E-040  3.05638E-040  1.75968E-026  4.90976E-022  6.76075E-013  2.05291E-013  1.14507E-011  2.51445E-015  2.60353E-007  8.67460E-010  7.56403E-008  1.25451E-012  3.05023E-014  8.62820E-020  1.21781E-012  3.48235E-011  2.28139E-012  1.39025E-031  2.02813E-035  1.00000E-040  1.06909E-030  3.59363E-013  7.39561E-025  9.91497E-020  6.77035E-016  3.55890E-022  2.07109E-022  6.58436E-037  1.74046E-036  1.00000E-040  1.00000E-040  2.99916E-029  3.49303E-037  5.42815E-035  5.70342E-023  1.18553E-015  5.94017E-033  7.96151E-033  2.83839E-021  7.94997E-015  1.41489E-016  2.32206E-014  1.73317E-024  7.56044E-011  1.00000E-040  2.49699E-016  1.81818E-038  1.66692E-022  2.56984E-028  5.07084E-021  5.07212E-023  1.81039E-011  2.34907E-021  1.04368E-020  1.66435E-013  3.14261E-014  1.17075E-039  1.00000E-040  4.78916E-022  1.00000E-040  3.45657E-023  3.05449E-011  2.79954E-034  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
