process,reaction,rate_cm3_s,fraction_of_regional_prod_or_loss,region
loss,O3 + hv -> O + O2,2421990804.256922,0.9530542949355769,troposphere
production,O + O2 + M -> O3 + M,1906527326.4304254,1.0,troposphere
loss,O3 + hv -> O1D + O2,116895361.59672989,0.04599836887571962,troposphere
loss,NO + O3 -> NO2 + O2,2040618.715646346,0.0008029842342317856,troposphere
loss,OH + O3 -> HO2 + O2,291526.39048285066,0.0001147157446049799,troposphere
loss,O3 + M -> O + O2 + M,65828.46516205091,2.5903525868653313e-05,troposphere
loss,NO2 + O3 -> NO3 + O2,7305.603779424721,2.874757842532141e-06,troposphere
loss,HS + O3 -> HSO + O2,2027.2451327931567,7.977217243351721e-07,troposphere
loss,O + O3 -> O2 + O2,91.94099411700635,3.617881586084023e-08,troposphere
loss,O1D + O3 -> O2 + O2,43.9180585124612,1.728177258846977e-08,troposphere
loss,CH3 + O3 -> H2CO + HO2,6.991596120884072,2.7511957104675455e-09,troposphere
loss,H + O3 -> OH + O2,4.148228925948844,1.632329646876793e-09,troposphere
loss,SO + O3 -> SO2 + O2,3.232910583539111,1.2721515339237385e-09,troposphere
loss,rainout,2.6581083254682274,1.0459666285845967e-09,troposphere
loss,SO2 + O3 -> SO3 + O2,0.10724038416718827,4.219913161579376e-11,troposphere
loss,S + O3 -> SO + O2,1.385933965395371e-07,5.453655380918768e-17,troposphere
production,NO3 + O2 -> NO2 + O3,3.648003945542713e-10,1.913428617030546e-19,troposphere
loss,Cl + O3 -> ClO + O2,1.1327743654920892e-11,4.457471400500976e-21,troposphere
production,HO2 + O2 -> OH + O3,3.040567359290637e-18,1.5948197107583373e-27,troposphere
production,ClO + O2 -> Cl + O3,1.3814718853612138e-23,7.246011458685628e-33,troposphere
production,NO2 + O2 -> NO + O3,1.3702652556333458e-23,7.187231132946211e-33,troposphere
loss,CS + O3 -> OCS + O2,3.740020308551628e-24,1.4716994019739883e-33,troposphere
production,SO3 + O2 -> SO2 + O3,4.552490079692372e-46,2.3878441271628453e-55,troposphere
production,OH + O2 -> H + O3,4.1093749610565197e-47,2.1554241075319214e-56,troposphere
production,HSO + O2 -> HS + O3,4.960943097909298e-48,2.6020833948378953e-57,troposphere
