process,reaction,rate_cm3_s,fraction_of_regional_prod_or_loss,region
production,O + O2 + M -> O3 + M,12284466638.500679,1.0,stratosphere
loss,O3 + hv -> O + O2,8540773625.554952,0.5216023119686638,stratosphere
loss,O3 + hv -> O1D + O2,7819272464.300105,0.4775387774110258,stratosphere
loss,NO + O3 -> NO2 + O2,9228615.077148994,0.0005636101800083722,stratosphere
loss,OH + O3 -> HO2 + O2,2726878.256127815,0.00016653596795933426,stratosphere
loss,O + O3 -> O2 + O2,1060221.1444923265,6.47498487151774e-05,stratosphere
loss,H + O3 -> OH + O2,1012566.5216411997,6.183948455556916e-05,stratosphere
loss,O1D + O3 -> O2 + O2,25689.881801699514,1.5689330181839923e-06,stratosphere
loss,CH3 + O3 -> H2CO + HO2,7038.539571976024,4.298578412897664e-07,stratosphere
loss,NO2 + O3 -> NO3 + O2,2408.965535208018,1.4712039537702735e-07,stratosphere
loss,SO + O3 -> SO2 + O2,461.2266705113895,2.8168045217884812e-08,stratosphere
loss,HS + O3 -> HSO + O2,16.779408965130788,1.0247524279876057e-09,stratosphere
loss,S + O3 -> SO + O2,0.5712262506651868,3.4885941961117476e-11,stratosphere
loss,O3 + M -> O + O2 + M,0.002186480324937008,1.3353277379331481e-13,stratosphere
loss,SO2 + O3 -> SO3 + O2,2.957363372696471e-07,1.8061215999384287e-17,stratosphere
loss,Cl + O3 -> ClO + O2,4.925513356502401e-20,3.008110584616098e-30,stratosphere
loss,CS + O3 -> OCS + O2,1.7500669725217544e-21,1.068801280759896e-31,stratosphere
production,NO3 + O2 -> NO2 + O3,1.0088675875454882e-22,8.212546928033505e-33,stratosphere
production,HO2 + O2 -> OH + O3,2.5268572993150704e-35,2.0569532025067014e-45,stratosphere
production,NO2 + O2 -> NO + O3,2.5429953399319284e-42,2.070090151054618e-52,stratosphere
production,ClO + O2 -> Cl + O3,1.864379521976093e-60,1.5176723392556184e-70,stratosphere
production,SO3 + O2 -> SO2 + O3,2.6125040431112874e-71,2.126672748594109e-81,stratosphere
production,HSO + O2 -> HS + O3,6.768108435851387e-72,5.509484974007334e-82,stratosphere
production,OH + O2 -> H + O3,3.7987928331999446e-74,3.092354715095378e-84,stratosphere
production,O2 + O2 -> O + O3,8.607660872156155e-86,7.006947167880234e-96,stratosphere
