pathway_id,pathway,contribution,rate,total_prod,dconc,species,alt_km
"1*1091,1*1296","O3+M -> O+O2+M
O -> O_transport
Net:O3 -> O2 + O_transport",0.999999946968602,1.2283385722238444e+16,-1.2283385722238444e+16,0.0,O3,14.5
"1*673,1*1296","O3+hv -> O+O2
O -> O_transport
Net:O3 -> O2 + O_transport",4.418649859897248e-08,542759834.7896404,-542759834.7896404,0.0,O3,14.5
"1*340,1*674,1*1296","O1D+N2 -> O+N2
O3+hv -> O1D+O2
O -> O_transport
Net:O3 -> O2 + O_transport",6.575040186058009e-09,80763759.027584,-80763759.027584,0.0,O3,14.5
"1*674,1*1379","O3+hv -> O1D+O2
O1D -> O1D_transport
Net:O3 -> O2 + O1D_transport",2.2013548579543743e-09,27040092.265750896,-27040092.265750896,0.0,O3,14.5
"1*447,1*670,1*1296","NO+O3 -> NO2+O2
NO2+hv -> NO+O
O -> O_transport
Net:O3 -> O2 + O_transport",3.241029657880524e-11,398108.195361844,-398108.195361844,0.0,O3,14.5
"1*339,1*674,1*1296","O1D+O2 -> O+O2
O3+hv -> O1D+O2
O -> O_transport
Net:O3 -> O2 + O_transport",2.044674853156861e-11,251155.31229798705,-251155.31229798705,0.0,O3,14.5
"1*341,1*674,1*1296","O1D+CO2 -> CO2+O
O3+hv -> O1D+O2
O -> O_transport
Net:O3 -> O2 + O_transport",8.05507770060843e-12,98943.63166629396,-98943.63166629396,0.0,O3,14.5
"1*411,1*448,1*670,1*1296","OH+O3 -> HO2+O2
NO+HO2 -> NO2+OH
NO2+hv -> NO+O
O -> O_transport
Net:O3 -> O2 + O_transport",1.8174138533654952e-12,22323.996561700824,-22323.996561700824,0.0,O3,14.5
"1*390,1*411,1*1091","HO2+O -> OH+O2
OH+O3 -> HO2+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",1.7666019168101192e-12,10849.926956299038,-21699.853912598075,0.0,O3,14.5
"1*447,1*449,1*1091","NO+O3 -> NO2+O2
NO2+O -> NO+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",1.006105883042258e-12,6179.193647101964,-12358.387294203929,0.0,O3,14.5
"1*409,1*1091","O+O3 -> O2+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",7.225803698174056e-13,4437.866934238736,-8875.733868477471,0.0,O3,14.5
"1*401,2*411,1*650","HO2+HO2 -> H2O2+O2
2(OH+O3 -> HO2+O2)
H2O2+hv -> OH+OH
Net:2O3 -> 3O2",5.603559217032736e-13,3441.5341465202446,-6883.068293040489,0.0,O3,14.5
"1*338,1*674,2*1295","O1D+H2O -> OH+OH
O3+hv -> O1D+O2
2(OH -> OH_transport)
Net:H2O + O3 -> O2 + 2OH_transport",4.900815869945691e-13,6019.861487662718,-6019.861487662718,0.0,O3,14.5
"1*389,1*411,2*911,2*1320,2*1371","OH+HO2 -> H2O+O2
OH+O3 -> HO2+O2
2(HCNOH+M -> HCN+OH+M)
2(HCN -> HCN_transport)
2(HCNOH_transport -> HCNOH)
Net:O3 + 2HCNOH_transport -> H2O + 2O2 + 2HCN_transport",2.5255474482288933e-13,3102.227511156514,-3102.227511156514,0.0,O3,14.5
