pathway_id,pathway,contribution,rate,total_prod,dconc,species,alt_km
1*1336,"O3_transport -> O3
Net:O3_transport -> O3",1.0,7.392588368390602e+16,7.392588368390602e+16,0.0,O3,12.5
del,deleted_pathways,1.743814657274346e-18,0.12891303951995373,0.12891303951995373,0.0,O3,12.5
err,err_pathways,0.0,0.0,0.0,0.0,O3,12.5
1*1336,"O3_transport -> O3
Net:O3_transport -> O3",1.0,2.951882604011946e+16,2.951882604011946e+16,0.0,O3,13.5
del,deleted_pathways,3.2015561594855676e-19,0.009450617932952743,0.009450617932952743,0.0,O3,13.5
err,err_pathways,0.0,0.0,0.0,0.0,O3,13.5
1*1336,"O3_transport -> O3
Net:O3_transport -> O3",1.0,1.2283386373643602e+16,1.2283386373643602e+16,0.0,O3,14.5
del,deleted_pathways,3.799614111930017e-18,0.04667212820758511,0.04667212820758511,0.0,O3,14.5
err,err_pathways,0.0,0.0,0.0,0.0,O3,14.5
1*1336,"O3_transport -> O3
Net:O3_transport -> O3",0.9999999999999999,1879752520019538.5,1879752520019538.5,0.0,O3,16.5
del,deleted_pathways,1.2260896464115198e-16,0.23047451026119198,0.23047451026119198,0.0,O3,16.5
err,err_pathways,0.0,0.0,0.0,0.0,O3,16.5
1*1336,"O3_transport -> O3
Net:O3_transport -> O3",0.9999999999999991,796461160532733.6,796461160532733.6,0.0,O3,17.5
"2*408,1*671","2(O+O2+M -> O3+M)
O2+hv -> O+O
Net:3O2 -> 2O3",3.941028853747167e-16,0.15694382072742302,0.31388764145484604,0.0,O3,17.5
"1*408,1*670,1*1330,1*1337","O+O2+M -> O3+M
NO2+hv -> NO+O
NO -> NO_transport
NO2_transport -> NO2
Net:O2 + NO2_transport -> O3 + NO_transport",3.433265760276574e-16,0.2734462831847181,0.2734462831847181,0.0,O3,17.5
del,deleted_pathways,8.301482829390296e-17,0.06611808648438762,0.06611808648438762,0.0,O3,17.5
err,err_pathways,0.0,0.0,0.0,0.0,O3,17.5
1*1336,"O3_transport -> O3
Net:O3_transport -> O3",0.9999999999999956,354412337662965.4,354412337662965.4,0.0,O3,18.5
"2*408,1*671","2(O+O2+M -> O3+M)
O2+hv -> O+O
Net:3O2 -> 2O3",2.307477019664651e-15,0.4088991623214624,0.8177983246429248,0.0,O3,18.5
"1*408,1*670,1*1330,1*1337","O+O2+M -> O3+M
NO2+hv -> NO+O
NO -> NO_transport
NO2_transport -> NO2
Net:O2 + NO2_transport -> O3 + NO_transport",1.794928673290019e-15,0.6361448670390035,0.6361448670390035,0.0,O3,18.5
del,deleted_pathways,3.9489707670613713e-16,0.13995639609169402,0.13995639609169402,0.0,O3,18.5
err,err_pathways,0.0,0.0,0.0,0.0,O3,18.5
