pathway_id,pathway,contribution,rate,total_prod,dconc,species,alt_km
"1*1091,1*1296","O3+M -> O+O2+M
O -> O_transport
Net:O3 -> O2 + O_transport",0.9999999766089904,4.551051915324739e+16,-4.551051915324739e+16,0.0,O3,30.5
"1*673,1*1296","O3+hv -> O+O2
O -> O_transport
Net:O3 -> O2 + O_transport",1.6334863737339957e-08,743408146.3729634,-743408146.3729634,0.0,O3,30.5
"1*340,1*674,1*1296","O1D+N2 -> O+N2
O3+hv -> O1D+O2
O -> O_transport
Net:O3 -> O2 + O_transport",3.5970555950952245e-09,163703871.38507575,-163703871.38507575,0.0,O3,30.5
"1*674,1*1379","O3+hv -> O1D+O2
O1D -> O1D_transport
Net:O3 -> O2 + O1D_transport",1.6835003325205368e-09,76616975.91982266,-76616975.91982266,0.0,O3,30.5
"1*339,1*674,1*1296","O1D+O2 -> O+O2
O3+hv -> O1D+O2
O -> O_transport
Net:O3 -> O2 + O_transport",1.4472382626204591e-09,65864566.210939586,-65864566.210939586,0.0,O3,30.5
"1*447,1*670,1*1296","NO+O3 -> NO2+O2
NO2+hv -> NO+O
O -> O_transport
Net:O3 -> O2 + O_transport",2.695044012935204e-10,12265285.503850643,-12265285.503850643,0.0,O3,30.5
"1*447,1*449,1*1091","NO+O3 -> NO2+O2
NO2+O -> NO+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",3.3396432443789964e-11,759944.5069674872,-1519889.0139349743,0.0,O3,30.5
"1*411,1*448,1*670,1*1296","OH+O3 -> HO2+O2
NO+HO2 -> NO2+OH
NO2+hv -> NO+O
O -> O_transport
Net:O3 -> O2 + O_transport",5.968724149208787e-12,271639.74106694455,-271639.74106694455,0.0,O3,30.5
"1*341,1*674,1*1296","O1D+CO2 -> CO2+O
O3+hv -> O1D+O2
O -> O_transport
Net:O3 -> O2 + O_transport",5.554808185317714e-12,252802.21022381613,-252802.21022381613,0.0,O3,30.5
"1*449,1*1091,1*1330,1*1337","NO2+O -> NO+O2
O3+M -> O+O2+M
NO -> NO_transport
NO2_transport -> NO2
Net:O3 + NO2_transport -> 2O2 + NO_transport",5.2598750775898916e-12,239379.6510616751,-239379.6510616751,0.0,O3,30.5
"1*409,1*1091","O+O3 -> O2+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",3.552424168459651e-12,80836.33597041445,-161672.6719408289,0.0,O3,30.5
"1*390,1*411,1*1091","HO2+O -> OH+O2
OH+O3 -> HO2+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",2.337828358004731e-12,53197.892376342024,-106395.78475268405,0.0,O3,30.5
"1*411,1*448,1*449,1*1091","OH+O3 -> HO2+O2
NO+HO2 -> NO2+OH
NO2+O -> NO+O2
O3+M -> O+O2+M
Net:2O3 -> 3O2",7.396141354307219e-13,16830.1120319395,-33660.224063879,0.0,O3,30.5
"1*473,1*478,1*670,1*1296","NO2+O3 -> NO3+O2
NO3+NO -> NO2+NO2
NO2+hv -> NO+O
O -> O_transport
Net:O3 -> O2 + O_transport",5.47564330075009e-13,24919.937514416273,-24919.937514416273,0.0,O3,30.5
"1*338,1*674,2*1295","O1D+H2O -> OH+OH
O3+hv -> O1D+O2
2(OH -> OH_transport)
Net:H2O + O3 -> O2 + 2OH_transport",5.150659575597143e-13,23440.919675013865,-23440.919675013865,0.0,O3,30.5
"1*389,1*411,2*911,2*1320,2*1371","OH+HO2 -> H2O+O2
OH+O3 -> HO2+O2
2(HCNOH+M -> HCN+OH+M)
2(HCN -> HCN_transport)
2(HCNOH_transport -> HCNOH)
Net:O3 + 2HCNOH_transport -> H2O + 2O2 + 2HCN_transport",3.3008246569234777e-13,15022.224728427722,-15022.224728427722,0.0,O3,30.5
"1*413,1*674","O1D+O3 -> O2+O2
O3+hv -> O1D+O2
Net:2O3 -> 3O2",2.9776556929304197e-13,6775.732980735535,-13551.46596147107,0.0,O3,30.5
