scenario,alt_km,press_bin,reaction,rate_cm3_s,total_loss_cm3_s,fraction,fraction_pct
100pc_0.1x,1.5,897.1516031511095,CH3 + O3 -> H2CO + HO2,0.21550007633552482,212937899.1485614,7.82977145736652e-10,7.82977145736652e-08
100pc_0.1x,4.5,614.8711575232327,CH3 + O3 -> H2CO + HO2,0.12502126165533475,225702013.55155852,5.539217824779192e-10,5.539217824779191e-08
100pc_0.1x,7.5,411.0342014730762,CH3 + O3 -> H2CO + HO2,0.0571692183917603,255591888.87561092,2.236738366121739e-10,2.2367383661217388e-08
100pc_0.1x,10.5,266.42275548205754,CH3 + O3 -> H2CO + HO2,0.024588398830745425,302477068.4416679,8.129012542148215e-11,8.129012542148216e-09
100pc_0.1x,13.5,165.97308283207033,CH3 + O3 -> H2CO + HO2,0.04639653654409469,842890633.1526096,8.129012542148215e-11,8.129012542148216e-09
100pc_0.1x,16.5,101.64100773383757,CH3 + O3 -> H2CO + HO2,0.2009592367558965,2371064627.057629,8.475485419614087e-11,8.475485419614087e-09
100pc_0.1x,19.5,62.20952266398191,CH3 + O3 -> H2CO + HO2,0.8747454962109457,3762906737.124153,2.3246536715376594e-10,2.3246536715376595e-08
100pc_0.1x,22.5,38.59423995549182,CH3 + O3 -> H2CO + HO2,2.7796834601977194,4388577280.891505,6.333905688070847e-10,6.333905688070846e-08
100pc_0.1x,25.5,24.238833161873277,CH3 + O3 -> H2CO + HO2,7.592242673623561,4316000914.122437,1.7590919985167047e-09,1.7590919985167048e-07
100pc_0.1x,28.5,15.403760426154774,CH3 + O3 -> H2CO + HO2,17.349976440525367,3724587484.028467,4.658227660089716e-09,4.658227660089716e-07
100pc_0.1x,31.5,9.901472033837548,CH3 + O3 -> H2CO + HO2,30.312659254165588,2887008247.374569,1.0499678787454719e-08,1.0499678787454718e-06
100pc_0.1x,34.5,6.447495669308544,CH3 + O3 -> H2CO + HO2,41.16959615178617,2081502490.8523922,1.9778787838455524e-08,1.9778787838455523e-06
100pc_0.1x,37.5,4.26047937482521,CH3 + O3 -> H2CO + HO2,46.789821017910896,1505923963.2124186,3.107050698502694e-08,3.1070506985026937e-06
100pc_0.1x,40.5,2.8548672759501748,CH3 + O3 -> H2CO + HO2,48.73127841443247,1172256376.4966042,4.1570495491839736e-08,4.157049549183973e-06
100pc_0.1x,43.5,1.935893441605895,CH3 + O3 -> H2CO + HO2,45.79217669899471,978422854.9109713,4.1570495491839736e-08,4.157049549183973e-06
100pc_0.1x,46.5,1.323091039880338,CH3 + O3 -> H2CO + HO2,33.83757615943637,828899485.1177334,4.0822291202931826e-08,4.082229120293183e-06
100pc_0.1x,49.5,0.9066344728386427,CH3 + O3 -> H2CO + HO2,17.33934198059832,658341206.7114569,2.633792599313618e-08,2.6337925993136182e-06
100pc_0.1x,52.5,0.6197796406117789,CH3 + O3 -> H2CO + HO2,6.288960889442831,481550666.5295576,1.969886870178303e-08,1.969886870178303e-06
100pc_0.1x,1.5,897.1516031511095,CS + O3 -> OCS + O2,6.5302365944074935e-25,212937899.1485614,2.5984236046768958e-33,2.5984236046768956e-31
100pc_0.1x,4.5,614.8711575232327,CS + O3 -> OCS + O2,4.80771090343178e-25,225702013.55155852,2.1301143165625876e-33,2.1301143165625875e-31
100pc_0.1x,7.5,411.0342014730762,CS + O3 -> OCS + O2,3.812082693202063e-25,255591888.87561092,1.491472483720832e-33,1.4914724837208322e-31
100pc_0.1x,10.5,266.42275548205754,CS + O3 -> OCS + O2,3.0906539378042994e-25,302477068.4416679,1.0217812390628633e-33,1.0217812390628633e-31
100pc_0.1x,13.5,165.97308283207033,CS + O3 -> OCS + O2,5.422840303577276e-25,842890633.1526096,6.433622691113052e-34,6.433622691113051e-32
100pc_0.1x,16.5,101.64100773383757,CS + O3 -> OCS + O2,9.618014057699473e-25,2371064627.057629,4.056411600064626e-34,4.056411600064626e-32
100pc_0.1x,19.5,62.20952266398191,CS + O3 -> OCS + O2,9.092630022508545e-25,3762906737.124153,2.4163846349956834e-34,2.4163846349956835e-32
100pc_0.1x,22.5,38.59423995549182,CS + O3 -> OCS + O2,6.214148392169639e-25,4388577280.891505,1.4159824458889973e-34,1.4159824458889974e-32
