pal,methane,methane_label,rank,reaction,column_loss_rate,fraction_of_total_loss
0.1pc,0.1x,Min methane (0.1x),1,O3 + hv -> O1D + O2,7153436236.039655,0.5684572749467764
0.1pc,0.1x,Min methane (0.1x),2,O3 + hv -> O + O2,5425040912.716544,0.43110805380225997
0.1pc,0.1x,Min methane (0.1x),3,NO + O3 -> NO2 + O2,2157130.1327196956,0.00017141920001656372
0.1pc,0.1x,Min methane (0.1x),4,OH + O3 -> HO2 + O2,2105522.9189497973,0.0001673181644947215
0.1pc,0.1x,Min methane (0.1x),5,O + O3 -> O2 + O2,598883.5247514348,4.759107165526341e-05
0.1pc,0.1x,Min methane (0.1x),6,H + O3 -> OH + O2,576866.5230561286,4.5841461485656117e-05
0.1pc,0.1x,Min methane (0.1x),7,SO + O3 -> SO2 + O2,10230.430262583353,8.129746763243434e-07
0.1pc,1x,Original (1x),1,O3 + hv -> O1D + O2,7112324836.790368,0.5726099719257547
0.1pc,1x,Original (1x),2,O3 + hv -> O + O2,5303441163.171042,0.4269775868285149
0.1pc,1x,Original (1x),3,NO + O3 -> NO2 + O2,2087474.7250516172,0.00016806162135965446
0.1pc,1x,Original (1x),4,OH + O3 -> HO2 + O2,1895635.3755749268,0.00015261672436199777
0.1pc,1x,Original (1x),5,O + O3 -> O2 + O2,562071.5793610634,4.525212200845508e-05
0.1pc,1x,Original (1x),6,H + O3 -> OH + O2,524983.1534691327,4.2266150051874326e-05
0.1pc,1x,Original (1x),7,CH3 + O3 -> H2CO + HO2,18330.29264498389,1.4757633541343915e-06
0.1pc,10x,Max methane (10x),1,O3 + hv -> O1D + O2,6608376328.264752,0.6297136498628494
0.1pc,10x,Max methane (10x),2,O3 + hv -> O + O2,3882276236.3094106,0.3699429658819306
0.1pc,10x,Max methane (10x),3,OH + O3 -> HO2 + O2,1474318.4511607056,0.00014048813306374348
0.1pc,10x,Max methane (10x),4,NO + O3 -> NO2 + O2,1209159.8093958474,0.00011522110712512396
0.1pc,10x,Max methane (10x),5,H + O3 -> OH + O2,400566.1957151386,3.81700418658952e-05
0.1pc,10x,Max methane (10x),6,O + O3 -> O2 + O2,343123.30325384595,3.269629586935356e-05
0.1pc,10x,Max methane (10x),7,CH3 + O3 -> H2CO + HO2,124959.58264754133,1.1907426418462457e-05
