pal,methane,methane_label,rank,reaction,column_loss_rate,fraction_of_total_loss
10pc,0.1x,Min methane (0.1x),1,O3 + hv -> O + O2,18150766267.913002,0.6752279022013378
10pc,0.1x,Min methane (0.1x),2,O3 + hv -> O1D + O2,8664405648.967058,0.3223251494630226
10pc,0.1x,Min methane (0.1x),3,NO + O3 -> NO2 + O2,56382671.50529916,0.0020974956340180876
10pc,0.1x,Min methane (0.1x),4,OH + O3 -> HO2 + O2,5438068.243741249,0.00020230195012429746
10pc,0.1x,Min methane (0.1x),5,O + O3 -> O2 + O2,2718307.601105126,0.00010112394771326702
10pc,0.1x,Min methane (0.1x),6,H + O3 -> OH + O2,1100565.8058040487,4.094222410881384e-05
10pc,0.1x,Min methane (0.1x),7,O1D + O3 -> O2 + O2,55368.56501443883,2.059769788820968e-06
10pc,1x,Original (1x),1,O3 + hv -> O + O2,18524595229.772087,0.6792788202256331
10pc,1x,Original (1x),2,O3 + hv -> O1D + O2,8681403468.897795,0.31833858894676464
10pc,1x,Original (1x),3,NO + O3 -> NO2 + O2,55475547.24001242,0.002034234152657955
10pc,1x,Original (1x),4,OH + O3 -> HO2 + O2,5594333.793990019,0.00020513875808862595
10pc,1x,Original (1x),5,O + O3 -> O2 + O2,2655348.761402904,9.736904647905511e-05
10pc,1x,Original (1x),6,H + O3 -> OH + O2,1087313.6106144441,3.987072848136613e-05
10pc,1x,Original (1x),7,O3 + M -> O + O2 + M,58100.33698699819,2.130482629915224e-06
10pc,10x,Max methane (10x),1,O3 + hv -> O + O2,18975719875.898865,0.6839187039350492
10pc,10x,Max methane (10x),2,O3 + hv -> O1D + O2,8709428308.57378,0.3139032911410351
10pc,10x,Max methane (10x),3,NO + O3 -> NO2 + O2,50229804.770722985,0.001810371527529526
10pc,10x,Max methane (10x),4,OH + O3 -> HO2 + O2,6748899.7081808355,0.00024324235241631522
10pc,10x,Max methane (10x),5,O + O3 -> O2 + O2,2221183.0275942595,8.005538801003383e-05
10pc,10x,Max methane (10x),6,H + O3 -> OH + O2,988243.9444109809,3.5618069936395654e-05
10pc,10x,Max methane (10x),7,O3 + M -> O + O2 + M,85524.1623003341,3.08244296491042e-06
