pal,alt_km,press_bin,reaction,rate_cm3_s,total_loss_cm3_s,fraction,fraction_pct
100pc,1.5,897.1514764158253,CH3 + O3 -> H2CO + HO2,3.359109492675218,416178673.41735154,6.499979433694207e-09,6.499979433694207e-07
100pc,4.5,614.8726062742519,CH3 + O3 -> H2CO + HO2,1.9025703936586507,386023162.6934245,4.928643090698813e-09,4.928643090698814e-07
100pc,7.5,411.0351930764492,CH3 + O3 -> H2CO + HO2,0.8231236574385679,388358008.34119993,2.119497061369713e-09,2.1194970613697132e-07
100pc,10.5,266.4230553837228,CH3 + O3 -> H2CO + HO2,0.35786317757525526,408611805.24175864,8.758023458561665e-10,8.758023458561665e-08
100pc,13.5,165.97350262355167,CH3 + O3 -> H2CO + HO2,0.5489293995363798,942121975.5772575,8.690735366269912e-10,8.690735366269912e-08
100pc,16.5,101.64105203100861,CH3 + O3 -> H2CO + HO2,2.139782894471815,2462142504.9675813,8.690735366269912e-10,8.690735366269912e-08
100pc,19.5,62.20964033400728,CH3 + O3 -> H2CO + HO2,8.998670656548729,3816730791.8629203,2.357690690612355e-09,2.3576906906123552e-07
100pc,22.5,38.594259238906986,CH3 + O3 -> H2CO + HO2,28.294317588345606,4410896474.108459,6.414641049598544e-09,6.414641049598544e-07
100pc,25.5,24.238877969854105,CH3 + O3 -> H2CO + HO2,77.08933002487186,4327011953.303838,1.7815834773927822e-08,1.7815834773927822e-06
100pc,28.5,15.403794105594699,CH3 + O3 -> H2CO + HO2,176.45406789438033,3736384235.7824907,4.72258891910849e-08,4.72258891910849e-06
100pc,31.5,9.901503399511792,CH3 + O3 -> H2CO + HO2,308.9437769119418,2899310764.694459,1.0655766214302301e-07,1.0655766214302301e-05
100pc,34.5,6.44751992063258,CH3 + O3 -> H2CO + HO2,419.44235885407545,2090483292.1843023,2.0064372694211247e-07,2.0064372694211247e-05
100pc,37.5,4.260503964488342,CH3 + O3 -> H2CO + HO2,474.9414404751994,1511578241.8335862,3.1420235309756926e-07,3.1420235309756923e-05
100pc,40.5,2.8548760191202653,CH3 + O3 -> H2CO + HO2,491.4289742763777,1176278265.5070047,4.177829249140804e-07,4.177829249140804e-05
100pc,43.5,1.9358967914801957,CH3 + O3 -> H2CO + HO2,457.4385462589039,980527899.5078162,4.177829249140804e-07,4.177829249140804e-05
100pc,46.5,1.3230947315968489,CH3 + O3 -> H2CO + HO2,334.0229363164963,827841179.4440255,4.034867370826185e-07,4.0348673708261854e-05
100pc,49.5,0.9066366446874969,CH3 + O3 -> H2CO + HO2,169.19008236220873,654162873.768904,2.586360203957073e-07,2.586360203957073e-05
100pc,52.5,0.6197798924840763,CH3 + O3 -> H2CO + HO2,60.82561235795784,475957340.2108574,1.9321618679810424e-07,1.9321618679810423e-05
100pc,1.5,897.1514764158253,CS + O3 -> OCS + O2,1.2910001793885779e-24,416178673.41735154,2.626878245170146e-33,2.626878245170146e-31
100pc,4.5,614.8726062742519,CS + O3 -> OCS + O2,8.30614920962758e-25,386023162.6934245,2.1517230084517583e-33,2.1517230084517584e-31
100pc,7.5,411.0351930764492,CS + O3 -> OCS + O2,5.845488117177702e-25,388358008.34119993,1.5051802696552166e-33,1.5051802696552167e-31
100pc,10.5,266.4230553837228,CS + O3 -> OCS + O2,4.217100409178907e-25,408611805.24175864,1.032055450939266e-33,1.032055450939266e-31
100pc,13.5,165.97350262355167,CS + O3 -> OCS + O2,6.121463555646314e-25,942121975.5772575,6.497527617796588e-34,6.497527617796588e-32
100pc,16.5,101.64105203100861,CS + O3 -> OCS + O2,1.004615113143027e-24,2462142504.9675813,4.080247634392123e-34,4.080247634392123e-32
100pc,19.5,62.20964033400728,CS + O3 -> OCS + O2,9.26108899871479e-25,3816730791.8629203,2.4264454329498347e-34,2.4264454329498348e-32
100pc,22.5,38.594259238906986,CS + O3 -> OCS + O2,6.265336736842964e-25,4410896474.108459,1.4204225317052648e-34,1.4204225317052648e-32
100pc,25.5,24.238877969854105,CS + O3 -> OCS + O2,3.5334896784138355e-25,4327011953.303838,8.166119522077775e-35,8.166119522077775e-33
100pc,28.5,15.403794105594699,CS + O3 -> OCS + O2,2.6744618150734538e-25,3736384235.7824907,8.166119522077775e-35,8.166119522077775e-33
100pc,31.5,9.901503399511792,CS + O3 -> OCS + O2,1.463609260264835e-24,2899310764.694459,5.0481282589211365e-34,5.048128258921137e-32
100pc,34.5,6.44751992063258,CS + O3 -> OCS + O2,2.6832557371230856e-24,2090483292.1843023,1.207555001198564e-33,1.207555001198564e-31
100pc,37.5,4.260503964488342,CS + O3 -> OCS + O2,1.8253138656290795e-24,1511578241.8335862,1.207555001198564e-33,1.207555001198564e-31
100pc,40.5,2.8548760191202653,CS + O3 -> OCS + O2,1.3916949328852762e-24,1176278265.5070047,1.207555001198564e-33,1.207555001198564e-31
100pc,43.5,1.9358967914801957,CS + O3 -> OCS + O2,1.922250284824829e-24,980527899.5078162,1.960423855139377e-33,1.9604238551393772e-31
100pc,46.5,1.3230947315968489,CS + O3 -> OCS + O2,2.242526479676484e-24,827841179.4440255,2.5219420622644944e-33,2.5219420622644945e-31
100pc,49.5,0.9066366446874969,CS + O3 -> OCS + O2,1.6497608669296178e-24,654162873.768904,2.5219420622644944e-33,2.5219420622644945e-31
100pc,52.5,0.6197798924840763,CS + O3 -> OCS + O2,8.234957009906374e-25,475957340.2108574,2.1260650547119807e-33,2.126065054711981e-31
