alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          O1D           N2H3          NH2CO         HS4           C4H3          CH2N2         N2D           CH2CN         CH3CN         HCCCN         H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  1.00849E+000  2.56937E+019  2.84290E+002  1.00000E+005  5.35779E-004  1.00000E-040  1.00000E-040  2.56087E-035  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.74219E-027  1.00000E-040  1.00000E-040  1.21421E-025  4.95790E-007  5.28520E-003  3.35887E-018  2.93737E-016  2.10939E-001  6.48312E-008  2.81609E-004  2.14999E-026  2.70029E-010  1.00000E-040  1.00000E-040  4.64516E-039  2.83655E-024  8.01197E-007  7.66954E-032  5.74935E-026  2.77204E-030  8.27467E-030  1.00000E-040  5.05182E-010  5.56735E-022  5.22955E-021  5.57159E-011  1.00000E-040  1.00000E-040  3.34163E-010  7.48291E-039  5.07363E-011  2.22767E-037  7.83487E-001  5.24707E-028  1.46052E-016  5.82843E-010  1.00000E-040  1.00000E-040  4.24236E-024  3.44188E-022  3.15025E-016  2.81470E-016  4.01865E-016  2.74850E-015  2.70701E-007  6.34708E-014  5.17710E-006  4.39872E-013  1.58406E-009  1.81927E-019  2.79821E-013  1.93560E-012  1.73465E-011  2.25014E-033  1.00000E-040  3.60728E-034  5.75973E-031  6.28599E-014  9.81021E-025  3.23777E-018  5.72227E-016  2.73689E-023  1.83678E-021  1.77136E-031  5.08590E-040  1.00000E-040  1.00000E-040  4.06922E-028  5.41801E-038  1.00000E-040  2.41825E-023  2.48994E-019  1.00000E-040  4.84364E-033  1.29068E-028  1.21778E-019  3.05741E-023  6.45593E-016  7.42817E-029  1.93278E-012  1.00000E-040  3.76363E-023  1.00000E-040  2.78296E-029  3.26399E-028  1.25219E-019  3.28915E-026  5.19218E-013  2.64957E-027  4.84473E-025  2.11418E-016  1.48915E-016  2.46952E-038  1.00000E-040  1.64843E-029  1.00000E-040  2.74875E-026  3.86336E-011  3.83102E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.92369E-001  2.32428E+019  2.78082E+002  1.00000E+005  7.02687E-004  1.00000E-040  1.00000E-040  2.97687E-032  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.31590E-027  1.00000E-040  1.00000E-040  1.31729E-025  4.96421E-007  4.03196E-003  3.41698E-018  3.51507E-016  2.11205E-001  6.49196E-008  2.81963E-004  2.26301E-026  2.59685E-010  1.00000E-040  1.00000E-040  5.57855E-039  2.56600E-024  8.02204E-007  5.98864E-032  5.67177E-026  1.20056E-031  2.03425E-031  1.00000E-040  5.05630E-010  5.78844E-022  6.82420E-021  1.14496E-010  1.00000E-040  1.00000E-040  3.34565E-010  5.11136E-039  5.07907E-011  5.05881E-035  7.84475E-001  1.20526E-027  3.44196E-016  5.83081E-010  1.00000E-040  1.00000E-040  4.24806E-024  3.44443E-022  1.42205E-019  2.92260E-016  3.86817E-016  2.74691E-015  2.71040E-007  7.83685E-014  5.18390E-006  5.79451E-014  1.57654E-009  7.18182E-020  2.80350E-013  7.16962E-012  1.16046E-011  2.25438E-033  1.00000E-040  4.06039E-034  5.71866E-031  6.29469E-014  9.82267E-025  3.24186E-018  5.74148E-016  2.74136E-023  1.83810E-021  1.77361E-031  4.75021E-040  1.00000E-040  1.00000E-040  3.97578E-028  5.42582E-038  1.00000E-040  2.22700E-023  8.15880E-019  1.00000E-040  6.26094E-033  1.63010E-028  1.79182E-019  3.35992E-023  6.51119E-016  6.32807E-029  1.93521E-012  1.00000E-040  6.08739E-023  1.00000E-040  4.13600E-029  3.13807E-028  1.25376E-019  4.23226E-026  4.98387E-013  5.74081E-027  6.21006E-025  2.06681E-016  1.49755E-016  2.46272E-038  1.00000E-040  1.56251E-029  1.00000E-040  2.58960E-026  3.86671E-011  3.83584E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.87886E-001  2.09157E+019  2.72840E+002  1.00000E+005  5.24004E-004  1.00000E-040  1.00000E-040  3.07764E-029  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.29931E-027  1.00000E-040  1.00000E-040  1.49051E-025  4.96881E-007  3.11965E-003  3.53818E-018  4.29550E-016  2.11398E-001  6.49861E-008  2.82222E-004  2.48705E-026  2.52590E-010  1.00000E-040  1.00000E-040  6.84352E-039  2.45256E-024  8.02937E-007  5.02384E-032  5.56906E-026  6.03492E-030  1.52875E-029  1.00000E-040  5.05910E-010  6.14486E-022  8.81012E-021  1.14723E-010  1.00000E-040  1.00000E-040  3.34853E-010  3.27622E-039  5.08320E-011  1.51315E-036  7.85193E-001  1.66098E-027  3.69017E-016  5.83294E-010  1.00000E-040  1.00000E-040  4.25269E-024  3.44004E-022  2.45074E-019  2.93959E-016  3.82454E-016  2.73932E-015  2.71287E-007  1.07228E-013  5.18902E-006  8.08161E-014  1.57010E-009  3.29770E-020  2.80889E-013  1.13749E-011  8.18009E-012  2.27262E-033  1.00000E-040  5.10638E-034  5.62041E-031  6.29973E-014  9.83173E-025  3.24484E-018  5.76473E-016  2.74605E-023  1.83758E-021  1.77527E-031  4.27278E-040  1.00000E-040  1.00000E-040  3.91165E-028  5.43279E-038  1.00000E-040  1.95902E-023  9.37363E-019  1.00000E-040  7.61285E-033  2.04394E-028  2.58182E-019  4.08991E-023  6.59809E-016  5.48066E-029  1.93697E-012  1.00000E-040  9.31117E-023  1.00000E-040  6.29545E-029  2.91292E-028  1.25491E-019  5.18483E-026  4.61163E-013  6.13327E-027  7.91493E-025  1.97479E-016  1.50350E-016  2.46410E-038  1.00000E-040  1.42788E-029  1.00000E-040  2.34002E-026  3.86948E-011  3.83935E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.94099E-001  1.87652E+019  2.67908E+002  1.00000E+005  4.74622E-004  1.00000E-040  1.00000E-040  2.19296E-026  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.23927E-027  1.00000E-040  1.00000E-040  1.66603E-025  4.97282E-007  2.32789E-003  3.53329E-018  5.28979E-016  2.11566E-001  6.50450E-008  2.82446E-004  2.74571E-026  2.46275E-010  1.00000E-040  1.00000E-040  8.46447E-039  2.30113E-024  8.03572E-007  4.28264E-032  5.21491E-026  4.03069E-031  1.01525E-030  1.00000E-040  5.06133E-010  6.36986E-022  1.10213E-020  1.14957E-010  1.00000E-040  1.00000E-040  3.35100E-010  1.98722E-039  5.08683E-011  2.91882E-036  7.85817E-001  1.92947E-027  3.11771E-016  5.83473E-010  1.00000E-040  1.00000E-040  4.25723E-024  3.43010E-022  4.38296E-019  2.82820E-016  3.65966E-016  2.72781E-015  2.71500E-007  1.46052E-013  5.19364E-006  1.16863E-013  1.56518E-009  1.64403E-020  2.81460E-013  1.43255E-011  5.90777E-012  2.30721E-033  1.00000E-040  7.00303E-034  5.46729E-031  6.30220E-014  9.83958E-025  3.24744E-018  5.79052E-016  2.75172E-023  1.83555E-021  1.77674E-031  3.74580E-040  1.00000E-040  1.00000E-040  3.87446E-028  5.44018E-038  1.00000E-040  1.65407E-023  8.06133E-019  1.00000E-040  9.69278E-033  2.46301E-028  3.60677E-019  4.84922E-023  6.71241E-016  4.67304E-029  1.93849E-012  1.00000E-040  1.35165E-022  1.00000E-040  9.79459E-029  2.61176E-028  1.25591E-019  5.76045E-026  4.13113E-013  6.30807E-027  1.00390E-024  1.84336E-016  1.50698E-016  2.45334E-038  1.00000E-040  1.26467E-029  1.00000E-040  2.04006E-026  3.87195E-011  3.84239E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.09956E-001  1.68588E+019  2.62052E+002  1.00000E+005  4.49044E-004  1.00000E-040  1.00000E-040  1.08419E-023  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.85221E-028  1.00000E-040  1.00000E-040  1.76980E-025  4.97650E-007  1.60155E-003  3.27699E-018  6.43126E-016  2.11720E-001  6.51001E-008  2.82651E-004  2.96346E-026  2.40405E-010  1.00000E-040  1.00000E-040  1.03510E-038  1.93816E-024  8.04154E-007  3.30235E-032  4.85881E-026  5.16336E-033  8.08207E-032  1.00000E-040  5.06324E-010  6.22340E-022  1.34798E-020  1.15195E-010  1.00000E-040  1.00000E-040  3.35324E-010  1.00939E-039  5.09018E-011  4.96208E-036  7.86389E-001  2.01625E-027  2.20131E-016  5.83626E-010  1.00000E-040  1.00000E-040  4.26194E-024  3.41674E-022  8.06114E-019  2.59682E-016  3.22836E-016  2.71368E-015  2.71695E-007  1.95195E-013  5.19804E-006  1.73796E-013  1.56164E-009  7.31097E-021  2.82076E-013  1.61120E-011  4.21333E-012  2.35518E-033  1.00000E-040  1.01789E-033  5.27120E-031  6.30324E-014  9.84676E-025  3.24983E-018  5.81914E-016  2.75870E-023  1.83218E-021  1.77811E-031  3.22366E-040  1.00000E-040  1.00000E-040  3.85422E-028  5.44833E-038  1.00000E-040  1.33461E-023  5.45332E-019  1.00000E-040  1.23838E-032  2.88500E-028  5.09528E-019  5.60578E-023  6.85336E-016  3.73230E-029  1.93988E-012  1.00000E-040  2.03473E-022  1.00000E-040  1.70911E-028  2.26149E-028  1.25682E-019  5.82737E-026  3.59205E-013  6.08036E-027  1.26245E-024  1.68098E-016  1.50897E-016  2.44509E-038  1.00000E-040  1.09010E-029  1.00000E-040  1.71987E-026  3.87425E-011  3.84518E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.34476E-001  1.51397E+019  2.55698E+002  1.00000E+005  3.68863E-004  1.00000E-040  1.00000E-040  5.90460E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.83157E-028  1.00000E-040  1.00000E-040  1.83935E-025  4.97943E-007  1.02610E-003  2.84876E-018  7.76967E-016  2.11842E-001  6.51457E-008  2.82814E-004  3.18735E-026  2.35238E-010  1.00000E-040  1.00000E-040  1.30687E-038  1.50915E-024  8.04614E-007  2.37566E-032  4.52102E-026  2.92897E-032  4.82359E-032  1.00000E-040  5.06437E-010  5.80429E-022  1.60498E-020  1.15425E-010  1.00000E-040  1.00000E-040  3.35497E-010  4.53092E-040  5.09285E-011  8.36687E-036  7.86842E-001  2.01832E-027  1.32405E-016  5.83718E-010  1.63195E-040  1.00000E-040  4.26652E-024  3.40145E-022  1.51640E-018  2.28598E-016  2.67061E-016  2.69754E-015  2.71848E-007  2.60061E-013  5.20181E-006  2.64809E-013  1.55907E-009  3.12170E-021  2.82722E-013  1.73505E-011  3.05175E-012  2.41153E-033  1.00000E-040  1.53397E-033  5.04790E-031  6.30307E-014  9.85245E-025  3.25174E-018  5.85083E-016  2.76691E-023  1.82748E-021  1.77923E-031  2.74371E-040  1.00000E-040  1.00000E-040  3.84463E-028  5.45677E-038  1.00000E-040  1.02710E-023  3.03665E-019  1.00000E-040  1.56177E-032  3.27549E-028  7.22632E-019  6.35766E-023  7.01714E-016  2.83803E-029  1.94096E-012  1.00000E-040  3.09775E-022  1.00000E-040  3.35899E-028  1.89403E-028  1.25755E-019  5.41766E-026  3.04525E-013  5.52670E-027  1.57911E-024  1.49957E-016  1.51012E-016  2.44135E-038  1.00000E-040  9.22870E-030  1.00000E-040  1.40958E-026  3.87611E-011  3.84739E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.66773E-001  1.36002E+019  2.48586E+002  1.00000E+005  2.81398E-004  1.00000E-040  1.00000E-040  2.60030E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.18095E-028  1.00000E-040  1.00000E-040  1.88529E-025  4.98162E-007  5.99739E-004  2.28588E-018  9.28549E-016  2.11932E-001  6.51819E-008  2.82934E-004  3.42073E-026  2.30696E-010  1.00000E-040  1.00000E-040  1.51918E-038  1.06312E-024  8.04953E-007  1.53848E-032  4.20432E-026  2.43009E-030  6.86094E-030  1.00000E-040  5.06469E-010  5.11994E-022  1.85577E-020  1.15646E-010  1.00000E-040  1.00000E-040  3.35619E-010  1.71253E-040  5.09485E-011  1.52039E-035  7.87178E-001  2.07237E-027  6.76278E-017  5.83743E-010  4.35437E-039  1.00000E-040  4.27099E-024  3.38539E-022  2.95149E-018  1.94606E-016  2.05091E-016  2.67999E-015  2.71961E-007  3.43439E-013  5.20496E-006  4.17567E-013  1.55713E-009  1.22335E-021  2.83401E-013  1.83183E-011  2.22637E-012  2.47141E-033  1.00000E-040  2.36463E-033  4.81240E-031  6.30203E-014  9.85665E-025  3.25317E-018  5.88586E-016  2.77652E-023  1.82167E-021  1.78011E-031  2.32353E-040  1.00000E-040  1.00000E-040  3.84044E-028  5.46550E-038  1.00000E-040  7.53980E-024  1.41885E-019  1.00000E-040  1.98671E-032  3.60920E-028  1.04508E-018  7.12613E-023  7.19982E-016  2.07099E-029  1.94174E-012  1.00000E-040  4.88292E-022  1.00000E-040  7.75715E-028  1.53943E-028  1.25808E-019  4.69252E-026  2.53163E-013  4.68022E-027  1.96443E-024  1.31255E-016  1.51083E-016  2.44151E-038  1.00000E-040  7.75272E-030  1.00000E-040  1.13026E-026  3.87751E-011  3.84903E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.06100E-001  1.21909E+019  2.41276E+002  1.00000E+005  1.83838E-004  1.00000E-040  1.00000E-040  9.34638E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.61548E-028  1.00000E-040  1.00000E-040  1.99448E-025  4.98304E-007  3.28715E-004  1.74167E-018  1.10823E-015  2.11990E-001  6.52084E-008  2.83011E-004  3.73821E-026  2.26742E-010  1.00000E-040  1.00000E-040  1.88004E-038  7.20817E-025  8.05168E-007  9.40927E-033  3.76041E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.06414E-010  4.40255E-022  2.09472E-020  1.15860E-010  1.00000E-040  1.00000E-040  3.35687E-010  1.00000E-040  5.09612E-011  3.12786E-035  7.87392E-001  2.32945E-027  3.01376E-017  5.83690E-010  7.07318E-038  1.00000E-040  4.27536E-024  3.36908E-022  5.89109E-018  1.61982E-016  1.53171E-016  2.66154E-015  2.72031E-007  4.48849E-013  5.20748E-006  6.77379E-013  1.55547E-009  4.74106E-022  2.84116E-013  1.92917E-011  1.61493E-012  2.53098E-033  1.17240E-040  3.70161E-033  4.57891E-031  6.30011E-014  9.85933E-025  3.25410E-018  5.92456E-016  2.78768E-023  1.81500E-021  1.78074E-031  1.96792E-040  1.00000E-040  1.00000E-040  3.83878E-028  5.47447E-038  1.00000E-040  5.31518E-024  5.86920E-020  1.00000E-040  2.53831E-032  3.89478E-028  1.53957E-018  7.97001E-023  7.39352E-016  1.50212E-029  1.94220E-012  1.00000E-040  7.78187E-022  1.00000E-040  2.01942E-027  1.22251E-028  1.25842E-019  3.85146E-026  2.07962E-013  3.78108E-027  2.44030E-024  1.13313E-016  1.51125E-016  2.43466E-038  1.00000E-040  6.53262E-030  1.00000E-040  8.94097E-027  3.87842E-011  3.85006E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.51840E-001  1.08987E+019  2.33824E+002  1.00000E+005  1.09163E-004  1.00000E-040  1.00000E-040  2.15897E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.94045E-028  1.00000E-040  1.00000E-040  2.21479E-025  4.98391E-007  1.70247E-004  1.27857E-018  1.32250E-015  2.12023E-001  6.52280E-008  2.83056E-004  4.17128E-026  2.23243E-010  1.00000E-040  1.00000E-040  2.21390E-038  4.85293E-025  8.05291E-007  5.43330E-033  3.48559E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.06288E-010  3.74255E-022  2.32527E-020  1.16076E-010  1.00000E-040  1.00000E-040  3.35715E-010  1.00000E-040  5.09686E-011  7.34360E-035  7.87516E-001  2.88500E-027  1.21084E-017  5.83571E-010  6.99756E-037  1.00000E-040  4.27987E-024  3.35287E-022  1.20914E-017  1.33365E-016  1.15136E-016  2.64269E-015  2.72070E-007  5.76991E-013  5.20962E-006  1.13417E-012  1.55383E-009  1.94275E-022  2.84882E-013  2.03131E-011  1.09095E-012  2.58762E-033  1.48607E-040  5.86359E-033  4.35871E-031  6.29746E-014  9.86089E-025  3.25467E-018  5.96748E-016  2.80071E-023  1.80778E-021  1.78120E-031  1.67545E-040  1.00000E-040  1.00000E-040  3.83718E-028  5.48395E-038  1.00000E-040  3.64496E-024  2.21908E-020  1.00000E-040  3.24999E-032  4.18160E-028  2.34518E-018  8.99046E-023  7.58885E-016  1.10579E-029  1.94243E-012  1.00000E-040  1.27334E-021  1.00000E-040  5.91218E-027  9.58664E-029  1.25862E-019  3.05348E-026  1.70365E-013  2.95675E-027  3.03196E-024  9.72030E-017  1.51149E-016  2.43559E-038  1.00000E-040  5.57854E-030  1.00000E-040  7.04686E-027  3.87896E-011  3.85066E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  3.03464E-001  9.70363E+018  2.26511E+002  9.61769E+004  5.74045E-005  1.00000E-040  1.00000E-040  2.87531E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.40286E-026  1.00000E-040  1.00000E-040  2.60626E-025  4.98440E-007  8.58765E-005  9.39280E-019  1.58659E-015  2.12041E-001  6.52434E-008  2.83080E-004  4.76576E-026  2.20058E-010  1.00000E-040  1.00000E-040  2.82607E-038  3.45935E-025  8.05354E-007  3.04787E-033  3.23093E-026  1.00000E-040  1.00000E-040  1.00000E-040  5.06102E-010  3.23078E-022  2.57288E-020  1.16305E-010  1.00000E-040  1.00000E-040  3.35716E-010  1.00000E-040  5.09725E-011  1.00000E-040  7.87583E-001  3.80220E-027  4.67077E-018  5.83393E-010  4.39978E-036  1.00000E-040  4.28482E-024  3.33658E-022  2.52650E-017  1.09618E-016  9.21523E-017  2.62353E-015  2.72088E-007  7.31438E-013  5.21162E-006  1.94269E-012  1.55192E-009  1.16784E-022  2.85735E-013  2.14090E-011  5.61608E-013  2.64016E-033  1.99691E-040  9.45231E-033  4.15669E-031  6.29411E-014  9.86171E-025  3.25500E-018  6.01628E-016  2.81627E-023  1.80014E-021  1.78155E-031  1.43876E-040  1.00000E-040  1.00000E-040  3.83461E-028  5.49443E-038  1.00000E-040  2.47870E-024  8.12039E-021  1.00000E-040  4.13684E-032  4.58526E-028  3.72390E-018  1.03242E-022  7.77644E-016  8.41441E-030  1.94250E-012  1.00000E-040  2.15338E-021  1.00000E-040  1.87860E-026  7.51495E-029  1.25873E-019  2.38706E-026  1.40331E-013  2.31826E-027  3.77955E-024  8.34566E-017  1.51162E-016  2.43656E-038  1.00000E-040  4.87009E-030  1.00000E-040  5.58537E-027  3.87924E-011  3.85097E-031  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
