case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,atmos,0.0,90.3701,PTZ_mixingratios_out.dist,4.489,6.584,65.14,0.0731,45.1,1.785,2.589,3.042
pal0p1,0.1% PAL,atmos,5.0,90.3701,PTZ_mixingratios_out.dist,4.456,6.54,64.81,0.07221,44.68,1.768,2.568,3.018
pal0p1,0.1% PAL,atmos,10.0,90.3701,PTZ_mixingratios_out.dist,4.36,6.408,63.85,0.06957,43.44,1.717,2.504,2.948
pal0p1,0.1% PAL,atmos,15.0,90.3701,PTZ_mixingratios_out.dist,4.201,6.192,62.25,0.06535,41.44,1.634,2.4,2.834
pal0p1,0.1% PAL,atmos,20.0,90.3701,PTZ_mixingratios_out.dist,3.985,5.896,60.04,0.05977,38.74,1.523,2.26,2.679
pal0p1,0.1% PAL,atmos,25.0,90.3701,PTZ_mixingratios_out.dist,3.717,5.527,57.25,0.05314,35.44,1.389,2.089,2.489
pal0p1,0.1% PAL,atmos,30.0,90.3701,PTZ_mixingratios_out.dist,3.405,5.096,53.9,0.04584,31.7,1.236,1.893,2.27
pal0p1,0.1% PAL,atmos,35.0,90.3701,PTZ_mixingratios_out.dist,3.057,4.612,50.05,0.03825,27.64,1.072,1.68,2.031
pal0p1,0.1% PAL,atmos,40.0,90.3701,PTZ_mixingratios_out.dist,2.683,4.088,45.75,0.03078,23.44,0.9025,1.457,1.778
pal0p1,0.1% PAL,atmos,45.0,90.3701,PTZ_mixingratios_out.dist,2.296,3.539,41.06,0.02378,19.27,0.7354,1.231,1.521
pal0p1,0.1% PAL,atmos,50.0,90.3701,PTZ_mixingratios_out.dist,1.906,2.98,36.06,0.01758,15.28,0.5771,1.012,1.267
pal0p1,0.1% PAL,atmos,55.0,90.3701,PTZ_mixingratios_out.dist,1.528,2.429,30.84,0.01238,11.65,0.434,0.8064,1.025
pal0p1,0.1% PAL,atmos,60.0,90.3701,PTZ_mixingratios_out.dist,1.175,1.904,25.52,0.008278,8.486,0.3107,0.6197,0.8011
pal0p1,0.1% PAL,atmos,65.0,90.3701,PTZ_mixingratios_out.dist,0.8581,1.422,20.23,0.005266,5.878,0.2105,0.4568,0.6011
pal0p1,0.1% PAL,atmos,70.0,90.3701,PTZ_mixingratios_out.dist,0.5888,1.001,15.15,0.003211,3.854,0.1343,0.3203,0.4285
pal0p1,0.1% PAL,atmos,75.0,90.3701,PTZ_mixingratios_out.dist,0.3734,0.6507,10.47,0.001909,2.384,0.0807,0.2106,0.2855
pal0p1,0.1% PAL,atmos,80.0,90.3701,PTZ_mixingratios_out.dist,0.2131,0.3782,6.4,0.001127,1.379,0.04584,0.1261,0.1718
pal0p1,0.1% PAL,atmos,85.0,90.3701,PTZ_mixingratios_out.dist,0.1034,0.1811,3.091,0.00064,0.7141,0.02426,0.06292,0.08503
pal0p1,0.1% PAL,kasting,0.0,43.8711,OUTPUT_PLOT.dat,6.121,8.32,65.37,0.2192,84.07,3.567,4.465,4.918
pal0p1,0.1% PAL,kasting,5.0,43.8711,OUTPUT_PLOT.dat,6.08,8.267,65.04,0.2169,83.38,3.537,4.428,4.879
pal0p1,0.1% PAL,kasting,10.0,43.8711,OUTPUT_PLOT.dat,5.956,8.107,64.08,0.2097,81.29,3.443,4.319,4.763
pal0p1,0.1% PAL,kasting,15.0,43.8711,OUTPUT_PLOT.dat,5.754,7.846,62.48,0.1989,77.96,3.295,4.146,4.579
pal0p1,0.1% PAL,kasting,20.0,43.8711,OUTPUT_PLOT.dat,5.477,7.488,60.27,0.1842,73.41,3.094,3.909,4.327
pal0p1,0.1% PAL,kasting,25.0,43.8711,OUTPUT_PLOT.dat,5.133,7.042,57.47,0.1663,67.81,2.847,3.618,4.017
pal0p1,0.1% PAL,kasting,30.0,43.8711,OUTPUT_PLOT.dat,4.729,6.516,54.12,0.1463,61.36,2.564,3.282,3.659
pal0p1,0.1% PAL,kasting,35.0,43.8711,OUTPUT_PLOT.dat,4.277,5.925,50.26,0.125,54.28,2.255,2.914,3.265
pal0p1,0.1% PAL,kasting,40.0,43.8711,OUTPUT_PLOT.dat,3.789,5.283,45.95,0.1034,46.81,1.932,2.526,2.848
pal0p1,0.1% PAL,kasting,45.0,43.8711,OUTPUT_PLOT.dat,3.278,4.605,41.25,0.08246,39.22,1.607,2.133,2.422
pal0p1,0.1% PAL,kasting,50.0,43.8711,OUTPUT_PLOT.dat,2.759,3.912,36.24,0.06318,31.81,1.292,1.748,2.002
pal0p1,0.1% PAL,kasting,55.0,43.8711,OUTPUT_PLOT.dat,2.25,3.224,31.01,0.04628,24.85,1.001,1.384,1.603
pal0p1,0.1% PAL,kasting,60.0,43.8711,OUTPUT_PLOT.dat,1.766,2.561,25.67,0.03228,18.59,0.7416,1.055,1.236
pal0p1,0.1% PAL,kasting,65.0,43.8711,OUTPUT_PLOT.dat,1.323,1.946,20.37,0.02141,13.24,0.5231,0.7692,0.9135
pal0p1,0.1% PAL,kasting,70.0,43.8711,OUTPUT_PLOT.dat,0.9363,1.397,15.26,0.01351,8.907,0.3488,0.5324,0.6407
pal0p1,0.1% PAL,kasting,75.0,43.8711,OUTPUT_PLOT.dat,0.6144,0.9305,10.56,0.00815,5.607,0.2178,0.3452,0.4201
pal0p1,0.1% PAL,kasting,80.0,43.8711,OUTPUT_PLOT.dat,0.3605,0.5527,6.467,0.004658,3.227,0.1246,0.2035,0.2492
