sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,4.489,6.584,65.14,0.0731,45.1,1.785,2.589,3.042
5.0,4.456,6.54,64.81,0.07221,44.68,1.768,2.568,3.018
10.0,4.36,6.408,63.85,0.06957,43.44,1.717,2.504,2.948
15.0,4.201,6.192,62.25,0.06535,41.44,1.634,2.4,2.834
20.0,3.985,5.896,60.04,0.05977,38.74,1.523,2.26,2.679
25.0,3.717,5.527,57.25,0.05314,35.44,1.389,2.089,2.489
30.0,3.405,5.096,53.9,0.04584,31.7,1.236,1.893,2.27
35.0,3.057,4.612,50.05,0.03825,27.64,1.072,1.68,2.031
40.0,2.683,4.088,45.75,0.03078,23.44,0.9025,1.457,1.778
45.0,2.296,3.539,41.06,0.02378,19.27,0.7354,1.231,1.521
50.0,1.906,2.98,36.06,0.01758,15.28,0.5771,1.012,1.267
55.0,1.528,2.429,30.84,0.01238,11.65,0.434,0.8064,1.025
60.0,1.175,1.904,25.52,0.008278,8.486,0.3107,0.6197,0.8011
65.0,0.8581,1.422,20.23,0.005266,5.878,0.2105,0.4568,0.6011
70.0,0.5888,1.001,15.15,0.003211,3.854,0.1343,0.3203,0.4285
75.0,0.3734,0.6507,10.47,0.001909,2.384,0.0807,0.2106,0.2855
80.0,0.2131,0.3782,6.4,0.001127,1.379,0.04584,0.1261,0.1718
85.0,0.1034,0.1811,3.091,0.00064,0.7141,0.02426,0.06292,0.08503
