sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,4.297,5.472,62.07,0.07415,44.38,1.769,2.612,3.081
5.0,4.266,5.434,61.76,0.07324,43.97,1.752,2.59,3.058
10.0,4.171,5.319,60.84,0.07056,42.74,1.701,2.526,2.987
15.0,4.017,5.132,59.31,0.06628,40.76,1.619,2.422,2.871
20.0,3.809,4.879,57.2,0.06062,38.1,1.509,2.281,2.715
25.0,3.552,4.565,54.53,0.05389,34.86,1.375,2.109,2.524
30.0,3.251,4.196,51.34,0.04649,31.17,1.224,1.913,2.303
35.0,2.916,3.784,47.66,0.03878,27.17,1.06,1.698,2.062
40.0,2.556,3.339,43.55,0.0312,23.04,0.8921,1.473,1.807
45.0,2.183,2.874,39.07,0.0241,18.92,0.7258,1.246,1.546
50.0,1.81,2.406,34.3,0.01781,15.02,0.5695,1.026,1.29
55.0,1.449,1.947,29.32,0.01252,11.44,0.4278,0.8183,1.045
60.0,1.111,1.513,24.25,0.008367,8.339,0.3059,0.6298,0.8183
65.0,0.8094,1.119,19.22,0.005313,5.779,0.2071,0.4651,0.615
70.0,0.5538,0.7786,14.39,0.003235,3.793,0.132,0.3267,0.4392
75.0,0.3502,0.5007,9.94,0.001921,2.348,0.07927,0.2152,0.293
80.0,0.1996,0.2885,6.079,0.001135,1.359,0.04505,0.129,0.1765
85.0,0.09697,0.1387,2.936,0.0006459,0.7032,0.02387,0.06429,0.08724
