case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,0.25,285.6,0.9837,5.761e-09,143720612978.55957
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,0.75,283.2,0.9266,6.33e-09,150009745478.21045
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,1.25,279.8,0.8722,7.343e-09,165790109241.86206
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,1.75,276.6,0.8204,8.82e-09,189477994071.53906
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,2.25,274.0,0.7712,1.079e-08,219965525257.86917
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,2.75,271.7,0.7245,1.331e-08,257065339596.51074
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,3.25,269.3,0.6802,1.641e-08,300210288984.8492
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,3.75,266.5,0.6383,2.011e-08,348864211244.30896
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,4.25,263.7,0.5986,2.442e-08,401503152540.8212
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,4.75,260.6,0.5609,2.934e-08,457391253438.9441
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,5.25,257.4,0.5252,3.488e-08,515477090334.2771
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,5.75,254.1,0.4913,4.105e-08,574873087628.7819
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,6.25,250.6,0.4592,4.787e-08,635332332635.355
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,6.75,247.0,0.4288,5.537e-08,696224118949.3048
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,7.25,243.3,0.4,6.361e-08,757460508878.4205
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,7.75,239.6,0.3728,7.266e-08,818844055980.2491
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,8.25,235.9,0.347,8.266e-08,880670912127.9496
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,8.75,232.0,0.3226,9.38e-08,944704390771.1467
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,9.25,228.3,0.2996,1.063e-07,1010382648489.5795
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,9.75,224.7,0.2779,1.205e-07,1079416962715.189
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,10.25,221.2,0.2575,1.367e-07,1152596622546.2668
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,10.75,217.9,0.2382,1.552e-07,1228833270023.378
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,11.25,214.8,0.2202,1.762e-07,1308294931865.72
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,11.75,212.1,0.2033,1.997e-07,1386409393731.3054
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,12.25,209.5,0.1876,2.258e-07,1464500288768.937
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,12.75,207.4,0.1729,2.542e-07,1534894411211.0098
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,13.25,205.3,0.1592,2.846e-07,1598474553781.3044
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,13.75,203.3,0.1465,3.169e-07,1654014081318.7007
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,14.25,201.4,0.1347,3.509e-07,1699840666804.1782
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,14.75,199.4,0.1237,3.871e-07,1739339798355.5408
pal0p1,0.1% PAL,atmos,PTZ_mixingratios_out.dist,90.3701,15.25,197.5,0.1135,4.264e-07,1774854168518.8577
