sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,6.121,8.32,65.37,0.2192,84.07,3.567,4.465,4.918
5.0,6.08,8.267,65.04,0.2169,83.38,3.537,4.428,4.879
10.0,5.956,8.107,64.08,0.2097,81.29,3.443,4.319,4.763
15.0,5.754,7.846,62.48,0.1989,77.96,3.295,4.146,4.579
20.0,5.477,7.488,60.27,0.1842,73.41,3.094,3.909,4.327
25.0,5.133,7.042,57.47,0.1663,67.81,2.847,3.618,4.017
30.0,4.729,6.516,54.12,0.1463,61.36,2.564,3.282,3.659
35.0,4.277,5.925,50.26,0.125,54.28,2.255,2.914,3.265
40.0,3.789,5.283,45.95,0.1034,46.81,1.932,2.526,2.848
45.0,3.278,4.605,41.25,0.08246,39.22,1.607,2.133,2.422
50.0,2.759,3.912,36.24,0.06318,31.81,1.292,1.748,2.002
55.0,2.25,3.224,31.01,0.04628,24.85,1.001,1.384,1.603
60.0,1.766,2.561,25.67,0.03228,18.59,0.7416,1.055,1.236
65.0,1.323,1.946,20.37,0.02141,13.24,0.5231,0.7692,0.9135
70.0,0.9363,1.397,15.26,0.01351,8.907,0.3488,0.5324,0.6407
75.0,0.6144,0.9305,10.56,0.00815,5.607,0.2178,0.3452,0.4201
80.0,0.3605,0.5527,6.467,0.004658,3.227,0.1246,0.2035,0.2492
85.0,0.1713,0.2633,3.127,0.002349,1.566,0.06049,0.099,0.1211
