wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,0.0004152,0.0004054,0.0003773,0.0003338,0.0002797,0.0002208,0.0001628,0.000111,6.899e-05,3.851e-05,1.903e-05,8.345e-06,3.447e-06,1.563e-06,8.822e-07,5.766e-07,3.84e-07,2.311e-07
281.5,0.001493,0.00146,0.001366,0.001219,0.001034,0.0008299,0.0006256,0.0004385,0.0002824,0.0001647,8.584e-05,3.998e-05,1.74e-05,8.031e-06,4.468e-06,2.881e-06,1.904e-06,1.138e-06
282.5,0.003065,0.003002,0.00282,0.002535,0.002174,0.001771,0.00136,0.0009767,0.0006484,0.0003926,0.0002142,0.000105,4.785e-05,2.251e-05,1.238e-05,7.877e-06,5.167e-06,3.068e-06
283.5,0.004431,0.004344,0.004092,0.003697,0.003193,0.002625,0.002041,0.001489,0.001008,0.0006255,0.0003513,0.000178,8.356e-05,3.982e-05,2.175e-05,1.369e-05,8.932e-06,5.279e-06
284.5,0.005247,0.005153,0.004879,0.004447,0.00389,0.003254,0.002587,0.001942,0.001362,0.0008836,0.000522,0.0002822,0.0001406,6.926e-05,3.757e-05,2.32e-05,1.494e-05,8.742e-06
285.5,0.003718,0.003656,0.003475,0.003188,0.002815,0.002385,0.001928,0.001478,0.001065,0.0007133,0.0004398,0.0002479,0.0001291,6.542e-05,3.542e-05,2.152e-05,1.37e-05,7.948e-06
286.5,0.01287,0.01267,0.01208,0.01113,0.009905,0.008474,0.006939,0.005405,0.003973,0.002729,0.001734,0.001012,0.0005456,0.000283,0.0001533,9.196e-05,5.795e-05,3.335e-05
287.5,0.01892,0.01864,0.01783,0.01653,0.01482,0.01282,0.01065,0.008445,0.006348,0.004483,0.002945,0.001786,0.001002,0.0005356,0.0002918,0.0001726,0.0001072,6.111e-05
288.5,0.02161,0.02132,0.01979,0.01908,0.01726,0.01511,0.01274,0.0103,0.007934,0.005772,0.003932,0.002487,0.001459,0.0008086,0.0004458,0.0002601,0.0001588,8.934e-05
289.5,0.04113,0.04061,0.03908,0.03661,0.03333,0.02942,0.02509,0.02057,0.01611,0.01198,0.008371,0.005457,0.003306,0.001883,0.001051,0.0006078,0.0003658,0.0002035
290.5,0.06759,0.06678,0.0644,0.06055,0.05542,0.04927,0.0424,0.03517,0.02796,0.02115,0.01511,0.0101,0.006289,0.003672,0.002074,0.001194,0.0007089,0.0003899
291.5,0.07759,0.07673,0.07417,0.07003,0.06449,0.05779,0.05026,0.04224,0.03413,0.02635,0.01929,0.01327,0.008532,0.005135,0.002955,0.001696,0.0009915,0.0005373
292.5,0.08114,0.08029,0.07777,0.07368,0.06818,0.06151,0.05395,0.04583,0.03754,0.02946,0.022,0.0155,0.01023,0.006321,0.003704,0.002128,0.001227,0.0006555
293.5,0.1068,0.1058,0.1026,0.09756,0.0907,0.08234,0.0728,0.06248,0.05183,0.04132,0.03144,0.02265,0.01534,0.009724,0.005811,0.003354,0.001911,0.001005
294.5,0.1096,0.1086,0.1055,0.1006,0.09385,0.08562,0.07618,0.06591,0.05521,0.04455,0.0344,0.02522,0.01743,0.01128,0.006855,0.003979,0.002248,0.001165
