sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.92,7.166,62.32,0.2232,83.25,3.562,4.497,4.966
5.0,5.88,7.119,62.01,0.2209,82.56,3.53,4.46,4.928
10.0,5.757,6.976,61.08,0.2138,80.49,3.437,4.351,4.812
15.0,5.563,6.747,59.55,0.2025,77.17,3.288,4.175,4.625
20.0,5.293,6.431,57.44,0.1873,72.64,3.086,3.936,4.37
25.0,4.958,6.038,54.76,0.1691,67.08,2.838,3.643,4.057
30.0,4.566,5.576,51.56,0.1487,60.67,2.555,3.305,3.696
35.0,4.121,5.052,47.88,0.1268,53.51,2.24,2.93,3.293
40.0,3.652,4.495,43.76,0.1049,46.23,1.922,2.544,2.878
45.0,3.156,3.905,39.27,0.08369,38.71,1.598,2.149,2.449
50.0,2.654,3.303,34.49,0.0641,31.37,1.284,1.761,2.025
55.0,2.161,2.708,29.5,0.04694,24.49,0.9935,1.396,1.623
60.0,1.693,2.139,24.41,0.03274,18.31,0.7356,1.064,1.253
65.0,1.266,1.615,19.36,0.02171,13.03,0.5184,0.7766,0.9265
70.0,0.8945,1.152,14.51,0.0137,8.761,0.3453,0.5379,0.6505
75.0,0.5859,0.762,10.04,0.008258,5.514,0.2154,0.3491,0.4269
80.0,0.3433,0.4501,6.149,0.004718,3.174,0.1232,0.2059,0.2534
85.0,0.1632,0.2141,2.974,0.002379,1.541,0.05985,0.1002,0.1231
