case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,0.5,279.7022581002072,0.955,4.253e-09,105176690000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,1.5,273.94783645344535,0.8442,4.806e-09,107269920000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,2.5,269.2157538288427,0.7445,6.752e-09,135242560000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,3.5,263.71015497532784,0.655,1.05e-08,188895000000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,4.5,257.37853175736166,0.5746,1.627e-08,263085900000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,5.5,250.6107704723454,0.5024,2.409e-08,349786800000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,6.5,243.24818862771056,0.4376,3.375e-08,439762500000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,7.5,235.80030942442139,0.3796,4.477e-08,522018200000.00006
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,8.5,228.22321520252711,0.3277,5.641e-08,586664000000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,9.5,221.12104264059425,0.2816,6.838e-08,630737120000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,10.5,214.74850428480207,0.2409,8.333e-08,677056250000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,11.5,209.53863666874267,0.2052,1.057e-07,749730100000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,12.5,205.20767564565503,0.1741,1.348e-07,828345999999.9999
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,13.5,201.3759073259117,0.1473,1.628e-07,862514400000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,14.5,197.53555952836146,0.1242,1.841e-07,838391400000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,15.5,193.93847701322588,0.1044,2.021e-07,787987900000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,16.5,190.86972603865442,0.08749,2.185e-07,725420000000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,17.5,188.683508991567,0.07315,2.268e-07,636854400000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,18.5,187.048794418036,0.06105,2.246e-07,530954400000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,19.5,185.87734218924433,0.05089,2.145e-07,425353500000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,20.5,184.75897698050056,0.04237,2.011e-07,334027100000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,21.5,183.62754027715593,0.03524,1.876e-07,260764000000.00003
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,22.5,182.50789734048954,0.02928,1.754e-07,203814800000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,23.5,181.50374707617826,0.0243,1.642e-07,159224740000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,24.5,180.6037073359787,0.02015,1.534e-07,123962540000.00002
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,25.5,179.96965870832713,0.0167,1.421e-07,95505410000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,26.5,179.61320107016692,0.01383,1.297e-07,72333690000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,27.5,179.78003490105584,0.01146,1.177e-07,54342090000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,28.5,180.07804610222385,0.00949,1.06e-07,40460200000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,29.5,180.27203515396826,0.007865,9.469e-08,29922040000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,30.5,179.98353726095388,0.006518,8.388e-08,22001724000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,31.5,179.10011381394176,0.005398,7.378e-08,16106174000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,32.5,177.7313534320565,0.004466,6.427e-08,11697140000.000002
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,33.5,176.13261854760225,0.003689,5.492e-08,8331364000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,34.5,174.78476828159774,0.003043,4.534e-08,5717374000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,35.5,173.69267093967503,0.002506,3.597e-08,3758864999.9999995
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,36.5,173.20329401402986,0.002063,2.786e-08,2403482200.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,37.5,172.922354610576,0.001697,2.152e-08,1529641600.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,38.5,172.84080069045694,0.001396,1.681e-08,983385000.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,39.5,172.83848645752582,0.001149,1.337e-08,643765500.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,40.5,172.589118374641,0.0009448,1.081e-08,428616500.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,41.5,172.26164955503575,0.000777,8.88e-09,290109600.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,42.5,171.78185178591522,0.0006387000000000001,7.389e-09,198985770.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,43.5,171.0345017896555,0.0005247,6.224e-09,138297280.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,44.5,170.2809716844101,0.0004307,5.298e-09,97059360.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,45.5,169.4183567063112,0.00035319999999999997,4.567e-09,68961700.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,46.5,168.63360155607018,0.0002894,3.989e-09,49583270.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,47.5,167.89234004401732,0.0002369,3.553e-09,36311660.0
