sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.358,7.518,65.28,0.1346,64.17,2.629,3.471,3.924
5.0,5.32,7.468,64.96,0.1331,63.61,2.605,3.442,3.893
10.0,5.207,7.32,63.99,0.1285,61.94,2.534,3.356,3.801
15.0,5.026,7.08,62.4,0.1212,59.23,2.418,3.217,3.651
20.0,4.776,6.749,60.18,0.1115,55.56,2.262,3.029,3.447
25.0,4.465,6.337,57.39,0.09989,51.07,2.072,2.798,3.198
30.0,4.102,5.853,54.04,0.08694,45.91,1.854,2.533,2.91
35.0,3.696,5.308,50.18,0.0733,40.29,1.618,2.243,2.594
40.0,3.259,4.718,45.88,0.05965,34.4,1.373,1.939,2.26
45.0,2.802,4.096,41.18,0.04663,28.47,1.128,1.631,1.92
50.0,2.341,3.462,36.17,0.03484,22.74,0.8935,1.332,1.586
55.0,1.889,2.833,30.94,0.02472,17.43,0.678,1.05,1.269
60.0,1.462,2.23,25.61,0.01656,12.73,0.4893,0.7959,0.9773
65.0,1.075,1.672,20.31,0.01042,8.782,0.3329,0.576,0.7202
70.0,0.741,1.179,15.21,0.006171,5.676,0.2114,0.3944,0.5027
75.0,0.4683,0.765,10.52,0.003471,3.402,0.124,0.252,0.3269
80.0,0.2614,0.4381,6.43,0.001891,1.865,0.06644,0.1461,0.1918
85.0,0.1189,0.2009,3.103,0.0009839,0.8957,0.03184,0.0706,0.09271
