case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,0.5,283.217,1.00812,5.22247e-09,134643632551.99998
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,1.5,276.577,0.894693,5.03757e-09,118030768856.99998
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,2.5,271.742,0.792395,5.64452e-09,119214520208.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,3.5,266.549,0.700271,7.42272e-09,141243969792.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,4.5,260.603,0.617319,1.05677e-08,181312142440.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,5.5,254.12,0.542635,1.51725e-08,234662436750.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,6.5,247.033,0.475411,2.12012e-08,295523526800.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,7.5,239.628,0.414948,2.84663e-08,357030027860.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,8.5,232.044,0.360662,3.66478e-08,412566273280.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,9.5,224.669,0.312072,4.54784e-08,457544538880.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,10.5,217.868,0.268799,5.60887e-08,501216475618.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,11.5,212.064,0.230524,7.58744e-08,597394812168.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,12.5,207.354,0.196945,1.13052e-07,777728798280.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,13.5,203.308,0.167699,1.67281e-07,999401933590.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,14.5,199.434,0.142351,2.32667e-07,1202855816620.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,15.5,195.673,0.120457,2.95861e-07,1319187985410.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,16.5,192.257,0.10162,3.59409e-07,1375947039240.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,17.5,189.643,0.0855001,4.23579e-07,1383188752920.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,18.5,187.793,0.0717923,4.83836e-07,1339717692200.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,19.5,186.443,0.060194,5.29568e-07,1238357698240.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,20.5,185.307,0.0504122,5.48399e-07,1080581841570.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,21.5,184.216,0.042177,5.33499e-07,884706726690.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,22.5,183.118,0.0352513,4.85489e-07,676927022480.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,23.5,182.052,0.0294331,4.14826e-07,485761246000.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,24.5,181.06,0.0245513,3.38022e-07,331980532794.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,25.5,180.255,0.0204616,2.67779e-07,220163341557.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,26.5,179.775,0.0170427,2.10433e-07,144491083821.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,27.5,179.685,0.0141916,1.65318e-07,94570492536.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,28.5,179.914,0.0118187,1.30083e-07,61893231233.99999
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,29.5,180.207,0.0098458,1.02723e-07,40650264621.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,30.5,180.234,0.00820412,8.1828e-08,26978282460.0
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,31.5,179.705,0.00683499,6.61603e-08,18226037924.899998
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,32.5,178.468,0.00568969,5.44377e-08,12570263744.699999
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,33.5,176.943,0.00472986,4.51014e-08,8732172256.800001
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,34.5,175.449,0.00392592,3.72922e-08,6044021438.4
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,35.5,174.205,0.00325401,3.05633e-08,4135000546.8999996
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,36.5,173.361,0.00269415,2.46987e-08,2780110370.7
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,37.5,173.053,0.00222928,1.95999e-08,1828756909.5600002
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,38.5,172.928,0.00184428,1.54377e-08,1192503661.74
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,39.5,172.845,0.00152568,1.2149e-08,776717157.4
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,40.5,172.721,0.00126205,9.60804e-09,508489183.332
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,41.5,172.453,0.00104382,7.68506e-09,336912261.894
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,42.5,172.009,0.00086304,6.24012e-09,226772200.92000002
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,43.5,171.426,0.000713211,5.14818e-09,155135770.93800002
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,44.5,170.696,0.000589,4.32139e-09,108001907.43599999
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,45.5,169.863,0.000486023,3.68768e-09,76423849.088
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,46.5,169.024,0.000400693,3.18542e-09,54694935.567999996
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,47.5,168.269,0.000330059,2.76945e-09,39345853.095000006
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,48.5,167.591,0.000271666,2.41572e-09,28362726.948
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,49.5,167.183,0.000223472,2.09217e-09,20255573.993699998
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,50.5,166.826,0.000183756,1.80199e-09,14376258.200100001
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,51.5,167.024,0.000151088,1.51098e-09,9899820.081600001
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,52.5,167.222,0.000124265,1.2364e-09,6654737.54
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,53.5,168.119,0.000102271,9.75102e-10,4296396.922200001
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,54.5,169.23,8.42729e-05,9.72744e-10,3508531.9689599997
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,55.5,170.751,6.95493e-05,1.51318e-09,4464138.2406
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,56.5,173.131,5.75247e-05,2.23241e-09,5372428.6096
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,57.5,175.511,4.77064e-05,2.74175e-09,5397792.895
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,58.5,179.008,3.96874e-05,2.85397e-09,4582962.1054
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,59.5,182.793,3.31412e-05,2.68536e-09,3526361.0448
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,60.5,186.807,2.77823e-05,2.34257e-09,2523392.9783
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,61.5,192.212,2.33925e-05,1.86267e-09,1641908.21427
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,62.5,197.616,1.97923e-05,1.41916e-09,1029491.3046800001
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,63.5,203.296,1.6825e-05,1.03594e-09,620980.76578
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,64.5,209.64,1.43712e-05,7.22934e-10,358949.020878
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,65.5,215.984,1.2334e-05,4.93732e-10,204216.93610800002
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,66.5,222.323,1.06335e-05,3.31651e-10,114891.534373
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,67.5,228.646,9.20628e-06,2.20098e-10,64187.840034
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,68.5,234.97,8.0026e-06,1.44773e-10,35712.748413
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,69.5,241.294,6.98269e-06,9.46537e-11,19839.5101737
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,70.5,251.195,6.11988e-06,5.74587e-11,10139.2196607
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,71.5,261.796,5.39231e-06,3.45789e-11,5158.6877754
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,72.5,272.397,4.77551e-06,2.09455e-11,2659.6595899999998
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,73.5,282.998,4.2492e-06,1.27645e-11,1388.1776685
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,74.5,301.053,3.80208e-06,6.93294e-12,634.179593796
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,75.5,319.157,3.42442e-06,3.8265e-12,297.37262100000004
pal0p1,0.1% PAL,photochem,Earth_0.1pc_48.2.txt,64.1089,76.5,337.262,3.10236e-06,2.14067e-12,142.623423152
