wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,5.859e-05,5.679e-05,5.166e-05,4.397e-05,3.483e-05,2.546e-05,1.697e-05,1.015e-05,5.336e-06,2.393e-06,8.879e-07,2.687e-07,7.384e-08,2.73e-08,1.655e-08,1.22e-08,9.16e-09,6.28e-09
281.5,0.0002528,0.0002456,0.000225,0.0001939,0.0001563,0.000117,8.045e-05,5.009e-05,2.768e-05,1.324e-05,5.32e-06,1.77e-06,5.278e-07,1.947e-07,1.135e-07,8.244e-08,6.155e-08,4.208e-08
282.5,0.000607,0.0005909,0.0005447,0.0004742,0.0003881,0.0002965,0.0002094,0.0001349,7.787e-05,3.934e-05,1.693e-05,6.112e-06,1.96e-06,7.271e-07,4.08e-07,2.917e-07,2.165e-07,1.475e-07
283.5,0.0009704,0.0009459,0.0008754,0.0007673,0.0006342,0.0004911,0.0003529,0.0002325,0.000138,7.224e-05,3.25e-05,1.236e-05,4.155e-06,1.552e-06,8.478e-07,5.98e-07,4.418e-07,3.004e-07
284.5,0.001387,0.001356,0.001264,0.001122,0.0009438,0.0007489,0.0005557,0.0003813,0.0002384,0.0001332,6.5e-05,2.725e-05,1.007e-05,3.87e-06,2.017e-06,1.379e-06,1.008e-06,6.815e-07
285.5,0.001128,0.001104,0.001035,0.0009269,0.0007906,0.0006388,0.0004853,0.0003432,0.0002229,0.0001306,6.767e-05,3.046e-05,1.209e-05,4.788e-06,2.414e-06,1.602e-06,1.157e-06,7.786e-07
286.5,0.004338,0.004252,0.004001,0.003609,0.00311,0.002548,0.001972,0.001427,0.0009542,0.0005801,0.0003146,0.0001495,6.274e-05,2.557e-05,1.26e-05,8.128e-06,5.807e-06,3.887e-06
287.5,0.007172,0.00704,0.006657,0.006052,0.005276,0.00439,0.003465,0.002574,0.001778,0.001126,0.0006423,0.0003245,0.0001452,6.154e-05,2.974e-05,1.85e-05,1.3e-05,8.639e-06
288.5,0.009299,0.009144,0.008689,0.007968,0.007032,0.005951,0.004801,0.003666,0.002623,0.001736,0.001046,0.0005647,0.0002714,0.0001211,5.793e-05,3.444e-05,2.363e-05,1.554e-05
289.5,0.01937,0.01907,0.01819,0.01678,0.01494,0.0128,0.01049,0.008171,0.005995,0.004095,0.002565,0.001451,0.0007347,0.0003417,0.0001634,9.379e-05,6.287e-05,4.093e-05
