sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.159,6.378,62.23,0.1366,63.33,2.614,3.495,3.965
5.0,5.123,6.335,61.92,0.135,62.77,2.591,3.466,3.934
10.0,5.014,6.206,60.99,0.1304,61.12,2.519,3.38,3.841
15.0,4.837,5.995,59.47,0.123,58.43,2.404,3.24,3.689
20.0,4.594,5.707,57.35,0.1131,54.8,2.248,3.05,3.485
25.0,4.293,5.347,54.68,0.1013,50.35,2.058,2.818,3.233
30.0,3.941,4.927,51.48,0.08819,45.25,1.841,2.552,2.943
35.0,3.548,4.455,47.8,0.07435,39.69,1.606,2.261,2.625
40.0,3.125,3.944,43.68,0.0605,33.87,1.362,1.955,2.288
45.0,2.684,3.41,39.2,0.0473,28.02,1.118,1.646,1.946
50.0,2.238,2.866,34.41,0.03534,22.37,0.8849,1.345,1.609
55.0,1.803,2.331,29.43,0.02507,17.13,0.6708,1.061,1.288
60.0,1.393,1.821,24.35,0.01679,12.5,0.4835,0.8053,0.9938
65.0,1.022,1.353,19.3,0.01056,8.627,0.3286,0.5836,0.7335
70.0,0.7022,0.9445,14.45,0.006242,5.577,0.2084,0.4003,0.5129
75.0,0.4425,0.6057,9.99,0.003506,3.345,0.1221,0.2563,0.3341
80.0,0.2463,0.3428,6.11,0.001909,1.835,0.06543,0.1488,0.1963
85.0,0.1121,0.1565,2.948,0.0009945,0.8817,0.03139,0.07193,0.09489
