sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,6.752,8.976,65.43,0.3071,101.8,4.444,5.393,5.846
5.0,6.707,8.919,65.1,0.304,101.0,4.407,5.35,5.801
10.0,6.572,8.748,64.14,0.2948,98.57,4.295,5.221,5.666
15.0,6.353,8.471,62.54,0.2801,94.7,4.116,5.015,5.449
20.0,6.054,8.089,60.32,0.2605,89.4,3.874,4.735,5.154
25.0,5.68,7.612,57.52,0.2365,82.83,3.575,4.389,4.789
30.0,5.24,7.051,54.17,0.2093,75.22,3.23,3.988,4.365
35.0,4.748,6.418,50.31,0.1802,66.82,2.852,3.547,3.898
40.0,4.213,5.728,46.0,0.1503,57.9,2.454,3.08,3.401
45.0,3.652,5.0,41.3,0.121,48.77,2.051,2.602,2.891
50.0,3.081,4.253,36.28,0.09351,39.76,1.657,2.132,2.387
55.0,2.518,3.508,31.05,0.06901,31.21,1.288,1.686,1.905
60.0,1.979,2.79,25.71,0.04836,23.43,0.9569,1.28,1.462
65.0,1.485,2.12,20.4,0.03206,16.7,0.675,0.9272,1.072
70.0,1.051,1.522,15.29,0.02011,11.2,0.4486,0.6354,0.7437
75.0,0.6885,1.012,10.58,0.01205,7.01,0.2788,0.4078,0.4826
80.0,0.4035,0.6003,6.478,0.006983,4.032,0.1599,0.2397,0.2855
85.0,0.1939,0.288,3.133,0.003751,2.02,0.08054,0.1198,0.1419
