wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,0.001186,0.001163,0.001095,0.0009885,0.000853,0.0007001,0.0005431,0.0003947,0.0002656,0.0001631,9.009e-05,4.436e-05,2e-05,9.253e-06,5.217e-06,3.584e-06,2.579e-06,1.68e-06
281.5,0.003899,0.003827,0.003618,0.003289,0.002865,0.002383,0.001815,0.001397,0.0009665,0.0006145,0.000354,0.0001831,8.656e-05,4.092e-05,2.267e-05,1.525e-05,1.088e-05,7.054e-06
282.5,0.007406,0.007278,0.006904,0.006311,0.005546,0.004666,0.003737,0.002829,0.002004,0.001312,0.0007839,0.000423,0.0002084,0.0001007,5.51e-05,3.629e-05,2.564e-05,1.655e-05
283.5,0.01017,0.01,0.009508,0.008725,0.00771,0.006534,0.005285,0.00405,0.002913,0.001945,0.001189,0.0006592,0.0003337,0.0001637,8.886e-05,5.761e-05,4.04e-05,2.598e-05
284.5,0.01099,0.01082,0.01033,0.009543,0.008517,0.007317,0.006023,0.00472,0.003492,0.002414,0.001541,0.0008987,0.0004795,0.0002439,0.0001316,8.284e-05,5.709e-05,3.641e-05
285.5,0.007266,0.007162,0.006857,0.006369,0.005726,0.004969,0.004144,0.003301,0.002494,0.001769,0.001165,0.0007052,0.0003914,0.000205,0.0001106,6.804e-05,4.612e-05,2.918e-05
286.5,0.02383,0.02351,0.02256,0.02103,0.01902,0.01663,0.01401,0.0113,0.008676,0.006277,0.004236,0.002638,0.00151,0.0008101,0.0004385,0.0002647,0.0001766,0.0001109
287.5,0.033,0.03258,0.03134,0.02936,0.02672,0.02356,0.02007,0.01642,0.01283,0.009487,0.006576,0.004228,0.002506,0.001386,0.0007562,0.0004479,0.0002927,0.000182
288.5,0.0353,0.03488,0.03365,0.03167,0.02902,0.02583,0.02227,0.0185,0.01473,0.01116,0.007961,0.005299,0.003265,0.001871,0.001037,0.0006035,0.0003841,0.0002352
289.5,0.06407,0.06335,0.06124,0.05783,0.05326,0.04773,0.0415,0.03486,0.02814,0.02167,0.01579,0.01077,0.006825,0.004017,0.002258,0.001301,0.0008101,0.0004895
