sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,6.549,7.812,62.38,0.3153,101.2,4.459,5.442,5.912
5.0,6.505,7.761,62.07,0.3121,100.4,4.422,5.399,5.866
10.0,6.375,7.61,61.14,0.3026,97.96,4.31,5.27,5.731
15.0,6.161,7.363,59.62,0.2872,94.04,4.127,5.06,5.509
20.0,5.868,7.023,57.5,0.2667,88.73,3.881,4.775,5.209
25.0,5.503,6.599,54.82,0.2418,82.17,3.578,4.424,4.839
30.0,5.075,6.102,51.62,0.2138,74.58,3.231,4.019,4.41
35.0,4.595,5.541,47.93,0.1837,66.21,2.85,3.573,3.937
40.0,4.075,4.932,43.81,0.153,57.33,2.449,3.102,3.435
45.0,3.529,4.291,39.32,0.123,48.25,2.045,2.621,2.921
50.0,2.974,3.636,34.53,0.09498,39.3,1.65,2.147,2.412
55.0,2.427,2.986,29.54,0.07005,30.82,1.282,1.699,1.926
60.0,1.905,2.362,24.45,0.04907,23.12,0.9513,1.29,1.479
65.0,1.427,1.784,19.39,0.03252,16.46,0.6703,0.9347,1.085
70.0,1.008,1.272,14.53,0.0204,11.03,0.4451,0.641,0.7535
75.0,0.6591,0.8401,10.06,0.01222,6.902,0.2764,0.4116,0.4894
80.0,0.3857,0.4955,6.16,0.007078,3.971,0.1585,0.2421,0.2897
85.0,0.1854,0.2378,2.98,0.003802,1.992,0.0799,0.121,0.144
