Spectral Irradiance, W m-2 nm-1
values at z =      0.000 km
Columns: wavelength (nm), solar zenith angles (deg.)
    wc, nm     48.200
  280.5000  1.130E-04
  281.5000  4.362E-04
  282.5000  9.545E-04
  283.5000  1.435E-03
  284.5000  1.829E-03
  285.5000  1.367E-03
  286.5000  4.923E-03
  287.5000  7.565E-03
  288.5000  9.057E-03
  289.5000  1.782E-02
  290.5000  3.009E-02
  291.5000  3.563E-02
  292.5000  3.776E-02
  293.5000  5.146E-02
  294.5000  5.375E-02
  295.5000  7.158E-02
  296.5000  7.368E-02
  297.5000  8.891E-02
  298.5000  7.176E-02
  299.5000  1.109E-01
  300.5000  7.841E-02
  301.5000  1.148E-01
  302.5000  1.172E-01
  303.5000  1.580E-01
  304.5000  1.509E-01
  305.5000  1.631E-01
  306.5000  1.562E-01
  307.5000  1.911E-01
  308.5000  2.008E-01
  309.5000  1.587E-01
  310.5000  1.999E-01
  311.5000  2.444E-01
  312.5000  2.176E-01
  313.5000  2.414E-01
  314.5000  2.230E-01
  315.5000  2.273E-01
  316.5000  2.130E-01
  317.5000  3.011E-01
  318.5000  2.239E-01
  319.5000  2.703E-01
  320.5000  3.247E-01
  321.5000  2.618E-01
  322.5000  2.744E-01
  323.5000  2.654E-01
  324.5000  3.123E-01
  325.5000  3.531E-01
  326.5000  4.093E-01
  327.5000  3.866E-01
  328.5000  3.570E-01
  329.5000  4.480E-01
  330.5000  4.130E-01
  331.5000  4.095E-01
  332.5000  3.938E-01
  333.5000  3.740E-01
  334.5000  4.159E-01
  335.5000  4.169E-01
  336.5000  3.271E-01
  337.5000  3.621E-01
  338.5000  3.778E-01
  339.5000  4.102E-01
  340.5000  4.406E-01
  341.5000  3.891E-01
  342.5000  4.307E-01
  343.5000  4.485E-01
  344.5000  3.152E-01
  345.5000  4.294E-01
  346.5000  4.033E-01
  347.5000  3.940E-01
  348.5000  4.326E-01
  349.5000  3.627E-01
  350.5000  5.079E-01
  351.5000  4.381E-01
  352.5000  3.950E-01
  353.5000  4.754E-01
  354.5000  5.144E-01
  355.5000  4.808E-01
  356.5000  4.464E-01
  357.5000  3.797E-01
  358.5000  2.930E-01
  359.5000  4.933E-01
  360.5000  4.574E-01
  361.5000  4.124E-01
  362.5000  4.844E-01
  363.5000  4.310E-01
  364.5000  4.704E-01
  365.5000  5.734E-01
  366.5000  6.069E-01
  367.5000  5.765E-01
  368.5000  5.065E-01
  369.5000  6.078E-01
  370.5000  5.516E-01
  371.5000  6.313E-01
  372.5000  4.664E-01
  373.5000  4.217E-01
  374.5000  4.630E-01
  375.5000  5.226E-01
  376.5000  5.220E-01
  377.5000  6.217E-01
  378.5000  6.778E-01
  379.5000  5.016E-01
  380.5000  6.035E-01
  381.5000  5.672E-01
  382.5000  3.781E-01
  383.5000  3.321E-01
  384.5000  4.985E-01
  385.5000  4.934E-01
  386.5000  5.031E-01
  387.5000  4.677E-01
  388.5000  4.689E-01
  389.5000  5.915E-01
  390.5000  5.812E-01
  391.5000  6.897E-01
  392.5000  5.174E-01
  393.5000  2.250E-01
  394.5000  5.296E-01
  395.5000  6.816E-01
  396.5000  4.004E-01
  397.5000  4.622E-01
  398.5000  7.944E-01
  399.5000  8.265E-01
  400.5000  8.693E-01
  401.5000  8.946E-01
  402.5000  9.291E-01
  403.5000  8.507E-01
  404.5000  8.346E-01
  405.5000  8.673E-01
  406.5000  8.171E-01
  407.5000  8.241E-01
  408.5000  9.181E-01
  409.5000  9.004E-01
  410.5000  7.810E-01
  411.5000  9.391E-01
  412.5000  9.310E-01
  413.5000  9.033E-01
  414.5000  9.287E-01
  415.5000  8.886E-01
  416.5000  9.674E-01
  417.5000  8.847E-01
  418.5000  8.919E-01
  419.5000  9.216E-01
------------------------------------------------------------
Dose rates, W m-2
   1 = UV-B, 280-315 nm                                  
   2 = UV-B*, 280-320 nm                                 
   3 = UV-A, 315-400 nm                                  
   4 = DNA damage, in vitro (Setlow, 1974)               
   5 = UV index (WMO, 1994; Webb et al., 2011)           
   6 = Plant damage (Caldwell, 1971)                     
   7 = Plant damage,Flint&Caldwell,2003,orig.            
   8 = Plant damage,Flint&Caldwell,2003,ext390           
values at z =      0.000 km
Columns: sza, weighting spectra
 sza, deg.          1          2          3          4          5          6          7          8
   48.2000  3.287E+00  4.522E+00  3.812E+01  1.030E-01  4.295E+01  1.796E+00  2.299E+00  2.566E+00
------------------------------------------------------------
