wavelength_nm,irradiance_col1
280.5,0.000113
281.5,0.0004362
282.5,0.0009545
283.5,0.001435
284.5,0.001829
285.5,0.001367
286.5,0.004923
287.5,0.007565
288.5,0.009057
289.5,0.01782
290.5,0.03009
291.5,0.03563
292.5,0.03776
293.5,0.05146
294.5,0.05375
295.5,0.07158
296.5,0.07368
297.5,0.08891
298.5,0.07176
299.5,0.1109
300.5,0.07841
301.5,0.1148
302.5,0.1172
303.5,0.158
304.5,0.1509
305.5,0.1631
306.5,0.1562
307.5,0.1911
308.5,0.2008
309.5,0.1587
310.5,0.1999
311.5,0.2444
312.5,0.2176
313.5,0.2414
314.5,0.223
315.5,0.2273
316.5,0.213
317.5,0.3011
318.5,0.2239
319.5,0.2703
320.5,0.3247
321.5,0.2618
322.5,0.2744
323.5,0.2654
324.5,0.3123
325.5,0.3531
326.5,0.4093
327.5,0.3866
328.5,0.357
329.5,0.448
330.5,0.413
331.5,0.4095
332.5,0.3938
333.5,0.374
334.5,0.4159
335.5,0.4169
336.5,0.3271
337.5,0.3621
338.5,0.3778
339.5,0.4102
340.5,0.4406
341.5,0.3891
342.5,0.4307
343.5,0.4485
344.5,0.3152
345.5,0.4294
346.5,0.4033
347.5,0.394
348.5,0.4326
349.5,0.3627
350.5,0.5079
351.5,0.4381
352.5,0.395
353.5,0.4754
354.5,0.5144
355.5,0.4808
356.5,0.4464
357.5,0.3797
358.5,0.293
359.5,0.4933
360.5,0.4574
361.5,0.4124
362.5,0.4844
363.5,0.431
364.5,0.4704
365.5,0.5734
366.5,0.6069
367.5,0.5765
368.5,0.5065
369.5,0.6078
370.5,0.5516
371.5,0.6313
372.5,0.4664
373.5,0.4217
374.5,0.463
375.5,0.5226
376.5,0.522
377.5,0.6217
378.5,0.6778
379.5,0.5016
380.5,0.6035
381.5,0.5672
382.5,0.3781
383.5,0.3321
384.5,0.4985
385.5,0.4934
386.5,0.5031
387.5,0.4677
388.5,0.4689
389.5,0.5915
390.5,0.5812
391.5,0.6897
392.5,0.5174
393.5,0.225
394.5,0.5296
395.5,0.6816
396.5,0.4004
397.5,0.4622
398.5,0.7944
399.5,0.8265
400.5,0.8693
401.5,0.8946
402.5,0.9291
403.5,0.8507
404.5,0.8346
405.5,0.8673
406.5,0.8171
407.5,0.8241
408.5,0.9181
409.5,0.9004
410.5,0.781
411.5,0.9391
412.5,0.931
413.5,0.9033
414.5,0.9287
415.5,0.8886
416.5,0.9674
417.5,0.8847
418.5,0.8919
419.5,0.9216
