sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,8.201,10.47,65.51,0.591,147.0,6.871,7.94,8.393
5.0,8.149,10.4,65.19,0.586,145.9,6.819,7.882,8.333
10.0,7.997,10.21,64.22,0.5715,142.9,6.669,7.715,8.159
15.0,7.746,9.904,62.62,0.5476,137.8,6.422,7.438,7.871
20.0,7.402,9.477,60.4,0.5153,131.0,6.086,7.061,7.479
25.0,6.971,8.943,57.6,0.4755,122.4,5.669,6.592,6.992
30.0,6.464,8.312,54.25,0.4297,112.4,5.185,6.046,6.423
35.0,5.892,7.599,50.39,0.3793,101.3,4.645,5.437,5.788
40.0,5.268,6.818,46.07,0.3263,89.25,4.069,4.784,5.105
45.0,4.608,5.989,41.37,0.2725,76.74,3.473,4.106,4.395
50.0,3.929,5.133,36.35,0.2201,64.13,2.879,3.425,3.68
55.0,3.253,4.274,31.11,0.1712,51.85,2.306,2.765,2.983
60.0,2.598,3.436,25.76,0.1274,40.32,1.776,2.148,2.329
65.0,1.988,2.647,20.45,0.09029,29.93,1.306,1.594,1.738
70.0,1.439,1.932,15.33,0.06055,21.0,0.9078,1.12,1.228
75.0,0.9677,1.309,10.62,0.03809,13.7,0.5883,0.7328,0.8077
80.0,0.5806,0.7904,6.507,0.02198,8.044,0.3443,0.4323,0.478
85.0,0.2783,0.3797,3.15,0.01067,3.856,0.1654,0.2082,0.2303
