case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,0.29456808507664234,284.87283719798893,0.992556095123291,3.1281780060974796e-09,78942739835.71286
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,0.4322995466730905,284.2244901044391,0.976325407391414,3.294442226411239e-09,81965616257.38101
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,0.5942291929426279,283.18481829664825,0.957485479535535,3.2998964061321387e-09,80812632304.61565
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,0.7802383615114589,281.8661210551221,0.9361983984708786,3.293140994430232e-09,79223141074.22955
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,0.9899388550994099,280.41345005575624,0.912644546944648,3.2963139217827676e-09,77704846070.3205
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,1.2229590684979954,278.8738450114845,0.8870202489197254,3.3265240435316662e-09,76636053782.21646
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,1.4789539087380241,277.319002204362,0.8595347665250301,3.405014041582275e-09,76439782619.85968
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,1.8511440171872169,275.33613916972007,0.8208583686500788,3.59794642387878e-09,77692021422.94617
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,2.432527355533308,272.82223817949273,0.763404481112957,4.300110602311652e-09,87150780495.08092
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,3.216143061912035,268.87807687914926,0.6913894303143024,5.515337758400475e-09,102720275079.51833
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,4.1909719896392685,263.31969938611667,0.6097786948084831,7.330468786759757e-09,122952499503.7502
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,5.328069045010871,256.21224298058814,0.5246871747076511,1.0029624110733567e-08,148765403419.37344
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,6.51846002187227,247.88387066183822,0.445992574095726,1.3287571023814285e-08,173157646702.0366
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,7.667578670388857,239.4354229874578,0.37910090386867523,1.671254932487216e-08,191657508110.45346
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,8.77525212144834,231.02575515096567,0.3222419023513794,2.067621374320795e-08,208886005328.87314
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,9.842867328406658,223.19208318668993,0.2739108167588711,2.577252589686117e-08,229088927570.24408
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,10.873905198103405,216.29447581520955,0.23282861895859241,3.277180035876094e-08,255510029622.7163
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,11.873568624151446,210.71226243478944,0.1979080867022276,4.2570470157763276e-08,289600224384.3561
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,12.856611448594881,206.26516741540843,0.16822507977485657,5.488415996696145e-08,324211628843.2956
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,13.828772882295173,202.38904729370103,0.14299403876066208,6.707582835757993e-08,343252483918.923
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,14.782770483089097,198.6315008950166,0.12154724076390266,7.457760095152189e-08,330538541285.1796
pal0p1,0.1% PAL,waccm,Earth_0.1pc_o2.cam.h0.0033-0036.nc,16.5312,15.71912940784179,194.97545344946906,0.10331712663173676,7.370308522970628e-08,282875129404.0158
