wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,0.007252,0.00716,0.006889,0.006452,0.005874,0.005186,0.004424,0.003633,0.002856,0.002136,0.00151,0.001003,0.0006257,0.0003714,0.0002164,0.0001282,7.595e-05,3.906e-05
281.5,0.02026,0.02001,0.01929,0.01813,0.01659,0.01474,0.01268,0.01053,0.008385,0.006371,0.004588,0.003114,0.001987,0.001203,0.0007078,0.0004183,0.0002462,0.0001264
282.5,0.03347,0.03308,0.03195,0.03011,0.02767,0.02472,0.02142,0.01795,0.01445,0.01114,0.00815,0.005634,0.003667,0.002258,0.001343,0.0007928,0.0004637,0.0002373
283.5,0.04198,0.04152,0.04014,0.03791,0.03492,0.03133,0.02728,0.02299,0.01865,0.01449,0.01072,0.007499,0.004942,0.003078,0.001842,0.001087,0.0006327,0.0003231
284.5,0.03836,0.03795,0.03677,0.03484,0.03226,0.02913,0.02559,0.02179,0.01792,0.01415,0.01067,0.007632,0.005154,0.003287,0.001999,0.001184,0.0006839,0.0003473
285.5,0.02243,0.0222,0.02154,0.02047,0.01902,0.01726,0.01526,0.0131,0.01088,0.008693,0.006648,0.004835,0.003325,0.002158,0.00133,0.0007907,0.0004543,0.0002295
286.5,0.06691,0.06627,0.06437,0.06129,0.05712,0.05204,0.04623,0.03993,0.03341,0.02695,0.02084,0.01535,0.0107,0.007045,0.00439,0.002619,0.001498,0.0007531
287.5,0.08336,0.0826,0.08034,0.07665,0.07167,0.06557,0.05857,0.05094,0.04298,0.03502,0.02741,0.02048,0.01451,0.009711,0.006135,0.003682,0.002099,0.001048
288.5,0.07952,0.07883,0.07678,0.07343,0.0689,0.06333,0.0569,0.04985,0.04245,0.03498,0.02774,0.02105,0.01519,0.01035,0.006649,0.004027,0.00229,0.001134
289.5,0.133,0.1319,0.1286,0.1232,0.1159,0.1068,0.09643,0.08495,0.07281,0.06047,0.04843,0.03717,0.02716,0.01876,0.0122,0.007445,0.00423,0.002081
290.5,0.1958,0.1943,0.1896,0.1819,0.1715,0.1586,0.1436,0.1271,0.1095,0.09158,0.07394,0.05729,0.04231,0.02958,0.01944,0.01195,0.006789,0.003321
291.5,0.1985,0.1969,0.1924,0.1849,0.1747,0.1621,0.1474,0.1311,0.1137,0.0958,0.07806,0.06115,0.04573,0.03241,0.02159,0.0134,0.007627,0.003705
292.5,0.1873,0.1859,0.1817,0.1749,0.1656,0.154,0.1405,0.1255,0.1094,0.0928,0.07619,0.06022,0.04551,0.03262,0.02198,0.01377,0.007854,0.003794
293.5,0.2236,0.222,0.2172,0.2093,0.1985,0.1852,0.1695,0.152,0.1332,0.1136,0.09393,0.07488,0.05715,0.04143,0.02823,0.01785,0.01022,0.004912
294.5,0.2126,0.2111,0.2066,0.1993,0.1893,0.1769,0.1624,0.1461,0.1285,0.1101,0.09156,0.07348,0.05653,0.04133,0.02842,0.01811,0.01041,0.004981
295.5,0.2557,0.253,0.2488,0.2403,0.2286,0.214,0.197,0.1778,0.157,0.1353,0.1132,0.09148,0.07097,0.0524,0.0364,0.02341,0.01352,0.00645
296.5,0.2419,0.2403,0.2355,0.2276,0.2169,0.2034,0.1876,0.1698,0.1505,0.1302,0.1095,0.08904,0.06957,0.05178,0.03629,0.02353,0.01365,0.006499
297.5,0.2708,0.269,0.2638,0.2552,0.2434,0.2287,0.2114,0.1918,0.1705,0.148,0.1251,0.1022,0.08039,0.06026,0.04256,0.02781,0.01622,0.007709
298.5,0.2052,0.2039,0.2,0.1936,0.1848,0.1739,0.161,0.1464,0.1305,0.1136,0.09636,0.07915,0.06256,0.04719,0.03355,0.02207,0.01293,0.006141
299.5,0.2982,0.2964,0.2908,0.2817,0.2693,0.2536,0.2352,0.2143,0.1915,0.1673,0.1423,0.1174,0.09329,0.07078,0.05066,0.03354,0.01976,0.009382
300.5,0.2013,0.2001,0.1964,0.1904,0.1821,0.1717,0.1594,0.1455,0.1302,0.114,0.09732,0.08055,0.06424,0.04896,0.03522,0.02344,0.01387,0.006583
301.5,0.28,0.2783,0.2733,0.2651,0.2537,0.2395,0.2226,0.2035,0.1826,0.1603,0.1372,0.114,0.0913,0.06993,0.05059,0.03387,0.02014,0.00957
302.5,0.2763,0.2747,0.2698,0.2617,0.2507,0.2368,0.2203,0.2017,0.1812,0.1593,0.1366,0.1138,0.0914,0.07024,0.05099,0.03427,0.02045,0.009722
303.5,0.3579,0.3558,0.3495,0.3393,0.3251,0.3074,0.2863,0.2624,0.2361,0.2081,0.1789,0.1494,0.1204,0.09289,0.06775,0.04575,0.02742,0.01306
