sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,7.988,9.278,62.47,0.659,148.8,7.246,8.223,8.693
5.0,7.938,9.222,62.16,0.653,147.7,7.189,8.163,8.63
10.0,7.789,9.052,61.23,0.6351,144.5,7.019,7.981,8.442
15.0,7.54,8.769,59.7,0.604,139.2,6.729,7.673,8.123
20.0,7.208,8.39,57.59,0.5672,132.2,6.365,7.28,7.714
25.0,6.788,7.91,54.91,0.5198,123.4,5.903,6.782,7.197
30.0,6.293,7.345,51.7,0.466,113.1,5.372,6.204,6.595
35.0,5.731,6.703,48.01,0.4072,101.6,4.782,5.558,5.921
40.0,5.124,6.006,43.89,0.3473,89.44,4.169,4.88,5.213
45.0,4.481,5.266,39.4,0.2877,76.76,3.541,4.178,4.478
50.0,3.82,4.503,34.61,0.2305,64.03,2.921,3.476,3.741
55.0,3.16,3.739,29.61,0.1779,51.67,2.33,2.8,3.027
60.0,2.522,2.998,24.51,0.1316,40.12,1.788,2.171,2.36
65.0,1.928,2.302,19.45,0.09289,29.74,1.311,1.61,1.76
70.0,1.394,1.673,14.58,0.06216,20.84,0.9102,1.13,1.243
75.0,0.9365,1.13,10.1,0.03908,13.59,0.5894,0.7395,0.8173
80.0,0.5614,0.68,6.191,0.02256,7.975,0.3448,0.4363,0.4838
85.0,0.269,0.3263,2.998,0.01096,3.824,0.1657,0.2101,0.2331
