sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,8.298,10.56,65.51,0.6138,150.2,7.052,8.128,8.581
5.0,8.246,10.5,65.19,0.609,149.1,7.001,8.072,8.523
10.0,8.092,10.31,64.22,0.5938,146.0,6.847,7.9,8.344
15.0,7.838,9.997,62.62,0.5691,140.9,6.593,7.616,8.05
20.0,7.49,9.567,60.41,0.5357,133.9,6.249,7.231,7.649
25.0,7.054,9.027,57.61,0.4944,125.1,5.821,6.751,7.15
30.0,6.541,8.391,54.25,0.447,114.9,5.325,6.193,6.57
35.0,5.962,7.67,50.39,0.3947,103.5,4.771,5.569,5.92
40.0,5.329,6.881,46.08,0.3394,91.24,4.178,4.898,5.219
45.0,4.661,6.043,41.37,0.2834,78.44,3.565,4.202,4.491
50.0,3.973,5.178,36.35,0.2287,65.51,2.952,3.502,3.757
55.0,3.286,4.308,31.11,0.1774,52.89,2.361,2.823,3.041
60.0,2.622,3.461,25.77,0.1315,41.04,1.813,2.187,2.368
65.0,2.001,2.662,20.45,0.0925,30.35,1.326,1.616,1.76
70.0,1.445,1.937,15.33,0.06135,21.16,0.9157,1.128,1.236
75.0,0.967,1.308,10.62,0.03803,13.69,0.5875,0.7319,0.8068
80.0,0.5765,0.7861,6.507,0.0216,7.944,0.3397,0.4274,0.4732
85.0,0.2746,0.3757,3.149,0.0104,3.775,0.1618,0.2044,0.2265
