wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,0.00792,0.007822,0.00753,0.00706,0.006437,0.005674,0.004867,0.004006,0.003156,0.002363,0.00167,0.001104,0.0006816,0.0003963,0.0002243,0.0001296,7.605e-05,3.897e-05
281.5,0.02198,0.02171,0.02095,0.0197,0.01805,0.01606,0.01385,0.01152,0.00919,0.006991,0.005033,0.003402,0.00215,0.001277,0.0007314,0.0004214,0.0002453,0.0001255
282.5,0.03609,0.03568,0.03447,0.03252,0.02991,0.02677,0.02324,0.0195,0.01573,0.01213,0.008877,0.006115,0.003945,0.002389,0.001384,0.0007965,0.0004599,0.0002349
283.5,0.04508,0.04459,0.04313,0.04076,0.0376,0.03377,0.02946,0.02486,0.0202,0.01572,0.01162,0.008102,0.005297,0.003247,0.001896,0.00109,0.0006259,0.000319
284.5,0.04088,0.04046,0.03921,0.03719,0.03447,0.03116,0.02741,0.02337,0.01924,0.01521,0.01146,0.008177,0.005484,0.003448,0.002052,0.001184,0.0006736,0.0003414
285.5,0.02377,0.02354,0.02284,0.02172,0.0202,0.01835,0.01624,0.01396,0.01161,0.009283,0.007097,0.005148,0.003519,0.002256,0.001363,0.00079,0.0004462,0.0002249
286.5,0.07061,0.06994,0.06796,0.06474,0.06039,0.05506,0.04897,0.04235,0.03545,0.02863,0.02213,0.01626,0.01128,0.007341,0.004489,0.002615,0.001469,0.0007362
287.5,0.08752,0.08673,0.08438,0.08055,0.07537,0.06901,0.0617,0.05371,0.04536,0.03698,0.02894,0.02158,0.01522,0.01008,0.006261,0.003674,0.002055,0.001022
288.5,0.08232,0.08231,0.08019,0.07673,0.07203,0.06625,0.05958,0.05225,0.04436,0.0367,0.0291,0.02205,0.01584,0.0107,0.006772,0.004016,0.00224,0.001104
289.5,0.1383,0.1371,0.1337,0.1282,0.1206,0.1113,0.1005,0.08862,0.07601,0.06316,0.05057,0.03875,0.02821,0.01934,0.01241,0.007424,0.004137,0.002023
290.5,0.2029,0.2013,0.1965,0.1886,0.1778,0.1646,0.1491,0.132,0.1139,0.09526,0.07689,0.0595,0.0438,0.03041,0.01975,0.01192,0.00664,0.003224
291.5,0.2048,0.2032,0.1985,0.1909,0.1804,0.1669,0.1524,0.1356,0.1177,0.09918,0.0808,0.06322,0.04715,0.03322,0.02189,0.01337,0.007464,0.003595
292.5,0.1926,0.1912,0.1869,0.1799,0.1704,0.1586,0.1448,0.1294,0.1128,0.09571,0.07856,0.06203,0.04676,0.03335,0.02226,0.01373,0.007693,0.00368
293.5,0.2292,0.2275,0.2226,0.2146,0.2036,0.19,0.174,0.1561,0.1368,0.1167,0.09649,0.07686,0.05854,0.04224,0.02855,0.01781,0.01002,0.004766
294.5,0.2173,0.2157,0.2112,0.2038,0.1934,0.181,0.1662,0.1496,0.1316,0.1128,0.09379,0.07521,0.05775,0.04206,0.02871,0.01807,0.01022,0.004837
295.5,0.2607,0.2589,0.2536,0.245,0.2331,0.2184,0.201,0.1815,0.1603,0.1381,0.1156,0.09335,0.07231,0.0532,0.03673,0.02337,0.0133,0.006271
296.5,0.246,0.2443,0.2395,0.231,0.2206,0.207,0.191,0.1729,0.1533,0.1326,0.1115,0.09064,0.07072,0.05248,0.03657,0.02349,0.01345,0.006326
297.5,0.2748,0.273,0.2677,0.259,0.2471,0.2322,0.2147,0.1948,0.1732,0.1504,0.1271,0.1038,0.08155,0.06097,0.04286,0.02777,0.016,0.007516
298.5,0.2078,0.2065,0.2026,0.1961,0.1873,0.1762,0.1632,0.1484,0.1323,0.1153,0.09772,0.08023,0.06335,0.04768,0.03376,0.02204,0.01277,0.005997
299.5,0.3015,0.2997,0.2941,0.2849,0.2723,0.2566,0.2379,0.2169,0.1938,0.1693,0.1441,0.1188,0.09431,0.07142,0.05093,0.0335,0.01954,0.009179
300.5,0.2033,0.2021,0.1984,0.1923,0.1839,0.1734,0.1611,0.147,0.1316,0.1153,0.09836,0.08138,0.06486,0.04935,0.03539,0.02341,0.01373,0.006451
301.5,0.2824,0.2807,0.2756,0.2673,0.2559,0.2416,0.2246,0.2054,0.1843,0.1618,0.1385,0.115,0.09205,0.0704,0.05079,0.03384,0.01996,0.009396
302.5,0.2783,0.2767,0.2718,0.2637,0.2526,0.2386,0.222,0.2033,0.1826,0.1606,0.1377,0.1147,0.09206,0.07066,0.05118,0.03424,0.02028,0.009559
303.5,0.3601,0.358,0.3517,0.3414,0.3272,0.3093,0.2882,0.2642,0.2377,0.2095,0.1801,0.1504,0.1211,0.09337,0.06796,0.04572,0.02723,0.01286
304.5,0.3358,0.3338,0.328,0.3185,0.3054,0.2889,0.2693,0.247,0.2225,0.1963,0.169,0.1414,0.1141,0.08816,0.06434,0.04342,0.02594,0.01226
305.5,0.35,0.348,0.3421,0.3323,0.3187,0.3017,0.2815,0.2586,0.2332,0.2061,0.1778,0.1491,0.1207,0.09362,0.06862,0.04654,0.02794,0.01325
306.5,0.3301,0.3282,0.3226,0.3134,0.3007,0.2848,0.2658,0.2443,0.2205,0.195,0.1684,0.1414,0.1146,0.08902,0.06536,0.04442,0.02672,0.01268
