sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,8.083,9.376,62.47,0.6911,152.4,7.487,8.448,8.918
5.0,8.033,9.318,62.16,0.6848,151.3,7.427,8.386,8.853
10.0,7.882,9.147,61.24,0.666,148.0,7.25,8.199,8.659
15.0,7.635,8.865,59.71,0.6355,142.7,6.962,7.893,8.343
20.0,7.292,8.475,57.59,0.5927,135.3,6.562,7.468,7.902
25.0,6.87,7.994,54.91,0.5448,126.4,6.094,6.965,7.38
30.0,6.369,7.422,51.71,0.4882,115.9,5.543,6.37,6.761
35.0,5.803,6.776,48.02,0.427,104.1,4.937,5.711,6.074
40.0,5.186,6.069,43.89,0.3637,91.58,4.297,5.007,5.341
45.0,4.534,5.32,39.4,0.3006,78.55,3.645,4.282,4.582
50.0,3.863,4.547,34.61,0.2402,65.46,3.002,3.559,3.823
55.0,3.193,3.773,29.61,0.1848,52.75,2.389,2.861,3.088
60.0,2.546,3.022,24.51,0.136,40.85,1.827,2.212,2.401
65.0,1.941,2.316,19.45,0.09525,30.16,1.333,1.633,1.783
70.0,1.4,1.679,14.58,0.06301,21.01,0.9184,1.139,1.251
75.0,0.9358,1.129,10.1,0.03903,13.57,0.5887,0.7387,0.8165
80.0,0.5573,0.6758,6.191,0.02219,7.875,0.3403,0.4314,0.479
85.0,0.2653,0.3224,2.997,0.01069,3.744,0.1621,0.2064,0.2293
