Spectral Irradiance, W m-2 nm-1
values at z =      0.000 km
Columns: wavelength (nm), solar zenith angles (deg.)
    wc, nm     48.200
  280.5000  1.197E-03
  281.5000  3.721E-03
  282.5000  6.736E-03
  283.5000  8.971E-03
  284.5000  9.173E-03
  285.5000  5.822E-03
  286.5000  1.851E-02
  287.5000  2.477E-02
  288.5000  2.554E-02
  289.5000  4.515E-02
  290.5000  6.972E-02
  291.5000  7.464E-02
  292.5000  7.365E-02
  293.5000  9.180E-02
  294.5000  9.018E-02
  295.5000  1.125E-01
  296.5000  1.096E-01
  297.5000  1.261E-01
  298.5000  9.765E-02
  299.5000  1.451E-01
  300.5000  9.955E-02
  301.5000  1.410E-01
  302.5000  1.408E-01
  303.5000  1.849E-01
  304.5000  1.740E-01
  305.5000  1.838E-01
  306.5000  1.744E-01
  307.5000  2.093E-01
  308.5000  2.183E-01
  309.5000  1.704E-01
  310.5000  2.127E-01
  311.5000  2.584E-01
  312.5000  2.276E-01
  313.5000  2.519E-01
  314.5000  2.306E-01
  315.5000  2.347E-01
  316.5000  2.184E-01
  317.5000  3.086E-01
  318.5000  2.281E-01
  319.5000  2.750E-01
  320.5000  3.299E-01
  321.5000  2.645E-01
  322.5000  2.784E-01
  323.5000  2.675E-01
  324.5000  3.147E-01
  325.5000  3.562E-01
  326.5000  4.110E-01
  327.5000  3.888E-01
  328.5000  3.590E-01
  329.5000  4.490E-01
  330.5000  4.145E-01
  331.5000  4.110E-01
  332.5000  3.944E-01
  333.5000  3.749E-01
  334.5000  4.167E-01
  335.5000  4.172E-01
  336.5000  3.275E-01
  337.5000  3.628E-01
  338.5000  3.780E-01
  339.5000  4.104E-01
  340.5000  4.410E-01
  341.5000  3.892E-01
  342.5000  4.308E-01
  343.5000  4.487E-01
  344.5000  3.154E-01
  345.5000  4.295E-01
  346.5000  4.034E-01
  347.5000  3.941E-01
  348.5000  4.327E-01
  349.5000  3.628E-01
  350.5000  5.080E-01
  351.5000  4.382E-01
  352.5000  3.951E-01
  353.5000  4.755E-01
  354.5000  5.144E-01
  355.5000  4.809E-01
  356.5000  4.464E-01
  357.5000  3.798E-01
  358.5000  2.931E-01
  359.5000  4.934E-01
  360.5000  4.574E-01
  361.5000  4.124E-01
  362.5000  4.844E-01
  363.5000  4.310E-01
  364.5000  4.704E-01
  365.5000  5.734E-01
  366.5000  6.069E-01
  367.5000  5.764E-01
  368.5000  5.065E-01
  369.5000  6.077E-01
  370.5000  5.515E-01
  371.5000  6.312E-01
  372.5000  4.664E-01
  373.5000  4.217E-01
  374.5000  4.630E-01
  375.5000  5.225E-01
  376.5000  5.219E-01
  377.5000  6.217E-01
  378.5000  6.778E-01
  379.5000  5.016E-01
  380.5000  6.034E-01
  381.5000  5.672E-01
  382.5000  3.781E-01
  383.5000  3.321E-01
  384.5000  4.985E-01
  385.5000  4.933E-01
  386.5000  5.030E-01
  387.5000  4.676E-01
  388.5000  4.689E-01
  389.5000  5.915E-01
  390.5000  5.811E-01
  391.5000  6.897E-01
  392.5000  5.173E-01
  393.5000  2.250E-01
  394.5000  5.296E-01
  395.5000  6.816E-01
  396.5000  4.003E-01
  397.5000  4.621E-01
  398.5000  7.943E-01
  399.5000  8.265E-01
  400.5000  8.692E-01
  401.5000  8.946E-01
  402.5000  9.290E-01
  403.5000  8.506E-01
  404.5000  8.345E-01
  405.5000  8.672E-01
  406.5000  8.171E-01
  407.5000  8.240E-01
  408.5000  9.181E-01
  409.5000  9.003E-01
  410.5000  7.810E-01
  411.5000  9.390E-01
  412.5000  9.310E-01
  413.5000  9.032E-01
  414.5000  9.286E-01
  415.5000  8.885E-01
  416.5000  9.673E-01
  417.5000  8.846E-01
  418.5000  8.918E-01
  419.5000  9.215E-01
------------------------------------------------------------
Dose rates, W m-2
   1 = UV-B, 280-315 nm                                  
   2 = UV-B*, 280-320 nm                                 
   3 = UV-A, 315-400 nm                                  
   4 = DNA damage, in vitro (Setlow, 1974)               
   5 = UV index (WMO, 1994; Webb et al., 2011)           
   6 = Plant damage (Caldwell, 1971)                     
   7 = Plant damage,Flint&Caldwell,2003,orig.            
   8 = Plant damage,Flint&Caldwell,2003,ext390           
values at z =      0.000 km
Columns: sza, weighting spectra
 sza, deg.          1          2          3          4          5          6          7          8
   48.2000  4.018E+00  5.283E+00  3.818E+01  2.088E-01  6.375E+01  2.831E+00  3.395E+00  3.662E+00
------------------------------------------------------------
